id,spkid,full_name,pdes,name,neo,pha,diameter,prefix,q,per,class
c00001_0,1000036,1P/Halley,1P,Halley,Y,,11.0,P,0.5859781115169089,27509.129073186097,HTC
c00002_0,1000025,2P/Encke,2P,Encke,Y,,4.8,P,0.3359801496215279,1204.1999369288071,ETc
c00003_0,1000504,3D/Biela,3D,Biela,Y,,,D,0.879073,2427.278122182916,JFc
c00004_0,1000026,4P/Faye,4P,Faye,,,3.54,P,1.651876343070432,2746.520826221536,JFc
c00005_0,1000505,5D/Brorsen,5D,Brorsen,Y,,,D,0.589847,1994.7019872043,JFc
c00006_0,1000017,6P/d'Arrest,6P,d'Arrest,,,3.2,P,1.361454546530219,2395.442245807094,JFc
c00007_0,1000069,7P/PonsWinnecke,7P,Pons-Winnecke,Y,,5.2,P,1.2389614373541842,2309.0503589728132,JFc
c00008_0,1000099,8P/Tuttle,8P,Tuttle,Y,,4.5,P,1.027116587098451,4970.4412692808255,JFC
c00009_0,1000093,9P/Tempel1,9P,Tempel,,,6.0,P,1.5425528144334433,2037.951672378393,JFc
c00010_0,1000094,10P/Tempel2,10P,Tempel,,,10.6,P,1.4221316560805592,1961.87309590953,JFc
c00011_0,1000368,11P/TempelSwiftLINEAR,11P,Tempel-Swift-LINEAR,,,,P,1.553578679370059,2303.858524733585,JFc
c00012_0,1000068,12P/PonsBrooks,12P,Pons-Brooks,Y,,,P,0.773667087297613,25876.20671496702,HTC
c00013_0,1000066,13P/Olbers,13P,Olbers,Y,,,P,1.17845061442612,25391.577329400057,HTC
c00014_0,1000110,14P/Wolf,14P,Wolf,,,4.66,P,2.725686519827349,3193.81644584067,JFc
c00015_0,1000027,15P/Finlay,15P,Finlay,Y,,,P,0.9746503145016036,2378.056205679309,JFc
c00016_0,1000008,16P/Brooks2,16P,Brooks,,,,P,1.4667924702593582,2247.824517800184,JFc
c00017_0,1000044,17P/Holmes,17P,Holmes,,,3.42,P,2.05337898782295,2516.430102704675,JFc
c00018_0,1000144,18D/PerrineMrkos,18D,Perrine-Mrkos,Y,,,D,1.27224808138711,2452.955381957053,JFc
c00019_0,1000005,19P/Borrelly,19P,Borrelly,,,4.8,P,1.3597997387823049,2504.948913478551,JFc
c00020_0,1000212,20D/Westphal,20D,Westphal,Y,,,D,1.2540127619273,22596.605178914917,HTC
c00021_0,1000032,21P/GiacobiniZinner,21P,Giacobini-Zinner,Y,,2.0,P,1.012814528237006,2389.357082312369,JFc
c00022_0,1000054,22P/Kopff,22P,Kopff,,,3.0,P,1.576599102643193,2349.834566872905,JFc
c00023_0,1000009,23P/BrorsenMetcalf,23P,Brorsen-Metcalf,Y,,,P,0.4787527107248574,25758.373622251347,HTC
c00024_0,1000077,24P/Schaumasse,24P,Schaumasse,Y,,2.6,P,1.20616902407146,3017.306579787296,JFc
c00025_0,1000064,25D/Neujmin2,25D,Neujmin,,,,D,1.33816964707983,1983.1724592320638,JFc
c00026_0,1000034,26P/GriggSkjellerup,26P,Grigg-Skjellerup,Y,,2.6,P,1.116731720029502,1939.3220085751088,JFc
c00027_0,1000016,27P/Crommelin,27P,Crommelin,Y,,,P,0.748287467144728,10252.30596333479,HTC
c00028_0,1000063,28P/Neujmin1,28P,Neujmin,,,21.4,P,1.5496413966266582,6638.038307821073,JFc
c00029_0,1000079,29P/SchwassmannWachmann1,29P,Schwassmann-Wachmann,,,60.4,P,5.718848555300879,5353.641302953413,JFc
c00030_0,1000070,30P/Reinmuth1,30P,Reinmuth,,,7.8,P,1.8809737395937758,2678.053734664635,JFc
c00031_0,1000080,31P/SchwassmannWachmann2,31P,Schwassmann-Wachmann,,,6.2,P,3.4226176500459866,3196.9790820349485,JFc
c00032_0,1000015,32P/ComasSola,32P,Comas Sola,,,8.4,P,2.008565194966582,3498.4289957592073,JFc
c00033_0,1000018,33P/Daniel,33P,Daniel,,,2.6,P,2.1667241870434184,2955.0598388881517,JFc
c00034_0,1000284,34D/Gale,34D,Gale,Y,,,D,1.182907,4017.75,JFc
c00035_0,1000043,35P/HerschelRigollet,35P,Herschel-Rigollet,Y,,,P,0.74849,56613.75,HTC
c00036_0,1000105,36P/Whipple,36P,Whipple,,,4.56,P,3.087746991007401,3112.497542544089,JFc
c00037_0,1000028,37P/Forbes,37P,Forbes,,,1.92,P,1.6083276872368257,2345.925686343463,JFc
c00038_0,1000089,38P/StephanOterma,38P,Stephan-Oterma,,,,P,1.585662757452009,13820.85242628628,HTC
c00039_0,1000177,39P/Oterma,39P,Oterma,,,,P,5.47114747991526,7132.458345164751,CTc
c00040_0,1000101,40P/Vaisala1,40P,Vaisala,,,4.2,P,1.819771156172117,4010.2462608582287,JFc
c00041_0,1000100,41P/TuttleGiacobiniKresak,41P,Tuttle-Giacobini-Kresak,Y,,1.4,P,1.0450427369138,1979.164405801095,JFc
c00042_0,1000065,42P/Neujmin3,42P,Neujmin,,,2.2,P,2.027755196838527,3933.285115048261,JFc
