id,spkid,full_name,pdes,name,neo,pha,diameter,prefix,q,per,class,horizons,begin_time,end_time
a0009172,2009172,9172Abhramu1989OB,9172,Abhramu,Y,N,,,1.209314745,1626.347501,AMO,DES=+2009172,1998-11-20-09-54-54,2000-01-01-00-00-00
a0006461,2006461,6461Adam1993VB5,6461,Adam,N,N,,,1.7527702,996.4432927,IMB,DES=+2006461,1999-04-26-21-20-24,2000-01-01-00-00-00
a0024761,2024761,24761Ahau1993BW2,24761,Ahau,Y,N,,,0.926472333,563.3338447,APO,DES=+2024761,1999-08-13-03-59-48,2000-01-01-00-00-00
a0280652,2280652,280652Aimaku2005CQ,280652,Aimaku,N,N,,,1.781295704,992.9073759,IMB,DES=+2280652,1999-04-27-18-33-20,2000-01-01-00-00-00
a0326290,2326290,326290Akhenaten1998HE3,326290,Akhenaten,Y,Y,,,0.491994853,300.9473318,ATE,DES=+2326290,1999-10-17-18-18-57,2000-01-01-00-00-00
a0008034,2008034,8034Akka1992LR,8034,Akka,Y,N,,,1.080977939,904.150216,AMO,DES=+2008034,1999-05-19-23-05-55,2000-01-01-00-00-00
a0010051,2010051,10051Albee1987QG6,10051,Albee,N,N,,,1.502687381,1267.71286,MCA,DES=+2010051,1999-02-18-01-43-22,2000-01-01-00-00-00
a0000719,2000719,719Albert1911MT,719,Albert,Y,N,,,1.197212095,1565.680891,AMO,DES=+2000719,1998-12-05-13-54-53,2000-01-01-00-00-00
a0192686,2192686,192686Aljuroma1999TU17,192686,Aljuroma,N,N,,,1.654180205,1593.499111,MCA,DES=+2192686,1998-11-28-15-00-20,2000-01-01-00-00-00
a0005879,2005879,5879Almeria1992CH1,5879,Almeria,Y,N,,,1.154937861,756.3870395,AMO,DES=+2005879,1999-06-25-21-40-39,2000-01-01-00-00-00
a0003581,2003581,3581Alvarez1985HC,3581,Alvarez,N,N,,,1.650606003,1689.143168,MCA,DES=+2003581,1998-11-04-17-08-28,2000-01-01-00-00-00
a0007959,2007959,7959Alysecherri1994PK,7959,Alysecherri,N,N,,,1.776994613,989.1045442,IMB,DES=+2007959,1999-04-28-17-22-21,2000-01-01-00-00-00
a0046513,2046513,46513Ampzing1972FC,46513,Ampzing,N,N,,,1.777728952,964.4982837,IMB,DES=+2046513,1999-05-04-21-00-37,2000-01-01-00-00-00
a0001065,2001065,1065Amundsenia1926PD,1065,Amundsenia,N,N,,,1.65894232,1324.471471,MCA,DES=+2001065,1999-02-03-21-10-16,2000-01-01-00-00-00
a0017399,2017399,17399Andysanto1983RL,17399,Andysanto,N,N,,,1.692915011,971.1160225,IMB,DES=+2017399,1999-05-03-05-18-13,2000-01-01-00-00-00
