JDTDB,Calendar Date (TDB),X,Y,Z,
2451297.301898148, A.D. 1999-Apr-28 19:14:44.0000, -9.526860010379598E+07, -2.518468934681512E+08,  7.644913826064280E+07,
2451298.301898148, A.D. 1999-Apr-29 19:14:44.0000, -9.348328698733662E+07, -2.523492157097612E+08,  7.692853511553255E+07,
2451299.301898148, A.D. 1999-Apr-30 19:14:44.0000, -9.169375041588418E+07, -2.528401355874736E+08,  7.740445589281595E+07,
2451300.301898148, A.D. 1999-May-01 19:14:44.0000, -8.990007046041290E+07, -2.533196287403196E+08,  7.787687842168435E+07,
2451301.301898148, A.D. 1999-May-02 19:14:44.0000, -8.810232743018885E+07, -2.537876713719369E+08,  7.834578069862393E+07,
2451302.301898148, A.D. 1999-May-03 19:14:44.0000, -8.630060186809483E+07, -2.542442402524221E+08,  7.881114088885805E+07,
2451303.301898148, A.D. 1999-May-04 19:14:44.0000, -8.449497454592961E+07, -2.546893127201430E+08,  7.927293732777788E+07,
2451304.301898148, A.D. 1999-May-05 19:14:44.0000, -8.268552645968051E+07, -2.551228666835091E+08,  7.973114852236032E+07,
2451305.301898148, A.D. 1999-May-06 19:14:44.0000, -8.087233882477005E+07, -2.555448806227021E+08,  8.018575315257385E+07,
2451306.301898148, A.D. 1999-May-07 19:14:44.0000, -7.905549307127586E+07, -2.559553335913635E+08,  8.063673007277130E+07,
2451307.301898148, A.D. 1999-May-08 19:14:44.0000, -7.723507083912380E+07, -2.563542052182419E+08,  8.108405831306987E+07,
2451308.301898148, A.D. 1999-May-09 19:14:44.0000, -7.541115397325356E+07, -2.567414757087960E+08,  8.152771708071788E+07,
2451309.301898148, A.D. 1999-May-10 19:14:44.0000, -7.358382451875636E+07, -2.571171258467549E+08,  8.196768576144792E+07,
2451310.301898148, A.D. 1999-May-11 19:14:44.0000, -7.175316471598385E+07, -2.574811369956338E+08,  8.240394392081672E+07,
2451311.301898148, A.D. 1999-May-12 19:14:44.0000, -6.991925699562792E+07, -2.578334911002028E+08,  8.283647130553079E+07,
2451312.301898148, A.D. 1999-May-13 19:14:44.0000, -6.808218397377041E+07, -2.581741706879071E+08,  8.326524784475851E+07,
2451313.301898148, A.D. 1999-May-14 19:14:44.0000, -6.624202844690273E+07, -2.585031588702368E+08,  8.369025365142822E+07,
2451314.301898148, A.D. 1999-May-15 19:14:44.0000, -6.439887338691466E+07, -2.588204393440408E+08,  8.411146902351199E+07,
2451315.301898148, A.D. 1999-May-16 19:14:44.0000, -6.255280193605562E+07, -2.591259963927830E+08,  8.452887444529639E+07,
2451316.301898148, A.D. 1999-May-17 19:14:44.0000, -6.070389740186669E+07, -2.594198148877358E+08,  8.494245058863910E+07,
2451317.301898148, A.D. 1999-May-18 19:14:44.0000, -5.885224325208896E+07, -2.597018802891052E+08,  8.535217831421304E+07,
2451318.301898148, A.D. 1999-May-19 19:14:44.0000, -5.699792310955363E+07, -2.599721786470839E+08,  8.575803867273797E+07,
2451319.301898148, A.D. 1999-May-20 19:14:44.0000, -5.514102074705923E+07, -2.602306966028293E+08,  8.616001290620032E+07,
2451320.301898148, A.D. 1999-May-21 19:14:44.0000, -5.328162008224513E+07, -2.604774213893629E+08,  8.655808244906235E+07,
2451321.301898148, A.D. 1999-May-22 19:14:44.0000, -5.141980517247166E+07, -2.607123408323932E+08,  8.695222892946059E+07,
2451322.301898148, A.D. 1999-May-23 19:14:44.0000, -4.955566020971835E+07, -2.609354433510635E+08,  8.734243417039517E+07,
2451323.301898148, A.D. 1999-May-24 19:14:44.0000, -4.768926951551054E+07, -2.611467179586357E+08,  8.772868019090874E+07,
2451324.301898148, A.D. 1999-May-25 19:14:44.0000, -4.582071753588137E+07, -2.613461542631187E+08,  8.811094920725626E+07,
2451325.301898148, A.D. 1999-May-26 19:14:44.0000, -4.395008883637424E+07, -2.615337424678567E+08,  8.848922363406245E+07,
2451326.301898148, A.D. 1999-May-27 19:14:44.0000, -4.207746809708460E+07, -2.617094733720954E+08,  8.886348608546758E+07,
2451327.301898148, A.D. 1999-May-28 19:14:44.0000, -4.020294010773519E+07, -2.618733383715388E+08,  8.923371937625781E+07,
2451328.301898148, A.D. 1999-May-29 19:14:44.0000, -3.832658976277152E+07, -2.620253294589110E+08,  8.959990652297884E+07,
2451329.301898148, A.D. 1999-May-30 19:14:44.0000, -3.644850205645964E+07, -2.621654392245302E+08,  8.996203074502952E+07,
2451330.301898148, A.D. 1999-May-31 19:14:44.0000, -3.456876207797320E+07, -2.622936608568927E+08,  9.032007546573457E+07,
2451331.301898148, A.D. 1999-Jun-01 19:14:44.0000, -3.268745500644844E+07, -2.624099881432678E+08,  9.067402431339455E+07,
2451332.301898148, A.D. 1999-Jun-02 19:14:44.0000, -3.080466610599614E+07, -2.625144154702852E+08,  9.102386112231274E+07,
2451333.301898148, A.D. 1999-Jun-03 19:14:44.0000, -2.892048072066187E+07, -2.626069378245068E+08,  9.136956993379901E+07,
2451334.301898148, A.D. 1999-Jun-04 19:14:44.0000, -2.703498426933187E+07, -2.626875507929649E+08,  9.171113499715155E+07,
2451335.301898148, A.D. 1999-Jun-05 19:14:44.0000, -2.514826224058582E+07, -2.627562505636540E+08,  9.204854077061763E+07,
2451336.301898148, A.D. 1999-Jun-06 19:14:44.0000, -2.326040018750295E+07, -2.628130339259641E+08,  9.238177192233478E+07,
2451337.301898148, A.D. 1999-Jun-07 19:14:44.0000, -2.137148372242964E+07, -2.628578982710477E+08,  9.271081333125335E+07,
2451338.301898148, A.D. 1999-Jun-08 19:14:44.0000, -1.948159851171698E+07, -2.628908415921148E+08,  9.303565008804171E+07,
2451339.301898148, A.D. 1999-Jun-09 19:14:44.0000, -1.759083027043815E+07, -2.629118624846561E+08,  9.335626749597532E+07,
2451340.301898148, A.D. 1999-Jun-10 19:14:44.0000, -1.569926475709202E+07, -2.629209601465913E+08,  9.367265107180896E+07,
2451341.301898148, A.D. 1999-Jun-11 19:14:44.0000, -1.380698776830140E+07, -2.629181343783473E+08,  9.398478654663423E+07,
2451342.301898148, A.D. 1999-Jun-12 19:14:44.0000, -1.191408513350984E+07, -2.629033855828676E+08,  9.429265986672062E+07,
2451343.301898148, A.D. 1999-Jun-13 19:14:44.0000, -1.002064270968076E+07, -2.628767147655577E+08,  9.459625719434154E+07,
2451344.301898148, A.D. 1999-Jun-14 19:14:44.0000, -8.126746376001956E+06, -2.628381235341681E+08,  9.489556490858395E+07,
2451345.301898148, A.D. 1999-Jun-15 19:14:44.0000, -6.232482028596997E+06, -2.627876140986177E+08,  9.519056960614228E+07,
2451346.301898148, A.D. 1999-Jun-16 19:14:44.0000, -4.337935575244099E+06, -2.627251892707639E+08,  9.548125810209572E+07,
2451347.301898148, A.D. 1999-Jun-17 19:14:44.0000, -2.443192930103316E+06, -2.626508524641162E+08,  9.576761743066902E+07,
2451348.301898148, A.D. 1999-Jun-18 19:14:44.0000, -5.483400084519377E+05, -2.625646076934998E+08,  9.604963484597634E+07,
2451349.301898148, A.D. 1999-Jun-19 19:14:44.0000,  1.346537278571723E+06, -2.624664595746683E+08,  9.632729782274786E+07,
2451350.301898148, A.D. 1999-Jun-20 19:14:44.0000,  3.241353029216547E+06, -2.623564133238670E+08,  9.660059405703914E+07,
2451351.301898148, A.D. 1999-Jun-21 19:14:44.0000,  5.136021356358827E+06, -2.622344747573484E+08,  9.686951146692292E+07,
2451352.301898148, A.D. 1999-Jun-22 19:14:44.0000,  7.030456392734429E+06, -2.621006502908399E+08,  9.713403819316295E+07,
2451353.301898148, A.D. 1999-Jun-23 19:14:44.0000,  8.924572296163345E+06, -2.619549469389641E+08,  9.739416259987015E+07,
2451354.301898148, A.D. 1999-Jun-24 19:14:44.0000,  1.081828325476631E+07, -2.617973723146128E+08,  9.764987327514064E+07,
2451355.301898148, A.D. 1999-Jun-25 19:14:44.0000,  1.271150349217352E+07, -2.616279346282741E+08,  9.790115903167571E+07,
2451356.301898148, A.D. 1999-Jun-26 19:14:44.0000,  1.460414727272530E+07, -2.614466426873135E+08,  9.814800890738343E+07,
2451357.301898148, A.D. 1999-Jun-27 19:14:44.0000,  1.649612890666451E+07, -2.612535058952083E+08,  9.839041216596201E+07,
2451358.301898148, A.D. 1999-Jun-28 19:14:44.0000,  1.838736275532048E+07, -2.610485342507368E+08,  9.862835829746480E+07,
2451359.301898148, A.D. 1999-Jun-29 19:14:44.0000,  2.027776323628403E+07, -2.608317383471205E+08,  9.886183701884675E+07,
2451360.301898148, A.D. 1999-Jun-30 19:14:44.0000,  2.216724482857328E+07, -2.606031293711214E+08,  9.909083827449250E+07,
2451361.301898148, A.D. 1999-Jul-01 19:14:44.0000,  2.405572207778990E+07, -2.603627191020926E+08,  9.931535223672570E+07,
2451362.301898148, A.D. 1999-Jul-02 19:14:44.0000,  2.594310960126531E+07, -2.601105199109844E+08,  9.953536930629995E+07,
2451363.301898148, A.D. 1999-Jul-03 19:14:44.0000,  2.782932209319625E+07, -2.598465447593032E+08,  9.975088011287096E+07,
2451364.301898148, A.D. 1999-Jul-04 19:14:44.0000,  2.971427432976957E+07, -2.595708071980264E+08,  9.996187551545006E+07,
2451365.301898148, A.D. 1999-Jul-05 19:14:44.0000,  3.159788117427533E+07, -2.592833213664712E+08,  1.001683466028391E+08,
2451366.301898148, A.D. 1999-Jul-06 19:14:44.0000,  3.348005758220804E+07, -2.589841019911180E+08,  1.003702846940462E+08,
2451367.301898148, A.D. 1999-Jul-07 19:14:44.0000,  3.536071860635509E+07, -2.586731643843893E+08,  1.005676813386834E+08,
2451368.301898148, A.D. 1999-Jul-08 19:14:44.0000,  3.723977940187263E+07, -2.583505244433831E+08,  1.007605283173451E+08,
2451369.301898148, A.D. 1999-Jul-09 19:14:44.0000,  3.911715523134729E+07, -2.580161986485620E+08,  1.009488176419675E+08,
2451370.301898148, A.D. 1999-Jul-10 19:14:44.0000,  4.099276146984398E+07, -2.576702040623973E+08,  1.011325415561695E+08,
2451371.301898148, A.D. 1999-Jul-11 19:14:44.0000,  4.286651360993909E+07, -2.573125583279689E+08,  1.013116925355746E+08,
2451372.301898148, A.D. 1999-Jul-12 19:14:44.0000,  4.473832726673824E+07, -2.569432796675208E+08,  1.014862632881138E+08,
2451373.301898148, A.D. 1999-Jul-13 19:14:44.0000,  4.660811818287846E+07, -2.565623868809736E+08,  1.016562467543101E+08,
2451374.301898148, A.D. 1999-Jul-14 19:14:44.0000,  4.847580223351385E+07, -2.561698993443916E+08,  1.018216361075429E+08,
2451375.301898148, A.D. 1999-Jul-15 19:14:44.0000,  5.034129543128453E+07, -2.557658370084079E+08,  1.019824247542948E+08,
2451376.301898148, A.D. 1999-Jul-16 19:14:44.0000,  5.220451393126876E+07, -2.553502203966051E+08,  1.021386063343775E+08,
2451377.301898148, A.D. 1999-Jul-17 19:14:44.0000,  5.406537403591550E+07, -2.549230706038552E+08,  1.022901747211421E+08,
2451378.301898148, A.D. 1999-Jul-18 19:14:44.0000,  5.592379219996069E+07, -2.544844092946137E+08,  1.024371240216662E+08,
2451379.301898148, A.D. 1999-Jul-19 19:14:44.0000,  5.777968503532331E+07, -2.540342587011744E+08,  1.025794485769250E+08,
2451380.301898148, A.D. 1999-Jul-20 19:14:44.0000,  5.963296931598328E+07, -2.535726416218803E+08,  1.027171429619421E+08,
2451381.301898148, A.D. 1999-Jul-21 19:14:44.0000,  6.148356198283749E+07, -2.530995814192940E+08,  1.028502019859214E+08,
2451382.301898148, A.D. 1999-Jul-22 19:14:44.0000,  6.333138014853796E+07, -2.526151020183264E+08,  1.029786206923606E+08,
2451383.301898148, A.D. 1999-Jul-23 19:14:44.0000,  6.517634110230792E+07, -2.521192279043246E+08,  1.031023943591444E+08,
2451384.301898148, A.D. 1999-Jul-24 19:14:44.0000,  6.701836231473765E+07, -2.516119841211194E+08,  1.032215184986207E+08,
2451385.301898148, A.D. 1999-Jul-25 19:14:44.0000,  6.885736144255786E+07, -2.510933962690333E+08,  1.033359888576554E+08,
2451386.301898148, A.D. 1999-Jul-26 19:14:44.0000,  7.069325633339249E+07, -2.505634905028479E+08,  1.034458014176702E+08,
2451387.301898148, A.D. 1999-Jul-27 19:14:44.0000,  7.252596503048888E+07, -2.500222935297338E+08,  1.035509523946607E+08,
2451388.301898148, A.D. 1999-Jul-28 19:14:44.0000,  7.435540577742581E+07, -2.494698326071405E+08,  1.036514382391954E+08,
2451389.301898148, A.D. 1999-Jul-29 19:14:44.0000,  7.618149702279918E+07, -2.489061355406488E+08,  1.037472556363959E+08,
2451390.301898148, A.D. 1999-Jul-30 19:14:44.0000,  7.800415742488518E+07, -2.483312306817862E+08,  1.038384015058986E+08,
2451391.301898148, A.D. 1999-Jul-31 19:14:44.0000,  7.982330585628064E+07, -2.477451469258042E+08,  1.039248730017977E+08,
2451392.301898148, A.D. 1999-Aug-01 19:14:44.0000,  8.163886140852176E+07, -2.471479137094196E+08,  1.040066675125680E+08,
2451393.301898148, A.D. 1999-Aug-02 19:14:44.0000,  8.345074339667960E+07, -2.465395610085192E+08,  1.040837826609702E+08,
2451394.301898148, A.D. 1999-Aug-03 19:14:44.0000,  8.525887136393435E+07, -2.459201193358288E+08,  1.041562163039376E+08,
2451395.301898148, A.D. 1999-Aug-04 19:14:44.0000,  8.706316508612745E+07, -2.452896197385462E+08,  1.042239665324430E+08,
2451396.301898148, A.D. 1999-Aug-05 19:14:44.0000,  8.886354457629406E+07, -2.446480937959383E+08,  1.042870316713472E+08,
2451397.301898148, A.D. 1999-Aug-06 19:14:44.0000,  9.065993008917387E+07, -2.439955736169027E+08,  1.043454102792295E+08,
2451398.301898148, A.D. 1999-Aug-07 19:14:44.0000,  9.245224212570277E+07, -2.433320918374914E+08,  1.043991011481984E+08,
2451399.301898148, A.D. 1999-Aug-08 19:14:44.0000,  9.424040143748714E+07, -2.426576816183978E+08,  1.044481033036850E+08,
2451400.301898148, A.D. 1999-Aug-09 19:14:44.0000,  9.602432903125831E+07, -2.419723766424043E+08,  1.044924160042173E+08,
2451401.301898148, A.D. 1999-Aug-10 19:14:44.0000,  9.780394617331059E+07, -2.412762111117878E+08,  1.045320387411760E+08,
2451402.301898148, A.D. 1999-Aug-11 19:14:44.0000,  9.957917439392132E+07, -2.405692197456819E+08,  1.045669712385333E+08,
2451403.301898148, A.D. 1999-Aug-12 19:14:44.0000,  1.013499354917529E+08, -2.398514377773917E+08,  1.045972134525743E+08,
2451404.301898148, A.D. 1999-Aug-13 19:14:44.0000,  1.031161515382346E+08, -2.391229009516566E+08,  1.046227655716005E+08,
2451405.301898148, A.D. 1999-Aug-14 19:14:44.0000,  1.048777448819214E+08, -2.383836455218588E+08,  1.046436280156186E+08,
2451406.301898148, A.D. 1999-Aug-15 19:14:44.0000,  1.066346381528240E+08, -2.376337082471712E+08,  1.046598014360125E+08,
2451407.301898148, A.D. 1999-Aug-16 19:14:44.0000,  1.083867542667051E+08, -2.368731263896452E+08,  1.046712867152029E+08,
2451408.301898148, A.D. 1999-Aug-17 19:14:44.0000,  1.101340164293316E+08, -2.361019377112330E+08,  1.046780849662918E+08,
2451409.301898148, A.D. 1999-Aug-18 19:14:44.0000,  1.118763481406736E+08, -2.353201804707484E+08,  1.046801975326959E+08,
2451410.301898148, A.D. 1999-Aug-19 19:14:44.0000,  1.136136731990378E+08, -2.345278934207700E+08,  1.046776259877674E+08,
2451411.301898148, A.D. 1999-Aug-20 19:14:44.0000,  1.153459157051296E+08, -2.337251158044935E+08,  1.046703721344047E+08,
2451412.301898148, A.D. 1999-Aug-21 19:14:44.0000,  1.170730000660299E+08, -2.329118873525486E+08,  1.046584380046504E+08,
2451413.301898148, A.D. 1999-Aug-22 19:14:44.0000,  1.187948509990869E+08, -2.320882482797926E+08,  1.046418258592778E+08,
