id,spkid,full_name,pdes,name,neo,pha,diameter,prefix,q,per,class,horizons,begin_time,end_time
bK10L84L,3625646,2010LL84,2010 LL84,,N,N,,,3.236447872403401,2911.135219122836,OMB,DES=+3625646,1998-01-03-05-11-20,2000-01-01-00-00-00
bK12T38U,3610904,2012TU38,2012 TU38,,N,N,,,3.0514383308184665,2385.0519043550257,OMB,DES=+3610904,1998-05-14-17-41-19,2000-01-01-00-00-00
bK03Sd9M,3382505,2003SM399,2003 SM399,,N,N,,,3.05672679493017,2127.829490014979,OMB,DES=+3382505,1998-07-18-01-01-24,2000-01-01-00-00-00
a0518018,2518018,5180182015VN137,518018,,N,N,,,3.034010985830507,2122.327453812492,OMB,DES=+2518018,1998-07-19-10-02-07,2000-01-01-00-00-00
bK08N03K,3418108,2008NK3,2008 NK3,,N,N,,,3.134702558250897,2134.680177491153,OMB,DES=+3418108,1998-07-16-07-55-09,2000-01-01-00-00-00
a0108996,2108996,1089962001PR61,108996,,N,N,,,3.2716149154957783,2912.109701108741,OMB,DES=+2108996,1998-01-02-23-20-31,2000-01-01-00-00-00
bK17H51G,3774792,2017HG51,2017 HG51,,N,N,,,3.044122977646995,2118.1246168945513,OMB,DES=+3774792,1998-07-20-11-15-09,2000-01-01-00-00-00
a0416889,2416889,4168892005QG116,416889,,N,N,,,3.2061349952708262,2864.470807094914,OMB,DES=+2416889,1998-01-14-21-10-31,2000-01-01-00-00-00
bK11UQ7V,3585566,2011UV267,2011 UV267,,N,N,,,3.029807788028174,2859.593390429105,OMB,DES=+3585566,1998-01-16-02-26-23,2000-01-01-00-00-00
a0391163,2391163,3911632005YQ228,391163,,N,N,,,3.1505093439190537,2277.247549254513,OMB,DES=+2391163,1998-06-10-16-30-53,2000-01-01-00-00-00
a0341842,2341842,3418422008DG79,341842,,N,N,,,3.42917980559909,2859.506987969165,OMB,DES=+2341842,1998-01-16-02-57-30,2000-01-01-00-00-00
a0121822,2121822,1218222000BT,121822,,N,N,,,3.0171127190868186,2152.56966686647,OMB,DES=+2121822,1998-07-11-20-34-56,2000-01-01-00-00-00
bK10JC7Y,3523454,2010JY127,2010 JY127,,N,N,,,3.146874836871321,2764.7210468744374,OMB,DES=+3523454,1998-02-08-19-40-26,2000-01-01-00-00-00
bK16T49U,3762199,2016TU49,2016 TU49,,N,N,,,3.150706339392012,2139.84677257633,OMB,DES=+3762199,1998-07-15-00-55-10,2000-01-01-00-00-00
bK10N71Y,3538037,2010NY71,2010 NY71,,N,N,,,3.080596593403057,2759.8377071473906,OMB,DES=+3538037,1998-02-10-00-58-26,2000-01-01-00-00-00
bK14P76S,3809455,2014PS76,2014 PS76,,N,N,,,3.0908304892795218,2139.584612534215,OMB,DES=+3809455,1998-07-15-02-29-33,2000-01-01-00-00-00
a0313215,2313215,3132152001SB193,313215,,N,N,,,3.206109953273037,2875.329077344964,OMB,DES=+2313215,1998-01-12-04-01-32,2000-01-01-00-00-00
a0296555,2296555,2965552009QZ16,296555,,N,N,,,3.148220988257562,2905.575132736914,OMB,DES=+2296555,1998-01-04-14-32-58,2000-01-01-00-00-00
a0185532,2185532,1855322007WR42,185532,,N,N,,,3.352383972287584,2443.229819429589,OMB,DES=+2185532,1998-04-30-04-37-16,2000-01-01-00-00-00
a0406796,2406796,4067962008TH103,406796,,N,N,,,3.3747227873671224,2400.67042169779,OMB,DES=+2406796,1998-05-10-19-58-39,2000-01-01-00-00-00
bK10A17C,3485562,2010AC17,2010 AC17,,N,N,,,3.0449821753932618,2094.2412205830938,OMB,DES=+3485562,1998-07-26-10-33-10,2000-01-01-00-00-00
bK17FF9P,3775276,2017FP159,2017 FP159,,N,N,,,3.486529250056546,2862.701685317893,OMB,DES=+3775276,1998-01-15-07-47-24,2000-01-01-00-00-00
a0383454,2383454,3834542006WC205,383454,,N,N,,,3.154208054665561,2331.003888991016,OMB,DES=+2383454,1998-05-28-05-58-36,2000-01-01-00-00-00
a0153297,2153297,1532972001FN109,153297,,N,N,,,3.075390922111016,2116.210688100531,OMB,DES=+2153297,1998-07-20-22-44-10,2000-01-01-00-00-00
bK11B97C,3568482,2011BC97,2011 BC97,,N,N,,,3.272974106850824,2312.1677776868105,OMB,DES=+3568482,1998-06-01-22-59-37,2000-01-01-00-00-00
bK15BQ4C,3707896,2015BC264,2015 BC264,,N,N,,,3.022583756610299,2312.36172575507,OMB,DES=+3707896,1998-06-01-21-49-47,2000-01-01-00-00-00
a0497847,2497847,4978472006UR79,497847,,N,N,,,3.1779026968817936,2129.5469218871053,OMB,DES=+2497847,1998-07-17-14-43-07,2000-01-01-00-00-00
bK13Y48F,3655557,2013YF48,2013 YF48,,N,N,,,4.435056907705823,10292.36440527821,CEN,DES=+3655557,1992-12-14-21-48-53,2000-01-01-00-00-00
a0439650,2439650,4396502014HF25,439650,,N,N,,,3.461927588658098,2915.2945439806044,OMB,DES=+2439650,1998-01-02-04-13-58,2000-01-01-00-00-00
a0332275,2332275,3322752006SZ181,332275,,N,N,,,3.130624708022207,2862.752821155219,OMB,DES=+2332275,1998-01-15-07-29-00,2000-01-01-00-00-00
a0388366,2388366,3883662006UT46,388366,,N,N,,,3.55968172686396,2903.24120341513,OMB,DES=+2388366,1998-01-05-04-33-11,2000-01-01-00-00-00
a0285910,2285910,2859102001QX148,285910,,N,N,,,3.15390530875216,2902.556300556262,OMB,DES=+2285910,1998-01-05-08-39-44,2000-01-01-00-00-00
a0398892,2398892,3988922013CV103,398892,,N,N,,,3.026941358866314,2129.637092400586,OMB,DES=+2398892,1998-07-17-14-10-39,2000-01-01-00-00-00
a0343148,2343148,3431482009FF69,343148,,N,N,,,3.0202658826843143,2229.614605198716,OMB,DES=+2343148,1998-06-22-14-18-45,2000-01-01-00-00-00
bK14OL3H,3678344,2014OH213,2014 OH213,,N,N,,,3.0037364346898032,2778.1307258792517,OMB,DES=+3678344,1998-02-05-11-12-57,2000-01-01-00-00-00
a0360796,2360796,3607962005GP103,360796,,N,N,,,3.5422577172883485,2898.142479585321,OMB,DES=+2360796,1998-01-06-11-08-43,2000-01-01-00-00-00
a0377648,2377648,3776482005UD135,377648,,N,N,,,3.2426401425111817,2859.374306407365,OMB,DES=+2377648,1998-01-16-03-45-15,2000-01-01-00-00-00
a0394732,2394732,3947322008EP152,394732,,N,N,,,3.0032460630557885,2147.045723992244,OMB,DES=+2394732,1998-07-13-05-43-33,2000-01-01-00-00-00
bK16E12B,3745257,2016EB12,2016 EB12,,N,N,,,3.049845551870521,2229.5968867555107,OMB,DES=+3745257,1998-06-22-14-25-08,2000-01-01-00-00-00
bK07VJ9K,3492865,2007VK199,2007 VK199,,N,N,,,3.2052182255970214,2897.863466375713,OMB,DES=+3492865,1998-01-06-12-49-10,2000-01-01-00-00-00
a0313963,2313963,3139632004RS338,313963,,N,N,,,3.102385005153812,2129.342526813072,OMB,DES=+2313963,1998-07-17-15-56-42,2000-01-01-00-00-00
a0444447,2444447,4444472006DR80,444447,,N,N,,,3.0166474206397083,2149.299203508481,OMB,DES=+2444447,1998-07-12-16-12-18,2000-01-01-00-00-00
bK05TA9Z,3491431,2005TZ109,2005 TZ109,,N,N,,,3.2519681198666315,2867.9307758304494,OMB,DES=+3491431,1998-01-14-00-24-56,2000-01-01-00-00-00
bK10RF5C,3547735,2010RC155,2010 RC155,,N,N,,,3.085712770610897,2934.143847746203,OMB,DES=+3547735,1997-12-28-11-08-13,2000-01-01-00-00-00
bK13AH3L,3640030,2013AL173,2013 AL173,,N,N,,,3.0666643938200804,2114.353456748232,OMB,DES=+3640030,1998-07-21-09-52-46,2000-01-01-00-00-00
a0331213,2331213,3312132011BY37,331213,,N,N,,,3.1212963823601587,2107.537688347993,OMB,DES=+2331213,1998-07-23-02-46-26,2000-01-01-00-00-00
a0400320,2400320,4003202007TG357,400320,,N,N,,,3.097817908116529,2935.4670052915612,OMB,DES=+2400320,1997-12-28-03-11-53,2000-01-01-00-00-00
bK16G34B,3776195,2016GB34,2016 GB34,,N,N,,,3.8573216441810767,2791.4199655632146,OMB,DES=+3776195,1998-02-02-03-28-49,2000-01-01-00-00-00
bK10G39K,3515874,2010GK39,2010 GK39,,N,N,,,3.1169058321218865,2145.626465631232,OMB,DES=+3515874,1998-07-13-14-14-29,2000-01-01-00-00-00
bK14HI3L,3681655,2014HL183,2014 HL183,,N,N,,,3.3133704230022585,2903.374396517496,OMB,DES=+3681655,1998-01-05-03-45-14,2000-01-01-00-00-00
bK15BZ3W,3708286,2015BW353,2015 BW353,,N,N,,,3.561715838581705,2908.700775787061,OMB,DES=+3708286,1998-01-03-19-47-44,2000-01-01-00-00-00
a0273156,2273156,2731562006HY40,273156,,N,N,,,3.102486815625615,2117.723157232413,OMB,DES=+2273156,1998-07-20-13-39-40,2000-01-01-00-00-00
a0444786,2444786,4447862007TL85,444786,,N,N,,,3.0877224527257985,2859.2836276792605,OMB,DES=+2444786,1998-01-16-04-17-54,2000-01-01-00-00-00
a0460950,2460950,4609502014WV267,460950,,N,N,,,3.3977758658888835,2453.150720610955,OMB,DES=+2460950,1998-04-27-17-05-45,2000-01-01-00-00-00
a0343830,2343830,3438302011HC27,343830,,N,N,,,3.012390171243075,2128.7111260991,OMB,DES=+2343830,1998-07-17-19-44-00,2000-01-01-00-00-00
bK12TT6N,3613233,2012TN296,2012 TN296,,N,N,,,3.0799722994330985,2110.44749101553,OMB,DES=+3613233,1998-07-22-09-18-55,2000-01-01-00-00-00
a0506822,2506822,5068222007SQ24,506822,,N,N,,,3.58694834992288,2891.311071260058,OMB,DES=+2506822,1998-01-08-04-08-01,2000-01-01-00-00-00
a0360459,2360459,3604592002QH153,360459,,N,N,,,3.2564613950869035,2293.6191720738707,OMB,DES=+2360459,1998-06-06-14-17-06,2000-01-01-00-00-00
bK12C38T,3621855,2012CT38,2012 CT38,,N,N,,,3.3916387233396423,2456.477572483129,OMB,DES=+3621855,1998-04-26-21-08-05,2000-01-01-00-00-00
a0237282,2237282,2372822008XW15,237282,,N,N,,,3.3234442618738664,2316.248230081746,OMB,DES=+2237282,1998-05-31-22-30-39,2000-01-01-00-00-00
