JDTDB,Calendar Date (TDB),X,Y,Z,
2447892.500000000, A.D. 1990-Jan-01 00:00:00.0000, -2.887719946883718E+09, -3.267561207778136E+09, -2.042203268617608E+09,
2447893.500000000, A.D. 1990-Jan-02 00:00:00.0000, -2.887258834115277E+09, -3.267748267834609E+09, -2.042414464464167E+09,
2447894.500000000, A.D. 1990-Jan-03 00:00:00.0000, -2.886797695547884E+09, -3.267935300727317E+09, -2.042625642167876E+09,
2447895.500000000, A.D. 1990-Jan-04 00:00:00.0000, -2.886336531166516E+09, -3.268122306455956E+09, -2.042836801727561E+09,
2447896.500000000, A.D. 1990-Jan-05 00:00:00.0000, -2.885875340955655E+09, -3.268309285018861E+09, -2.043047943142006E+09,
2447897.500000000, A.D. 1990-Jan-06 00:00:00.0000, -2.885414124899508E+09, -3.268496236412917E+09, -2.043259066409913E+09,
2447898.500000000, A.D. 1990-Jan-07 00:00:00.0000, -2.884952882982268E+09, -3.268683160633536E+09, -2.043470171529884E+09,
2447899.500000000, A.D. 1990-Jan-08 00:00:00.0000, -2.884491615188354E+09, -3.268870057674695E+09, -2.043681258500402E+09,
2447900.500000000, A.D. 1990-Jan-09 00:00:00.0000, -2.884030321502633E+09, -3.269056927529024E+09, -2.043892327319816E+09,
2447901.500000000, A.D. 1990-Jan-10 00:00:00.0000, -2.883569001910609E+09, -3.269243770187945E+09, -2.044103377986334E+09,
2447902.500000000, A.D. 1990-Jan-11 00:00:00.0000, -2.883107656398571E+09, -3.269430585641840E+09, -2.044314410498027E+09,
2447903.500000000, A.D. 1990-Jan-12 00:00:00.0000, -2.882646284953690E+09, -3.269617373880230E+09, -2.044525424852833E+09,
2447904.500000000, A.D. 1990-Jan-13 00:00:00.0000, -2.882184887564062E+09, -3.269804134891963E+09, -2.044736421048564E+09,
2447905.500000000, A.D. 1990-Jan-14 00:00:00.0000, -2.881723464218731E+09, -3.269990868665387E+09, -2.044947399082929E+09,
2447906.500000000, A.D. 1990-Jan-15 00:00:00.0000, -2.881262014907655E+09, -3.270177575188508E+09, -2.045158358953538E+09,
2447907.500000000, A.D. 1990-Jan-16 00:00:00.0000, -2.880800539621663E+09, -3.270364254449123E+09, -2.045369300657927E+09,
2447908.500000000, A.D. 1990-Jan-17 00:00:00.0000, -2.880339038352392E+09, -3.270550906434932E+09, -2.045580224193565E+09,
2447909.500000000, A.D. 1990-Jan-18 00:00:00.0000, -2.879877511092207E+09, -3.270737531133620E+09, -2.045791129557875E+09,
2447910.500000000, A.D. 1990-Jan-19 00:00:00.0000, -2.879415957834133E+09, -3.270924128532922E+09, -2.046002016748238E+09,
2447911.500000000, A.D. 1990-Jan-20 00:00:00.0000, -2.878954378571773E+09, -3.271110698620664E+09, -2.046212885762014E+09,
2447912.500000000, A.D. 1990-Jan-21 00:00:00.0000, -2.878492773299233E+09, -3.271297241384791E+09, -2.046423736596539E+09,
2447913.500000000, A.D. 1990-Jan-22 00:00:00.0000, -2.878031142011072E+09, -3.271483756813381E+09, -2.046634569249142E+09,
2447914.500000000, A.D. 1990-Jan-23 00:00:00.0000, -2.877569484702225E+09, -3.271670244894645E+09, -2.046845383717146E+09,
2447915.500000000, A.D. 1990-Jan-24 00:00:00.0000, -2.877107801367969E+09, -3.271856705616929E+09, -2.047056179997871E+09,
2447916.500000000, A.D. 1990-Jan-25 00:00:00.0000, -2.876646092003871E+09, -3.272043138968699E+09, -2.047266958088641E+09,
2447917.500000000, A.D. 1990-Jan-26 00:00:00.0000, -2.876184356605760E+09, -3.272229544938530E+09, -2.047477717986781E+09,
2447918.500000000, A.D. 1990-Jan-27 00:00:00.0000, -2.875722595169691E+09, -3.272415923515095E+09, -2.047688459689627E+09,
2447919.500000000, A.D. 1990-Jan-28 00:00:00.0000, -2.875260807691928E+09, -3.272602274687142E+09, -2.047899183194515E+09,
2447920.500000000, A.D. 1990-Jan-29 00:00:00.0000, -2.874798994168923E+09, -3.272788598443489E+09, -2.048109888498791E+09,
2447921.500000000, A.D. 1990-Jan-30 00:00:00.0000, -2.874337154597305E+09, -3.272974894772997E+09, -2.048320575599807E+09,
2447922.500000000, A.D. 1990-Jan-31 00:00:00.0000, -2.873875288973866E+09, -3.273161163664565E+09, -2.048531244494919E+09,
2447923.500000000, A.D. 1990-Feb-01 00:00:00.0000, -2.873413397295558E+09, -3.273347405107112E+09, -2.048741895181493E+09,
2447924.500000000, A.D. 1990-Feb-02 00:00:00.0000, -2.872951479559487E+09, -3.273533619089568E+09, -2.048952527656894E+09,
2447925.500000000, A.D. 1990-Feb-03 00:00:00.0000, -2.872489535762911E+09, -3.273719805600861E+09, -2.049163141918495E+09,
2447926.500000000, A.D. 1990-Feb-04 00:00:00.0000, -2.872027565903238E+09, -3.273905964629908E+09, -2.049373737963671E+09,
2447927.500000000, A.D. 1990-Feb-05 00:00:00.0000, -2.871565569978030E+09, -3.274092096165609E+09, -2.049584315789798E+09,
2447928.500000000, A.D. 1990-Feb-06 00:00:00.0000, -2.871103547985004E+09, -3.274278200196840E+09, -2.049794875394257E+09,
2447929.500000000, A.D. 1990-Feb-07 00:00:00.0000, -2.870641499922030E+09, -3.274464276712446E+09, -2.050005416774425E+09,
2447930.500000000, A.D. 1990-Feb-08 00:00:00.0000, -2.870179425787141E+09, -3.274650325701238E+09, -2.050215939927680E+09,
2447931.500000000, A.D. 1990-Feb-09 00:00:00.0000, -2.869717325578534E+09, -3.274836347151988E+09, -2.050426444851401E+09,
2447932.500000000, A.D. 1990-Feb-10 00:00:00.0000, -2.869255199294575E+09, -3.275022341053432E+09, -2.050636931542962E+09,
2447933.500000000, A.D. 1990-Feb-11 00:00:00.0000, -2.868793046933803E+09, -3.275208307394261E+09, -2.050847399999732E+09,
2447934.500000000, A.D. 1990-Feb-12 00:00:00.0000, -2.868330868494935E+09, -3.275394246163129E+09, -2.051057850219086E+09,
2447935.500000000, A.D. 1990-Feb-13 00:00:00.0000, -2.867868663976870E+09, -3.275580157348646E+09, -2.051268282198382E+09,
