number,name,full_name,type,diameter_km
0,,1996TS66,CUB,163.0
0,,1998WW31,CUB,170.3
0,,1999OJ4,CUB,103.95
0,,2000CF105,CUB,78.3
0,,2000GM137,CEN,8.8
0,,2000QL251,1:2,206.2
0,,2001KA77,CUB,472.0
0,,2001KD77,PLU,232.3
0,,2001QC298,TNO,303.0
0,,2001QD298,CUB,233.0
0,,2001QR322,NL4,156.0
0,,2001QS322,CUB,193.0
0,,2001QW322,CUB,166.25
0,,2001RZ143,CUB,150.0
0,,2001XR254,CUB,218.89999999999998
0,,2002GH32,TNO,230.0
0,,2002XV93,PLU,549.2
0,,2003QR91,CUB,278.5
0,,2003QX111,PLU,358.5
0,,2003QY90,CUB,113.8
0,,2003TJ58,CUB,82.80000000000001
0,,2003UN284,CUB,149.0
0,,2003UT292,PLU,185.6
0,,2003WU188,CUB,220.0
0,,2004PB108,TNO,275.54999999999995
0,,2004QQ26,CEN,79.0
0,,2005EB299,CEN,101.0
0,,2005EO304,CUB,171.3
0,,2005TV189,PLU,28.0
0,,2006BR284,CUB,114.7
0,,2006CH69,CUB,129.1
0,,2007VH305,CEN,23.8
0,,2008HY21,CEN,24.0
0,,2010BK118,CEN,49.2
0,,2010BL4,CEN,15.7
0,,2010ES65,CEN,26.9
0,,2010FH92,CEN,28.1
0,,2010GW147,CEN,15.9
0,,2010TH,CEN,69.9
0,,2010WG9,CEN,112.7
0,,2011MM4,CEN,63.7
0,,2012DR30,CEN,188.0
0,,2013AZ60,CEN,62.3
0,,2014UZ224,SDO,635.0
10199,Chariklo,1997CU26,CEN,242.0
10370,Hylonome,1995DW2,CEN,77.0
119315,,2001SQ73,CEN,89.5
119951,,2002KX14,TNO,440.0
119976,,2002VR130,CEN,24.7
119979,,2002WC19,1:2,444.0
120061,,2003CO1,CEN,80.5
120132,,2003FY128,TNO,460.0
120181,,2003UR292,TNO,120.0
120216,,2004EW95,PLU,291.1
120347,Salacia,2004SB60,TNO,911.5
120348,,2004TY364,TNO,438.5
123509,,2000WK183,CUB,146.3
126154,,2001YH140,3:5,347.5
127546,,2002XU93,CEN,167.0
134340,Pluto,134340Pluto,PLU,2361.0
134860,,2000OJ67,CUB,174.85000000000002
135182,,2001QT322,TNO,160.0
136108,Haumea,2003EL61,HAU,1362.0
136199,Eris,2003UB313,SDO,2441.5
136204,,2003WL7,CEN,105.0
136472,Makemake,2005FY9,TNO,1465.6
138537,,2000OK67,CUB,160.0
144897,,2004UX10,TNO,398.1
145452,,2005RN43,TNO,679.0
145480,,2005TB190,SDO,464.0
145486,,2005UJ438,CEN,20.8
148780,Altjira,2001UQ18,CUB,238.8
148975,,2001XA255,CEN,37.7
15789,,1993SC,PLU,398.0
15820,,1994TB,PLU,91.0
15874,,1996TL66,SDO,632.0
15875,,1996TP66,PLU,160.0
174567,Varda,2003MW12,TNO,601.75
175113,,2004PF115,TNO,468.2
182934,,2002GJ32,TNO,320.0
19308,,1996TO66,HAU,897.0
19521,Chaos,1998WH24,CUB,742.0
20000,Varuna,2000WR106,TNO,696.0
202421,,2005UQ513,TNO,498.0
2060,Chiron,1977UB,CEN,180.4
208996,,2003AZ84,PLU,686.0
225088,,2007OR10,3:10,1280.0
229762,,2007UK126,SDO,624.0
230965,,2004XA192,TNO,339.0
24835,,1995SM55,HAU,702.5
248835,,2006SX368,CEN,76.5
250112,,2002KY14,CEN,42.95
26181,,1996GQ21,SDO,262.0
26308,,1998SM165,1:2,262.1
26375,,1999DE9,2:5,452.5
275809,,2001QY297,CUB,222.0
281371,,2008FC76,CEN,63.0
28978,Ixion,2001KX76,PLU,617.0
29981,,1999TD10,CEN,96.5
303775,,2005QU182,SDO,416.0
307251,,2002KW14,CUB,319.0
307261,,2002MS4,TNO,730.0
307463,,2002VU130,PLU,252.9
309139,,2006XQ51,CEN,39.1
309239,,2007RW10,CEN,250.0
309737,,2008SJ236,CEN,17.7
310071,,2010KR59,CEN,110.1
31824,Elatus,1999UG5,CEN,47.4
