A01a   Altenhoff, W. J., K. M. Menten, and F. Bertoldi, 2001, Size determination of the Centaur Chariklo from millimeter-wavelength bolometer observations, Astron. & Astrophys., 366:L9-L12.                                                                                                                                                                                    
A04a   Altenhoff, W. J., F. Bertoldi, and K. M. Menten, 2004, Size estimates of some optically bright KBOs, Astron. & Astrophys., 415:771-775.                                                                                                                                                                                                                                   
A14a   Alvarez-Candal, A., et al., 2014, Stellar occultation by (119951) 2002 KX14 on April 26, 2012, Astron. & Astrophys., 571:A48.                                                                                                                                                                                                                                             
A87a   Aumann, H. H., and R. G. Walker, 1987, IRAS observations of the Pluto-Charon system, Astron. J., 94:1088-1091.                                                                                                                                                                                                                                                            
A94a   Albrecht, R., et al., 1994, High-resolution imaging of the Pluto-Charon system with the Faint Object Camera of the Hubble Space Telescope, Astrophys. J. Let., 435:L75-L78.                                                                                                                                                                                               
A95a   Altenhoff, W. J., and P. Stumpff, 1995, Size estimate of "asteroid" 2060 Chiron from 250 GHz measurements, Astron. & Astrophys., 293:L41-L42.                                                                                                                                                                                                                             
A96a   Agner, M. A., and J. L. Elliot, 1996, Inversion of KAO stellar occultation data for Pluto, BAAS, 28:1079.                                                                                                                                                                                                                                                                 
B04a   Brown, M. E., and C. A. Trujillo, 2004, Direct measurement of the size of the large Kuiper belt object (50000) Quaoar, Astron. J., 127:2413-2417.                                                                                                                                                                                                                         
B06a   Bertoldi, F., W. Altenhoff, A. Weiss, K. M. Menten, and C. Thum, 2006, The trans-neptunian object UB313 is larger than Pluto, Nature, 439:563-564.                                                                                                                                                                                                                        
B06b   Brown, M. E., E. L. Schaller, H. G. Roe, D. L. Rabinowitz, and C. A. Trujillo, 2006, Direct measurement of the size of 2003 UB313 from the Hubble Space Telescope, Astrophys. J., 643:L61-L63.                                                                                                                                                                            
B07a   Brown, M. E., and E. L. Schaller, 2007, The mass of dwarf planet Eris, Science, 316:1585.                                                                                                                                                                                                                                                                                 
B09a   Brucker, M. J., W. M. Grundy, J. A. Stansberry, J. R. Spencer, S. S. Sheppard, E. I. Chiang, and M. W. Buie, 2009, High albedos of low inclination classical Kuiper belt objects, Icarus, 201:284-294.                                                                                                                                                                    
B10a   Benecchi, S. D., K. S. Noll, W. M. Grundy, and H. F. Levison, 2010, (47171) 1999 TC36, a transneptunian triple, Icarus, 207:978-991.                                                                                                                                                                                                                                      
B10b   Brown, M. E., D. Ragozzine, J. Stansberry, and W. C. Fraser, 2010, The size, density, and formation of the Orcus-Vanth system in the Kuiper belt, Astron. J., 139:2700-2705.                                                                                                                                                                                              
B11a   Braga-Ribas, F., et al., 2011, Stellar occultations by TNOs:  The January 08, 2011 by (208996) 2003 AZ84 and the May 04, 2011 by (50000) Quaoar, EPSC, 6:1060.                                                                                                                                                                                                            
B12a   Braga-Ribas, F., et al., 2012, Stellar occultations by large TNOs on 2012:  The February 3rd by (208996) 2003 AZ84, and the February 17th by (50000) Quaoar, DPS meeting, 44:402.01.                                                                                                                                                                                      
B13a   Brown, M. E., 2013, On the size, shape, and density of dwarf planet Makemake, Astrophys. J. Lett., 767:L7.                                                                                                                                                                                                                                                                
B13b   Bauer, J. M., et al., 2013, Centaurs and scattered disk objects in the thermal infrared: Analysis of WISE/NEOWISE observations, Astrophys. J., 773:22.                                                                                                                                                                                                                    
B13c   Braga-Ribas, F., et al., 2013, The size, shape, albedo, density, and atmospheric limit of transneptunian object (50000) Quaoar from multi-chord stellar occultations, Astrophys. J., 773:26.                                                                                                                                                                              
B13d   Brown, M. E., 2013, The density of mid-sized Kuiper belt object 2002 UX25 and the formation of the dwarf planets, Astrophys. J. Lett., 778:L34.                                                                                                                                                                                                                           
B14a   Braga-Ribas, F., R. Vieira-Martius, M. Assafin, J. I. B. Camargo, B. Sicardy, and J. L. Ortiz, 2014, Stellar occultations by transneptunian and Centaurs objects:  Results from more than 10 observed events, Revista Mexicana de Astronomia y Astrofisica, 44:3.                                                                                                         
B14b   Braga-Ribas, F., et al., 2014, A ring system detected around the Centaur (10199) Chariklo, Nature, 508:72-75.                                                                                                                                                                                                                                                             
B15a   Brozovic, M., M. R. Showalter, R. A. Jacobson, and M. W. Buie, 2015, The orbits and masses of satellites of Pluto, Icarus, 246:317-329.                                                                                                                                                                                                                                   
B15b   Benedetti-Rossi, G., et al., 2015, The November 14th, 2014 stellar occultation by the TNO 2007 UK126, EPSC 2015-365.                                                                                                                                                                                                                                                      
B17a   Brown, M. E., and B. J. Butler, 2017, The density of mid-sized Kuiper belt objects from ALMA thermal observations, Astron. J., 154(1):19.                                                                                                                                                                                                                                 
B17b   Buratti, B. J., et al., 2017, Global albedos of Pluto and Charon from LORRI New Horizons observations, Icarus, 287:207-217.                                                                                                                                                                                                                                               
B18a   Brown, M. E., and B. J. Butler, 2018, Medium-sized satellites of large Kuiper belt objects, submitted to Astronomical Journal; arXiv, 1801.07221.                                                                                                                                                                                                                         
B93a   Buie, M. W., et al., 1993, (2060) Chiron, IAUC 5898.                                                                                                                                                                                                                                                                                                                      
B96a   Bus, S. J., et al., 1996, Stellar occultation by 2060 Chiron, Icarus, 123:478-490.                                                                                                                                                                                                                                                                                        
B97a   Buie, M. W., D. J. Tholen, and L. H. Wasserman, 1997, Separate lightcurves of Pluto and Charon, Icarus, 125:233-244.                                                                                                                                                                                                                                                      
C05a   Cruikshank, D. P., J. A. Stansberry, J. P. Emery, Y. R. Fernandez, M. W. Werner, D. E. Trilling, and G. H. Rieke, 2005, The high-albedo Kuiper belt object (55565) 2002 AW197, Astrophys. J., 624:L53-L56.                                                                                                                                                                
C06a   Cruikshank, D. P., M. A. Barucci, J. P. Emery, Y. R. Fernandez, W. M. Grundy, K. S. Noll, and J. A. Stansberry, 2006, Physical properties of trans-Neptunian objects, in Protostars and Planets V, ed. by B. Reipurth, D. Jewitt, and K. Keil, Univ. of Arizona Press (Tucson, AZ), pp. 879-893.                                                                          
C11a   Carry, B., et al., 2011, Integral-field spectroscopy of (90482) Orcus-Vanth, Astron. & Astrophys., 534:A115.                                                                                                                                                                                                                                                              
C94a   Campins, H., C. M. Telesco, D. J. Osip, G. H. Rieke, M. J. Rieke, and B. Schulz, 1994, The color temperature of (2060) Chiron:  A warm and small nucleus, Astron. J., 108:2318-2322.                                                                                                                                                                                      
D08a   Dotto, E., D. Perna, M. A. Barucci, A. Rossi, C. de Bergh, A. Doressoundiram, and S. Fornasier, 2008, Rotational properties of Centaurs and trans-Neptunian objects:  Lightcurves and densities, Astron. & Astrophys., 490:829-833.                                                                                                                                       
D13a   Duffard, R., et al., 2013, TNOs are cool!:  A survey of the transneptunian region. XI. A Herschel-PACS view of 16 Centaurs, Astron. & Astrophys., 564:A92.                                                                                                                                                                                                                
D14a   Duffard, R., et al., 2014, Photometric and spectroscopic evidence for a dense ring system around Centaur Chariklo, Astron. & Astrophys., 568:A79.                                                                                                                                                                                                                         
D14b   Davis, A. B., et al., 2014, Observation and analysis of a single-chord stellar occultation by Kuiper belt object (50000) Quaoar, BAAS, 247.08.                                                                                                                                                                                                                            
D17a   Dias-Oliveira, A., et al., 2017, Study of the plutino object (208996) 2003 AZ84 from stellar occultations: size, shape and topographic features, Astron. J., 154(1):22.                                                                                                                                                                                                   
D86a   Dunbar, R. S., and E. F. Tedesco, 1986, Modeling Pluto-Charon mutual eclipse events. I. First-order models, Astron. J., 92:1201-1209.                                                                                                                                                                                                                                     
D93a   Davies, J., J. Spencer, M. Sykes, D. Tholen, and S. Green, 1993, (5145) Pholus, IAUC 5698.                                                                                                                                                                                                                                                                                
