JDTDB,Calendar Date (TDB),X,Y,Z,
2451018.550740741, A.D. 1998-Jul-24 01:13:04.0000,  4.226406009659328E+07,  3.825947706715367E+08, -1.225525264900730E+08,
2451019.550740741, A.D. 1998-Jul-25 01:13:04.0000,  4.058463789661639E+07,  3.826901891688976E+08, -1.226809973713323E+08,
2451020.550740741, A.D. 1998-Jul-26 01:13:04.0000,  3.890460474563657E+07,  3.827798539916555E+08, -1.228076237050233E+08,
2451021.550740741, A.D. 1998-Jul-27 01:13:04.0000,  3.722398571889491E+07,  3.828637619988301E+08, -1.229324030135126E+08,
2451022.550740741, A.D. 1998-Jul-28 01:13:04.0000,  3.554280592020407E+07,  3.829419101760477E+08, -1.230553328588696E+08,
2451023.550740741, A.D. 1998-Jul-29 01:13:04.0000,  3.386109048104235E+07,  3.830142956357852E+08, -1.231764108429970E+08,
2451024.550740741, A.D. 1998-Jul-30 01:13:04.0000,  3.217886455964472E+07,  3.830809156176041E+08, -1.232956346077590E+08,
2451025.550740741, A.D. 1998-Jul-31 01:13:04.0000,  3.049615334009083E+07,  3.831417674883777E+08, -1.234130018351070E+08,
2451026.550740741, A.D. 1998-Aug-01 01:13:04.0000,  2.881298203139002E+07,  3.831968487425092E+08, -1.235285102472033E+08,
2451027.550740741, A.D. 1998-Aug-02 01:13:04.0000,  2.712937586656346E+07,  3.832461570021415E+08, -1.236421576065428E+08,
2451028.550740741, A.D. 1998-Aug-03 01:13:04.0000,  2.544536010172370E+07,  3.832896900173584E+08, -1.237539417160714E+08,
2451029.550740741, A.D. 1998-Aug-04 01:13:04.0000,  2.376096001515145E+07,  3.833274456663771E+08, -1.238638604193033E+08,
2451030.550740741, A.D. 1998-Aug-05 01:13:04.0000,  2.207620090636999E+07,  3.833594219557331E+08, -1.239719116004355E+08,
2451031.550740741, A.D. 1998-Aug-06 01:13:04.0000,  2.039110809521720E+07,  3.833856170204533E+08, -1.240780931844597E+08,
2451032.550740741, A.D. 1998-Aug-07 01:13:04.0000,  1.870570692091549E+07,  3.834060291242239E+08, -1.241824031372724E+08,
2451033.550740741, A.D. 1998-Aug-08 01:13:04.0000,  1.702002274113972E+07,  3.834206566595453E+08, -1.242848394657823E+08,
2451034.550740741, A.D. 1998-Aug-09 01:13:04.0000,  1.533408093108342E+07,  3.834294981478805E+08, -1.243854002180158E+08,
2451035.550740741, A.D. 1998-Aug-10 01:13:04.0000,  1.364790688252358E+07,  3.834325522397923E+08, -1.244840834832201E+08,
2451036.550740741, A.D. 1998-Aug-11 01:13:04.0000,  1.196152600288421E+07,  3.834298177150716E+08, -1.245808873919636E+08,
2451037.550740741, A.D. 1998-Aug-12 01:13:04.0000,  1.027496371429924E+07,  3.834212934828551E+08, -1.246758101162349E+08,
2451038.550740741, A.D. 1998-Aug-13 01:13:04.0000,  8.588245452675102E+06,  3.834069785817330E+08, -1.247688498695387E+08,
2451039.550740741, A.D. 1998-Aug-14 01:13:04.0000,  6.901396666753439E+06,  3.833868721798479E+08, -1.248600049069907E+08,
2451040.550740741, A.D. 1998-Aug-15 01:13:04.0000,  5.214442817174761E+06,  3.833609735749810E+08, -1.249492735254086E+08,
2451041.550740741, A.D. 1998-Aug-16 01:13:04.0000,  3.527409375543678E+06,  3.833292821946297E+08, -1.250366540634031E+08,
2451042.550740741, A.D. 1998-Aug-17 01:13:04.0000,  1.840321823496421E+06,  3.832917975960745E+08, -1.251221449014655E+08,
2451043.550740741, A.D. 1998-Aug-18 01:13:04.0000,  1.532056517721666E+05,  3.832485194664353E+08, -1.252057444620535E+08,
2451044.550740741, A.D. 1998-Aug-19 01:13:04.0000, -1.533913640711537E+06,  3.831994476227193E+08, -1.252874512096759E+08,
2451045.550740741, A.D. 1998-Aug-20 01:13:04.0000, -3.221010547777371E+06,  3.831445820118585E+08, -1.253672636509742E+08,
2451046.550740741, A.D. 1998-Aug-21 01:13:04.0000, -4.908059556899790E+06,  3.830839227107403E+08, -1.254451803348034E+08,
2451047.550740741, A.D. 1998-Aug-22 01:13:04.0000, -6.595035150108307E+06,  3.830174699262314E+08, -1.255211998523104E+08,
2451048.550740741, A.D. 1998-Aug-23 01:13:04.0000, -8.281911804881364E+06,  3.829452239951968E+08, -1.255953208370106E+08,
2451049.550740741, A.D. 1998-Aug-24 01:13:04.0000, -9.968663995029749E+06,  3.828671853845185E+08, -1.256675419648624E+08,
2451050.550740741, A.D. 1998-Aug-25 01:13:04.0000, -1.165526619156929E+07,  3.827833546911128E+08, -1.257378619543391E+08,
2451051.550740741, A.D. 1998-Aug-26 01:13:04.0000, -1.334169286358279E+07,  3.826937326419557E+08, -1.258062795664989E+08,
2451052.550740741, A.D. 1998-Aug-27 01:13:04.0000, -1.502791847907329E+07,  3.825983200941159E+08, -1.258727936050507E+08,
2451053.550740741, A.D. 1998-Aug-28 01:13:04.0000, -1.671391750581106E+07,  3.824971180348018E+08, -1.259374029164170E+08,
2451054.550740741, A.D. 1998-Aug-29 01:13:04.0000, -1.839966441217902E+07,  3.823901275814285E+08, -1.260001063897917E+08,
2451055.550740741, A.D. 1998-Aug-30 01:13:04.0000, -2.008513366802339E+07,  3.822773499817031E+08, -1.260609029571925E+08,
2451056.550740741, A.D. 1998-Aug-31 01:13:04.0000, -2.177029974551665E+07,  3.821587866137362E+08, -1.261197915935071E+08,
2451057.550740741, A.D. 1998-Sep-01 01:13:04.0000, -2.345513712004499E+07,  3.820344389861730E+08, -1.261767713165324E+08,
2451058.550740741, A.D. 1998-Sep-02 01:13:04.0000, -2.513962027112875E+07,  3.819043087383423E+08, -1.262318411870051E+08,
2451059.550740741, A.D. 1998-Sep-03 01:13:04.0000, -2.682372368338407E+07,  3.817683976404164E+08, -1.262850003086258E+08,
2451060.550740741, A.D. 1998-Sep-04 01:13:04.0000, -2.850742184753646E+07,  3.816267075935640E+08, -1.263362478280740E+08,
2451061.550740741, A.D. 1998-Sep-05 01:13:04.0000, -3.019068926148599E+07,  3.814792406300868E+08, -1.263855829350171E+08,
2451062.550740741, A.D. 1998-Sep-06 01:13:04.0000, -3.187350043142182E+07,  3.813259989135221E+08, -1.264330048621149E+08,
2451063.550740741, A.D. 1998-Sep-07 01:13:04.0000, -3.355582987297920E+07,  3.811669847386937E+08, -1.264785128850200E+08,
