JDTDB,Calendar Date (TDB),X,Y,Z,
2450206.486377315, A.D. 1996-May-02 23:40:23.0000, -8.908280467253481E+08,  2.819376750519393E+08, -7.630829862165911E+07,
2450207.486377315, A.D. 1996-May-03 23:40:23.0000, -8.911292685617214E+08,  2.809884806644722E+08, -7.645145926200843E+07,
2450208.486377315, A.D. 1996-May-04 23:40:23.0000, -8.914294186294450E+08,  2.800389498155113E+08, -7.659452796663108E+07,
2450209.486377315, A.D. 1996-May-05 23:40:23.0000, -8.917284966193522E+08,  2.790890836698163E+08, -7.673750456671956E+07,
2450210.486377315, A.D. 1996-May-06 23:40:23.0000, -8.920265022236083E+08,  2.781388833921306E+08, -7.688038889358349E+07,
2450211.486377315, A.D. 1996-May-07 23:40:23.0000, -8.923234351356981E+08,  2.771883501471915E+08, -7.702318077864936E+07,
2450212.486377315, A.D. 1996-May-08 23:40:23.0000, -8.926192950504169E+08,  2.762374850997410E+08, -7.716588005346021E+07,
2450213.486377315, A.D. 1996-May-09 23:40:23.0000, -8.929140816638639E+08,  2.752862894145342E+08, -7.730848654967532E+07,
2450214.486377315, A.D. 1996-May-10 23:40:23.0000, -8.932077946734353E+08,  2.743347642563469E+08, -7.745100009906954E+07,
2450215.486377315, A.D. 1996-May-11 23:40:23.0000, -8.935004337778192E+08,  2.733829107899824E+08, -7.759342053353286E+07,
2450216.486377315, A.D. 1996-May-12 23:40:23.0000, -8.937919986769927E+08,  2.724307301802770E+08, -7.773574768507007E+07,
2450217.486377315, A.D. 1996-May-13 23:40:23.0000, -8.940824890722177E+08,  2.714782235921044E+08, -7.787798138580005E+07,
2450218.486377315, A.D. 1996-May-14 23:40:23.0000, -8.943719046660399E+08,  2.705253921903795E+08, -7.802012146795550E+07,
2450219.486377315, A.D. 1996-May-15 23:40:23.0000, -8.946602451622851E+08,  2.695722371400611E+08, -7.816216776388247E+07,
2450220.486377315, A.D. 1996-May-16 23:40:23.0000, -8.949475102660583E+08,  2.686187596061539E+08, -7.830412010603994E+07,
2450221.486377315, A.D. 1996-May-17 23:40:23.0000, -8.952336996837431E+08,  2.676649607537101E+08, -7.844597832699941E+07,
2450222.486377315, A.D. 1996-May-18 23:40:23.0000, -8.955188131229991E+08,  2.667108417478297E+08, -7.858774225944474E+07,
2450223.486377315, A.D. 1996-May-19 23:40:23.0000, -8.958028502927626E+08,  2.657564037536609E+08, -7.872941173617174E+07,
2450224.486377315, A.D. 1996-May-20 23:40:23.0000, -8.960858109032445E+08,  2.648016479363993E+08, -7.887098659008789E+07,
2450225.486377315, A.D. 1996-May-21 23:40:23.0000, -8.963676946659306E+08,  2.638465754612876E+08, -7.901246665421233E+07,
2450226.486377315, A.D. 1996-May-22 23:40:23.0000, -8.966485012935807E+08,  2.628911874936131E+08, -7.915385176167530E+07,
2450227.486377315, A.D. 1996-May-23 23:40:23.0000, -8.969282305002276E+08,  2.619354851987065E+08, -7.929514174571855E+07,
2450228.486377315, A.D. 1996-May-24 23:40:23.0000, -8.972068820011785E+08,  2.609794697419395E+08, -7.943633643969470E+07,
2450229.486377315, A.D. 1996-May-25 23:40:23.0000, -8.974844555130126E+08,  2.600231422887217E+08, -7.957743567706755E+07,
2450230.486377315, A.D. 1996-May-26 23:40:23.0000, -8.977609507535824E+08,  2.590665040044970E+08, -7.971843929141177E+07,
2450231.486377315, A.D. 1996-May-27 23:40:23.0000, -8.980363674420127E+08,  2.581095560547407E+08, -7.985934711641318E+07,
2450232.486377315, A.D. 1996-May-28 23:40:23.0000, -8.983107052987008E+08,  2.571522996049544E+08, -8.000015898586851E+07,
2450233.486377315, A.D. 1996-May-29 23:40:23.0000, -8.985839640453168E+08,  2.561947358206617E+08, -8.014087473368588E+07,
2450234.486377315, A.D. 1996-May-30 23:40:23.0000, -8.988561434048032E+08,  2.552368658674027E+08, -8.028149419388443E+07,
2450235.486377315, A.D. 1996-May-31 23:40:23.0000, -8.991272431013746E+08,  2.542786909107284E+08, -8.042201720059504E+07,
2450236.486377315, A.D. 1996-Jun-01 23:40:23.0000, -8.993972628605188E+08,  2.533202121161936E+08, -8.056244358806017E+07,
