JDTDB,Calendar Date (TDB),X,Y,Z,
2447892.500000000, A.D. 1990-Jan-01 00:00:00.0000, -2.162035754888185E+09, -1.954089723029443E+08, -7.032078729188709E+08,
2447893.500000000, A.D. 1990-Jan-02 00:00:00.0000, -2.161783915230723E+09, -1.960382503506102E+08, -7.032241956918660E+08,
2447894.500000000, A.D. 1990-Jan-03 00:00:00.0000, -2.161531894967174E+09, -1.966675138650465E+08, -7.032404597645646E+08,
2447895.500000000, A.D. 1990-Jan-04 00:00:00.0000, -2.161279694057733E+09, -1.972967627922223E+08, -7.032566651230816E+08,
2447896.500000000, A.D. 1990-Jan-05 00:00:00.0000, -2.161027312462104E+09, -1.979259970767168E+08, -7.032728117534823E+08,
2447897.500000000, A.D. 1990-Jan-06 00:00:00.0000, -2.160774750139737E+09, -1.985552166616355E+08, -7.032888996417557E+08,
2447898.500000000, A.D. 1990-Jan-07 00:00:00.0000, -2.160522007050068E+09, -1.991844214885855E+08, -7.033049287737875E+08,
2447899.500000000, A.D. 1990-Jan-08 00:00:00.0000, -2.160269083152773E+09, -1.998136114977122E+08, -7.033208991353431E+08,
2447900.500000000, A.D. 1990-Jan-09 00:00:00.0000, -2.160015978407986E+09, -2.004427866277902E+08, -7.033368107120532E+08,
2447901.500000000, A.D. 1990-Jan-10 00:00:00.0000, -2.159762692776488E+09, -2.010719468163605E+08, -7.033526634894086E+08,
2447902.500000000, A.D. 1990-Jan-11 00:00:00.0000, -2.159509226219856E+09, -2.017010919998973E+08, -7.033684574527608E+08,
2447903.500000000, A.D. 1990-Jan-12 00:00:00.0000, -2.159255578700555E+09, -2.023302221139902E+08, -7.033841925873271E+08,
2447904.500000000, A.D. 1990-Jan-13 00:00:00.0000, -2.159001750181992E+09, -2.029593370935290E+08, -7.033998688782024E+08,
2447905.500000000, A.D. 1990-Jan-14 00:00:00.0000, -2.158747740628525E+09, -2.035884368728793E+08, -7.034154863103721E+08,
2447906.500000000, A.D. 1990-Jan-15 00:00:00.0000, -2.158493550005441E+09, -2.042175213860386E+08, -7.034310448687273E+08,
2447907.500000000, A.D. 1990-Jan-16 00:00:00.0000, -2.158239178278907E+09, -2.048465905667706E+08, -7.034465445380797E+08,
2447908.500000000, A.D. 1990-Jan-17 00:00:00.0000, -2.157984625415905E+09, -2.054756443487153E+08, -7.034619853031780E+08,
2447909.500000000, A.D. 1990-Jan-18 00:00:00.0000, -2.157729891384162E+09, -2.061046826654736E+08, -7.034773671487195E+08,
2447910.500000000, A.D. 1990-Jan-19 00:00:00.0000, -2.157474976152069E+09, -2.067337054506700E+08, -7.034926900593647E+08,
2447911.500000000, A.D. 1990-Jan-20 00:00:00.0000, -2.157219879688604E+09, -2.073627126379955E+08, -7.035079540197458E+08,
