name,name_plain,horizons,mean_radius_km,diameter,end_time,begin_time,class,number
Earth_moon,luna,301,1737.4,3474.8,2000-01-01-00-00-00,1998-12-31-19-12-01,Earth,1
Phobos,phobos,401,11.1,22.2,2000-01-01-00-00-00,1998-02-13-00-00-01,Mars,1
Deimos,deimos,402,,,2000-01-01-00-00-00,1998-02-13-00-00-01,Mars,2
Jupiter I (Io),io,501,1821.6,3643.2,2000-01-01-00-00-00,1988-02-22-00-00-08,Jupiter,1
Jupiter II (Europa),europa,502,1560.8,3121.6,2000-01-01-00-00-00,1988-02-22-00-00-08,Jupiter,2
Jupiter III (Ganymede),ganymede,ganymede,2631.2,5262.4,2000-01-01-00-00-00,1988-02-22-00-00-08,Jupiter,3
Jupiter IV (Callisto),callisto,callisto,2410.3,4820.6,2000-01-01-00-00-00,1988-02-22-00-00-08,Jupiter,4
Jupiter V (Amalthea),amalthea,amalthea,83.45,166.9,2000-01-01-00-00-00,1988-02-22-00-00-08,Jupiter,5
Jupiter VI (Himalia),himalia,himalia,85,170,2000-01-01-00-00-00,1988-02-22-00-00-08,Jupiter,6
Jupiter VII (Elara),elara,elara,43,86,2000-01-01-00-00-00,1988-02-22-00-00-08,Jupiter,7
Jupiter VIII (Pasiphae),pasiphae,pasiphae,30,60,2000-01-01-00-00-00,1988-02-22-00-00-08,Jupiter,8
Jupiter IX (Sinope),sinope,sinope,19,38,2000-01-01-00-00-00,1988-02-22-00-00-08,Jupiter,9
Jupiter X (Lysithea),lysithea,lysithea,18,36,2000-01-01-00-00-00,1988-02-22-00-00-08,Jupiter,10
Jupiter XI (Carme),carme,carme,23,46,2000-01-01-00-00-00,1988-02-22-00-00-08,Jupiter,11
Jupiter XII (Ananke),ananke,ananke,14,28,2000-01-01-00-00-00,1988-02-22-00-00-08,Jupiter,12
Jupiter XIII (Leda),leda,leda,10,20,2000-01-01-00-00-00,1988-02-22-00-00-08,Jupiter,13
Jupiter XIV (Thebe),thebe,thebe,49.3,98.6,2000-01-01-00-00-00,1988-02-22-00-00-08,Jupiter,14
Jupiter XV (Adrastea),adrastea,adrastea,8.2,16.4,2000-01-01-00-00-00,1988-02-22-00-00-08,Jupiter,15
Jupiter XVI (Metis),metis,metis,21.5,43,2000-01-01-00-00-00,1988-02-22-00-00-08,Jupiter,16
Jupiter XVII (Callirrhoe),callirrhoe,callirrhoe,4.3,8.6,2000-01-01-00-00-00,1988-02-22-00-00-08,Jupiter,17
Jupiter XVIII (Themisto),themisto,themisto,4,8,2000-01-01-00-00-00,1988-02-22-00-00-08,Jupiter,18
Jupiter XIX (Megaclite),megaclite,megaclite,2.7,5.4,2000-01-01-00-00-00,1988-02-22-00-00-08,Jupiter,19
Jupiter XX (Taygete),taygete,taygete,2.5,5,2000-01-01-00-00-00,1988-02-22-00-00-08,Jupiter,20
Jupiter XXI (Chaldene),chaldene,chaldene,1.9,3.8,2000-01-01-00-00-00,1988-02-22-00-00-08,Jupiter,21
Jupiter XXII (Harpalyke),harpalyke,harpalyke,2.2,4.4,2000-01-01-00-00-00,1988-02-22-00-00-08,Jupiter,22
Jupiter XXIII (Kalyke),kalyke,kalyke,2.6,5.2,2000-01-01-00-00-00,1988-02-22-00-00-08,Jupiter,23
Jupiter XXIV (Iocaste),iocaste,iocaste,2.6,5.2,2000-01-01-00-00-00,1988-02-22-00-00-08,Jupiter,24
Jupiter XXV (Erinome),erinome,erinome,1.6,3.2,2000-01-01-00-00-00,1988-02-22-00-00-08,Jupiter,25
Jupiter XXVI (Isonoe),isonoe,isonoe,1.9,3.8,2000-01-01-00-00-00,1988-02-22-00-00-08,Jupiter,26
Jupiter XXVII (Praxidike),praxidike,praxidike,3.4,6.8,2000-01-01-00-00-00,1988-02-22-00-00-08,Jupiter,27
Jupiter XXVIII (Autonoe),autonoe,autonoe,2,4,2000-01-01-00-00-00,1988-02-22-00-00-08,Jupiter,28
Jupiter XXIX (Thyone),thyone,thyone,2,4,2000-01-01-00-00-00,1988-02-22-00-00-08,Jupiter,29
Jupiter XXX (Hermippe),hermippe,hermippe,2,4,2000-01-01-00-00-00,1988-02-22-00-00-08,Jupiter,30
Jupiter XXXI (Aitne),aitne,aitne,1.5,3,2000-01-01-00-00-00,1988-02-22-00-00-08,Jupiter,31
Jupiter XXXII (Eurydome),eurydome,eurydome,1.5,3,2000-01-01-00-00-00,1988-02-22-00-00-08,Jupiter,32
Jupiter XXXIII (Euanthe),euanthe,euanthe,1.5,3,2000-01-01-00-00-00,1988-02-22-00-00-08,Jupiter,33
Jupiter XXXIV (Euporie),euporie,euporie,1,2,2000-01-01-00-00-00,1988-02-22-00-00-08,Jupiter,34
Jupiter XXXV (Orthosie),orthosie,orthosie,1,2,2000-01-01-00-00-00,1988-02-22-00-00-08,Jupiter,35
Jupiter XXXVI (Sponde),sponde,sponde,1,2,2000-01-01-00-00-00,1988-02-22-00-00-08,Jupiter,36
Jupiter XXXVII (Kale),kale,kale,1,2,2000-01-01-00-00-00,1988-02-22-00-00-08,Jupiter,37
Jupiter XXXVIII (Pasithee),pasithee,pasithee,1,2,2000-01-01-00-00-00,1988-02-22-00-00-08,Jupiter,38
Jupiter XXXIX (Hegemone),hegemone,hegemone,1.5,3,2000-01-01-00-00-00,1988-02-22-00-00-08,Jupiter,39
Jupiter XL (Mneme),mneme,mneme,1,2,2000-01-01-00-00-00,1988-02-22-00-00-08,Jupiter,40
Jupiter XLI (Aoede),aoede,aoede,2,4,2000-01-01-00-00-00,1988-02-22-00-00-08,Jupiter,41
Jupiter XLII (Thelxinoe),thelxinoe,thelxinoe,1,2,2000-01-01-00-00-00,1988-02-22-00-00-08,Jupiter,42
Jupiter XLIII (Arche),arche,arche,1.5,3,2000-01-01-00-00-00,1988-02-22-00-00-08,Jupiter,43
Jupiter XLIV (Kallichore),kallichore,kallichore,1,2,2000-01-01-00-00-00,1988-02-22-00-00-08,Jupiter,44
Jupiter XLV (Helike),helike,helike,2,4,2000-01-01-00-00-00,1988-02-22-00-00-08,Jupiter,45
Jupiter XLVI (Carpo),carpo,carpo,1.5,3,2000-01-01-00-00-00,1988-02-22-00-00-08,Jupiter,46
Jupiter XLVII (Eukelade),eukelade,eukelade,2,4,2000-01-01-00-00-00,1988-02-22-00-00-08,Jupiter,47
Jupiter XLVIII (Cyllene),cyllene,cyllene,1,2,2000-01-01-00-00-00,1988-02-22-00-00-08,Jupiter,48
