JDTDB,Calendar Date (TDB),X,Y,Z,
2433282.500000000, A.D. 1950-Jan-01 00:00:00.0000, -4.352171263118853E+09, -1.257872540737156E+09,  1.261947149083363E+08,
2433283.500000000, A.D. 1950-Jan-02 00:00:00.0000, -4.352075111506751E+09, -1.258322151110037E+09,  1.262133292320711E+08,
2433284.500000000, A.D. 1950-Jan-03 00:00:00.0000, -4.351977913488898E+09, -1.258782309320974E+09,  1.262276465603412E+08,
2433285.500000000, A.D. 1950-Jan-04 00:00:00.0000, -4.351876329717757E+09, -1.259251619191741E+09,  1.262368383296557E+08,
2433286.500000000, A.D. 1950-Jan-05 00:00:00.0000, -4.351767486226611E+09, -1.259727729822078E+09,  1.262406375741347E+08,
2433287.500000000, A.D. 1950-Jan-06 00:00:00.0000, -4.351649180090109E+09, -1.260207515764584E+09,  1.262393160067963E+08,
2433288.500000000, A.D. 1950-Jan-07 00:00:00.0000, -4.351520265280703E+09, -1.260687531457736E+09,  1.262336519950819E+08,
2433289.500000000, A.D. 1950-Jan-08 00:00:00.0000, -4.351380797238139E+09, -1.261164344912050E+09,  1.262248921469055E+08,
2433290.500000000, A.D. 1950-Jan-09 00:00:00.0000, -4.351232010790787E+09, -1.261634839165053E+09,  1.262146544961477E+08,
2433291.500000000, A.D. 1950-Jan-10 00:00:00.0000, -4.351076138328692E+09, -1.262096521356566E+09,  1.262047706625372E+08,
2433292.500000000, A.D. 1950-Jan-11 00:00:00.0000, -4.350916062086159E+09, -1.262547819539875E+09,  1.261970144134516E+08,
2433293.500000000, A.D. 1950-Jan-12 00:00:00.0000, -4.350755099298590E+09, -1.262988313358255E+09,  1.261928917625677E+08,
2433294.500000000, A.D. 1950-Jan-13 00:00:00.0000, -4.350596671660997E+09, -1.263418792303271E+09,  1.261934807601908E+08,
2433295.500000000, A.D. 1950-Jan-14 00:00:00.0000, -4.350443986013369E+09, -1.263841145817851E+09,  1.261993505783262E+08,
2433296.500000000, A.D. 1950-Jan-15 00:00:00.0000, -4.350299679462166E+09, -1.264258105408258E+09,  1.262105555904021E+08,
2433297.500000000, A.D. 1950-Jan-16 00:00:00.0000, -4.350165451000027E+09, -1.264672936355648E+09,  1.262266117629782E+08,
2433298.500000000, A.D. 1950-Jan-17 00:00:00.0000, -4.350041848792133E+09, -1.265089112484574E+09,  1.262465007297752E+08,
2433299.500000000, A.D. 1950-Jan-18 00:00:00.0000, -4.349928216940657E+09, -1.265509991484708E+09,  1.262687447147502E+08,
2433300.500000000, A.D. 1950-Jan-19 00:00:00.0000, -4.349822852667441E+09, -1.265938496863056E+09,  1.262915626081795E+08,
2433301.500000000, A.D. 1950-Jan-20 00:00:00.0000, -4.349723225290544E+09, -1.266376729103014E+09,  1.263131313991197E+08,
2433302.500000000, A.D. 1950-Jan-21 00:00:00.0000, -4.349626206723120E+09, -1.266825698913695E+09,  1.263318114730856E+08,
2433303.500000000, A.D. 1950-Jan-22 00:00:00.0000, -4.349528348960744E+09, -1.267285202402183E+09,  1.263463051280105E+08,
2433304.500000000, A.D. 1950-Jan-23 00:00:00.0000, -4.349426204192310E+09, -1.267753872617164E+09,  1.263557544099368E+08,
2433305.500000000, A.D. 1950-Jan-24 00:00:00.0000, -4.349316807505771E+09, -1.268229412475526E+09,  1.263598063800833E+08,
2433306.500000000, A.D. 1950-Jan-25 00:00:00.0000, -4.349197957644773E+09, -1.268708813144999E+09,  1.263586444546753E+08,
2433307.500000000, A.D. 1950-Jan-26 00:00:00.0000, -4.349068561118855E+09, -1.269188670333320E+09,  1.263530427145239E+08,
2433308.500000000, A.D. 1950-Jan-27 00:00:00.0000, -4.348928684394898E+09, -1.269665489274389E+09,  1.263442973329394E+08,
2433309.500000000, A.D. 1950-Jan-28 00:00:00.0000, -4.348779476431407E+09, -1.270136049880135E+09,  1.263340789677638E+08,
2433310.500000000, A.D. 1950-Jan-29 00:00:00.0000, -4.348623041809368E+09, -1.270597790511643E+09,  1.263242039633195E+08,
2433311.500000000, A.D. 1950-Jan-30 00:00:00.0000, -4.348462159025891E+09, -1.271049189340864E+09,  1.263163515138811E+08,
2433312.500000000, A.D. 1950-Jan-31 00:00:00.0000, -4.348300197164848E+09, -1.271489830197304E+09,  1.263120098185625E+08,
2433313.500000000, A.D. 1950-Feb-01 00:00:00.0000, -4.348140680617621E+09, -1.271920476846282E+09,  1.263122902295491E+08,
2433314.500000000, A.D. 1950-Feb-02 00:00:00.0000, -4.347986887756064E+09, -1.272342918753107E+09,  1.263178651118696E+08,
2433315.500000000, A.D. 1950-Feb-03 00:00:00.0000, -4.347841424382670E+09, -1.272759779306354E+09,  1.263288583508513E+08,
2433316.500000000, A.D. 1950-Feb-04 00:00:00.0000, -4.347705932960000E+09, -1.273174321039317E+09,  1.263447668019891E+08,
2433317.500000000, A.D. 1950-Feb-05 00:00:00.0000, -4.347580962977298E+09, -1.273590019734836E+09,  1.263645435422472E+08,
2433318.500000000, A.D. 1950-Feb-06 00:00:00.0000, -4.347465975656224E+09, -1.274010360243687E+09,  1.263866637916683E+08,
2433319.500000000, A.D. 1950-Feb-07 00:00:00.0000, -4.347359411798885E+09, -1.274438290093266E+09,  1.264093945981334E+08,
2433320.500000000, A.D. 1950-Feb-08 00:00:00.0000, -4.347258800710708E+09, -1.274875885832263E+09,  1.264309844101092E+08,
2433321.500000000, A.D. 1950-Feb-09 00:00:00.0000, -4.347160974817993E+09, -1.275324135803471E+09,  1.264498206568159E+08,
2433322.500000000, A.D. 1950-Feb-10 00:00:00.0000, -4.347062376804188E+09, -1.275782868885122E+09,  1.264645588661045E+08,
2433323.500000000, A.D. 1950-Feb-11 00:00:00.0000, -4.346959552566080E+09, -1.276250859517905E+09,  1.264742420702393E+08,
