JDTDB,Calendar Date (TDB),X,Y,Z,
2440797.500266204, A.D. 1970-Jul-30 00:00:23.0000,  9.751839439325873E+08,  9.740057471917273E+08, -6.069078294002646E+07,
2440798.500266204, A.D. 1970-Jul-31 00:00:23.0000,  9.744805751768211E+08,  9.744936455025330E+08, -6.065232282442844E+07,
2440799.500266204, A.D. 1970-Aug-01 00:00:23.0000,  9.737762443498001E+08,  9.749813976207095E+08, -6.061366577888817E+07,
2440800.500266204, A.D. 1970-Aug-02 00:00:23.0000,  9.730709508934779E+08,  9.754690071604755E+08, -6.057481177461994E+07,
2440801.500266204, A.D. 1970-Aug-03 00:00:23.0000,  9.723646942629858E+08,  9.759564777630254E+08, -6.053576078824127E+07,
2440802.500266204, A.D. 1970-Aug-04 00:00:23.0000,  9.716574739269005E+08,  9.764438130967538E+08, -6.049651280186290E+07,
2440803.500266204, A.D. 1970-Aug-05 00:00:23.0000,  9.709492893678478E+08,  9.769310168568504E+08, -6.045706780313361E+07,
2440804.500266204, A.D. 1970-Aug-06 00:00:23.0000,  9.702401400830616E+08,  9.774180927660205E+08, -6.041742578554380E+07,
2440805.500266204, A.D. 1970-Aug-07 00:00:23.0000,  9.695300255840610E+08,  9.779050445753660E+08, -6.037758674847674E+07,
2440806.500266204, A.D. 1970-Aug-08 00:00:23.0000,  9.688189453970501E+08,  9.783918760640254E+08, -6.033755069720018E+07,
2440807.500266204, A.D. 1970-Aug-09 00:00:23.0000,  9.681068990632980E+08,  9.788785910393887E+08, -6.029731764299315E+07,
2440808.500266204, A.D. 1970-Aug-10 00:00:23.0000,  9.673938861395172E+08,  9.793651933373077E+08, -6.025688760327226E+07,
2440809.500266204, A.D. 1970-Aug-11 00:00:23.0000,  9.666799061982423E+08,  9.798516868223081E+08, -6.021626060171878E+07,
2440810.500266204, A.D. 1970-Aug-12 00:00:23.0000,  9.659649588282089E+08,  9.803380753877990E+08, -6.017543666840476E+07,
2440811.500266204, A.D. 1970-Aug-13 00:00:23.0000,  9.652490436347313E+08,  9.808243629562833E+08, -6.013441583991969E+07,
2440812.500266204, A.D. 1970-Aug-14 00:00:23.0000,  9.645321602400802E+08,  9.813105534795676E+08, -6.009319815949756E+07,
2440813.500266204, A.D. 1970-Aug-15 00:00:23.0000,  9.638143082838613E+08,  9.817966509389701E+08, -6.005178367714322E+07,
2440814.500266204, A.D. 1970-Aug-16 00:00:23.0000,  9.630954874233916E+08,  9.822826593455292E+08, -6.001017244975919E+07,
2440815.500266204, A.D. 1970-Aug-17 00:00:23.0000,  9.623756973340782E+08,  9.827685827402124E+08, -5.996836454127222E+07,
2440816.500266204, A.D. 1970-Aug-18 00:00:23.0000,  9.616549377097948E+08,  9.832544251941233E+08, -5.992636002276063E+07,
2440817.500266204, A.D. 1970-Aug-19 00:00:23.0000,  9.609332082632582E+08,  9.837401908087072E+08, -5.988415897258055E+07,
2440818.500266204, A.D. 1970-Aug-20 00:00:23.0000,  9.602105087264069E+08,  9.842258837159605E+08, -5.984176147649306E+07,
2440819.500266204, A.D. 1970-Aug-21 00:00:23.0000,  9.594868388507764E+08,  9.847115080786344E+08, -5.979916762779111E+07,
2440820.500266204, A.D. 1970-Aug-22 00:00:23.0000,  9.587621984078766E+08,  9.851970680904417E+08, -5.975637752742654E+07,
2440821.500266204, A.D. 1970-Aug-23 00:00:23.0000,  9.580365871888903E+08,  9.856825679766726E+08, -5.971339128362429E+07,
2440822.500266204, A.D. 1970-Aug-24 00:00:23.0000,  9.573100050063556E+08,  9.861680119938407E+08, -5.967020901265627E+07,
2440823.500266204, A.D. 1970-Aug-25 00:00:23.0000,  9.565824516949140E+08,  9.866534044296120E+08, -5.962683083939397E+07,
2440824.500266204, A.D. 1970-Aug-26 00:00:23.0000,  9.558539271108093E+08,  9.871387496034858E+08, -5.958325689688069E+07,
2440825.500266204, A.D. 1970-Aug-27 00:00:23.0000,  9.551244311324031E+08,  9.876240518669616E+08, -5.953948732649821E+07,
2440826.500266204, A.D. 1970-Aug-28 00:00:23.0000,  9.543939636606882E+08,  9.881093156037034E+08, -5.949552227813077E+07,
2440827.500266204, A.D. 1970-Aug-29 00:00:23.0000,  9.536625246198038E+08,  9.885945452297050E+08, -5.945136191033041E+07,
2440828.500266204, A.D. 1970-Aug-30 00:00:23.0000,  9.529301139575506E+08,  9.890797451934539E+08, -5.940700639048290E+07,
2440829.500266204, A.D. 1970-Aug-31 00:00:23.0000,  9.521967316459060E+08,  9.895649199760926E+08, -5.936245589497221E+07,
2440830.500266204, A.D. 1970-Sep-01 00:00:23.0000,  9.514623776815386E+08,  9.900500740915794E+08, -5.931771060934740E+07,
2440831.500266204, A.D. 1970-Sep-02 00:00:23.0000,  9.507270520863260E+08,  9.905352120868486E+08, -5.927277072848719E+07,
2440832.500266204, A.D. 1970-Sep-03 00:00:23.0000,  9.499907549078709E+08,  9.910203385419661E+08, -5.922763645676720E+07,
2440833.500266204, A.D. 1970-Sep-04 00:00:23.0000,  9.492534862200201E+08,  9.915054580702869E+08, -5.918230800822514E+07,
2440834.500266204, A.D. 1970-Sep-05 00:00:23.0000,  9.485152461233841E+08,  9.919905753186078E+08, -5.913678560672849E+07,
2440835.500266204, A.D. 1970-Sep-06 00:00:23.0000,  9.477760347458599E+08,  9.924756949673187E+08, -5.909106948614091E+07,
2440836.500266204, A.D. 1970-Sep-07 00:00:23.0000,  9.470358522431545E+08,  9.929608217305528E+08, -5.904515989049000E+07,
2440837.500266204, A.D. 1970-Sep-08 00:00:23.0000,  9.462946987993145E+08,  9.934459603563327E+08, -5.899905707413483E+07,
2440838.500266204, A.D. 1970-Sep-09 00:00:23.0000,  9.455525746272576E+08,  9.939311156267164E+08, -5.895276130193532E+07,
2440839.500266204, A.D. 1970-Sep-10 00:00:23.0000,  9.448094799698360E+08,  9.944162923585320E+08, -5.890627284989083E+07,
2440840.500266204, A.D. 1970-Sep-11 00:00:23.0000,  9.440654151007408E+08,  9.949014954025941E+08, -5.885959200511175E+07,
2440841.500266204, A.D. 1970-Sep-12 00:00:23.0000,  9.433203803242245E+08,  9.953867296434865E+08, -5.881271906545985E+07,
2440842.500266204, A.D. 1970-Sep-13 00:00:23.0000,  9.425743759759301E+08,  9.958720000004185E+08, -5.876565434011596E+07,
2440843.500266204, A.D. 1970-Sep-14 00:00:23.0000,  9.418274024236335E+08,  9.963573114272951E+08, -5.871839814979964E+07,
2440844.500266204, A.D. 1970-Sep-15 00:00:23.0000,  9.410794600679959E+08,  9.968426689127874E+08, -5.867095082698882E+07,
2440845.500266204, A.D. 1970-Sep-16 00:00:23.0000,  9.403305493433291E+08,  9.973280774804137E+08, -5.862331271613944E+07,
2440846.500266204, A.D. 1970-Sep-17 00:00:23.0000,  9.395806707183706E+08,  9.978135421886303E+08, -5.857548417390633E+07,
2440847.500266204, A.D. 1970-Sep-18 00:00:23.0000,  9.388298246970705E+08,  9.982990681309376E+08, -5.852746556936294E+07,
2440848.500266204, A.D. 1970-Sep-19 00:00:23.0000,  9.380780118193866E+08,  9.987846604360050E+08, -5.847925728422022E+07,
2440849.500266204, A.D. 1970-Sep-20 00:00:23.0000,  9.373252326620843E+08,  9.992703242678211E+08, -5.843085971304530E+07,
2440850.500266204, A.D. 1970-Sep-21 00:00:23.0000,  9.365714878395352E+08,  9.997560648258722E+08, -5.838227326347601E+07,
2440851.500266204, A.D. 1970-Sep-22 00:00:23.0000,  9.358167780045093E+08,  1.000241887345347E+09, -5.833349835643333E+07,
2440852.500266204, A.D. 1970-Sep-23 00:00:23.0000,  9.350611038489493E+08,  1.000727797097378E+09, -5.828453542632997E+07,
2440853.500266204, A.D. 1970-Sep-24 00:00:23.0000,  9.343044661047179E+08,  1.001213799389311E+09, -5.823538492127281E+07,
2440854.500266204, A.D. 1970-Sep-25 00:00:23.0000,  9.335468655443070E+08,  1.001699899564991E+09, -5.818604730326146E+07,
2440855.500266204, A.D. 1970-Sep-26 00:00:23.0000,  9.327883029815025E+08,  1.002186103005070E+09, -5.813652304838127E+07,
