JDTDB,Calendar Date (TDB),X,Y,Z,
2447213.500092593, A.D. 1988-Feb-22 00:00:08.0000,  6.218868435038210E+08,  4.253276178964590E+08, -1.324466592851436E+07,
2447214.500092593, A.D. 1988-Feb-23 00:00:08.0000,  6.211566029101595E+08,  4.261447987478882E+08, -1.319024529056290E+07,
2447215.500092593, A.D. 1988-Feb-24 00:00:08.0000,  6.204239477610006E+08,  4.269616284077793E+08, -1.313587674551615E+07,
2447216.500092593, A.D. 1988-Feb-25 00:00:08.0000,  6.196888852956809E+08,  4.277781073558937E+08, -1.308156177429065E+07,
2447217.500092593, A.D. 1988-Feb-26 00:00:08.0000,  6.189514227094862E+08,  4.285942360333007E+08, -1.302730184421474E+07,
2447218.500092593, A.D. 1988-Feb-27 00:00:08.0000,  6.182115671565737E+08,  4.294100148379563E+08, -1.297309840866882E+07,
2447219.500092593, A.D. 1988-Feb-28 00:00:08.0000,  6.174693257472680E+08,  4.302254441300955E+08, -1.291895290807158E+07,
2447220.500092593, A.D. 1988-Feb-29 00:00:08.0000,  6.167247055508047E+08,  4.310405242304388E+08, -1.286486676969835E+07,
2447221.500092593, A.D. 1988-Mar-01 00:00:08.0000,  6.159777135943367E+08,  4.318552554219224E+08, -1.281084140820515E+07,
2447222.500092593, A.D. 1988-Mar-02 00:00:08.0000,  6.152283568633356E+08,  4.326696379515385E+08, -1.275687822596642E+07,
2447223.500092593, A.D. 1988-Mar-03 00:00:08.0000,  6.144766423029093E+08,  4.334836720309566E+08, -1.270297861321911E+07,
2447224.500092593, A.D. 1988-Mar-04 00:00:08.0000,  6.137225768182247E+08,  4.342973578372622E+08, -1.264914394833627E+07,
2447225.500092593, A.D. 1988-Mar-05 00:00:08.0000,  6.129661672747566E+08,  4.351106955141025E+08, -1.259537559814137E+07,
2447226.500092593, A.D. 1988-Mar-06 00:00:08.0000,  6.122074204992318E+08,  4.359236851725441E+08, -1.254167491810176E+07,
2447227.500092593, A.D. 1988-Mar-07 00:00:08.0000,  6.114463432805057E+08,  4.367363268915181E+08, -1.248804325250584E+07,
2447228.500092593, A.D. 1988-Mar-08 00:00:08.0000,  6.106829423695573E+08,  4.375486207185308E+08, -1.243448193477771E+07,
2447229.500092593, A.D. 1988-Mar-09 00:00:08.0000,  6.099172244794843E+08,  4.383605666709287E+08, -1.238099228782460E+07,
2447230.500092593, A.D. 1988-Mar-10 00:00:08.0000,  6.091491962865101E+08,  4.391721647369865E+08, -1.232757562422800E+07,
2447231.500092593, A.D. 1988-Mar-11 00:00:08.0000,  6.083788644305791E+08,  4.399834148763106E+08, -1.227423324644509E+07,
2447232.500092593, A.D. 1988-Mar-12 00:00:08.0000,  6.076062355148427E+08,  4.407943170208109E+08, -1.222096644720566E+07,
2447233.500092593, A.D. 1988-Mar-13 00:00:08.0000,  6.068313161084762E+08,  4.416048710766640E+08, -1.216777650951430E+07,
2447234.500092593, A.D. 1988-Mar-14 00:00:08.0000,  6.060541127447982E+08,  4.424150769227366E+08, -1.211466470699894E+07,
2447235.500092593, A.D. 1988-Mar-15 00:00:08.0000,  6.052746319234415E+08,  4.432249344140788E+08, -1.206163230420628E+07,
2447236.500092593, A.D. 1988-Mar-16 00:00:08.0000,  6.044928801112618E+08,  4.440344433786015E+08, -1.200868055630395E+07,
