JDTDB,Calendar Date (TDB),X,Y,Z,
2440797.500266204, A.D. 1970-Jul-30 00:00:23.0000,  9.564647361777939E+08,  9.809402631047359E+08, -5.523069582288474E+07,
2440798.500266204, A.D. 1970-Jul-31 00:00:23.0000,  9.558036990971508E+08,  9.813490448113011E+08, -5.512370242852825E+07,
2440799.500266204, A.D. 1970-Aug-01 00:00:23.0000,  9.549690819913449E+08,  9.819651638022714E+08, -5.510875321571660E+07,
2440800.500266204, A.D. 1970-Aug-02 00:00:23.0000,  9.543713694586465E+08,  9.827111479374917E+08, -5.518499808864945E+07,
2440801.500266204, A.D. 1970-Aug-03 00:00:23.0000,  9.539135804940856E+08,  9.832310286108770E+08, -5.515653013859767E+07,
2440802.500266204, A.D. 1970-Aug-04 00:00:23.0000,  9.531986568398384E+08,  9.836515094137524E+08, -5.505129600748742E+07,
2440803.500266204, A.D. 1970-Aug-05 00:00:23.0000,  9.523785500013745E+08,  9.843110009839034E+08, -5.506132536966485E+07,
2440804.500266204, A.D. 1970-Aug-06 00:00:23.0000,  9.518293132075734E+08,  9.850359356452367E+08, -5.513208263306886E+07,
2440805.500266204, A.D. 1970-Aug-07 00:00:23.0000,  9.513469771716250E+08,  9.855119137764013E+08, -5.507908304757214E+07,
2440806.500266204, A.D. 1970-Aug-08 00:00:23.0000,  9.505837671630741E+08,  9.859560184012852E+08, -5.498240139174569E+07,
2440807.500266204, A.D. 1970-Aug-09 00:00:23.0000,  9.497918090507529E+08,  9.866526254399059E+08, -5.501545352430898E+07,
2440808.500266204, A.D. 1970-Aug-10 00:00:23.0000,  9.492840066303034E+08,  9.873453092143341E+08, -5.507417374584848E+07,
2440809.500266204, A.D. 1970-Aug-11 00:00:23.0000,  9.487649354958909E+08,  9.877852223964127E+08, -5.499957012032151E+07,
2440810.500266204, A.D. 1970-Aug-12 00:00:23.0000,  9.479625692445145E+08,  9.882632595552047E+08, -5.491772703697526E+07,
2440811.500266204, A.D. 1970-Aug-13 00:00:23.0000,  9.472099682722877E+08,  9.889880324797263E+08, -5.497019808301556E+07,
2440812.500266204, A.D. 1970-Aug-14 00:00:23.0000,  9.467330270400971E+08,  9.896397959824786E+08, -5.501131531022501E+07,
2440813.500266204, A.D. 1970-Aug-15 00:00:23.0000,  9.461673869187893E+08,  9.900541904521744E+08, -5.491968207934868E+07,
2440814.500266204, A.D. 1970-Aug-16 00:00:23.0000,  9.453375547539541E+08,  9.905737059496495E+08, -5.485776428136855E+07,
2440815.500266204, A.D. 1970-Aug-17 00:00:23.0000,  9.446321557674721E+08,  9.913152842929955E+08, -5.492446279383469E+07,
2440816.500266204, A.D. 1970-Aug-18 00:00:23.0000,  9.441728696952223E+08,  9.919202300587343E+08, -5.494361036753613E+07,
2440817.500266204, A.D. 1970-Aug-19 00:00:23.0000,  9.435542312299752E+08,  9.923212152059748E+08, -5.484067258616143E+07,
2440818.500266204, A.D. 1970-Aug-20 00:00:23.0000,  9.427106713543979E+08,  9.928862307318423E+08, -5.480212051187301E+07,
2440819.500266204, A.D. 1970-Aug-21 00:00:23.0000,  9.420567584285659E+08,  9.936316325214163E+08, -5.487666218819308E+07,
2440820.500266204, A.D. 1970-Aug-22 00:00:23.0000,  9.416007059432365E+08,  9.941871595869062E+08, -5.487108414289981E+07,
2440821.500266204, A.D. 1970-Aug-23 00:00:23.0000,  9.409268399220904E+08,  9.945876816146936E+08, -5.476341259316057E+07,
2440822.500266204, A.D. 1970-Aug-24 00:00:23.0000,  9.400845184147222E+08,  9.951986403683920E+08, -5.474991025318766E+07,
2440823.500266204, A.D. 1970-Aug-25 00:00:23.0000,  9.394826156693920E+08,  9.959345985074259E+08, -5.482539643409979E+07,
2440824.500266204, A.D. 1970-Aug-26 00:00:23.0000,  9.390152037765284E+08,  9.964419662158031E+08, -5.479434132250631E+07,
2440825.500266204, A.D. 1970-Aug-27 00:00:23.0000,  9.382880800274168E+08,  9.968551535446351E+08, -5.468900671499294E+07,
2440826.500266204, A.D. 1970-Aug-28 00:00:23.0000,  9.374617177795120E+08,  9.975091805504411E+08, -5.470047361090195E+07,
2440827.500266204, A.D. 1970-Aug-29 00:00:23.0000,  9.369080893845555E+08,  9.982232857905931E+08, -5.477004073172539E+07,
2440828.500266204, A.D. 1970-Aug-30 00:00:23.0000,  9.364152151326916E+08,  9.986874874181354E+08, -5.471475975190502E+07,
2440829.500266204, A.D. 1970-Aug-31 00:00:23.0000,  9.356404221662742E+08,  9.991254571724648E+08, -5.461865293935597E+07,
2440830.500266204, A.D. 1970-Sep-01 00:00:23.0000,  9.348430948022685E+08,  9.998162083231801E+08, -5.465303202012205E+07,
2440831.500266204, A.D. 1970-Sep-02 00:00:23.0000,  9.343299728234701E+08,  1.000497443714297E+09, -5.471015697942787E+07,
2440832.500266204, A.D. 1970-Sep-03 00:00:23.0000,  9.337992023572252E+08,  1.000926419665774E+09, -5.463360897736311E+07,
2440833.500266204, A.D. 1970-Sep-04 00:00:23.0000,  9.329858175373520E+08,  1.001399012349058E+09, -5.455276769843048E+07,
2440834.500266204, A.D. 1970-Sep-05 00:00:23.0000,  9.322283505358657E+08,  1.002116980562822E+09, -5.460612864911520E+07,
2440835.500266204, A.D. 1970-Sep-06 00:00:23.0000,  9.317449220963010E+08,  1.002756499521955E+09, -5.464513232180834E+07,
2440836.500266204, A.D. 1970-Sep-07 00:00:23.0000,  9.311668442306790E+08,  1.003160602375350E+09, -5.455183381861085E+07,
2440837.500266204, A.D. 1970-Sep-08 00:00:23.0000,  9.303270566900376E+08,  1.003674836732208E+09, -5.449111900901288E+07,
2440838.500266204, A.D. 1970-Sep-09 00:00:23.0000,  9.296174110979418E+08,  1.004408337960100E+09, -5.455811324045229E+07,
2440839.500266204, A.D. 1970-Sep-10 00:00:23.0000,  9.291507616847504E+08,  1.005000478429489E+09, -5.457478064555019E+07,
2440840.500266204, A.D. 1970-Sep-11 00:00:23.0000,  9.285196539443634E+08,  1.005392057086494E+09, -5.447064968257469E+07,
2440841.500266204, A.D. 1970-Sep-12 00:00:23.0000,  9.276676385569464E+08,  1.005951927237105E+09, -5.443352769046426E+07,
2440842.500266204, A.D. 1970-Sep-13 00:00:23.0000,  9.270099754173845E+08,  1.006688269808807E+09, -5.450790850243181E+07,
2440843.500266204, A.D. 1970-Sep-14 00:00:23.0000,  9.265456137775761E+08,  1.007231124836181E+09, -5.449983768980700E+07,
2440844.500266204, A.D. 1970-Sep-15 00:00:23.0000,  9.258594105170667E+08,  1.007623531556973E+09, -5.439167097130877E+07,
2440845.500266204, A.D. 1970-Sep-16 00:00:23.0000,  9.250098426213592E+08,  1.008229496050989E+09, -5.437980362254649E+07,
2440846.500266204, A.D. 1970-Sep-17 00:00:23.0000,  9.244039280091810E+08,  1.008955589755355E+09, -5.445469057037473E+07,
2440847.500266204, A.D. 1970-Sep-18 00:00:23.0000,  9.239268375249411E+08,  1.009450721448169E+09, -5.442124777008289E+07,
2440848.500266204, A.D. 1970-Sep-19 00:00:23.0000,  9.231874198807460E+08,  1.009856897509847E+09, -5.431601056213832E+07,
2440849.500266204, A.D. 1970-Sep-20 00:00:23.0000,  9.223546411580895E+08,  1.010505516165335E+09, -5.432898662649453E+07,
2440850.500266204, A.D. 1970-Sep-21 00:00:23.0000,  9.217962706001447E+08,  1.011208680388539E+09, -5.439733130991560E+07,
2440851.500266204, A.D. 1970-Sep-22 00:00:23.0000,  9.212924584941847E+08,  1.011660964877467E+09, -5.433971989786267E+07,
2440852.500266204, A.D. 1970-Sep-23 00:00:23.0000,  9.205058918885736E+08,  1.012092527531003E+09, -5.424408998234719E+07,
2440853.500266204, A.D. 1970-Sep-24 00:00:23.0000,  9.197031444184721E+08,  1.012776923503018E+09, -5.427959139966673E+07,
2440854.500266204, A.D. 1970-Sep-25 00:00:23.0000,  9.191846630415120E+08,  1.013446139315554E+09, -5.433488173387498E+07,
2440855.500266204, A.D. 1970-Sep-26 00:00:23.0000,  9.186423285209155E+08,  1.013863723637107E+09, -5.425623017503375E+07,
2440856.500266204, A.D. 1970-Sep-27 00:00:23.0000,  9.178183596377901E+08,  1.014330455377362E+09, -5.417627863898122E+07,
2440857.500266204, A.D. 1970-Sep-28 00:00:23.0000,  9.170565538769928E+08,  1.015041180118306E+09, -5.423041201802021E+07,
2440858.500266204, A.D. 1970-Sep-29 00:00:23.0000,  9.165671045374378E+08,  1.015668183801927E+09, -5.426726731154680E+07,
2440859.500266204, A.D. 1970-Sep-30 00:00:23.0000,  9.159770928645694E+08,  1.016062003432063E+09, -5.417241945591867E+07,
2440860.500266204, A.D. 1970-Oct-01 00:00:23.0000,  9.151279174408586E+08,  1.016571049526105E+09, -5.411307149293292E+07,
2440861.500266204, A.D. 1970-Oct-02 00:00:23.0000,  9.144144165568807E+08,  1.017296574079799E+09, -5.418050953087413E+07,
2440862.500266204, A.D. 1970-Oct-03 00:00:23.0000,  9.139405066892388E+08,  1.017876140311963E+09, -5.419488655190998E+07,
2440863.500266204, A.D. 1970-Oct-04 00:00:23.0000,  9.132969443848082E+08,  1.018258643820441E+09, -5.408979808453548E+07,
2440864.500266204, A.D. 1970-Oct-05 00:00:23.0000,  9.124364429964309E+08,  1.018813570797234E+09, -5.405426858763087E+07,
2440865.500266204, A.D. 1970-Oct-06 00:00:23.0000,  9.117747805189230E+08,  1.019540860112448E+09, -5.412852597574741E+07,
2440866.500266204, A.D. 1970-Oct-07 00:00:23.0000,  9.113017083618258E+08,  1.020071000339947E+09, -5.411796220741993E+07,
2440867.500266204, A.D. 1970-Oct-08 00:00:23.0000,  9.106028763453876E+08,  1.020455178521288E+09, -5.400927669823247E+07,
2440868.500266204, A.D. 1970-Oct-09 00:00:23.0000,  9.097459156841478E+08,  1.021055787596482E+09, -5.399890407857305E+07,
2440869.500266204, A.D. 1970-Oct-10 00:00:23.0000,  9.091358557167698E+08,  1.021771484273969E+09, -5.407296198099059E+07,
2440870.500266204, A.D. 1970-Oct-11 00:00:23.0000,  9.086490356010783E+08,  1.022253902493400E+09, -5.403694060915619E+07,
2440871.500266204, A.D. 1970-Oct-12 00:00:23.0000,  9.078975755905176E+08,  1.022652621444010E+09, -5.393165736193794E+07,
2440872.500266204, A.D. 1970-Oct-13 00:00:23.0000,  9.070588405824088E+08,  1.023295330839732E+09, -5.394598813094181E+07,
2440873.500266204, A.D. 1970-Oct-14 00:00:23.0000,  9.064961641076380E+08,  1.023987127559908E+09, -5.401299009156960E+07,
2440874.500266204, A.D. 1970-Oct-15 00:00:23.0000,  9.059818881446625E+08,  1.024427327456774E+09, -5.395306800863034E+07,
2440875.500266204, A.D. 1970-Oct-16 00:00:23.0000,  9.051841623688143E+08,  1.024852480996372E+09, -5.385803536312717E+07,
2440876.500266204, A.D. 1970-Oct-17 00:00:23.0000,  9.043765411533018E+08,  1.025530540015242E+09, -5.389478043503743E+07,
