JDTDB,Calendar Date (TDB),X,Y,Z,
2447213.500092593, A.D. 1988-Feb-22 00:00:08.0000,  5.982004504379863E+08,  4.407655799508923E+08, -1.521522092328447E+07,
2447214.500092593, A.D. 1988-Feb-23 00:00:08.0000,  5.972871114975709E+08,  4.417646275001315E+08, -1.520588067815697E+07,
2447215.500092593, A.D. 1988-Feb-24 00:00:08.0000,  5.967073443838171E+08,  4.425209713827509E+08, -1.520020575144780E+07,
2447216.500092593, A.D. 1988-Feb-25 00:00:08.0000,  5.961175562262363E+08,  4.436890525944153E+08, -1.517981869496682E+07,
2447217.500092593, A.D. 1988-Feb-26 00:00:08.0000,  5.952014730728540E+08,  4.446008859814093E+08, -1.517335875807145E+07,
2447218.500092593, A.D. 1988-Feb-27 00:00:08.0000,  5.946834639921255E+08,  4.454057568746133E+08, -1.516472195047572E+07,
2447219.500092593, A.D. 1988-Feb-28 00:00:08.0000,  5.940080433152443E+08,  4.465920217182395E+08, -1.514468729205233E+07,
2447220.500092593, A.D. 1988-Feb-29 00:00:08.0000,  5.931196261950210E+08,  4.474226973984189E+08, -1.514041574039438E+07,
2447221.500092593, A.D. 1988-Mar-01 00:00:08.0000,  5.926405112610528E+08,  4.482965088556291E+08, -1.512844969498840E+07,
2447222.500092593, A.D. 1988-Mar-02 00:00:08.0000,  5.918773104162859E+08,  4.494706976897397E+08, -1.510987360688069E+07,
2447223.500092593, A.D. 1988-Mar-03 00:00:08.0000,  5.910421381096289E+08,  4.502369104765807E+08, -1.510680311538178E+07,
2447224.500092593, A.D. 1988-Mar-04 00:00:08.0000,  5.905729394520735E+08,  4.511904569477352E+08, -1.509157418913656E+07,
2447225.500092593, A.D. 1988-Mar-05 00:00:08.0000,  5.897305175831544E+08,  4.523229185091691E+08, -1.507536339506671E+07,
2447226.500092593, A.D. 1988-Mar-06 00:00:08.0000,  5.889667241005559E+08,  4.530491328109036E+08, -1.507236310656735E+07,
2447227.500092593, A.D. 1988-Mar-07 00:00:08.0000,  5.884770792351894E+08,  4.540818261439139E+08, -1.505435043182281E+07,
2447228.500092593, A.D. 1988-Mar-08 00:00:08.0000,  5.875743008927178E+08,  4.551483915703027E+08, -1.504106501497602E+07,
2447229.500092593, A.D. 1988-Mar-09 00:00:08.0000,  5.868901637884949E+08,  4.558643245449323E+08, -1.503697976679873E+07,
2447230.500092593, A.D. 1988-Mar-10 00:00:08.0000,  5.863513990612183E+08,  4.569649838254804E+08, -1.501699053252283E+07,
2447231.500092593, A.D. 1988-Mar-11 00:00:08.0000,  5.854142943512218E+08,  4.579497874797897E+08, -1.500680380893779E+07,
2447232.500092593, A.D. 1988-Mar-12 00:00:08.0000,  5.848065632988923E+08,  4.586856141060445E+08, -1.500062952708074E+07,
2447233.500092593, A.D. 1988-Mar-13 00:00:08.0000,  5.841961859787179E+08,  4.598332550013826E+08, -1.497971357194060E+07,
2447234.500092593, A.D. 1988-Mar-14 00:00:08.0000,  5.832552463109514E+08,  4.607305040734242E+08, -1.497240045174879E+07,
2447235.500092593, A.D. 1988-Mar-15 00:00:08.0000,  5.827104002428792E+08,  4.615137312286906E+08, -1.496336282586583E+07,
2447236.500092593, A.D. 1988-Mar-16 00:00:08.0000,  5.820150738831080E+08,  4.626810984548315E+08, -1.494266189852431E+07,
2447237.500092593, A.D. 1988-Mar-17 00:00:08.0000,  5.811002878901596E+08,  4.634966855829686E+08, -1.493760360073563E+07,
2447238.500092593, A.D. 1988-Mar-18 00:00:08.0000,  5.805955369576105E+08,  4.643481398982977E+08, -1.492527521350613E+07,
2447239.500092593, A.D. 1988-Mar-19 00:00:08.0000,  5.798121134580454E+08,  4.655045454599123E+08, -1.490592156350449E+07,
2447240.500092593, A.D. 1988-Mar-20 00:00:08.0000,  5.789495470865506E+08,  4.662543685877894E+08, -1.490219764541385E+07,
2447241.500092593, A.D. 1988-Mar-21 00:00:08.0000,  5.784565377788066E+08,  4.671849229891028E+08, -1.488657252745858E+07,
2447242.500092593, A.D. 1988-Mar-22 00:00:08.0000,  5.775934654948825E+08,  4.683009731430031E+08, -1.486951033656979E+07,
2447243.500092593, A.D. 1988-Mar-23 00:00:08.0000,  5.768019113128231E+08,  4.690095067738618E+08, -1.486598162524179E+07,
