JDTDB,Calendar Date (TDB),X,Y,Z,
2440797.500266204, A.D. 1970-Jul-30 00:00:23.0000,  9.563210205924762E+08,  9.807245523657036E+08, -5.510375470118803E+07,
2440798.500266204, A.D. 1970-Jul-31 00:00:23.0000,  9.558797752592325E+08,  9.813896800343139E+08, -5.515235666979563E+07,
2440799.500266204, A.D. 1970-Aug-01 00:00:23.0000,  9.551488182106799E+08,  9.821585315167136E+08, -5.522747441801423E+07,
2440800.500266204, A.D. 1970-Aug-02 00:00:23.0000,  9.542908209146497E+08,  9.826829259436127E+08, -5.516241496769434E+07,
2440801.500266204, A.D. 1970-Aug-03 00:00:23.0000,  9.537019328184354E+08,  9.830643876440184E+08, -5.504872367279935E+07,
2440802.500266204, A.D. 1970-Aug-04 00:00:23.0000,  9.532815362359176E+08,  9.836672835287989E+08, -5.506758253154480E+07,
2440803.500266204, A.D. 1970-Aug-05 00:00:23.0000,  9.526178124727482E+08,  9.844470048410469E+08, -5.515575199187851E+07,
2440804.500266204, A.D. 1970-Aug-06 00:00:23.0000,  9.517466517337841E+08,  9.850324767534379E+08, -5.512226990331924E+07,
2440805.500266204, A.D. 1970-Aug-07 00:00:23.0000,  9.510855370048534E+08,  9.854096846025902E+08, -5.500020652632159E+07,
2440806.500266204, A.D. 1970-Aug-08 00:00:23.0000,  9.506642529437393E+08,  9.859478163057361E+08, -5.498589359010816E+07,
2440807.500266204, A.D. 1970-Aug-09 00:00:23.0000,  9.500699009647551E+08,  9.867186084318945E+08, -5.507694991586149E+07,
2440808.500266204, A.D. 1970-Aug-10 00:00:23.0000,  9.492080290738218E+08,  9.873644102058982E+08, -5.507682859478736E+07,
2440809.500266204, A.D. 1970-Aug-11 00:00:23.0000,  9.484764900887699E+08,  9.877571216601315E+08, -5.495692105145276E+07,
2440810.500266204, A.D. 1970-Aug-12 00:00:23.0000,  9.480324784165851E+08,  9.882344654868155E+08, -5.490940605258954E+07,
2440811.500266204, A.D. 1970-Aug-13 00:00:23.0000,  9.475025315661716E+08,  9.889774873564144E+08, -5.499299615340978E+07,
2440812.500266204, A.D. 1970-Aug-14 00:00:23.0000,  9.466710739697399E+08,  9.896770020471922E+08, -5.502481403211188E+07,
2440813.500266204, A.D. 1970-Aug-15 00:00:23.0000,  9.458773550864475E+08,  9.901033643242412E+08, -5.491736981556684E+07,
2440814.500266204, A.D. 1970-Aug-16 00:00:23.0000,  9.453905352933624E+08,  9.905296671561460E+08, -5.483981707422072E+07,
2440815.500266204, A.D. 1970-Aug-17 00:00:23.0000,  9.449133211359717E+08,  9.912285057452177E+08, -5.490621241046768E+07,
2440816.500266204, A.D. 1970-Aug-18 00:00:23.0000,  9.441301152716291E+08,  9.919694754443688E+08, -5.496527551232117E+07,
