JDTDB,Calendar Date (TDB),X,Y,Z,
2440797.500266204, A.D. 1970-Jul-30 00:00:23.0000,  9.393836277482684E+08,  1.001251213693213E+09, -5.318530230590189E+07,
2440798.500266204, A.D. 1970-Jul-31 00:00:23.0000,  9.388057362906396E+08,  1.001884820991715E+09, -5.315193030472648E+07,
2440799.500266204, A.D. 1970-Aug-01 00:00:23.0000,  9.382277415564309E+08,  1.002517739335554E+09, -5.311856831892931E+07,
2440800.500266204, A.D. 1970-Aug-02 00:00:23.0000,  9.376496428019385E+08,  1.003149967783474E+09, -5.308521662964076E+07,
2440801.500266204, A.D. 1970-Aug-03 00:00:23.0000,  9.370714392835070E+08,  1.003781505394443E+09, -5.305187551790369E+07,
2440802.500266204, A.D. 1970-Aug-04 00:00:23.0000,  9.364931302575027E+08,  1.004412351227635E+09, -5.301854526468021E+07,
2440803.500266204, A.D. 1970-Aug-05 00:00:23.0000,  9.359147149805191E+08,  1.005042504342354E+09, -5.298522615100276E+07,
2440804.500266204, A.D. 1970-Aug-06 00:00:23.0000,  9.353361927091419E+08,  1.005671963798096E+09, -5.295191845786518E+07,
2440805.500266204, A.D. 1970-Aug-07 00:00:23.0000,  9.347575626996900E+08,  1.006300728654566E+09, -5.291862246608740E+07,
2440806.500266204, A.D. 1970-Aug-08 00:00:23.0000,  9.341788242084092E+08,  1.006928797971591E+09, -5.288533845645756E+07,
2440807.500266204, A.D. 1970-Aug-09 00:00:23.0000,  9.335999764914395E+08,  1.007556170809112E+09, -5.285206670973808E+07,
2440808.500266204, A.D. 1970-Aug-10 00:00:23.0000,  9.330210188047825E+08,  1.008182846227163E+09, -5.281880750667131E+07,
2440809.500266204, A.D. 1970-Aug-11 00:00:23.0000,  9.324419504042677E+08,  1.008808823285863E+09, -5.278556112798500E+07,
2440810.500266204, A.D. 1970-Aug-12 00:00:23.0000,  9.318627705455190E+08,  1.009434101045397E+09, -5.275232785439861E+07,
2440811.500266204, A.D. 1970-Aug-13 00:00:23.0000,  9.312834784839212E+08,  1.010058678566003E+09, -5.271910796662867E+07,
2440812.500266204, A.D. 1970-Aug-14 00:00:23.0000,  9.307040734745854E+08,  1.010682554907955E+09, -5.268590174539512E+07,
2440813.500266204, A.D. 1970-Aug-15 00:00:23.0000,  9.301245547723153E+08,  1.011305729131545E+09, -5.265270947142690E+07,
2440814.500266204, A.D. 1970-Aug-16 00:00:23.0000,  9.295449216315721E+08,  1.011928200297071E+09, -5.261953142546809E+07,
2440815.500266204, A.D. 1970-Aug-17 00:00:23.0000,  9.289651733064411E+08,  1.012549967464812E+09, -5.258636788828361E+07,
2440816.500266204, A.D. 1970-Aug-18 00:00:23.0000,  9.283853090505959E+08,  1.013171029695017E+09, -5.255321914066541E+07,
2440817.500266204, A.D. 1970-Aug-19 00:00:23.0000,  9.278053281172638E+08,  1.013791386047884E+09, -5.252008546343863E+07,
2440818.500266204, A.D. 1970-Aug-20 00:00:23.0000,  9.272252297591909E+08,  1.014411035583539E+09, -5.248696713746750E+07,
2440819.500266204, A.D. 1970-Aug-21 00:00:23.0000,  9.266450132286072E+08,  1.015029977362021E+09, -5.245386444366121E+07,
2440820.500266204, A.D. 1970-Aug-22 00:00:23.0000,  9.260646777771909E+08,  1.015648210443259E+09, -5.242077766298091E+07,
2440821.500266204, A.D. 1970-Aug-23 00:00:23.0000,  9.254842226560180E+08,  1.016265733886768E+09, -5.238770707646620E+07,
2440822.500266204, A.D. 1970-Aug-24 00:00:23.0000,  9.249036471155528E+08,  1.016882546751873E+09, -5.235465296526176E+07,
2440823.500266204, A.D. 1970-Aug-25 00:00:23.0000,  9.243229504056187E+08,  1.017498648097957E+09, -5.232161561058432E+07,
2440824.500266204, A.D. 1970-Aug-26 00:00:23.0000,  9.237421317753409E+08,  1.018114036984169E+09, -5.228859529373169E+07,
2440825.500266204, A.D. 1970-Aug-27 00:00:23.0000,  9.231611904731100E+08,  1.018728712469404E+09, -5.225559229609275E+07,
2440826.500266204, A.D. 1970-Aug-28 00:00:23.0000,  9.225801257465465E+08,  1.019342673612275E+09, -5.222260689915472E+07,
2440827.500266204, A.D. 1970-Aug-29 00:00:23.0000,  9.219989368424648E+08,  1.019955919471097E+09, -5.218963938451123E+07,
2440828.500266204, A.D. 1970-Aug-30 00:00:23.0000,  9.214176230068382E+08,  1.020568449103854E+09, -5.215669003387177E+07,
2440829.500266204, A.D. 1970-Aug-31 00:00:23.0000,  9.208361834847628E+08,  1.021180261568182E+09, -5.212375912906945E+07,
2440830.500266204, A.D. 1970-Sep-01 00:00:23.0000,  9.202546175204231E+08,  1.021791355921332E+09, -5.209084695207030E+07,
2440831.500266204, A.D. 1970-Sep-02 00:00:23.0000,  9.196729243570583E+08,  1.022401731220149E+09, -5.205795378498185E+07,
2440832.500266204, A.D. 1970-Sep-03 00:00:23.0000,  9.190911032369281E+08,  1.023011386521037E+09, -5.202507991006303E+07,
2440833.500266204, A.D. 1970-Sep-04 00:00:23.0000,  9.185091534012816E+08,  1.023620320879927E+09, -5.199222560973275E+07,
2440834.500266204, A.D. 1970-Sep-05 00:00:23.0000,  9.179270740903264E+08,  1.024228533352243E+09, -5.195939116658038E+07,
2440835.500266204, A.D. 1970-Sep-06 00:00:23.0000,  9.173448645432004E+08,  1.024836022992867E+09, -5.192657686337590E+07,
2440836.500266204, A.D. 1970-Sep-07 00:00:23.0000,  9.167625239979460E+08,  1.025442788856095E+09, -5.189378298308009E+07,
2440837.500266204, A.D. 1970-Sep-08 00:00:23.0000,  9.161800516914885E+08,  1.026048829995602E+09, -5.186100980885607E+07,
2440838.500266204, A.D. 1970-Sep-09 00:00:23.0000,  9.155974468596169E+08,  1.026654145464397E+09, -5.182825762408066E+07,
2440839.500266204, A.D. 1970-Sep-10 00:00:23.0000,  9.150147087367649E+08,  1.027258734314929E+09, -5.179552671220893E+07,
2440840.500266204, A.D. 1970-Sep-11 00:00:23.0000,  9.144318365561727E+08,  1.027862595598876E+09, -5.176281735694158E+07,
2440841.500266204, A.D. 1970-Sep-12 00:00:23.0000,  9.138488295500860E+08,  1.028465728366970E+09, -5.173012984236234E+07,
2440842.500266204, A.D. 1970-Sep-13 00:00:23.0000,  9.132656869495679E+08,  1.029068131669116E+09, -5.169746445279348E+07,
2440843.500266204, A.D. 1970-Sep-14 00:00:23.0000,  9.126824079845128E+08,  1.029669804554356E+09, -5.166482147281069E+07,
2440844.500266204, A.D. 1970-Sep-15 00:00:23.0000,  9.120989918836726E+08,  1.030270746070829E+09, -5.163220118725955E+07,
2440845.500266204, A.D. 1970-Sep-16 00:00:23.0000,  9.115154378746939E+08,  1.030870955265741E+09, -5.159960388127100E+07,
2440846.500266204, A.D. 1970-Sep-17 00:00:23.0000,  9.109317451841662E+08,  1.031470431185347E+09, -5.156702984027809E+07,
2440847.500266204, A.D. 1970-Sep-18 00:00:23.0000,  9.103479130376811E+08,  1.032069172874951E+09, -5.153447935003179E+07,
2440848.500266204, A.D. 1970-Sep-19 00:00:23.0000,  9.097639406598997E+08,  1.032667179378915E+09, -5.150195269661593E+07,
2440849.500266204, A.D. 1970-Sep-20 00:00:23.0000,  9.091798272746260E+08,  1.033264449740708E+09, -5.146945016646212E+07,
2440850.500266204, A.D. 1970-Sep-21 00:00:23.0000,  9.085955721048775E+08,  1.033860983002967E+09, -5.143697204635972E+07,
2440851.500266204, A.D. 1970-Sep-22 00:00:23.0000,  9.080111743729501E+08,  1.034456778207597E+09, -5.140451862346488E+07,
2440852.500266204, A.D. 1970-Sep-23 00:00:23.0000,  9.074266333004652E+08,  1.035051834395904E+09, -5.137209018530488E+07,
2440853.500266204, A.D. 1970-Sep-24 00:00:23.0000,  9.068419481083893E+08,  1.035646150608748E+09, -5.133968701977676E+07,
2440854.500266204, A.D. 1970-Sep-25 00:00:23.0000,  9.062571180170164E+08,  1.036239725886730E+09, -5.130730941514170E+07,
2440855.500266204, A.D. 1970-Sep-26 00:00:23.0000,  9.056721422459050E+08,  1.036832559270381E+09, -5.127495766001391E+07,
2440856.500266204, A.D. 1970-Sep-27 00:00:23.0000,  9.050870200137614E+08,  1.037424649800359E+09, -5.124263204334408E+07,
2440857.500266204, A.D. 1970-Sep-28 00:00:23.0000,  9.045017505383817E+08,  1.038015996517843E+09, -5.121033285441315E+07,
2440858.500266204, A.D. 1970-Sep-29 00:00:23.0000,  9.039163330362812E+08,  1.038606598464490E+09, -5.117806038277978E+07,
2440859.500266204, A.D. 1970-Sep-30 00:00:23.0000,  9.033307667223572E+08,  1.039196454682330E+09, -5.114581491824645E+07,
2440860.500266204, A.D. 1970-Oct-01 00:00:23.0000,  9.027450508097392E+08,  1.039785564214022E+09, -5.111359675085759E+07,
2440861.500266204, A.D. 1970-Oct-02 00:00:23.0000,  9.021591845095040E+08,  1.040373926102841E+09, -5.108140617088443E+07,
2440862.500266204, A.D. 1970-Oct-03 00:00:23.0000,  9.015731670304000E+08,  1.040961539392604E+09, -5.104924346881461E+07,
2440863.500266204, A.D. 1970-Oct-04 00:00:23.0000,  9.009869975786072E+08,  1.041548403127540E+09, -5.101710893534982E+07,
2440864.500266204, A.D. 1970-Oct-05 00:00:23.0000,  9.004006753575319E+08,  1.042134516352137E+09, -5.098500286140978E+07,
2440865.500266204, A.D. 1970-Oct-06 00:00:23.0000,  8.998141995676500E+08,  1.042719878110955E+09, -5.095292553814238E+07,
2440866.500266204, A.D. 1970-Oct-07 00:00:23.0000,  8.992275694063979E+08,  1.043304487448433E+09, -5.092087725693804E+07,
2440867.500266204, A.D. 1970-Oct-08 00:00:23.0000,  8.986407840681067E+08,  1.043888343408710E+09, -5.088885830944920E+07,
