JDTDB,Calendar Date (TDB),X,Y,Z,
2447213.500092593, A.D. 1988-Feb-22 00:00:08.0000,  5.818920484133251E+08,  4.652648840276772E+08, -1.636742798230851E+07,
2447214.500092593, A.D. 1988-Feb-23 00:00:08.0000,  5.813106093794519E+08,  4.663187466511152E+08, -1.640244328226411E+07,
2447215.500092593, A.D. 1988-Feb-24 00:00:08.0000,  5.807283748643070E+08,  4.673705795247041E+08, -1.643737500006926E+07,
2447216.500092593, A.D. 1988-Feb-25 00:00:08.0000,  5.801453422467328E+08,  4.684203796657261E+08, -1.647222146640518E+07,
2447217.500092593, A.D. 1988-Feb-26 00:00:08.0000,  5.795615089255588E+08,  4.694681441015154E+08, -1.650698101904601E+07,
2447218.500092593, A.D. 1988-Feb-27 00:00:08.0000,  5.789768723214898E+08,  4.705138698719125E+08, -1.654165200282496E+07,
2447219.500092593, A.D. 1988-Feb-28 00:00:08.0000,  5.783914298750684E+08,  4.715575540252961E+08, -1.657623276921186E+07,
2447220.500092593, A.D. 1988-Feb-29 00:00:08.0000,  5.778051790469613E+08,  4.725991936207304E+08, -1.661072167627388E+07,
2447221.500092593, A.D. 1988-Mar-01 00:00:08.0000,  5.772181173176339E+08,  4.736387857262827E+08, -1.664511708836731E+07,
2447222.500092593, A.D. 1988-Mar-02 00:00:08.0000,  5.766302421861840E+08,  4.746763274184987E+08, -1.667941737598127E+07,
2447223.500092593, A.D. 1988-Mar-03 00:00:08.0000,  5.760415511695775E+08,  4.757118157827857E+08, -1.671362091562313E+07,
2447224.500092593, A.D. 1988-Mar-04 00:00:08.0000,  5.754520418022252E+08,  4.767452479130083E+08, -1.674772608961624E+07,
2447225.500092593, A.D. 1988-Mar-05 00:00:08.0000,  5.748617116353115E+08,  4.777766209109833E+08, -1.678173128591529E+07,
2447226.500092593, A.D. 1988-Mar-06 00:00:08.0000,  5.742705582360181E+08,  4.788059318866634E+08, -1.681563489798895E+07,
2447227.500092593, A.D. 1988-Mar-07 00:00:08.0000,  5.736785791871872E+08,  4.798331779582015E+08, -1.684943532465863E+07,
2447228.500092593, A.D. 1988-Mar-08 00:00:08.0000,  5.730857720872356E+08,  4.808583562510997E+08, -1.688313096984145E+07,
2447229.500092593, A.D. 1988-Mar-09 00:00:08.0000,  5.724921345494739E+08,  4.818814638973743E+08, -1.691672024234399E+07,
2447230.500092593, A.D. 1988-Mar-10 00:00:08.0000,  5.718976642009348E+08,  4.829024980357946E+08, -1.695020155578792E+07,
2447231.500092593, A.D. 1988-Mar-11 00:00:08.0000,  5.713023586821524E+08,  4.839214558117713E+08, -1.698357332843095E+07,
2447232.500092593, A.D. 1988-Mar-12 00:00:08.0000,  5.707062156471099E+08,  4.849383343761067E+08, -1.701683398287651E+07,
2447233.500092593, A.D. 1988-Mar-13 00:00:08.0000,  5.701092327601241E+08,  4.859531308869627E+08, -1.704998194629920E+07,
2447234.500092593, A.D. 1988-Mar-14 00:00:08.0000,  5.695114076993320E+08,  4.869658425071019E+08, -1.708301564979598E+07,
2447235.500092593, A.D. 1988-Mar-15 00:00:08.0000,  5.689127381520528E+08,  4.879764664055293E+08, -1.711593352863431E+07,
2447236.500092593, A.D. 1988-Mar-16 00:00:08.0000,  5.683132218179815E+08,  4.889849997572459E+08, -1.714873402190605E+07,
2447237.500092593, A.D. 1988-Mar-17 00:00:08.0000,  5.677128564058293E+08,  4.899914397416617E+08, -1.718141557238933E+07,
2447238.500092593, A.D. 1988-Mar-18 00:00:08.0000,  5.671116396344285E+08,  4.909957835434654E+08, -1.721397662641352E+07,
2447239.500092593, A.D. 1988-Mar-19 00:00:08.0000,  5.665095692318354E+08,  4.919980283513652E+08, -1.724641563360903E+07,
2447240.500092593, A.D. 1988-Mar-20 00:00:08.0000,  5.659066429340812E+08,  4.929981713582302E+08, -1.727873104686236E+07,
2447241.500092593, A.D. 1988-Mar-21 00:00:08.0000,  5.653028584847637E+08,  4.939962097616000E+08, -1.731092132225013E+07,
2447242.500092593, A.D. 1988-Mar-22 00:00:08.0000,  5.646982136347897E+08,  4.949921407633290E+08, -1.734298491885170E+07,
2447243.500092593, A.D. 1988-Mar-23 00:00:08.0000,  5.640927061418201E+08,  4.959859615691581E+08, -1.737492029858413E+07,
2447244.500092593, A.D. 1988-Mar-24 00:00:08.0000,  5.634863337697339E+08,  4.969776693887811E+08, -1.740672592610031E+07,
2447245.500092593, A.D. 1988-Mar-25 00:00:08.0000,  5.628790942883420E+08,  4.979672614356842E+08, -1.743840026863220E+07,
2447246.500092593, A.D. 1988-Mar-26 00:00:08.0000,  5.622709854729804E+08,  4.989547349263569E+08, -1.746994179576069E+07,
2447247.500092593, A.D. 1988-Mar-27 00:00:08.0000,  5.616620051036053E+08,  4.999400870798954E+08, -1.750134897928530E+07,
2447248.500092593, A.D. 1988-Mar-28 00:00:08.0000,  5.610521509638824E+08,  5.009233151186147E+08, -1.753262029323348E+07,
2447249.500092593, A.D. 1988-Mar-29 00:00:08.0000,  5.604414208410878E+08,  5.019044162679209E+08, -1.756375421369821E+07,
2447250.500092593, A.D. 1988-Mar-30 00:00:08.0000,  5.598298125258222E+08,  5.028833877551916E+08, -1.759474921855813E+07,
2447251.500092593, A.D. 1988-Mar-31 00:00:08.0000,  5.592173238099915E+08,  5.038602268122264E+08, -1.762560378784123E+07,
2447252.500092593, A.D. 1988-Apr-01 00:00:08.0000,  5.586039524891154E+08,  5.048349306716497E+08, -1.765631640291053E+07,
2447253.500092593, A.D. 1988-Apr-02 00:00:08.0000,  5.579896963586730E+08,  5.058074965692145E+08, -1.768688554688400E+07,
2447254.500092593, A.D. 1988-Apr-03 00:00:08.0000,  5.573745532172245E+08,  5.067779217427693E+08, -1.771730970415822E+07,
2447255.500092593, A.D. 1988-Apr-04 00:00:08.0000,  5.567585208624072E+08,  5.077462034316975E+08, -1.774758736046609E+07,
2447256.500092593, A.D. 1988-Apr-05 00:00:08.0000,  5.561415970924438E+08,  5.087123388773042E+08, -1.777771700269389E+07,
2447257.500092593, A.D. 1988-Apr-06 00:00:08.0000,  5.555237797049235E+08,  5.096763253221470E+08, -1.780769711873510E+07,
2447258.500092593, A.D. 1988-Apr-07 00:00:08.0000,  5.549050664958491E+08,  5.106381600105900E+08, -1.783752619753879E+07,
2447259.500092593, A.D. 1988-Apr-08 00:00:08.0000,  5.542854552597088E+08,  5.115978401891233E+08, -1.786720272902957E+07,
2447260.500092593, A.D. 1988-Apr-09 00:00:08.0000,  5.536649437892928E+08,  5.125553631057402E+08, -1.789672520388353E+07,
2447261.500092593, A.D. 1988-Apr-10 00:00:08.0000,  5.530435298750404E+08,  5.135107260094447E+08, -1.792609211337310E+07,
2447262.500092593, A.D. 1988-Apr-11 00:00:08.0000,  5.524212113045202E+08,  5.144639261503465E+08, -1.795530194930729E+07,
2447263.500092593, A.D. 1988-Apr-12 00:00:08.0000,  5.517979858621228E+08,  5.154149607795687E+08, -1.798435320391792E+07,
2447264.500092593, A.D. 1988-Apr-13 00:00:08.0000,  5.511738513284971E+08,  5.163638271487093E+08, -1.801324436968926E+07,
2447265.500092593, A.D. 1988-Apr-14 00:00:08.0000,  5.505488054797086E+08,  5.173105225098757E+08, -1.804197393932536E+07,
2447266.500092593, A.D. 1988-Apr-15 00:00:08.0000,  5.499228460867968E+08,  5.182550441165085E+08, -1.807054040583012E+07,
2447267.500092593, A.D. 1988-Apr-16 00:00:08.0000,  5.492959709159032E+08,  5.191973892229680E+08, -1.809894226229852E+07,
2447268.500092593, A.D. 1988-Apr-17 00:00:08.0000,  5.486681777278148E+08,  5.201375550833980E+08, -1.812717800162703E+07,
2447269.500092593, A.D. 1988-Apr-18 00:00:08.0000,  5.480394642769674E+08,  5.210755389549541E+08, -1.815524611709842E+07,
2447270.500092593, A.D. 1988-Apr-19 00:00:08.0000,  5.474098283126193E+08,  5.220113380924794E+08, -1.818314510115424E+07,
2447271.500092593, A.D. 1988-Apr-20 00:00:08.0000,  5.467792675763263E+08,  5.229449497532226E+08, -1.821087344636500E+07,
2447272.500092593, A.D. 1988-Apr-21 00:00:08.0000,  5.461477798042816E+08,  5.238763711936719E+08, -1.823842964449859E+07,
2447273.500092593, A.D. 1988-Apr-22 00:00:08.0000,  5.455153627238016E+08,  5.248055996716511E+08, -1.826581218709707E+07,
2447274.500092593, A.D. 1988-Apr-23 00:00:08.0000,  5.448820140549403E+08,  5.257326324457917E+08, -1.829301956507412E+07,
2447275.500092593, A.D. 1988-Apr-24 00:00:08.0000,  5.442477315093431E+08,  5.266574667756737E+08, -1.832005026867267E+07,
2447276.500092593, A.D. 1988-Apr-25 00:00:08.0000,  5.436125127897381E+08,  5.275800999226235E+08, -1.834690278750381E+07,
2447277.500092593, A.D. 1988-Apr-26 00:00:08.0000,  5.429763555900893E+08,  5.285005291497420E+08, -1.837357561034384E+07,
2447278.500092593, A.D. 1988-Apr-27 00:00:08.0000,  5.423392575950181E+08,  5.294187517214874E+08, -1.840006722488680E+07,
2447279.500092593, A.D. 1988-Apr-28 00:00:08.0000,  5.417012164787742E+08,  5.303347649037505E+08, -1.842637611764601E+07,
2447280.500092593, A.D. 1988-Apr-29 00:00:08.0000,  5.410622299045508E+08,  5.312485659643435E+08, -1.845250077392364E+07,
2447281.500092593, A.D. 1988-Apr-30 00:00:08.0000,  5.404222955239716E+08,  5.321601521731603E+08, -1.847843967769668E+07,
2447282.500092593, A.D. 1988-May-01 00:00:08.0000,  5.397814109762074E+08,  5.330695208020168E+08, -1.850419131147408E+07,
2447283.500092593, A.D. 1988-May-02 00:00:08.0000,  5.391395738870175E+08,  5.339766691249499E+08, -1.852975415629372E+07,
2447284.500092593, A.D. 1988-May-03 00:00:08.0000,  5.384967818684144E+08,  5.348815944187927E+08, -1.855512669175467E+07,
