JDTDB,Calendar Date (TDB),X,Y,Z,
2440797.500266204, A.D. 1970-Jul-30 00:00:23.0000,  9.710896440434747E+08,  9.655917795416090E+08, -5.483957699078375E+07,
2440798.500266204, A.D. 1970-Jul-31 00:00:23.0000,  9.705108485447916E+08,  9.662069222450901E+08, -5.488674886935848E+07,
2440799.500266204, A.D. 1970-Aug-01 00:00:23.0000,  9.699312432060084E+08,  9.668221447425900E+08, -5.493390792551339E+07,
2440800.500266204, A.D. 1970-Aug-02 00:00:23.0000,  9.693508275053920E+08,  9.674374446407583E+08, -5.498105227702266E+07,
2440801.500266204, A.D. 1970-Aug-03 00:00:23.0000,  9.687696009275416E+08,  9.680528195562240E+08, -5.502818005202901E+07,
2440802.500266204, A.D. 1970-Aug-04 00:00:23.0000,  9.681875629633964E+08,  9.686682671156092E+08, -5.507528938904470E+07,
2440803.500266204, A.D. 1970-Aug-05 00:00:23.0000,  9.676047131027415E+08,  9.692837849497727E+08, -5.512237842876297E+07,
2440804.500266204, A.D. 1970-Aug-06 00:00:23.0000,  9.670210508396772E+08,  9.698993706986156E+08, -5.516944532032794E+07,
2440805.500266204, A.D. 1970-Aug-07 00:00:23.0000,  9.664365756792394E+08,  9.705150220157708E+08, -5.521648822831899E+07,
2440806.500266204, A.D. 1970-Aug-08 00:00:23.0000,  9.658512871303018E+08,  9.711307365628209E+08, -5.526350532481909E+07,
2440807.500266204, A.D. 1970-Aug-09 00:00:23.0000,  9.652651847055805E+08,  9.717465120093044E+08, -5.531049478941411E+07,
2440808.500266204, A.D. 1970-Aug-10 00:00:23.0000,  9.646782679216348E+08,  9.723623460327214E+08, -5.535745480919278E+07,
2440809.500266204, A.D. 1970-Aug-11 00:00:23.0000,  9.640905362988697E+08,  9.729782363185395E+08, -5.540438357874560E+07,
2440810.500266204, A.D. 1970-Aug-12 00:00:23.0000,  9.635019893615384E+08,  9.735941805601981E+08, -5.545127930016541E+07,
2440811.500266204, A.D. 1970-Aug-13 00:00:23.0000,  9.629126266377428E+08,  9.742101764591122E+08, -5.549814018304604E+07,
2440812.500266204, A.D. 1970-Aug-14 00:00:23.0000,  9.623224476594346E+08,  9.748262217246770E+08, -5.554496444448298E+07,
2440813.500266204, A.D. 1970-Aug-15 00:00:23.0000,  9.617314519624176E+08,  9.754423140742694E+08, -5.559175030907202E+07,
2440814.500266204, A.D. 1970-Aug-16 00:00:23.0000,  9.611396390863473E+08,  9.760584512332524E+08, -5.563849600891024E+07,
2440815.500266204, A.D. 1970-Aug-17 00:00:23.0000,  9.605470085747328E+08,  9.766746309349753E+08, -5.568519978359431E+07,
2440816.500266204, A.D. 1970-Aug-18 00:00:23.0000,  9.599535599749366E+08,  9.772908509207772E+08, -5.573185988022166E+07,
2440817.500266204, A.D. 1970-Aug-19 00:00:23.0000,  9.593592928381751E+08,  9.779071089399869E+08, -5.577847455338961E+07,
2440818.500266204, A.D. 1970-Aug-20 00:00:23.0000,  9.587642067195191E+08,  9.785234027499247E+08, -5.582504206519544E+07,
2440819.500266204, A.D. 1970-Aug-21 00:00:23.0000,  9.581683011778945E+08,  9.791397301159012E+08, -5.587156068523580E+07,
2440820.500266204, A.D. 1970-Aug-22 00:00:23.0000,  9.575715757760811E+08,  9.797560888112196E+08, -5.591802869060808E+07,
2440821.500266204, A.D. 1970-Aug-23 00:00:23.0000,  9.569740300752224E+08,  9.803724766121591E+08, -5.596444435915220E+07,
2440822.500266204, A.D. 1970-Aug-24 00:00:23.0000,  9.563756636389586E+08,  9.809888913019751E+08, -5.601080597471130E+07,
2440823.500266204, A.D. 1970-Aug-25 00:00:23.0000,  9.557764760381901E+08,  9.816053306749249E+08, -5.605711183282340E+07,
2440824.500266204, A.D. 1970-Aug-26 00:00:23.0000,  9.551764668458068E+08,  9.822217925312746E+08, -5.610336023412305E+07,
2440825.500266204, A.D. 1970-Aug-27 00:00:23.0000,  9.545756356366869E+08,  9.828382746772950E+08, -5.614954948434186E+07,
2440826.500266204, A.D. 1970-Aug-28 00:00:23.0000,  9.539739819876971E+08,  9.834547749252570E+08, -5.619567789430869E+07,
2440827.500266204, A.D. 1970-Aug-29 00:00:23.0000,  9.533715054776921E+08,  9.840712910934258E+08, -5.624174377995020E+07,
2440828.500266204, A.D. 1970-Aug-30 00:00:23.0000,  9.527682056875148E+08,  9.846878210060550E+08, -5.628774546229154E+07,
2440829.500266204, A.D. 1970-Aug-31 00:00:23.0000,  9.521640821999962E+08,  9.853043624933783E+08, -5.633368126745647E+07,
2440830.500266204, A.D. 1970-Sep-01 00:00:23.0000,  9.515591345999562E+08,  9.859209133915999E+08, -5.637954952666873E+07,
2440831.500266204, A.D. 1970-Sep-02 00:00:23.0000,  9.509533624742053E+08,  9.865374715428832E+08, -5.642534857625264E+07,
2440832.500266204, A.D. 1970-Sep-03 00:00:23.0000,  9.503467654115460E+08,  9.871540347953397E+08, -5.647107675763500E+07,
2440833.500266204, A.D. 1970-Sep-04 00:00:23.0000,  9.497393430027773E+08,  9.877706010030134E+08, -5.651673241734582E+07,
2440834.500266204, A.D. 1970-Sep-05 00:00:23.0000,  9.491310948406993E+08,  9.883871680258638E+08, -5.656231390702093E+07,
2440835.500266204, A.D. 1970-Sep-06 00:00:23.0000,  9.485220205201203E+08,  9.890037337297485E+08, -5.660781958340383E+07,
2440836.500266204, A.D. 1970-Sep-07 00:00:23.0000,  9.479121196378665E+08,  9.896202959864023E+08, -5.665324780834842E+07,
2440837.500266204, A.D. 1970-Sep-08 00:00:23.0000,  9.473013917927959E+08,  9.902368526734133E+08, -5.669859694882190E+07,
2440838.500266204, A.D. 1970-Sep-09 00:00:23.0000,  9.466898365858150E+08,  9.908534016741991E+08, -5.674386537690920E+07,
2440839.500266204, A.D. 1970-Sep-10 00:00:23.0000,  9.460774536163434E+08,  9.914699408727131E+08, -5.678905146427041E+07,
2440840.500266204, A.D. 1970-Sep-11 00:00:23.0000,  9.454642424848968E+08,  9.920864681576006E+08, -5.683415358643860E+07,
2440841.500266204, A.D. 1970-Sep-12 00:00:23.0000,  9.448502027961500E+08,  9.927029814265169E+08, -5.687917012744224E+07,
2440842.500266204, A.D. 1970-Sep-13 00:00:23.0000,  9.442353341555896E+08,  9.933194785808980E+08, -5.692409947438389E+07,
2440843.500266204, A.D. 1970-Sep-14 00:00:23.0000,  9.436196361695678E+08,  9.939359575259366E+08, -5.696894001744813E+07,
2440844.500266204, A.D. 1970-Sep-15 00:00:23.0000,  9.430031084453673E+08,  9.945524161705620E+08, -5.701369014990854E+07,
2440845.500266204, A.D. 1970-Sep-16 00:00:23.0000,  9.423857505912778E+08,  9.951688524274282E+08, -5.705834826813644E+07,
2440846.500266204, A.D. 1970-Sep-17 00:00:23.0000,  9.417675622166837E+08,  9.957852642129126E+08, -5.710291277160883E+07,
2440847.500266204, A.D. 1970-Sep-18 00:00:23.0000,  9.411485429321624E+08,  9.964016494471290E+08, -5.714738206291676E+07,
2440848.500266204, A.D. 1970-Sep-19 00:00:23.0000,  9.405286923495910E+08,  9.970180060539620E+08, -5.719175454777211E+07,
2440849.500266204, A.D. 1970-Sep-20 00:00:23.0000,  9.399080100822586E+08,  9.976343319611241E+08, -5.723602863501412E+07,
2440850.500266204, A.D. 1970-Sep-21 00:00:23.0000,  9.392864957449768E+08,  9.982506251002414E+08, -5.728020273661202E+07,
2440851.500266204, A.D. 1970-Sep-22 00:00:23.0000,  9.386641489541835E+08,  9.988668834069670E+08, -5.732427526766574E+07,
2440852.500266204, A.D. 1970-Sep-23 00:00:23.0000,  9.380409693280287E+08,  9.994831048211305E+08, -5.736824464640236E+07,
2440853.500266204, A.D. 1970-Sep-24 00:00:23.0000,  9.374169564864346E+08,  1.000099287286913E+09, -5.741210929416627E+07,
2440854.500266204, A.D. 1970-Sep-25 00:00:23.0000,  9.367921100511161E+08,  1.000715428753043E+09, -5.745586763540643E+07,
2440855.500266204, A.D. 1970-Sep-26 00:00:23.0000,  9.361664296455573E+08,  1.001331527173013E+09, -5.749951809765667E+07,
2440856.500266204, A.D. 1970-Sep-27 00:00:23.0000,  9.355399148949347E+08,  1.001947580505283E+09, -5.754305911151123E+07,
2440857.500266204, A.D. 1970-Sep-28 00:00:23.0000,  9.349125654233065E+08,  1.002563586707701E+09, -5.758648910556906E+07,
2440858.500266204, A.D. 1970-Sep-29 00:00:23.0000,  9.342843808552638E+08,  1.003179543742468E+09, -5.762980651030922E+07,
2440859.500266204, A.D. 1970-Sep-30 00:00:23.0000,  9.336553608180496E+08,  1.003795449581034E+09, -5.767300976225990E+07,
2440860.500266204, A.D. 1970-Oct-01 00:00:23.0000,  9.330255049388120E+08,  1.004411302198381E+09, -5.771609729905128E+07,
2440861.500266204, A.D. 1970-Oct-02 00:00:23.0000,  9.323948128443643E+08,  1.005027099573019E+09, -5.775906755939460E+07,
2440862.500266204, A.D. 1970-Oct-03 00:00:23.0000,  9.317632841609548E+08,  1.005642839686923E+09, -5.780191898306513E+07,
2440863.500266204, A.D. 1970-Oct-04 00:00:23.0000,  9.311309185140702E+08,  1.006258520525421E+09, -5.784465001089472E+07,
2440864.500266204, A.D. 1970-Oct-05 00:00:23.0000,  9.304977155282769E+08,  1.006874140077046E+09, -5.788725908476883E+07,
2440865.500266204, A.D. 1970-Oct-06 00:00:23.0000,  9.298636748271081E+08,  1.007489696333362E+09, -5.792974464763111E+07,
2440866.500266204, A.D. 1970-Oct-07 00:00:23.0000,  9.292287960330001E+08,  1.008105187288789E+09, -5.797210514349234E+07,
2440867.500266204, A.D. 1970-Oct-08 00:00:23.0000,  9.285930787672708E+08,  1.008720610940425E+09, -5.801433901744252E+07,
2440868.500266204, A.D. 1970-Oct-09 00:00:23.0000,  9.279565226501349E+08,  1.009335965287889E+09, -5.805644471566617E+07,
2440869.500266204, A.D. 1970-Oct-10 00:00:23.0000,  9.273191273007476E+08,  1.009951248333182E+09, -5.809842068545771E+07,
2440870.500266204, A.D. 1970-Oct-11 00:00:23.0000,  9.266808923372689E+08,  1.010566458080576E+09, -5.814026537523705E+07,
2440871.500266204, A.D. 1970-Oct-12 00:00:23.0000,  9.260418173769394E+08,  1.011181592536520E+09, -5.818197723456365E+07,
2440872.500266204, A.D. 1970-Oct-13 00:00:23.0000,  9.254019020361625E+08,  1.011796649709582E+09, -5.822355471415079E+07,
2440873.500266204, A.D. 1970-Oct-14 00:00:23.0000,  9.247611459305863E+08,  1.012411627610398E+09, -5.826499626587594E+07,
2440874.500266204, A.D. 1970-Oct-15 00:00:23.0000,  9.241195486751825E+08,  1.013026524251650E+09, -5.830630034279132E+07,
2440875.500266204, A.D. 1970-Oct-16 00:00:23.0000,  9.234771098818065E+08,  1.013641337642421E+09, -5.834746539414394E+07,
2440876.500266204, A.D. 1970-Oct-17 00:00:23.0000,  9.228338291610677E+08,  1.014256065793043E+09, -5.838848986938459E+07,
2440877.500266204, A.D. 1970-Oct-18 00:00:23.0000,  9.221897061246610E+08,  1.014870706719624E+09, -5.842937222234845E+07,
2440878.500266204, A.D. 1970-Oct-19 00:00:23.0000,  9.215447403830646E+08,  1.015485258438328E+09, -5.847011090634084E+07,
2440879.500266204, A.D. 1970-Oct-20 00:00:23.0000,  9.208989315455825E+08,  1.016099718965393E+09, -5.851070437413931E+07,
2440880.500266204, A.D. 1970-Oct-21 00:00:23.0000,  9.202522792203799E+08,  1.016714086317157E+09, -5.855115107799619E+07,
2440881.500266204, A.D. 1970-Oct-22 00:00:23.0000,  9.196047830145125E+08,  1.017328358510077E+09, -5.859144946963912E+07,
2440882.500266204, A.D. 1970-Oct-23 00:00:23.0000,  9.189564425339502E+08,  1.017942533560756E+09, -5.863159800027198E+07,
2440883.500266204, A.D. 1970-Oct-24 00:00:23.0000,  9.183072573835963E+08,  1.018556609485970E+09, -5.867159512057465E+07,
2440884.500266204, A.D. 1970-Oct-25 00:00:23.0000,  9.176572271673009E+08,  1.019170584302687E+09, -5.871143928070337E+07,
2440885.500266204, A.D. 1970-Oct-26 00:00:23.0000,  9.170063514878724E+08,  1.019784456028094E+09, -5.875112893028992E+07,
2440886.500266204, A.D. 1970-Oct-27 00:00:23.0000,  9.163546299470862E+08,  1.020398222679618E+09, -5.879066251844072E+07,
2440887.500266204, A.D. 1970-Oct-28 00:00:23.0000,  9.157020621456888E+08,  1.021011882274945E+09, -5.883003849373686E+07,
2440888.500266204, A.D. 1970-Oct-29 00:00:23.0000,  9.150486476834023E+08,  1.021625432832039E+09, -5.886925530423260E+07,
2440889.500266204, A.D. 1970-Oct-30 00:00:23.0000,  9.143943861589251E+08,  1.022238872369165E+09, -5.890831139745456E+07,
2440890.500266204, A.D. 1970-Oct-31 00:00:23.0000,  9.137392771699321E+08,  1.022852198904899E+09, -5.894720522040105E+07,
2440891.500266204, A.D. 1970-Nov-01 00:00:23.0000,  9.130833203130739E+08,  1.023465410458150E+09, -5.898593521954095E+07,
2440892.500266204, A.D. 1970-Nov-02 00:00:23.0000,  9.124265151839737E+08,  1.024078505048171E+09, -5.902449984081268E+07,
2440893.500266204, A.D. 1970-Nov-03 00:00:23.0000,  9.117688613752658E+08,  1.024691480689107E+09, -5.906289752484721E+07,
