JDTDB,Calendar Date (TDB),X,Y,Z,
2447213.500092593, A.D. 1988-Feb-22 00:00:08.0000,  5.978968158922201E+08,  4.407506078414482E+08, -1.522064328960264E+07,
2447214.500092593, A.D. 1988-Feb-23 00:00:08.0000,  5.972104022933819E+08,  4.417039318033876E+08, -1.520967849099594E+07,
2447215.500092593, A.D. 1988-Feb-24 00:00:08.0000,  5.965229240561640E+08,  4.426562829129512E+08, -1.519866344038716E+07,
2447216.500092593, A.D. 1988-Feb-25 00:00:08.0000,  5.958343245106416E+08,  4.436075130205249E+08, -1.518760357112730E+07,
2447217.500092593, A.D. 1988-Feb-26 00:00:08.0000,  5.951445700364413E+08,  4.445576299129297E+08, -1.517649876494327E+07,
2447218.500092593, A.D. 1988-Feb-27 00:00:08.0000,  5.944538778508084E+08,  4.455066025084294E+08, -1.516534598218501E+07,
2447219.500092593, A.D. 1988-Feb-28 00:00:08.0000,  5.937621174668169E+08,  4.464545329518989E+08, -1.515414287739950E+07,
2447220.500092593, A.D. 1988-Feb-29 00:00:08.0000,  5.930693984639893E+08,  4.474014720762613E+08, -1.514288625672024E+07,
2447221.500092593, A.D. 1988-Mar-01 00:00:08.0000,  5.923756373444450E+08,  4.483473804755716E+08, -1.513157785221341E+07,
2447222.500092593, A.D. 1988-Mar-02 00:00:08.0000,  5.916808565281057E+08,  4.492924464103929E+08, -1.512020955366257E+07,
2447223.500092593, A.D. 1988-Mar-03 00:00:08.0000,  5.909849365584497E+08,  4.502365346755849E+08, -1.510878760406658E+07,
2447224.500092593, A.D. 1988-Mar-04 00:00:08.0000,  5.902878479847291E+08,  4.511796576333590E+08, -1.509731199918631E+07,
2447225.500092593, A.D. 1988-Mar-05 00:00:08.0000,  5.895897654045405E+08,  4.521217426584674E+08, -1.508578224566317E+07,
2447226.500092593, A.D. 1988-Mar-06 00:00:08.0000,  5.888905754439462E+08,  4.530629092546120E+08, -1.507419555577803E+07,
2447227.500092593, A.D. 1988-Mar-07 00:00:08.0000,  5.881903769687833E+08,  4.540031741083369E+08, -1.506255053048086E+07,
2447228.500092593, A.D. 1988-Mar-08 00:00:08.0000,  5.874890649307663E+08,  4.549424999889584E+08, -1.505084973257458E+07,
2447229.500092593, A.D. 1988-Mar-09 00:00:08.0000,  5.867867054077206E+08,  4.558810558584072E+08, -1.503908566067031E+07,
2447230.500092593, A.D. 1988-Mar-10 00:00:08.0000,  5.860831427991015E+08,  4.568187099844202E+08, -1.502726538810810E+07,
2447231.500092593, A.D. 1988-Mar-11 00:00:08.0000,  5.853783728750490E+08,  4.577554820837271E+08, -1.501538875963509E+07,
2447232.500092593, A.D. 1988-Mar-12 00:00:08.0000,  5.846725414387447E+08,  4.586912596548955E+08, -1.500345782029185E+07,
2447233.500092593, A.D. 1988-Mar-13 00:00:08.0000,  5.839655785395243E+08,  4.596261915371960E+08, -1.499146852465832E+07,
2447234.500092593, A.D. 1988-Mar-14 00:00:08.0000,  5.832575688226891E+08,  4.605602757319022E+08, -1.497942087624970E+07,
2447235.500092593, A.D. 1988-Mar-15 00:00:08.0000,  5.825484039989806E+08,  4.614935058598080E+08, -1.496731706454036E+07,
2447236.500092593, A.D. 1988-Mar-16 00:00:08.0000,  5.818381731033212E+08,  4.624260373834349E+08, -1.495515032206130E+07,
2447237.500092593, A.D. 1988-Mar-17 00:00:08.0000,  5.811266826549810E+08,  4.633577677425954E+08, -1.494292751268205E+07,
2447238.500092593, A.D. 1988-Mar-18 00:00:08.0000,  5.804139337699529E+08,  4.642887291839917E+08, -1.493064847486058E+07,
2447239.500092593, A.D. 1988-Mar-19 00:00:08.0000,  5.797000236716454E+08,  4.652187705304792E+08, -1.491831783865839E+07,
2447240.500092593, A.D. 1988-Mar-20 00:00:08.0000,  5.789849062969345E+08,  4.661480649292917E+08, -1.490593054078433E+07,
2447241.500092593, A.D. 1988-Mar-21 00:00:08.0000,  5.782686341158439E+08,  4.670765735121949E+08, -1.489348871038818E+07,
2447242.500092593, A.D. 1988-Mar-22 00:00:08.0000,  5.775510950001358E+08,  4.680043089352941E+08, -1.488099433940217E+07,
2447243.500092593, A.D. 1988-Mar-23 00:00:08.0000,  5.768323828725387E+08,  4.689313804573259E+08, -1.486844252817923E+07,
2447244.500092593, A.D. 1988-Mar-24 00:00:08.0000,  5.761122842732100E+08,  4.698577090815303E+08, -1.485583960391369E+07,
2447245.500092593, A.D. 1988-Mar-25 00:00:08.0000,  5.753908120450776E+08,  4.707833070136640E+08, -1.484318626426205E+07,
2447246.500092593, A.D. 1988-Mar-26 00:00:08.0000,  5.746680315131719E+08,  4.717079822477218E+08, -1.483048915764877E+07,
2447247.500092593, A.D. 1988-Mar-27 00:00:08.0000,  5.739439417430876E+08,  4.726319183311945E+08, -1.481774221771574E+07,
2447248.500092593, A.D. 1988-Mar-28 00:00:08.0000,  5.732185896886932E+08,  4.735550397138895E+08, -1.480494900333065E+07,
2447249.500092593, A.D. 1988-Mar-29 00:00:08.0000,  5.724918782422043E+08,  4.744773918458688E+08, -1.479211027102542E+07,
2447250.500092593, A.D. 1988-Mar-30 00:00:08.0000,  5.717639178706893E+08,  4.753990434929805E+08, -1.477922231416574E+07,
2447251.500092593, A.D. 1988-Mar-31 00:00:08.0000,  5.710344954589518E+08,  4.763199697814301E+08, -1.476628938281980E+07,
2447252.500092593, A.D. 1988-Apr-01 00:00:08.0000,  5.703036273408402E+08,  4.772401705513958E+08, -1.475331253772509E+07,
2447253.500092593, A.D. 1988-Apr-02 00:00:08.0000,  5.695713386691176E+08,  4.781594516952029E+08, -1.474029884897578E+07,
2447254.500092593, A.D. 1988-Apr-03 00:00:08.0000,  5.688376629530342E+08,  4.790780029635189E+08, -1.472724135189754E+07,
2447255.500092593, A.D. 1988-Apr-04 00:00:08.0000,  5.681026221160005E+08,  4.799957283857203E+08, -1.471414434341079E+07,
2447256.500092593, A.D. 1988-Apr-05 00:00:08.0000,  5.673661152234255E+08,  4.809127053606657E+08, -1.470100727212635E+07,
2447257.500092593, A.D. 1988-Apr-06 00:00:08.0000,  5.666282545585486E+08,  4.818289515163172E+08, -1.468782786725980E+07,
2447258.500092593, A.D. 1988-Apr-07 00:00:08.0000,  5.658888146578733E+08,  4.827444857707655E+08, -1.467460861246476E+07,
2447259.500092593, A.D. 1988-Apr-08 00:00:08.0000,  5.651478061852670E+08,  4.836592700017853E+08, -1.466135148683569E+07,
2447260.500092593, A.D. 1988-Apr-09 00:00:08.0000,  5.644052160574778E+08,  4.845731062931706E+08, -1.464806379779246E+07,
2447261.500092593, A.D. 1988-Apr-10 00:00:08.0000,  5.636611170174626E+08,  4.854861488378543E+08, -1.463473885563463E+07,
2447262.500092593, A.D. 1988-Apr-11 00:00:08.0000,  5.629155124715292E+08,  4.863982800246936E+08, -1.462138135453275E+07,
2447263.500092593, A.D. 1988-Apr-12 00:00:08.0000,  5.621683279125946E+08,  4.873095894912234E+08, -1.460798949456862E+07,
2447264.500092593, A.D. 1988-Apr-13 00:00:08.0000,  5.614196948181521E+08,  4.882200442088015E+08, -1.459456210191151E+07,
2447265.500092593, A.D. 1988-Apr-14 00:00:08.0000,  5.606693987150450E+08,  4.891297090139539E+08, -1.458109934337279E+07,
2447266.500092593, A.D. 1988-Apr-15 00:00:08.0000,  5.599174695643871E+08,  4.900385215716522E+08, -1.456760312940124E+07,
2447267.500092593, A.D. 1988-Apr-16 00:00:08.0000,  5.591638669670846E+08,  4.909463069514092E+08, -1.455408000016066E+07,
2447268.500092593, A.D. 1988-Apr-17 00:00:08.0000,  5.584087075395864E+08,  4.918531902957112E+08, -1.454052314140823E+07,
2447269.500092593, A.D. 1988-Apr-18 00:00:08.0000,  5.576519703329600E+08,  4.927590716675615E+08, -1.452693633882287E+07,
2447270.500092593, A.D. 1988-Apr-19 00:00:08.0000,  5.568936073956618E+08,  4.936640550867245E+08, -1.451331651859915E+07,
2447271.500092593, A.D. 1988-Apr-20 00:00:08.0000,  5.561337386323400E+08,  4.945680781233844E+08, -1.449966335675099E+07,
2447272.500092593, A.D. 1988-Apr-21 00:00:08.0000,  5.553721559287910E+08,  4.954712530876942E+08, -1.448597465874746E+07,
2447273.500092593, A.D. 1988-Apr-22 00:00:08.0000,  5.546088883807515E+08,  4.963734975787616E+08, -1.447225254780304E+07,
2447274.500092593, A.D. 1988-Apr-23 00:00:08.0000,  5.538438470838864E+08,  4.972746524433964E+08, -1.445850341859511E+07,
2447275.500092593, A.D. 1988-Apr-24 00:00:08.0000,  5.530771823141954E+08,  4.981747972588245E+08, -1.444472108740020E+07,
2447276.500092593, A.D. 1988-Apr-25 00:00:08.0000,  5.523088411664793E+08,  4.990738397783629E+08, -1.443090907599145E+07,
2447277.500092593, A.D. 1988-Apr-26 00:00:08.0000,  5.515388087721437E+08,  4.999718646312686E+08, -1.441706427174547E+07,
2447278.500092593, A.D. 1988-Apr-27 00:00:08.0000,  5.507671865464096E+08,  5.008687752581313E+08, -1.440318761583868E+07,
2447279.500092593, A.D. 1988-Apr-28 00:00:08.0000,  5.499938081858171E+08,  5.017647063732894E+08, -1.438927515801567E+07,
2447280.500092593, A.D. 1988-Apr-29 00:00:08.0000,  5.492187095631002E+08,  5.026595503985540E+08, -1.437532964430135E+07,
2447281.500092593, A.D. 1988-Apr-30 00:00:08.0000,  5.484417823617692E+08,  5.035531677768446E+08, -1.436135695951426E+07,
2447282.500092593, A.D. 1988-May-01 00:00:08.0000,  5.476632281367701E+08,  5.044456038260813E+08, -1.434735129183024E+07,
2447283.500092593, A.D. 1988-May-02 00:00:08.0000,  5.468829778258437E+08,  5.053367865546812E+08, -1.433331559818998E+07,
2447284.500092593, A.D. 1988-May-03 00:00:08.0000,  5.461010641246212E+08,  5.062267994223444E+08, -1.431924620755771E+07,
2447285.500092593, A.D. 1988-May-04 00:00:08.0000,  5.453175633167940E+08,  5.071155447337896E+08, -1.430514458589846E+07,
2447286.500092593, A.D. 1988-May-05 00:00:08.0000,  5.445323601625692E+08,  5.080031871622841E+08, -1.429100506026426E+07,
2447287.500092593, A.D. 1988-May-06 00:00:08.0000,  5.437454681094826E+08,  5.088896166070645E+08, -1.427683092567271E+07,
2447288.500092593, A.D. 1988-May-07 00:00:08.0000,  5.429567600846703E+08,  5.097747294500583E+08, -1.426262722413224E+07,
2447289.500092593, A.D. 1988-May-08 00:00:08.0000,  5.421664548604890E+08,  5.106585380949993E+08, -1.424838933989826E+07,
2447290.500092593, A.D. 1988-May-09 00:00:08.0000,  5.413744532666316E+08,  5.115409885215592E+08, -1.423412020710579E+07,
2447291.500092593, A.D. 1988-May-10 00:00:08.0000,  5.405808172660519E+08,  5.124221580952189E+08, -1.421981627047589E+07,
2447292.500092593, A.D. 1988-May-11 00:00:08.0000,  5.397855820802789E+08,  5.133019315603995E+08, -1.420548056962296E+07,
2447293.500092593, A.D. 1988-May-12 00:00:08.0000,  5.389886859397517E+08,  5.141804794228119E+08, -1.419110687022230E+07,
2447294.500092593, A.D. 1988-May-13 00:00:08.0000,  5.381901112991980E+08,  5.150576779461663E+08, -1.417669965948942E+07,
2447295.500092593, A.D. 1988-May-14 00:00:08.0000,  5.373897406093527E+08,  5.159334410357512E+08, -1.416226364286831E+07,
2447296.500092593, A.D. 1988-May-15 00:00:08.0000,  5.365878053799739E+08,  5.168077292089901E+08, -1.414779640087214E+07,
2447297.500092593, A.D. 1988-May-16 00:00:08.0000,  5.357842111934026E+08,  5.176805099909176E+08, -1.413330042655137E+07,
2447298.500092593, A.D. 1988-May-17 00:00:08.0000,  5.349790626814545E+08,  5.185518543491727E+08, -1.411877227640191E+07,
2447299.500092593, A.D. 1988-May-18 00:00:08.0000,  5.341723743995200E+08,  5.194216401307042E+08, -1.410421617606539E+07,
2447300.500092593, A.D. 1988-May-19 00:00:08.0000,  5.333641500688276E+08,  5.202900620691591E+08, -1.408962471674764E+07,
2447301.500092593, A.D. 1988-May-20 00:00:08.0000,  5.325543470790840E+08,  5.211570049059092E+08, -1.407500279601061E+07,
2447302.500092593, A.D. 1988-May-21 00:00:08.0000,  5.317428667861627E+08,  5.220224238264859E+08, -1.406035403793767E+07,
2447303.500092593, A.D. 1988-May-22 00:00:08.0000,  5.309299246630865E+08,  5.228862463753378E+08, -1.404567800673962E+07,
2447304.500092593, A.D. 1988-May-23 00:00:08.0000,  5.301154344065691E+08,  5.237484831554919E+08, -1.403097597743103E+07,
2447305.500092593, A.D. 1988-May-24 00:00:08.0000,  5.292995127403807E+08,  5.246091961551419E+08, -1.401624513021636E+07,
2447306.500092593, A.D. 1988-May-25 00:00:08.0000,  5.284821381337800E+08,  5.254682708850864E+08, -1.400149060102209E+07,
2447307.500092593, A.D. 1988-May-26 00:00:08.0000,  5.276633528566806E+08,  5.263259147179525E+08, -1.398670440412703E+07,
2447308.500092593, A.D. 1988-May-27 00:00:08.0000,  5.268430780518586E+08,  5.271820089761768E+08, -1.397189236055258E+07,
2447309.500092593, A.D. 1988-May-28 00:00:08.0000,  5.260212222694808E+08,  5.280365384530927E+08, -1.395705744352037E+07,
2447310.500092593, A.D. 1988-May-29 00:00:08.0000,  5.251979724529398E+08,  5.288893769263831E+08, -1.394220186276934E+07,
2447311.500092593, A.D. 1988-May-30 00:00:08.0000,  5.243732656021194E+08,  5.297405614490074E+08, -1.392732587486711E+07,
2447312.500092593, A.D. 1988-May-31 00:00:08.0000,  5.235472283520845E+08,  5.305901181117674E+08, -1.391242808006641E+07,
2447313.500092593, A.D. 1988-Jun-01 00:00:08.0000,  5.227198310161004E+08,  5.314379454542988E+08, -1.389751371156231E+07,
2447314.500092593, A.D. 1988-Jun-02 00:00:08.0000,  5.218911686328996E+08,  5.322842425955817E+08, -1.388257447870907E+07,
2447315.500092593, A.D. 1988-Jun-03 00:00:08.0000,  5.210611504885655E+08,  5.331289031090195E+08, -1.386761612923861E+07,
2447316.500092593, A.D. 1988-Jun-04 00:00:08.0000,  5.202297050225193E+08,  5.339719529063541E+08, -1.385264006292248E+07,
2447317.500092593, A.D. 1988-Jun-05 00:00:08.0000,  5.193970015490624E+08,  5.348132305528002E+08, -1.383765011882427E+07,
2447318.500092593, A.D. 1988-Jun-06 00:00:08.0000,  5.185630028226288E+08,  5.356528216726281E+08, -1.382264446816224E+07,
2447319.500092593, A.D. 1988-Jun-07 00:00:08.0000,  5.177278352677678E+08,  5.364907326347937E+08, -1.380762244511268E+07,
2447320.500092593, A.D. 1988-Jun-08 00:00:08.0000,  5.168914571830699E+08,  5.373269052926443E+08, -1.379258799268407E+07,
2447321.500092593, A.D. 1988-Jun-09 00:00:08.0000,  5.160539919565020E+08,  5.381615235113763E+08, -1.377753287489346E+07,
2447322.500092593, A.D. 1988-Jun-10 00:00:08.0000,  5.152153220488719E+08,  5.389945178301166E+08, -1.376246179839042E+07,
2447323.500092593, A.D. 1988-Jun-11 00:00:08.0000,  5.143753758445858E+08,  5.398259434624813E+08, -1.374737484054312E+07,
2447324.500092593, A.D. 1988-Jun-12 00:00:08.0000,  5.135342811326913E+08,  5.406556052919563E+08, -1.373227746239915E+07,
2447325.500092593, A.D. 1988-Jun-13 00:00:08.0000,  5.126920063854058E+08,  5.414836173382030E+08, -1.371716636789382E+07,
2447326.500092593, A.D. 1988-Jun-14 00:00:08.0000,  5.118486707619197E+08,  5.423099465566918E+08, -1.370204204657581E+07,
2447327.500092593, A.D. 1988-Jun-15 00:00:08.0000,  5.110042167548634E+08,  5.431345626312517E+08, -1.368690731323862E+07,
2447328.500092593, A.D. 1988-Jun-16 00:00:08.0000,  5.101587974576936E+08,  5.439576018949337E+08, -1.367175494340631E+07,
2447329.500092593, A.D. 1988-Jun-17 00:00:08.0000,  5.093122868088723E+08,  5.447790296331176E+08, -1.365658804349494E+07,
2447330.500092593, A.D. 1988-Jun-18 00:00:08.0000,  5.084646358886732E+08,  5.455989047454031E+08, -1.364140569880071E+07,
2447331.500092593, A.D. 1988-Jun-19 00:00:08.0000,  5.076159431755006E+08,  5.464170164019125E+08, -1.362621401045236E+07,
2447332.500092593, A.D. 1988-Jun-20 00:00:08.0000,  5.067662060166342E+08,  5.472335011676215E+08, -1.361100793642163E+07,
2447333.500092593, A.D. 1988-Jun-21 00:00:08.0000,  5.059155481857252E+08,  5.480483047868640E+08, -1.359578808826995E+07,
2447334.500092593, A.D. 1988-Jun-22 00:00:08.0000,  5.050639015459473E+08,  5.488614410382454E+08, -1.358055539197442E+07,
2447335.500092593, A.D. 1988-Jun-23 00:00:08.0000,  5.042114506126928E+08,  5.496730157113178E+08, -1.356530298965806E+07,
2447336.500092593, A.D. 1988-Jun-24 00:00:08.0000,  5.033580532950386E+08,  5.504830515912199E+08, -1.355003149159157E+07,
2447337.500092593, A.D. 1988-Jun-25 00:00:08.0000,  5.025036741927958E+08,  5.512916164971348E+08, -1.353473895985469E+07,
2447338.500092593, A.D. 1988-Jun-26 00:00:08.0000,  5.016483576724387E+08,  5.520985133696020E+08, -1.351943135248527E+07,
2447339.500092593, A.D. 1988-Jun-27 00:00:08.0000,  5.007921189309989E+08,  5.529038886145992E+08, -1.350410245325983E+07,
2447340.500092593, A.D. 1988-Jun-28 00:00:08.0000,  4.999350529577041E+08,  5.537076735627626E+08, -1.348875313787332E+07,
2447341.500092593, A.D. 1988-Jun-29 00:00:08.0000,  4.990770689969323E+08,  5.545099098562255E+08, -1.347338325737941E+07,
2447342.500092593, A.D. 1988-Jun-30 00:00:08.0000,  4.982183634336309E+08,  5.553106559194115E+08, -1.345798711187387E+07,
2447343.500092593, A.D. 1988-Jul-01 00:00:08.0000,  4.973587707265380E+08,  5.561099655629554E+08, -1.344256391339347E+07,
2447344.500092593, A.D. 1988-Jul-02 00:00:08.0000,  4.964982762325118E+08,  5.569078931179266E+08, -1.342711152844265E+07,
2447345.500092593, A.D. 1988-Jul-03 00:00:08.0000,  4.956368718884144E+08,  5.577042437977318E+08, -1.341163620395860E+07,
2447346.500092593, A.D. 1988-Jul-04 00:00:08.0000,  4.947746133782506E+08,  5.584991454933418E+08, -1.339613140205732E+07,
