JDTDB,Calendar Date (TDB),X,Y,Z,
2447213.500092593, A.D. 1988-Feb-22 00:00:08.0000,  6.168825398321790E+08,  4.447279405835752E+08, -2.379707672425336E+07,
2447214.500092593, A.D. 1988-Feb-23 00:00:08.0000,  6.162127189106263E+08,  4.454999026628127E+08, -2.368753209326190E+07,
2447215.500092593, A.D. 1988-Feb-24 00:00:08.0000,  6.155395856832421E+08,  4.462704714749598E+08, -2.357706699222118E+07,
2447216.500092593, A.D. 1988-Feb-25 00:00:08.0000,  6.148631228241220E+08,  4.470396610888430E+08, -2.346568425977433E+07,
2447217.500092593, A.D. 1988-Feb-26 00:00:08.0000,  6.141833129507191E+08,  4.478074858922508E+08, -2.335338690398306E+07,
2447218.500092593, A.D. 1988-Feb-27 00:00:08.0000,  6.135001386363127E+08,  4.485739606138389E+08, -2.324017811537829E+07,
2447219.500092593, A.D. 1988-Feb-28 00:00:08.0000,  6.128135824087987E+08,  4.493391003130780E+08, -2.312606126578009E+07,
2447220.500092593, A.D. 1988-Feb-29 00:00:08.0000,  6.121236267588724E+08,  4.501029203953898E+08, -2.301103991655216E+07,
2447221.500092593, A.D. 1988-Mar-01 00:00:08.0000,  6.114302541461930E+08,  4.508654366132972E+08, -2.289511782407385E+07,
2447222.500092593, A.D. 1988-Mar-02 00:00:08.0000,  6.107334470019726E+08,  4.516266650699212E+08, -2.277829894243312E+07,
2447223.500092593, A.D. 1988-Mar-03 00:00:08.0000,  6.100331877333585E+08,  4.523866222263814E+08, -2.266058742770845E+07,
2447224.500092593, A.D. 1988-Mar-04 00:00:08.0000,  6.093294587296528E+08,  4.531453249072793E+08, -2.254198764352655E+07,
2447225.500092593, A.D. 1988-Mar-05 00:00:08.0000,  6.086222423678193E+08,  4.539027903052605E+08, -2.242250416596135E+07,
2447226.500092593, A.D. 1988-Mar-06 00:00:08.0000,  6.079115210176458E+08,  4.546590359874024E+08, -2.230214178813735E+07,
2447227.500092593, A.D. 1988-Mar-07 00:00:08.0000,  6.071972770487682E+08,  4.554140799018770E+08, -2.218090552609283E+07,
2447228.500092593, A.D. 1988-Mar-08 00:00:08.0000,  6.064794928389924E+08,  4.561679403822502E+08, -2.205880062538767E+07,
2447229.500092593, A.D. 1988-Mar-09 00:00:08.0000,  6.057581507806562E+08,  4.569206361511116E+08, -2.193583256616044E+07,
2447230.500092593, A.D. 1988-Mar-10 00:00:08.0000,  6.050332332854220E+08,  4.576721863262531E+08, -2.181200706700665E+07,
2447231.500092593, A.D. 1988-Mar-11 00:00:08.0000,  6.043047227931750E+08,  4.584226104266486E+08, -2.168733009163335E+07,
2447232.500092593, A.D. 1988-Mar-12 00:00:08.0000,  6.035726017815974E+08,  4.591719283749813E+08, -2.156180785588497E+07,
2447233.500092593, A.D. 1988-Mar-13 00:00:08.0000,  6.028368527629744E+08,  4.599201605066086E+08, -2.143544682603192E+07,
2447234.500092593, A.D. 1988-Mar-14 00:00:08.0000,  6.020974583091044E+08,  4.606673275727367E+08, -2.130825373559377E+07,
2447235.500092593, A.D. 1988-Mar-15 00:00:08.0000,  6.013544010417892E+08,  4.614134507445874E+08, -2.118023558030909E+07,
2447236.500092593, A.D. 1988-Mar-16 00:00:08.0000,  6.006076636619922E+08,  4.621585516269199E+08, -2.105139963513029E+07,
2447237.500092593, A.D. 1988-Mar-17 00:00:08.0000,  5.998572289422427E+08,  4.629026522510063E+08, -2.092175345176300E+07,
2447238.500092593, A.D. 1988-Mar-18 00:00:08.0000,  5.991030797463086E+08,  4.636457750866268E+08, -2.079130486981213E+07,
2447239.500092593, A.D. 1988-Mar-19 00:00:08.0000,  5.983451990358425E+08,  4.643879430425113E+08, -2.066006202139834E+07,
2447240.500092593, A.D. 1988-Mar-20 00:00:08.0000,  5.975835698767157E+08,  4.651291794720627E+08, -2.052803333517081E+07,
2447241.500092593, A.D. 1988-Mar-21 00:00:08.0000,  5.968181754513686E+08,  4.658695081811062E+08, -2.039522754339579E+07,
2447242.500092593, A.D. 1988-Mar-22 00:00:08.0000,  5.960489990715760E+08,  4.666089534316331E+08, -2.026165368941671E+07,
2447243.500092593, A.D. 1988-Mar-23 00:00:08.0000,  5.952760241892478E+08,  4.673475399449015E+08, -2.012732113387412E+07,
2447244.500092593, A.D. 1988-Mar-24 00:00:08.0000,  5.944992344080607E+08,  4.680852929068172E+08, -1.999223956094134E+07,
2447245.500092593, A.D. 1988-Mar-25 00:00:08.0000,  5.937186134973079E+08,  4.688222379725013E+08, -1.985641898559567E+07,
2447246.500092593, A.D. 1988-Mar-26 00:00:08.0000,  5.929341454051100E+08,  4.695584012677917E+08, -1.971986976068738E+07,
2447247.500092593, A.D. 1988-Mar-27 00:00:08.0000,  5.921458142687830E+08,  4.702938093918160E+08, -1.958260258236793E+07,
2447248.500092593, A.D. 1988-Mar-28 00:00:08.0000,  5.913536044261392E+08,  4.710284894235134E+08, -1.944462849547291E+07,
2447249.500092593, A.D. 1988-Mar-29 00:00:08.0000,  5.905575004324688E+08,  4.717624689248372E+08, -1.930595890168983E+07,
2447250.500092593, A.D. 1988-Mar-30 00:00:08.0000,  5.897574870751544E+08,  4.724957759399254E+08, -1.916660556676137E+07,
2447251.500092593, A.D. 1988-Mar-31 00:00:08.0000,  5.889535493781081E+08,  4.732284390104225E+08, -1.902658062151024E+07,
2447252.500092593, A.D. 1988-Apr-01 00:00:08.0000,  5.881456726408868E+08,  4.739604871607109E+08, -1.888589657999751E+07,
2447253.500092593, A.D. 1988-Apr-02 00:00:08.0000,  5.873338424251325E+08,  4.746919499166690E+08, -1.874456633419645E+07,
2447254.500092593, A.D. 1988-Apr-03 00:00:08.0000,  5.865180446060445E+08,  4.754228572918790E+08, -1.860260317293954E+07,
2447255.500092593, A.D. 1988-Apr-04 00:00:08.0000,  5.856982653534700E+08,  4.761532397994779E+08, -1.846002077705890E+07,
2447256.500092593, A.D. 1988-Apr-05 00:00:08.0000,  5.848744911695087E+08,  4.768831284497311E+08, -1.831683323241359E+07,
2447257.500092593, A.D. 1988-Apr-06 00:00:08.0000,  5.840467088983138E+08,  4.776125547505681E+08, -1.817305503420115E+07,
2447258.500092593, A.D. 1988-Apr-07 00:00:08.0000,  5.832149057423573E+08,  4.783415507120644E+08, -1.802870109251818E+07,
2447259.500092593, A.D. 1988-Apr-08 00:00:08.0000,  5.823790692871554E+08,  4.790701488467314E+08, -1.788378674066231E+07,
2447260.500092593, A.D. 1988-Apr-09 00:00:08.0000,  5.815391875209187E+08,  4.797983821666236E+08, -1.773832774203607E+07,
2447261.500092593, A.D. 1988-Apr-10 00:00:08.0000,  5.806952488513963E+08,  4.805262841820028E+08, -1.759234029567957E+07,
2447262.500092593, A.D. 1988-Apr-11 00:00:08.0000,  5.798472421268586E+08,  4.812538889012384E+08, -1.744584104249191E+07,
2447263.500092593, A.D. 1988-Apr-12 00:00:08.0000,  5.789951566586968E+08,  4.819812308284111E+08, -1.729884707192814E+07,
2447264.500092593, A.D. 1988-Apr-13 00:00:08.0000,  5.781389822398559E+08,  4.827083449592391E+08, -1.715137592750201E+07,
2447265.500092593, A.D. 1988-Apr-14 00:00:08.0000,  5.772787091624136E+08,  4.834352667800112E+08, -1.700344561139938E+07,
2447266.500092593, A.D. 1988-Apr-15 00:00:08.0000,  5.764143282420771E+08,  4.841620322685086E+08, -1.685507459028646E+07,
2447267.500092593, A.D. 1988-Apr-16 00:00:08.0000,  5.755458308450147E+08,  4.848886778876679E+08, -1.670628180196962E+07,
2447268.500092593, A.D. 1988-Apr-17 00:00:08.0000,  5.746732089077545E+08,  4.856152405766900E+08, -1.655708666022992E+07,
2447269.500092593, A.D. 1988-Apr-18 00:00:08.0000,  5.737964549666092E+08,  4.863417577602733E+08, -1.640750906029710E+07,
2447270.500092593, A.D. 1988-Apr-19 00:00:08.0000,  5.729155621803429E+08,  4.870682673147016E+08, -1.625756938370070E+07,
