JDTDB,Calendar Date (TDB),X,Y,Z,
2447213.500092593, A.D. 1988-Feb-22 00:00:08.0000,  5.837651072662809E+08,  4.331722237607335E+08, -2.398199361714301E+07,
2447214.500092593, A.D. 1988-Feb-23 00:00:08.0000,  5.830457895352374E+08,  4.343795443611450E+08, -2.391750395018563E+07,
2447215.500092593, A.D. 1988-Feb-24 00:00:08.0000,  5.823271822526475E+08,  4.355868729361043E+08, -2.385160958800465E+07,
2447216.500092593, A.D. 1988-Feb-25 00:00:08.0000,  5.816093290908885E+08,  4.367941867063386E+08, -2.378429743467882E+07,
2447217.500092593, A.D. 1988-Feb-26 00:00:08.0000,  5.808922742368712E+08,  4.380014618461850E+08, -2.371555447435027E+07,
2447218.500092593, A.D. 1988-Feb-27 00:00:08.0000,  5.801760623925848E+08,  4.392086734215957E+08, -2.364536778726152E+07,
2447219.500092593, A.D. 1988-Feb-28 00:00:08.0000,  5.794607387482572E+08,  4.404157953747165E+08, -2.357372457137644E+07,
2447220.500092593, A.D. 1988-Feb-29 00:00:08.0000,  5.787463489775538E+08,  4.416228004727920E+08, -2.350061215642202E+07,
2447221.500092593, A.D. 1988-Mar-01 00:00:08.0000,  5.780329392156550E+08,  4.428296602733964E+08, -2.342601802691579E+07,
2447222.500092593, A.D. 1988-Mar-02 00:00:08.0000,  5.773205560421919E+08,  4.440363450896692E+08, -2.334992983949155E+07,
2447223.500092593, A.D. 1988-Mar-03 00:00:08.0000,  5.766092464649836E+08,  4.452428239496228E+08, -2.327233544098973E+07,
2447224.500092593, A.D. 1988-Mar-04 00:00:08.0000,  5.758990578975810E+08,  4.464490645562516E+08, -2.319322289133960E+07,
2447225.500092593, A.D. 1988-Mar-05 00:00:08.0000,  5.751900381352283E+08,  4.476550332493366E+08, -2.311258048612696E+07,
2447226.500092593, A.D. 1988-Mar-06 00:00:08.0000,  5.744822353320673E+08,  4.488606949648613E+08, -2.303039677754405E+07,
2447227.500092593, A.D. 1988-Mar-07 00:00:08.0000,  5.737756979742484E+08,  4.500660131916723E+08, -2.294666059912354E+07,
2447228.500092593, A.D. 1988-Mar-08 00:00:08.0000,  5.730704748457148E+08,  4.512709499299709E+08, -2.286136109580597E+07,
2447229.500092593, A.D. 1988-Mar-09 00:00:08.0000,  5.723666149928846E+08,  4.524754656539607E+08, -2.277448775239596E+07,
2447230.500092593, A.D. 1988-Mar-10 00:00:08.0000,  5.716641676926596E+08,  4.536795192740566E+08, -2.268603041757837E+07,
2447231.500092593, A.D. 1988-Mar-11 00:00:08.0000,  5.709631824138566E+08,  4.548830680945975E+08, -2.259597933443949E+07,
