JDTDB,Calendar Date (TDB),X,Y,Z,
2447213.500092593, A.D. 1988-Feb-22 00:00:08.0000,  6.050626399549974E+08,  4.612406476544763E+08, -1.975979662566489E+07,
2447214.500092593, A.D. 1988-Feb-23 00:00:08.0000,  6.045795919867202E+08,  4.621704939155609E+08, -1.980124159948179E+07,
2447215.500092593, A.D. 1988-Feb-24 00:00:08.0000,  6.040945625620105E+08,  4.630975272333701E+08, -1.984224418708342E+07,
2447216.500092593, A.D. 1988-Feb-25 00:00:08.0000,  6.036075402259377E+08,  4.640217602005835E+08, -1.988280229458171E+07,
2447217.500092593, A.D. 1988-Feb-26 00:00:08.0000,  6.031185137559530E+08,  4.649432054492652E+08, -1.992291390498933E+07,
2447218.500092593, A.D. 1988-Feb-27 00:00:08.0000,  6.026274721520077E+08,  4.658618756325054E+08, -1.996257707056537E+07,
2447219.500092593, A.D. 1988-Feb-28 00:00:08.0000,  6.021344046396469E+08,  4.667777834353104E+08, -2.000178991793230E+07,
2447220.500092593, A.D. 1988-Feb-29 00:00:08.0000,  6.016393006649832E+08,  4.676909415620970E+08, -2.004055064307749E+07,
2447221.500092593, A.D. 1988-Mar-01 00:00:08.0000,  6.011421498919474E+08,  4.686013627371654E+08, -2.007885751160723E+07,
2447222.500092593, A.D. 1988-Mar-02 00:00:08.0000,  6.006429422019293E+08,  4.695090597035635E+08, -2.011670885877126E+07,
2447223.500092593, A.D. 1988-Mar-03 00:00:08.0000,  6.001416676922739E+08,  4.704140452183751E+08, -2.015410308791301E+07,
2447224.500092593, A.D. 1988-Mar-04 00:00:08.0000,  5.996383166738516E+08,  4.713163320495806E+08, -2.019103866934019E+07,
2447225.500092593, A.D. 1988-Mar-05 00:00:08.0000,  5.991328796691693E+08,  4.722159329738162E+08, -2.022751413961676E+07,
2447226.500092593, A.D. 1988-Mar-06 00:00:08.0000,  5.986253474106348E+08,  4.731128607726297E+08, -2.026352810028782E+07,
2447227.500092593, A.D. 1988-Mar-07 00:00:08.0000,  5.981157108377804E+08,  4.740071282285274E+08, -2.029907921631363E+07,
2447228.500092593, A.D. 1988-Mar-08 00:00:08.0000,  5.976039610940611E+08,  4.748987481231812E+08, -2.033416621524170E+07,
2447229.500092593, A.D. 1988-Mar-09 00:00:08.0000,  5.970900895251861E+08,  4.757877332364307E+08, -2.036878788696256E+07,
2447230.500092593, A.D. 1988-Mar-10 00:00:08.0000,  5.965740876784618E+08,  4.766740963431128E+08, -2.040294308279702E+07,
2447231.500092593, A.D. 1988-Mar-11 00:00:08.0000,  5.960559472996706E+08,  4.775578502097623E+08, -2.043663071401733E+07,
2447232.500092593, A.D. 1988-Mar-12 00:00:08.0000,  5.955356603298085E+08,  4.784390075942325E+08, -2.046984975147268E+07,
2447233.500092593, A.D. 1988-Mar-13 00:00:08.0000,  5.950132189094143E+08,  4.793175812404941E+08, -2.050259922489867E+07,
2447234.500092593, A.D. 1988-Mar-14 00:00:08.0000,  5.944886153660384E+08,  4.801935838786091E+08, -2.053487822071302E+07,
2447235.500092593, A.D. 1988-Mar-15 00:00:08.0000,  5.939618422228379E+08,  4.810670282213515E+08, -2.056668588300675E+07,
2447236.500092593, A.D. 1988-Mar-16 00:00:08.0000,  5.934328921861848E+08,  4.819379269586755E+08, -2.059802140889233E+07,
