JDTDB,Calendar Date (TDB),X,Y,Z,
2420955.500370370, A.D. 1916-Apr-02 00:00:32.0000,  2.197544850219677E+09, -2.016282890211817E+09, -3.625334863761115E+07,
2420956.500370370, A.D. 1916-Apr-03 00:00:32.0000,  2.197710217568468E+09, -2.015788810307118E+09, -3.598921324217820E+07,
2420957.500370370, A.D. 1916-Apr-04 00:00:32.0000,  2.198447998147487E+09, -2.015466462635742E+09, -3.606186284186494E+07,
2420958.500370370, A.D. 1916-Apr-05 00:00:32.0000,  2.198518408577876E+09, -2.015010700291314E+09, -3.622296962569690E+07,
2420959.500370370, A.D. 1916-Apr-06 00:00:32.0000,  2.199079731219845E+09, -2.014595589447071E+09, -3.590646569945598E+07,
2420960.500370370, A.D. 1916-Apr-07 00:00:32.0000,  2.199525863959071E+09, -2.014248885513201E+09, -3.626283885364151E+07,
2420961.500370370, A.D. 1916-Apr-08 00:00:32.0000,  2.199664461463847E+09, -2.013752247079723E+09, -3.602433760789454E+07,
2420962.500370370, A.D. 1916-Apr-09 00:00:32.0000,  2.200408014150792E+09, -2.013425864143152E+09, -3.606094879173374E+07,
2420963.500370370, A.D. 1916-Apr-10 00:00:32.0000,  2.200494516570883E+09, -2.012977767130215E+09, -3.625392874647582E+07,
2420964.500370370, A.D. 1916-Apr-11 00:00:32.0000,  2.201022950348363E+09, -2.012553135846994E+09, -3.592261376241589E+07,
2420965.500370370, A.D. 1916-Apr-12 00:00:32.0000,  2.201503809721713E+09, -2.012212562877419E+09, -3.627059330382347E+07,
2420966.500370370, A.D. 1916-Apr-13 00:00:32.0000,  2.201618343115342E+09, -2.011714285031300E+09, -3.606008351820004E+07,
2420967.500370370, A.D. 1916-Apr-14 00:00:32.0000,  2.202363984013659E+09, -2.011383002004656E+09, -3.606021634900880E+07,
2420968.500370370, A.D. 1916-Apr-15 00:00:32.0000,  2.202469703202570E+09, -2.010942984103265E+09, -3.628313902759719E+07,
2420969.500370370, A.D. 1916-Apr-16 00:00:32.0000,  2.202963960251956E+09, -2.010509044847384E+09, -3.594055802678883E+07,
2420970.500370370, A.D. 1916-Apr-17 00:00:32.0000,  2.203478753135071E+09, -2.010173936724566E+09, -3.627659758162141E+07,
2420971.500370370, A.D. 1916-Apr-18 00:00:32.0000,  2.203572037609190E+09, -2.009674957502935E+09, -3.609640144023538E+07,
2420972.500370370, A.D. 1916-Apr-19 00:00:32.0000,  2.204316142693101E+09, -2.009338022590196E+09, -3.606033387597752E+07,
2420973.500370370, A.D. 1916-Apr-20 00:00:32.0000,  2.204444004624675E+09, -2.008906408059105E+09, -3.631093421641922E+07,
2420974.500370370, A.D. 1916-Apr-21 00:00:32.0000,  2.204902878463879E+09, -2.008463390218607E+09, -3.596062496377277E+07,
2420975.500370370, A.D. 1916-Apr-22 00:00:32.0000,  2.205450217808799E+09, -2.008132967466404E+09, -3.628129384307599E+07,
2420976.500370370, A.D. 1916-Apr-23 00:00:32.0000,  2.205525326573288E+09, -2.007634218804240E+09, -3.613328475345576E+07,
2420977.500370370, A.D. 1916-Apr-24 00:00:32.0000,  2.206264306296786E+09, -2.007290866291943E+09, -3.606114189508188E+07,
2420978.500370370, A.D. 1916-Apr-25 00:00:32.0000,  2.206417039023113E+09, -2.006867880290458E+09, -3.633675645766926E+07,
2420979.500370370, A.D. 1916-Apr-26 00:00:32.0000,  2.206840016048942E+09, -2.006416178182828E+09, -3.598235646306646E+07,
2420980.500370370, A.D. 1916-Apr-27 00:00:32.0000,  2.207418423416832E+09, -2.006089655752731E+09, -3.628432850819659E+07,
2420981.500370370, A.D. 1916-Apr-28 00:00:32.0000,  2.207478617327230E+09, -2.005592071740999E+09, -3.617010129851329E+07,
2420982.500370370, A.D. 1916-Apr-29 00:00:32.0000,  2.208208828315041E+09, -2.005241641653420E+09, -3.606285309345090E+07,
2420983.500370370, A.D. 1916-Apr-30 00:00:32.0000,  2.208388927396463E+09, -2.004827461799655E+09, -3.636083932346702E+07,
2420984.500370370, A.D. 1916-May-01 00:00:32.0000,  2.208775582227835E+09, -2.004367498464942E+09, -3.600605424710536E+07,
2420985.500370370, A.D. 1916-May-02 00:00:32.0000,  2.209382900084748E+09, -2.004043995288010E+09, -3.628637965905750E+07,
2420986.500370370, A.D. 1916-May-03 00:00:32.0000,  2.209431599786155E+09, -2.003548490718933E+09, -3.620714160218048E+07,
2420987.500370370, A.D. 1916-May-04 00:00:32.0000,  2.210149554732502E+09, -2.003190364549548E+09, -3.606581264718688E+07,
