JDTDB,Calendar Date (TDB),X,Y,Z,
2440797.500266204, A.D. 1970-Jul-30 00:00:23.0000,  9.564229171862932E+08,  9.809742542556592E+08, -5.524445988775200E+07,
2440798.500266204, A.D. 1970-Jul-31 00:00:23.0000,  9.557985199301423E+08,  9.813415368036113E+08, -5.511925880730277E+07,
2440799.500266204, A.D. 1970-Aug-01 00:00:23.0000,  9.549430765743473E+08,  9.820279775261825E+08, -5.513915329508507E+07,
2440800.500266204, A.D. 1970-Aug-02 00:00:23.0000,  9.545055971822565E+08,  9.827085979432783E+08, -5.519666075764173E+07,
2440801.500266204, A.D. 1970-Aug-03 00:00:23.0000,  9.538589657166886E+08,  9.830750068298961E+08, -5.506948315119642E+07,
2440802.500266204, A.D. 1970-Aug-04 00:00:23.0000,  9.530128283335013E+08,  9.837761331626461E+08, -5.509860871452230E+07,
2440803.500266204, A.D. 1970-Aug-05 00:00:23.0000,  9.525841251035641E+08,  9.844386785890125E+08, -5.514813181972992E+07,
2440804.500266204, A.D. 1970-Aug-06 00:00:23.0000,  9.519153286991863E+08,  9.848057390169103E+08, -5.501978539079720E+07,
2440805.500266204, A.D. 1970-Aug-07 00:00:23.0000,  9.510801785427656E+08,  9.855205069780684E+08, -5.505775929392654E+07,
2440806.500266204, A.D. 1970-Aug-08 00:00:23.0000,  9.506587309527204E+08,  9.861642861962951E+08, -5.509879004618353E+07,
2440807.500266204, A.D. 1970-Aug-09 00:00:23.0000,  9.499681007502463E+08,  9.865336334197924E+08, -5.497016461568707E+07,
2440808.500266204, A.D. 1970-Aug-10 00:00:23.0000,  9.491455461619346E+08,  9.872610406355329E+08, -5.501661779310799E+07,
2440809.500266204, A.D. 1970-Aug-11 00:00:23.0000,  9.487297072505985E+08,  9.878856511703331E+08, -5.504878601311892E+07,
2440810.500266204, A.D. 1970-Aug-12 00:00:23.0000,  9.480176139213145E+08,  9.882590080874339E+08, -5.492082040481317E+07,
2440811.500266204, A.D. 1970-Aug-13 00:00:23.0000,  9.472090043834423E+08,  9.889980023631274E+08, -5.497533228017563E+07,
2440812.500266204, A.D. 1970-Aug-14 00:00:23.0000,  9.467969215702220E+08,  9.896031876414123E+08, -5.499832437282950E+07,
2440813.500266204, A.D. 1970-Aug-15 00:00:23.0000,  9.460637277274283E+08,  9.899821876702833E+08, -5.487191014301246E+07,
2440814.500266204, A.D. 1970-Aug-16 00:00:23.0000,  9.452701849147497E+08,  9.907315122057071E+08, -5.493393160886997E+07,
2440815.500266204, A.D. 1970-Aug-17 00:00:23.0000,  9.448599278625119E+08,  9.913170121253314E+08, -5.494742569536686E+07,
2440816.500266204, A.D. 1970-Aug-18 00:00:23.0000,  9.441061831782354E+08,  9.917031198935509E+08, -5.482338497087544E+07,
2440817.500266204, A.D. 1970-Aug-19 00:00:23.0000,  9.433287534627831E+08,  9.924613209989467E+08, -5.489225732171446E+07,
2440818.500266204, A.D. 1970-Aug-20 00:00:23.0000,  9.429184521411793E+08,  9.930269342225529E+08, -5.489596860005468E+07,
2440819.500266204, A.D. 1970-Aug-21 00:00:23.0000,  9.421449798618416E+08,  9.934214771517023E+08, -5.477507866601908E+07,
