JDTDB,Calendar Date (TDB),X,Y,Z,
2447213.500092593, A.D. 1988-Feb-22 00:00:08.0000,  6.216059555873870E+08,  4.342926696151819E+08, -2.706532058612016E+07,
2447214.500092593, A.D. 1988-Feb-23 00:00:08.0000,  6.208430064363713E+08,  4.351054912105908E+08, -2.708739721981871E+07,
2447215.500092593, A.D. 1988-Feb-24 00:00:08.0000,  6.200775327342479E+08,  4.359176371238313E+08, -2.710884776755860E+07,
2447216.500092593, A.D. 1988-Feb-25 00:00:08.0000,  6.193095369894441E+08,  4.367291125437891E+08, -2.712966952145794E+07,
2447217.500092593, A.D. 1988-Feb-26 00:00:08.0000,  6.185390217434644E+08,  4.375399226731410E+08, -2.714985977801374E+07,
2447218.500092593, A.D. 1988-Feb-27 00:00:08.0000,  6.177659895762248E+08,  4.383500727267209E+08, -2.716941584323406E+07,
2447219.500092593, A.D. 1988-Feb-28 00:00:08.0000,  6.169904431015717E+08,  4.391595679325865E+08, -2.718833502806774E+07,
2447220.500092593, A.D. 1988-Feb-29 00:00:08.0000,  6.162123849705318E+08,  4.399684135319458E+08, -2.720661465126336E+07,
2447221.500092593, A.D. 1988-Mar-01 00:00:08.0000,  6.154318178702966E+08,  4.407766147788471E+08, -2.722425203838739E+07,
2447222.500092593, A.D. 1988-Mar-02 00:00:08.0000,  6.146487445238110E+08,  4.415841769411060E+08, -2.724124452094418E+07,
2447223.500092593, A.D. 1988-Mar-03 00:00:08.0000,  6.138631676906221E+08,  4.423911053010327E+08, -2.725758943672901E+07,
2447224.500092593, A.D. 1988-Mar-04 00:00:08.0000,  6.130750901671972E+08,  4.431974051555557E+08, -2.727328412990963E+07,
2447225.500092593, A.D. 1988-Mar-05 00:00:08.0000,  6.122845147869006E+08,  4.440030818165544E+08, -2.728832595070341E+07,
2447226.500092593, A.D. 1988-Mar-06 00:00:08.0000,  6.114914444205140E+08,  4.448081406115260E+08, -2.730271225543264E+07,
2447227.500092593, A.D. 1988-Mar-07 00:00:08.0000,  6.106958819769678E+08,  4.456125868838677E+08, -2.731644040692750E+07,
2447228.500092593, A.D. 1988-Mar-08 00:00:08.0000,  6.098978304034379E+08,  4.464164259926866E+08, -2.732950777451092E+07,
2447229.500092593, A.D. 1988-Mar-09 00:00:08.0000,  6.090972926851019E+08,  4.472196633131093E+08, -2.734191173345396E+07,
2447230.500092593, A.D. 1988-Mar-10 00:00:08.0000,  6.082942718455572E+08,  4.480223042372901E+08, -2.735364966476604E+07,
2447231.500092593, A.D. 1988-Mar-11 00:00:08.0000,  6.074887709474436E+08,  4.488243541744921E+08, -2.736471895554724E+07,
2447232.500092593, A.D. 1988-Mar-12 00:00:08.0000,  6.066807930921015E+08,  4.496258185507579E+08, -2.737511699859235E+07,
