JDTDB,Calendar Date (TDB),X,Y,Z,
2440797.500266204, A.D. 1970-Jul-30 00:00:23.0000,  9.778092897103810E+08,  9.899795433281668E+08, -5.106270308620727E+07,
2440798.500266204, A.D. 1970-Jul-31 00:00:23.0000,  9.771269418826166E+08,  9.906146392745167E+08, -5.110178052789700E+07,
2440799.500266204, A.D. 1970-Aug-01 00:00:23.0000,  9.764437773371887E+08,  9.912491760166183E+08, -5.114092640864927E+07,
2440800.500266204, A.D. 1970-Aug-02 00:00:23.0000,  9.757597957261587E+08,  9.918831515106304E+08, -5.118013981253141E+07,
2440801.500266204, A.D. 1970-Aug-03 00:00:23.0000,  9.750749966990300E+08,  9.925165637013162E+08, -5.121941981772512E+07,
2440802.500266204, A.D. 1970-Aug-04 00:00:23.0000,  9.743893799027054E+08,  9.931494105219406E+08, -5.125876549648809E+07,
2440803.500266204, A.D. 1970-Aug-05 00:00:23.0000,  9.737029449826522E+08,  9.937816898946085E+08, -5.129817591439176E+07,
2440804.500266204, A.D. 1970-Aug-06 00:00:23.0000,  9.730156915821521E+08,  9.944133997290132E+08, -5.133765013045543E+07,
2440805.500266204, A.D. 1970-Aug-07 00:00:23.0000,  9.723276193413504E+08,  9.950445379224267E+08, -5.137718719775653E+07,
2440806.500266204, A.D. 1970-Aug-08 00:00:23.0000,  9.716387278983642E+08,  9.956751023603315E+08, -5.141678616278404E+07,
2440807.500266204, A.D. 1970-Aug-09 00:00:23.0000,  9.709490168892552E+08,  9.963050909161831E+08, -5.145644606534553E+07,
2440808.500266204, A.D. 1970-Aug-10 00:00:23.0000,  9.702584859480110E+08,  9.969345014511819E+08, -5.149616593847126E+07,
2440809.500266204, A.D. 1970-Aug-11 00:00:23.0000,  9.695671347065365E+08,  9.975633318140631E+08, -5.153594480831426E+07,
2440810.500266204, A.D. 1970-Aug-12 00:00:23.0000,  9.688749627946550E+08,  9.981915798408971E+08, -5.157578169404769E+07,
2440811.500266204, A.D. 1970-Aug-13 00:00:23.0000,  9.681819698401182E+08,  9.988192433549045E+08, -5.161567560775840E+07,
2440812.500266204, A.D. 1970-Aug-14 00:00:23.0000,  9.674881554686271E+08,  9.994463201662840E+08, -5.165562555433744E+07,
2440813.500266204, A.D. 1970-Aug-15 00:00:23.0000,  9.667935193038625E+08,  1.000072808072055E+09, -5.169563053136742E+07,
2440814.500266204, A.D. 1970-Aug-16 00:00:23.0000,  9.660980609675243E+08,  1.000698704855912E+09, -5.173568952900589E+07,
2440815.500266204, A.D. 1970-Aug-17 00:00:23.0000,  9.654017800793818E+08,  1.001324008288097E+09, -5.177580152986592E+07,
2440816.500266204, A.D. 1970-Aug-18 00:00:23.0000,  9.647046762573335E+08,  1.001948716125276E+09, -5.181596550889307E+07,
2440817.500266204, A.D. 1970-Aug-19 00:00:23.0000,  9.640067491174755E+08,  1.002572826110443E+09, -5.185618043323970E+07,
2440818.500266204, A.D. 1970-Aug-20 00:00:23.0000,  9.633079982741821E+08,  1.003196335972823E+09, -5.189644526213455E+07,
2440819.500266204, A.D. 1970-Aug-21 00:00:23.0000,  9.626084233401937E+08,  1.003819243427802E+09, -5.193675894675028E+07,
2440820.500266204, A.D. 1970-Aug-22 00:00:23.0000,  9.619080239267172E+08,  1.004441546176859E+09, -5.197712043006760E+07,
2440821.500266204, A.D. 1970-Aug-23 00:00:23.0000,  9.612067996437374E+08,  1.005063241906373E+09, -5.201752864635915E+07,
2440822.500266204, A.D. 1970-Aug-24 00:00:23.0000,  9.605047500988575E+08,  1.005684328287654E+09, -5.205798252181685E+07,
2440823.500266204, A.D. 1970-Aug-25 00:00:23.0000,  9.598018748978131E+08,  1.006304802977991E+09, -5.209848097441274E+07,
2440824.500266204, A.D. 1970-Aug-26 00:00:23.0000,  9.590981736451931E+08,  1.006924663619705E+09, -5.213902291319388E+07,
2440825.500266204, A.D. 1970-Aug-27 00:00:23.0000,  9.583936459443772E+08,  1.007543907839973E+09, -5.217960723821205E+07,
2440826.500266204, A.D. 1970-Aug-28 00:00:23.0000,  9.576882913974938E+08,  1.008162533250649E+09, -5.222023284044242E+07,
2440827.500266204, A.D. 1970-Aug-29 00:00:23.0000,  9.569821096053973E+08,  1.008780537448076E+09, -5.226089860168737E+07,
2440828.500266204, A.D. 1970-Aug-30 00:00:23.0000,  9.562751001676661E+08,  1.009397918012908E+09, -5.230160339446986E+07,
2440829.500266204, A.D. 1970-Aug-31 00:00:23.0000,  9.555672626826198E+08,  1.010014672509915E+09, -5.234234608191246E+07,
2440830.500266204, A.D. 1970-Sep-01 00:00:23.0000,  9.548585967473583E+08,  1.010630798487795E+09, -5.238312551760578E+07,
2440831.500266204, A.D. 1970-Sep-02 00:00:23.0000,  9.541491019578211E+08,  1.011246293478975E+09, -5.242394054546237E+07,
2440832.500266204, A.D. 1970-Sep-03 00:00:23.0000,  9.534387779088656E+08,  1.011861154999413E+09, -5.246478999956024E+07,
2440833.500266204, A.D. 1970-Sep-04 00:00:23.0000,  9.527276241943691E+08,  1.012475380548393E+09, -5.250567270397216E+07,
2440834.500266204, A.D. 1970-Sep-05 00:00:23.0000,  9.520156404073517E+08,  1.013088967608318E+09, -5.254658747258389E+07,
2440835.500266204, A.D. 1970-Sep-06 00:00:23.0000,  9.513028261401199E+08,  1.013701913644500E+09, -5.258753310889941E+07,
