JDTDB,Calendar Date (TDB),X,Y,Z,
2444239.500000000, A.D. 1980-Jan-01 00:00:00.0000, -1.717625359152462E+09, -2.212940237772941E+09,  1.401347159357119E+07,
2444240.500000000, A.D. 1980-Jan-02 00:00:00.0000, -1.717142677861675E+09, -2.213314886251369E+09,  1.414610022519493E+07,
2444241.500000000, A.D. 1980-Jan-03 00:00:00.0000, -1.716783985310768E+09, -2.213695743251265E+09,  1.403885706209910E+07,
2444242.500000000, A.D. 1980-Jan-04 00:00:00.0000, -1.716185166358139E+09, -2.214112479008177E+09,  1.405018092471755E+07,
2444243.500000000, A.D. 1980-Jan-05 00:00:00.0000, -1.715843785148634E+09, -2.214465621514463E+09,  1.411285976041842E+07,
2444244.500000000, A.D. 1980-Jan-06 00:00:00.0000, -1.715333027803445E+09, -2.214883621834550E+09,  1.397529982755971E+07,
2444245.500000000, A.D. 1980-Jan-07 00:00:00.0000, -1.714833840816862E+09, -2.215261748625864E+09,  1.410470155235600E+07,
2444246.500000000, A.D. 1980-Jan-08 00:00:00.0000, -1.714485362504818E+09, -2.215638039252603E+09,  1.400999682702553E+07,
2444247.500000000, A.D. 1980-Jan-09 00:00:00.0000, -1.713885420278867E+09, -2.216056772224806E+09,  1.400460478382897E+07,
2444248.500000000, A.D. 1980-Jan-10 00:00:00.0000, -1.713534201168587E+09, -2.216409525605013E+09,  1.408131410051668E+07,
2444249.500000000, A.D. 1980-Jan-11 00:00:00.0000, -1.713038787615175E+09, -2.216824368953542E+09,  1.393815895375681E+07,
2444250.500000000, A.D. 1980-Jan-12 00:00:00.0000, -1.712523618376969E+09, -2.217206128452019E+09,  1.406240980079484E+07,
2444251.500000000, A.D. 1980-Jan-13 00:00:00.0000, -1.712183768120094E+09, -2.217578030975502E+09,  1.398144858828318E+07,
2444252.500000000, A.D. 1980-Jan-14 00:00:00.0000, -1.711584685155923E+09, -2.217998335077124E+09,  1.395928686403120E+07,
2444253.500000000, A.D. 1980-Jan-15 00:00:00.0000, -1.711222123553902E+09, -2.218351193956155E+09,  1.404884050924635E+07,
2444254.500000000, A.D. 1980-Jan-16 00:00:00.0000, -1.710742570389419E+09, -2.218762496794259E+09,  1.390202360951853E+07,
2444255.500000000, A.D. 1980-Jan-17 00:00:00.0000, -1.710212198424430E+09, -2.219147972085394E+09,  1.401930839923418E+07,
2444256.500000000, A.D. 1980-Jan-18 00:00:00.0000, -1.709879265375791E+09, -2.219515709007300E+09,  1.395317273895204E+07,
2444257.500000000, A.D. 1980-Jan-19 00:00:00.0000, -1.709282944868450E+09, -2.219937132491300E+09,  1.391449308787918E+07,
2444258.500000000, A.D. 1980-Jan-20 00:00:00.0000, -1.708907585988432E+09, -2.220290604023938E+09,  1.401553810359263E+07,
2444259.500000000, A.D. 1980-Jan-21 00:00:00.0000, -1.708444090062696E+09, -2.220698054469460E+09,  1.386698102820528E+07,
2444260.500000000, A.D. 1980-Jan-22 00:00:00.0000, -1.707899467377763E+09, -2.221087292866869E+09,  1.397547103501666E+07,
2444261.500000000, A.D. 1980-Jan-23 00:00:00.0000, -1.707571669749727E+09, -2.221451147792315E+09,  1.392491894885945E+07,
2444262.500000000, A.D. 1980-Jan-24 00:00:00.0000, -1.706980065746406E+09, -2.221873207616364E+09,  1.387011880831850E+07,
2444263.500000000, A.D. 1980-Jan-25 00:00:00.0000, -1.706590765364702E+09, -2.222227756857153E+09,  1.398111785002685E+07,
2444264.500000000, A.D. 1980-Jan-26 00:00:00.0000, -1.706143417992433E+09, -2.222631052805186E+09,  1.383283636407602E+07,
2444265.500000000, A.D. 1980-Jan-27 00:00:00.0000, -1.705585747828597E+09, -2.223024009709789E+09,  1.393096688241482E+07,
2444266.500000000, A.D. 1980-Jan-28 00:00:00.0000, -1.705261185596584E+09, -2.223384303030994E+09,  1.389667781528401E+07,
2444267.500000000, A.D. 1980-Jan-29 00:00:00.0000, -1.704676072378973E+09, -2.223806511860518E+09,  1.382646468099082E+07,
2444268.500000000, A.D. 1980-Jan-30 00:00:00.0000, -1.704271755108673E+09, -2.224162607000318E+09,  1.394575062483549E+07,
2444269.500000000, A.D. 1980-Jan-31 00:00:00.0000, -1.703840317556996E+09, -2.224561526786072E+09,  1.379970208568454E+07,
2444270.500000000, A.D. 1980-Feb-01 00:00:00.0000, -1.703270932809596E+09, -2.224958122788969E+09,  1.388595402122748E+07,
2444271.500000000, A.D. 1980-Feb-02 00:00:00.0000, -1.702947675558178E+09, -2.225315228344549E+09,  1.386827307744658E+07,
2444272.500000000, A.D. 1980-Feb-03 00:00:00.0000, -1.702370808646124E+09, -2.225737081064530E+09,  1.378351093391621E+07,
2444273.500000000, A.D. 1980-Feb-04 00:00:00.0000, -1.701950686602533E+09, -2.226095142786592E+09,  1.390930642864132E+07,
2444274.500000000, A.D. 1980-Feb-05 00:00:00.0000, -1.701534727375614E+09, -2.226489504489303E+09,  1.376746498226786E+07,
2444275.500000000, A.D. 1980-Feb-06 00:00:00.0000, -1.700955113559742E+09, -2.226889597279791E+09,  1.384053089376652E+07,
2444276.500000000, A.D. 1980-Feb-07 00:00:00.0000, -1.700631183104705E+09, -2.227243929989882E+09,  1.383958572960269E+07,
2444277.500000000, A.D. 1980-Feb-08 00:00:00.0000, -1.700064173175678E+09, -2.227664925997338E+09,  1.374133300719166E+07,
2444278.500000000, A.D. 1980-Feb-09 00:00:00.0000, -1.699627668929449E+09, -2.228025346078389E+09,  1.387173965890849E+07,
2444279.500000000, A.D. 1980-Feb-10 00:00:00.0000, -1.699226564142319E+09, -2.228415023189446E+09,  1.373598568763888E+07,
2444280.500000000, A.D. 1980-Feb-11 00:00:00.0000, -1.698638409578447E+09, -2.228818400406716E+09,  1.379474077279484E+07,
2444281.500000000, A.D. 1980-Feb-12 00:00:00.0000, -1.698311887433115E+09, -2.229170386734735E+09,  1.381048208541203E+07,
2444282.500000000, A.D. 1980-Feb-13 00:00:00.0000, -1.697756200642052E+09, -2.229590016524334E+09,  1.370008593190789E+07,
2444283.500000000, A.D. 1980-Feb-14 00:00:00.0000, -1.697302894688382E+09, -2.229953149809210E+09,  1.383322137789667E+07,
2444284.500000000, A.D. 1980-Feb-15 00:00:00.0000, -1.696915699656566E+09, -2.230338094219405E+09,  1.370537529308677E+07,
2444285.500000000, A.D. 1980-Feb-16 00:00:00.0000, -1.696320701367606E+09, -2.230744518570261E+09,  1.374885929069138E+07,
2444286.500000000, A.D. 1980-Feb-17 00:00:00.0000, -1.695989628668536E+09, -2.231094640580086E+09,  1.378090537956250E+07,
2444287.500000000, A.D. 1980-Feb-18 00:00:00.0000, -1.695446562926429E+09, -2.231512426996491E+09,  1.365974532752287E+07,
2444288.500000000, A.D. 1980-Feb-19 00:00:00.0000, -1.694976351473917E+09, -2.231878581759752E+09,  1.379356687958181E+07,
2444289.500000000, A.D. 1980-Feb-20 00:00:00.0000, -1.694602064957005E+09, -2.232258779544322E+09,  1.367529438058686E+07,
2444290.500000000, A.D. 1980-Feb-21 00:00:00.0000, -1.694002144968235E+09, -2.232667927011390E+09,  1.370281416367924E+07,
2444291.500000000, A.D. 1980-Feb-22 00:00:00.0000, -1.693664689532028E+09, -2.233016654991405E+09,  1.375066804968202E+07,
2444292.500000000, A.D. 1980-Feb-23 00:00:00.0000, -1.693135353686064E+09, -2.233432122999192E+09,  1.362040294814038E+07,
2444293.500000000, A.D. 1980-Feb-24 00:00:00.0000, -1.692648297535757E+09, -2.233801558534595E+09,  1.375295937572789E+07,
2444294.500000000, A.D. 1980-Feb-25 00:00:00.0000, -1.692285620229350E+09, -2.234177073506967E+09,  1.364583514505339E+07,
2444295.500000000, A.D. 1980-Feb-26 00:00:00.0000, -1.691682654012764E+09, -2.234588602981029E+09,  1.365689101688552E+07,
2444296.500000000, A.D. 1980-Feb-27 00:00:00.0000, -1.691337014058641E+09, -2.234936444014643E+09,  1.371974498775315E+07,
2444297.500000000, A.D. 1980-Feb-28 00:00:00.0000, -1.690822335454844E+09, -2.235349152720125E+09,  1.358207174617600E+07,
2444298.500000000, A.D. 1980-Feb-29 00:00:00.0000, -1.690318781148920E+09, -2.235722069056411E+09,  1.371138617358315E+07,
2444299.500000000, A.D. 1980-Mar-01 00:00:00.0000, -1.689966294050164E+09, -2.236093012555857E+09,  1.361683189169312E+07,
2444300.500000000, A.D. 1980-Mar-02 00:00:00.0000, -1.689362220199181E+09, -2.236506533068575E+09,  1.361118038967848E+07,
2444301.500000000, A.D. 1980-Mar-03 00:00:00.0000, -1.689006701029083E+09, -2.236853996285944E+09,  1.368804342934060E+07,
2444302.500000000, A.D. 1980-Mar-04 00:00:00.0000, -1.688507367572003E+09, -2.237263540525064E+09,  1.354477834795785E+07,
2444303.500000000, A.D. 1980-Mar-05 00:00:00.0000, -1.687987856083767E+09, -2.237640092072598E+09,  1.366889705228484E+07,
2444304.500000000, A.D. 1980-Mar-06 00:00:00.0000, -1.687643992183415E+09, -2.238006641055224E+09,  1.358809790501535E+07,
2444305.500000000, A.D. 1980-Mar-07 00:00:00.0000, -1.687040815222044E+09, -2.238421721267933E+09,  1.356568074108839E+07,
2444306.500000000, A.D. 1980-Mar-08 00:00:00.0000, -1.686673943182781E+09, -2.238769294176247E+09,  1.365537139943922E+07,
2444307.500000000, A.D. 1980-Mar-09 00:00:00.0000, -1.686190487683536E+09, -2.239175282289977E+09,  1.350847634972000E+07,
2444308.500000000, A.D. 1980-Mar-10 00:00:00.0000, -1.685655790899489E+09, -2.239555548543476E+09,  1.362561750630617E+07,
2444309.500000000, A.D. 1980-Mar-11 00:00:00.0000, -1.685318809465463E+09, -2.239917931004648E+09,  1.355966490741849E+07,
2444310.500000000, A.D. 1980-Mar-12 00:00:00.0000, -1.684718415393108E+09, -2.240334123259033E+09,  1.352072503707051E+07,
2444311.500000000, A.D. 1980-Mar-13 00:00:00.0000, -1.684338738117937E+09, -2.240682314965333E+09,  1.362187366252494E+07,
2444312.500000000, A.D. 1980-Mar-14 00:00:00.0000, -1.683871356654687E+09, -2.241084435276485E+09,  1.347326633925986E+07,
2444313.500000000, A.D. 1980-Mar-15 00:00:00.0000, -1.683322432828794E+09, -2.241468461931475E+09,  1.358159954813993E+07,
2444314.500000000, A.D. 1980-Mar-16 00:00:00.0000, -1.682990561675921E+09, -2.241826960489585E+09,  1.353124527593672E+07,
2444315.500000000, A.D. 1980-Mar-17 00:00:00.0000, -1.682394913018929E+09, -2.242243776625350E+09,  1.347619554551017E+07,
2444316.500000000, A.D. 1980-Mar-18 00:00:00.0000, -1.682001279408288E+09, -2.242593050930215E+09,  1.358728603781736E+07,
2444317.500000000, A.D. 1980-Mar-19 00:00:00.0000, -1.681550032753612E+09, -2.242991007003705E+09,  1.343898753205836E+07,
2444318.500000000, A.D. 1980-Mar-20 00:00:00.0000, -1.680988065800350E+09, -2.243378755966514E+09,  1.353692679553318E+07,
2444319.500000000, A.D. 1980-Mar-21 00:00:00.0000, -1.680659405544133E+09, -2.243733695660226E+09,  1.350281877568030E+07,
2444320.500000000, A.D. 1980-Mar-22 00:00:00.0000, -1.680070292328456E+09, -2.244150646162815E+09,  1.343235213772714E+07,
2444321.500000000, A.D. 1980-Mar-23 00:00:00.0000, -1.679661650314153E+09, -2.244501468078533E+09,  1.355170446030760E+07,
2444322.500000000, A.D. 1980-Mar-24 00:00:00.0000, -1.679226322611259E+09, -2.244895033303314E+09,  1.340566941217482E+07,
2444323.500000000, A.D. 1980-Mar-25 00:00:00.0000, -1.678652678156673E+09, -2.245286414099817E+09,  1.349171863915789E+07,
2444324.500000000, A.D. 1980-Mar-26 00:00:00.0000, -1.678325307933432E+09, -2.245638161597109E+09,  1.347424098361373E+07,
2444325.500000000, A.D. 1980-Mar-27 00:00:00.0000, -1.677744457995338E+09, -2.246054740827497E+09,  1.338926123458624E+07,
2444326.500000000, A.D. 1980-Mar-28 00:00:00.0000, -1.677319982059743E+09, -2.246407538158279E+09,  1.351510602834249E+07,
2444327.500000000, A.D. 1980-Mar-29 00:00:00.0000, -1.676900111333687E+09, -2.246796539325275E+09,  1.337329342318416E+07,
2444328.500000000, A.D. 1980-Mar-30 00:00:00.0000, -1.676316262331633E+09, -2.247191414359367E+09,  1.344612500459182E+07,
2444329.500000000, A.D. 1980-Mar-31 00:00:00.0000, -1.675988196731920E+09, -2.247540390634026E+09,  1.344537591933990E+07,
2444330.500000000, A.D. 1980-Apr-01 00:00:00.0000, -1.675417230111240E+09, -2.247956099000629E+09,  1.334691426611042E+07,
2444331.500000000, A.D. 1980-Apr-02 00:00:00.0000, -1.674976379637242E+09, -2.248311258022375E+09,  1.347733409762871E+07,
2444332.500000000, A.D. 1980-Apr-03 00:00:00.0000, -1.674571370694837E+09, -2.248695560520091E+09,  1.334163597927654E+07,
