JDTDB,Calendar Date (TDB),X,Y,Z,
2440797.500266204, A.D. 1970-Jul-30 00:00:23.0000,  9.750669167357666E+08,  9.784858789839755E+08, -5.618586057122791E+07,
2440798.500266204, A.D. 1970-Jul-31 00:00:23.0000,  9.744269665196853E+08,  9.789500482351952E+08, -5.621278825125962E+07,
2440799.500266204, A.D. 1970-Aug-01 00:00:23.0000,  9.737858670251080E+08,  9.794139560689831E+08, -5.623965098602486E+07,
2440800.500266204, A.D. 1970-Aug-02 00:00:23.0000,  9.731436207571188E+08,  9.798776067399689E+08, -5.626644712818372E+07,
2440801.500266204, A.D. 1970-Aug-03 00:00:23.0000,  9.725002302426872E+08,  9.803410044684018E+08, -5.629317504267859E+07,
2440802.500266204, A.D. 1970-Aug-04 00:00:23.0000,  9.718556980301678E+08,  9.808041534402114E+08, -5.631983310671973E+07,
2440803.500266204, A.D. 1970-Aug-05 00:00:23.0000,  9.712100266898152E+08,  9.812670578065017E+08, -5.634641970943326E+07,
2440804.500266204, A.D. 1970-Aug-06 00:00:23.0000,  9.705632188129582E+08,  9.817297216845264E+08, -5.637293325200266E+07,
2440805.500266204, A.D. 1970-Aug-07 00:00:23.0000,  9.699152770102935E+08,  9.821921491581782E+08, -5.639937214800060E+07,
2440806.500266204, A.D. 1970-Aug-08 00:00:23.0000,  9.692662039121931E+08,  9.826543442773862E+08, -5.642573482308394E+07,
2440807.500266204, A.D. 1970-Aug-09 00:00:23.0000,  9.686160021683130E+08,  9.831163110582466E+08, -5.645201971495461E+07,
2440808.500266204, A.D. 1970-Aug-10 00:00:23.0000,  9.679646744472009E+08,  9.835780534831531E+08, -5.647822527332121E+07,
2440809.500266204, A.D. 1970-Aug-11 00:00:23.0000,  9.673122234359025E+08,  9.840395755009273E+08, -5.650434995985883E+07,
2440810.500266204, A.D. 1970-Aug-12 00:00:23.0000,  9.666586518395692E+08,  9.845008810269479E+08, -5.653039224817151E+07,
2440811.500266204, A.D. 1970-Aug-13 00:00:23.0000,  9.660039623810643E+08,  9.849619739432789E+08, -5.655635062375259E+07,
2440812.500266204, A.D. 1970-Aug-14 00:00:23.0000,  9.653481578005697E+08,  9.854228580987983E+08, -5.658222358394587E+07,
2440813.500266204, A.D. 1970-Aug-15 00:00:23.0000,  9.646912408551917E+08,  9.858835373093256E+08, -5.660800963790679E+07,
2440814.500266204, A.D. 1970-Aug-16 00:00:23.0000,  9.640332143185676E+08,  9.863440153577493E+08, -5.663370730656427E+07,
2440815.500266204, A.D. 1970-Aug-17 00:00:23.0000,  9.633740809804716E+08,  9.868042959941533E+08, -5.665931512258095E+07,
2440816.500266204, A.D. 1970-Aug-18 00:00:23.0000,  9.627138436464204E+08,  9.872643829359431E+08, -5.668483163031501E+07,
2440817.500266204, A.D. 1970-Aug-19 00:00:23.0000,  9.620525051372781E+08,  9.877242798679721E+08, -5.671025538578153E+07,
2440818.500266204, A.D. 1970-Aug-20 00:00:23.0000,  9.613900682888631E+08,  9.881839904426670E+08, -5.673558495661378E+07,
2440819.500266204, A.D. 1970-Aug-21 00:00:23.0000,  9.607265359515525E+08,  9.886435182801520E+08, -5.676081892202419E+07,
2440820.500266204, A.D. 1970-Aug-22 00:00:23.0000,  9.600619109898875E+08,  9.891028669683744E+08, -5.678595587276661E+07,
2440821.500266204, A.D. 1970-Aug-23 00:00:23.0000,  9.593961962811509E+08,  9.895620400632966E+08, -5.681099441059601E+07,
2440822.500266204, A.D. 1970-Aug-24 00:00:23.0000,  9.587293947164727E+08,  9.900210410891340E+08, -5.683593314854783E+07,
2440823.500266204, A.D. 1970-Aug-25 00:00:23.0000,  9.580615092012075E+08,  9.904798735383842E+08, -5.686077071141607E+07,
2440824.500266204, A.D. 1970-Aug-26 00:00:23.0000,  9.573925426533523E+08,  9.909385408719790E+08, -5.688550573526740E+07,
2440825.500266204, A.D. 1970-Aug-27 00:00:23.0000,  9.567224980032499E+08,  9.913970465194377E+08, -5.691013686738384E+07,
2440826.500266204, A.D. 1970-Aug-28 00:00:23.0000,  9.560513781932945E+08,  9.918553938790233E+08, -5.693466276620549E+07,
2440827.500266204, A.D. 1970-Aug-29 00:00:23.0000,  9.553791861776354E+08,  9.923135863178935E+08, -5.695908210127217E+07,
2440828.500266204, A.D. 1970-Aug-30 00:00:23.0000,  9.547059249218827E+08,  9.927716271722543E+08, -5.698339355316758E+07,
2440829.500266204, A.D. 1970-Aug-31 00:00:23.0000,  9.540315974028114E+08,  9.932295197475101E+08, -5.700759581346095E+07,
2440830.500266204, A.D. 1970-Sep-01 00:00:23.0000,  9.533562066080674E+08,  9.936872673184128E+08, -5.703168758465064E+07,
2440831.500266204, A.D. 1970-Sep-02 00:00:23.0000,  9.526797555358741E+08,  9.941448731292099E+08, -5.705566758010739E+07,
2440832.500266204, A.D. 1970-Sep-03 00:00:23.0000,  9.520022471947386E+08,  9.946023403937904E+08, -5.707953452401757E+07,
2440833.500266204, A.D. 1970-Sep-04 00:00:23.0000,  9.513236846031609E+08,  9.950596722958292E+08, -5.710328715132701E+07,
2440834.500266204, A.D. 1970-Sep-05 00:00:23.0000,  9.506440707893431E+08,  9.955168719889287E+08, -5.712692420768529E+07,
2440835.500266204, A.D. 1970-Sep-06 00:00:23.0000,  9.499634087909024E+08,  9.959739425967593E+08, -5.715044444938993E+07,
2440836.500266204, A.D. 1970-Sep-07 00:00:23.0000,  9.492817016545846E+08,  9.964308872131978E+08, -5.717384664333129E+07,
2440837.500266204, A.D. 1970-Sep-08 00:00:23.0000,  9.485989524359832E+08,  9.968877089024620E+08, -5.719712956693798E+07,
2440838.500266204, A.D. 1970-Sep-09 00:00:23.0000,  9.479151641992610E+08,  9.973444106992455E+08, -5.722029200812262E+07,
2440839.500266204, A.D. 1970-Sep-10 00:00:23.0000,  9.472303400168674E+08,  9.978009956097084E+08, -5.724333276552474E+07,
2440840.500266204, A.D. 1970-Sep-11 00:00:23.0000,  9.465444829696192E+08,  9.982574666108814E+08, -5.726625064810139E+07,
2440841.500266204, A.D. 1970-Sep-12 00:00:23.0000,  9.458575961463246E+08,  9.987138266499921E+08, -5.728904447482920E+07,
2440842.500266204, A.D. 1970-Sep-13 00:00:23.0000,  9.451696826434296E+08,  9.991700786454393E+08, -5.731171307497603E+07,
2440843.500266204, A.D. 1970-Sep-14 00:00:23.0000,  9.444807455648493E+08,  9.996262254869460E+08, -5.733425528804052E+07,
2440844.500266204, A.D. 1970-Sep-15 00:00:23.0000,  9.437907880218112E+08,  1.000082270035715E+09, -5.735666996369231E+07,
2440845.500266204, A.D. 1970-Sep-16 00:00:23.0000,  9.430998131327113E+08,  1.000538215124593E+09, -5.737895596171200E+07,
2440846.500266204, A.D. 1970-Sep-17 00:00:23.0000,  9.424078240229791E+08,  1.000994063558247E+09, -5.740111215193248E+07,
2440847.500266204, A.D. 1970-Sep-18 00:00:23.0000,  9.417148238249545E+08,  1.001449818113349E+09, -5.742313741417861E+07,
2440848.500266204, A.D. 1970-Sep-19 00:00:23.0000,  9.410208156777732E+08,  1.001905481538794E+09, -5.744503063820690E+07,
2440849.500266204, A.D. 1970-Sep-20 00:00:23.0000,  9.403258027272575E+08,  1.002361056555923E+09, -5.746679072364432E+07,
2440850.500266204, A.D. 1970-Sep-21 00:00:23.0000,  9.396297881258044E+08,  1.002816545858796E+09, -5.748841657992274E+07,
2440851.500266204, A.D. 1970-Sep-22 00:00:23.0000,  9.389327750322691E+08,  1.003271952114473E+09, -5.750990712621254E+07,
2440852.500266204, A.D. 1970-Sep-23 00:00:23.0000,  9.382347666118282E+08,  1.003727277963342E+09, -5.753126129135060E+07,
2440853.500266204, A.D. 1970-Sep-24 00:00:23.0000,  9.375357660358186E+08,  1.004182526019471E+09, -5.755247801376390E+07,
2440854.500266204, A.D. 1970-Sep-25 00:00:23.0000,  9.368357764815361E+08,  1.004637698870983E+09, -5.757355624138808E+07,
2440855.500266204, A.D. 1970-Sep-26 00:00:23.0000,  9.361348011319913E+08,  1.005092799080441E+09, -5.759449493158036E+07,
2440856.500266204, A.D. 1970-Sep-27 00:00:23.0000,  9.354328431756096E+08,  1.005547829185234E+09, -5.761529305102718E+07,
2440857.500266204, A.D. 1970-Sep-28 00:00:23.0000,  9.347299058068674E+08,  1.006002791697426E+09, -5.763594957604480E+07,
2440858.500266204, A.D. 1970-Sep-29 00:00:23.0000,  9.340259922252356E+08,  1.006457689104684E+09, -5.765646349213761E+07,
2440859.500266204, A.D. 1970-Sep-30 00:00:23.0000,  9.333211056337646E+08,  1.006912523871039E+09, -5.767683379352999E+07,
2440860.500266204, A.D. 1970-Oct-01 00:00:23.0000,  9.326152492395526E+08,  1.007367298436562E+09, -5.769705948345971E+07,
2440861.500266204, A.D. 1970-Oct-02 00:00:23.0000,  9.319084262533475E+08,  1.007822015217539E+09, -5.771713957409310E+07,
2440862.500266204, A.D. 1970-Oct-03 00:00:23.0000,  9.312006398891613E+08,  1.008276676606596E+09, -5.773707308644551E+07,
2440863.500266204, A.D. 1970-Oct-04 00:00:23.0000,  9.304918933639164E+08,  1.008731284972757E+09, -5.775685905030876E+07,
2440864.500266204, A.D. 1970-Oct-05 00:00:23.0000,  9.297821898971304E+08,  1.009185842661484E+09, -5.777649650418603E+07,
2440865.500266204, A.D. 1970-Oct-06 00:00:23.0000,  9.290715327106460E+08,  1.009640351994687E+09, -5.779598449523199E+07,
2440866.500266204, A.D. 1970-Oct-07 00:00:23.0000,  9.283599250284120E+08,  1.010094815270717E+09, -5.781532207919800E+07,
2440867.500266204, A.D. 1970-Oct-08 00:00:23.0000,  9.276473700763036E+08,  1.010549234764383E+09, -5.783450832038188E+07,
2440868.500266204, A.D. 1970-Oct-09 00:00:23.0000,  9.269338710819823E+08,  1.011003612726969E+09, -5.785354229157805E+07,
2440869.500266204, A.D. 1970-Oct-10 00:00:23.0000,  9.262194312747818E+08,  1.011457951386274E+09, -5.787242307403040E+07,
2440870.500266204, A.D. 1970-Oct-11 00:00:23.0000,  9.255040538856169E+08,  1.011912252946687E+09, -5.789114975738388E+07,
2440871.500266204, A.D. 1970-Oct-12 00:00:23.0000,  9.247877421469015E+08,  1.012366519589270E+09, -5.790972143963522E+07,
2440872.500266204, A.D. 1970-Oct-13 00:00:23.0000,  9.240704992924751E+08,  1.012820753471882E+09, -5.792813722708333E+07,
2440873.500266204, A.D. 1970-Oct-14 00:00:23.0000,  9.233523285575274E+08,  1.013274956729309E+09, -5.794639623427629E+07,
2440874.500266204, A.D. 1970-Oct-15 00:00:23.0000,  9.226332331785212E+08,  1.013729131473424E+09, -5.796449758395845E+07,
2440875.500266204, A.D. 1970-Oct-16 00:00:23.0000,  9.219132163928710E+08,  1.014183279792974E+09, -5.798244040663707E+07,
2440876.500266204, A.D. 1970-Oct-17 00:00:23.0000,  9.211922814394642E+08,  1.014637403754135E+09, -5.800022384095484E+07,
2440877.500266204, A.D. 1970-Oct-18 00:00:23.0000,  9.204704315587012E+08,  1.015091505401040E+09, -5.801784703396183E+07,
2440878.500266204, A.D. 1970-Oct-19 00:00:23.0000,  9.197476699920467E+08,  1.015545586755571E+09, -5.803530914065427E+07,
2440879.500266204, A.D. 1970-Oct-20 00:00:23.0000,  9.190239999819785E+08,  1.015999649817543E+09, -5.805260932392311E+07,
2440880.500266204, A.D. 1970-Oct-21 00:00:23.0000,  9.182994247719294E+08,  1.016453696564891E+09, -5.806974675450224E+07,
2440881.500266204, A.D. 1970-Oct-22 00:00:23.0000,  9.175739476062227E+08,  1.016907728953861E+09, -5.808672061091453E+07,
2440882.500266204, A.D. 1970-Oct-23 00:00:23.0000,  9.168475717300029E+08,  1.017361748919194E+09, -5.810353007941884E+07,
2440883.500266204, A.D. 1970-Oct-24 00:00:23.0000,  9.161203003891610E+08,  1.017815758374322E+09, -5.812017435395586E+07,
2440884.500266204, A.D. 1970-Oct-25 00:00:23.0000,  9.153921368302550E+08,  1.018269759211551E+09, -5.813665263609350E+07,
2440885.500266204, A.D. 1970-Oct-26 00:00:23.0000,  9.146630843004271E+08,  1.018723753302251E+09, -5.815296413497239E+07,
2440886.500266204, A.D. 1970-Oct-27 00:00:23.0000,  9.139331460473198E+08,  1.019177742497042E+09, -5.816910806725150E+07,
