JDTDB,Calendar Date (TDB),X,Y,Z,
2440797.500266204, A.D. 1970-Jul-30 00:00:23.0000,  9.693242669367597E+08,  9.693767756707826E+08, -7.079687655422795E+07,
2440798.500266204, A.D. 1970-Jul-31 00:00:23.0000,  9.686016863919835E+08,  9.699086131747935E+08, -7.074527922441959E+07,
2440799.500266204, A.D. 1970-Aug-01 00:00:23.0000,  9.678784463151797E+08,  9.704403392471064E+08, -7.069330483000499E+07,
2440800.500266204, A.D. 1970-Aug-02 00:00:23.0000,  9.671545469961679E+08,  9.709719561741072E+08, -7.064095216840488E+07,
2440801.500266204, A.D. 1970-Aug-03 00:00:23.0000,  9.664299887330347E+08,  9.715034662663771E+08, -7.058822003090119E+07,
2440802.500266204, A.D. 1970-Aug-04 00:00:23.0000,  9.657047718322604E+08,  9.720348718586161E+08, -7.053510720257485E+07,
2440803.500266204, A.D. 1970-Aug-05 00:00:23.0000,  9.649788966090186E+08,  9.725661753103362E+08, -7.048161246209788E+07,
2440804.500266204, A.D. 1970-Aug-06 00:00:23.0000,  9.642523633873370E+08,  9.730973790063425E+08, -7.042773458123207E+07,
2440805.500266204, A.D. 1970-Aug-07 00:00:23.0000,  9.635251725004724E+08,  9.736284853572588E+08, -7.037347232522702E+07,
2440806.500266204, A.D. 1970-Aug-08 00:00:23.0000,  9.627973242912223E+08,  9.741594968001626E+08, -7.031882445316589E+07,
2440807.500266204, A.D. 1970-Aug-09 00:00:23.0000,  9.620688191120174E+08,  9.746904157984819E+08, -7.026378971797419E+07,
2440808.500266204, A.D. 1970-Aug-10 00:00:23.0000,  9.613396573251014E+08,  9.752212448421615E+08, -7.020836686634874E+07,
2440809.500266204, A.D. 1970-Aug-11 00:00:23.0000,  9.606098393027692E+08,  9.757519864480072E+08, -7.015255463865733E+07,
2440810.500266204, A.D. 1970-Aug-12 00:00:23.0000,  9.598793654276429E+08,  9.762826431601297E+08, -7.009635176884627E+07,
2440811.500266204, A.D. 1970-Aug-13 00:00:23.0000,  9.591482360929632E+08,  9.768132175504272E+08, -7.003975698438412E+07,
2440812.500266204, A.D. 1970-Aug-14 00:00:23.0000,  9.584164517028856E+08,  9.773437122190629E+08, -6.998276900625676E+07,
2440813.500266204, A.D. 1970-Aug-15 00:00:23.0000,  9.576840126727697E+08,  9.778741297949022E+08, -6.992538654901487E+07,
2440814.500266204, A.D. 1970-Aug-16 00:00:23.0000,  9.569509194294577E+08,  9.784044729358999E+08, -6.986760832086855E+07,
2440815.500266204, A.D. 1970-Aug-17 00:00:23.0000,  9.562171724115422E+08,  9.789347443294345E+08, -6.980943302380574E+07,
2440816.500266204, A.D. 1970-Aug-18 00:00:23.0000,  9.554827720696257E+08,  9.794649466926078E+08, -6.975085935370457E+07,
2440817.500266204, A.D. 1970-Aug-19 00:00:23.0000,  9.547477188665832E+08,  9.799950827725381E+08, -6.969188600039440E+07,
2440818.500266204, A.D. 1970-Aug-20 00:00:23.0000,  9.540120132778401E+08,  9.805251553466994E+08, -6.963251164761072E+07,
2440819.500266204, A.D. 1970-Aug-21 00:00:23.0000,  9.532756557916839E+08,  9.810551672233636E+08, -6.957273497277576E+07,
2440820.500266204, A.D. 1970-Aug-22 00:00:23.0000,  9.525386469096327E+08,  9.815851212422277E+08, -6.951255464652693E+07,
2440821.500266204, A.D. 1970-Aug-23 00:00:23.0000,  9.518009871467892E+08,  9.821150202749047E+08, -6.945196933315057E+07,
2440822.500266204, A.D. 1970-Aug-24 00:00:23.0000,  9.510626770323925E+08,  9.826448672257485E+08, -6.939097769086641E+07,
2440823.500266204, A.D. 1970-Aug-25 00:00:23.0000,  9.503237171099172E+08,  9.831746650317955E+08, -6.932957837207401E+07,
2440824.500266204, A.D. 1970-Aug-26 00:00:23.0000,  9.495841079372631E+08,  9.837044166628070E+08, -6.926777002365160E+07,
2440825.500266204, A.D. 1970-Aug-27 00:00:23.0000,  9.488438500871804E+08,  9.842341251218984E+08, -6.920555128643674E+07,
2440826.500266204, A.D. 1970-Aug-28 00:00:23.0000,  9.481029441476948E+08,  9.847637934461337E+08, -6.914292079504502E+07,
