JDTDB,Calendar Date (TDB),X,Y,Z,
2444239.500000000, A.D. 1980-Jan-01 00:00:00.0000, -1.717678120935102E+09, -2.212913031776154E+09,  1.412690719259191E+07,
2444240.500000000, A.D. 1980-Jan-02 00:00:00.0000, -1.717125424410991E+09, -2.213323989373506E+09,  1.410683245658433E+07,
2444241.500000000, A.D. 1980-Jan-03 00:00:00.0000, -1.716708960926322E+09, -2.213715560139486E+09,  1.401403722730136E+07,
2444242.500000000, A.D. 1980-Jan-04 00:00:00.0000, -1.716313840323251E+09, -2.214081309058081E+09,  1.407316081515610E+07,
2444243.500000000, A.D. 1980-Jan-05 00:00:00.0000, -1.715768840058451E+09, -2.214482456992980E+09,  1.410923734245765E+07,
2444244.500000000, A.D. 1980-Jan-06 00:00:00.0000, -1.715296874394238E+09, -2.214886854697145E+09,  1.400783443978119E+07,
2444245.500000000, A.D. 1980-Jan-07 00:00:00.0000, -1.714928456409983E+09, -2.215253537656436E+09,  1.401626651438379E+07,
2444246.500000000, A.D. 1980-Jan-08 00:00:00.0000, -1.714421550067566E+09, -2.215640477321802E+09,  1.409288648350036E+07,
2444247.500000000, A.D. 1980-Jan-09 00:00:00.0000, -1.713898194024978E+09, -2.216052124032934E+09,  1.401661108463216E+07,
2444248.500000000, A.D. 1980-Jan-10 00:00:00.0000, -1.713523511368020E+09, -2.216427650470026E+09,  1.396869581524324E+07,
2444249.500000000, A.D. 1980-Jan-11 00:00:00.0000, -1.713071281701993E+09, -2.216800997196998E+09,  1.405567590458751E+07,
2444250.500000000, A.D. 1980-Jan-12 00:00:00.0000, -1.712519046183854E+09, -2.217211591579682E+09,  1.402923383398712E+07,
2444251.500000000, A.D. 1980-Jan-13 00:00:00.0000, -1.712107331607921E+09, -2.217600595369514E+09,  1.393944297397518E+07,
2444252.500000000, A.D. 1980-Jan-14 00:00:00.0000, -1.711706708505474E+09, -2.217965718180833E+09,  1.400298026725984E+07,
2444253.500000000, A.D. 1980-Jan-15 00:00:00.0000, -1.711158409141023E+09, -2.218367214772856E+09,  1.403322381079352E+07,
2444254.500000000, A.D. 1980-Jan-16 00:00:00.0000, -1.710692014172274E+09, -2.218769397878949E+09,  1.393107472585154E+07,
2444255.500000000, A.D. 1980-Jan-17 00:00:00.0000, -1.710321352402962E+09, -2.219134504996101E+09,  1.394582963085675E+07,
2444256.500000000, A.D. 1980-Jan-18 00:00:00.0000, -1.709808231154647E+09, -2.219522036653255E+09,  1.401923699081194E+07,
2444257.500000000, A.D. 1980-Jan-19 00:00:00.0000, -1.709288957063989E+09, -2.219932276506039E+09,  1.393868105046642E+07,
2444258.500000000, A.D. 1980-Jan-20 00:00:00.0000, -1.708915829938174E+09, -2.220305488631571E+09,  1.389667867332304E+07,
2444259.500000000, A.D. 1980-Jan-21 00:00:00.0000, -1.708456450113982E+09, -2.220679094881376E+09,  1.398420270313203E+07,
2444260.500000000, A.D. 1980-Jan-22 00:00:00.0000, -1.707905081949034E+09, -2.221089236262940E+09,  1.395148630440259E+07,
2444261.500000000, A.D. 1980-Jan-23 00:00:00.0000, -1.707497890706370E+09, -2.221475659913925E+09,  1.386507825706017E+07,
2444262.500000000, A.D. 1980-Jan-24 00:00:00.0000, -1.707091481228396E+09, -2.221840253551100E+09,  1.393272280250311E+07,
2444263.500000000, A.D. 1980-Jan-25 00:00:00.0000, -1.706540251303817E+09, -2.222242053420642E+09,  1.395697183322263E+07,
2444264.500000000, A.D. 1980-Jan-26 00:00:00.0000, -1.706079420385508E+09, -2.222641964315177E+09,  1.385448141890168E+07,
2444265.500000000, A.D. 1980-Jan-27 00:00:00.0000, -1.705706103709522E+09, -2.223005592695575E+09,  1.387541395474136E+07,
2444266.500000000, A.D. 1980-Jan-28 00:00:00.0000, -1.705187033977797E+09, -2.223393721111718E+09,  1.394522213228953E+07,
2444267.500000000, A.D. 1980-Jan-29 00:00:00.0000, -1.704672123181044E+09, -2.223802450930377E+09,  1.386072013299906E+07,
2444268.500000000, A.D. 1980-Jan-30 00:00:00.0000, -1.704300156433182E+09, -2.224173400453151E+09,  1.382477603673398E+07,
2444269.500000000, A.D. 1980-Jan-31 00:00:00.0000, -1.703833650795697E+09, -2.224547324963447E+09,  1.391240210440326E+07,
2444270.500000000, A.D. 1980-Feb-01 00:00:00.0000, -1.703283597257451E+09, -2.224956906093101E+09,  1.387355563038671E+07,
2444271.500000000, A.D. 1980-Feb-02 00:00:00.0000, -1.702880676070657E+09, -2.225340736995941E+09,  1.379093443389785E+07,
2444272.500000000, A.D. 1980-Feb-03 00:00:00.0000, -1.702468198615655E+09, -2.225704903428374E+09,  1.386235943755364E+07,
2444273.500000000, A.D. 1980-Feb-04 00:00:00.0000, -1.701914436434213E+09, -2.226106953307259E+09,  1.388046366337335E+07,
2444274.500000000, A.D. 1980-Feb-05 00:00:00.0000, -1.701459165379488E+09, -2.226504526427090E+09,  1.377806918257380E+07,
2444275.500000000, A.D. 1980-Feb-06 00:00:00.0000, -1.701082771414082E+09, -2.226866773673522E+09,  1.380505974251616E+07,
2444276.500000000, A.D. 1980-Feb-07 00:00:00.0000, -1.700557991617164E+09, -2.227255508240844E+09,  1.387090554952669E+07,
2444277.500000000, A.D. 1980-Feb-08 00:00:00.0000, -1.700047684656885E+09, -2.227662632536727E+09,  1.378278061147308E+07,
2444278.500000000, A.D. 1980-Feb-09 00:00:00.0000, -1.699676483403423E+09, -2.228031375187121E+09,  1.375301115994155E+07,
2444279.500000000, A.D. 1980-Feb-10 00:00:00.0000, -1.699202880827949E+09, -2.228405676152927E+09,  1.384031435804975E+07,
2444280.500000000, A.D. 1980-Feb-11 00:00:00.0000, -1.698654533450440E+09, -2.228814600527662E+09,  1.379548028650844E+07,
2444281.500000000, A.D. 1980-Feb-12 00:00:00.0000, -1.698255610934695E+09, -2.229195840673007E+09,  1.371696386793375E+07,
2444282.500000000, A.D. 1980-Feb-13 00:00:00.0000, -1.697836865914569E+09, -2.229559673469320E+09,  1.379179543057680E+07,
2444283.500000000, A.D. 1980-Feb-14 00:00:00.0000, -1.697281014304529E+09, -2.229961903013865E+09,  1.380365588120520E+07,
2444284.500000000, A.D. 1980-Feb-15 00:00:00.0000, -1.696831268239908E+09, -2.230357075428951E+09,  1.370180670846832E+07,
2444285.500000000, A.D. 1980-Feb-16 00:00:00.0000, -1.696451403433167E+09, -2.230718040635655E+09,  1.373469559021354E+07,
2444286.500000000, A.D. 1980-Feb-17 00:00:00.0000, -1.695921219680861E+09, -2.231107371671246E+09,  1.379625562912416E+07,
2444287.500000000, A.D. 1980-Feb-18 00:00:00.0000, -1.695415736644563E+09, -2.231512784972991E+09,  1.370491433685982E+07,
2444288.500000000, A.D. 1980-Feb-19 00:00:00.0000, -1.695044844174378E+09, -2.231879389148067E+09,  1.368144760631645E+07,
2444289.500000000, A.D. 1980-Feb-20 00:00:00.0000, -1.694564157929351E+09, -2.232254133394135E+09,  1.376798339086711E+07,
2444290.500000000, A.D. 1980-Feb-21 00:00:00.0000, -1.694017898822490E+09, -2.232662303613457E+09,  1.371730856632030E+07,
2444291.500000000, A.D. 1980-Feb-22 00:00:00.0000, -1.693622678802651E+09, -2.233040960125873E+09,  1.364320970252037E+07,
2444292.500000000, A.D. 1980-Feb-23 00:00:00.0000, -1.693197452368098E+09, -2.233404561109163E+09,  1.372105763298547E+07,
2444293.500000000, A.D. 1980-Feb-24 00:00:00.0000, -1.692639938053892E+09, -2.233806905492736E+09,  1.372655307184732E+07,
2444294.500000000, A.D. 1980-Feb-25 00:00:00.0000, -1.692195688032549E+09, -2.234199616908204E+09,  1.362565205992997E+07,
2444295.500000000, A.D. 1980-Feb-26 00:00:00.0000, -1.691812010185262E+09, -2.234559392124641E+09,  1.366426480981195E+07,
2444296.500000000, A.D. 1980-Feb-27 00:00:00.0000, -1.691276741759427E+09, -2.234949301769120E+09,  1.372125585257614E+07,
2444297.500000000, A.D. 1980-Feb-28 00:00:00.0000, -1.690776265898543E+09, -2.235352904515252E+09,  1.362709608324301E+07,
2444298.500000000, A.D. 1980-Feb-29 00:00:00.0000, -1.690405258418753E+09, -2.235717439408467E+09,  1.361000707235968E+07,
2444299.500000000, A.D. 1980-Mar-01 00:00:00.0000, -1.689917575161908E+09, -2.236092674152810E+09,  1.369536581718206E+07,
2444300.500000000, A.D. 1980-Mar-02 00:00:00.0000, -1.689373763835334E+09, -2.236499983583464E+09,  1.363907435512316E+07,
2444301.500000000, A.D. 1980-Mar-03 00:00:00.0000, -1.688981897781572E+09, -2.236876075499566E+09,  1.356969359297824E+07,
2444302.500000000, A.D. 1980-Mar-04 00:00:00.0000, -1.688550006121014E+09, -2.237239544988480E+09,  1.365014428907061E+07,
2444303.500000000, A.D. 1980-Mar-05 00:00:00.0000, -1.687991270912339E+09, -2.237641925336981E+09,  1.364921197788835E+07,
2444304.500000000, A.D. 1980-Mar-06 00:00:00.0000, -1.687552418630213E+09, -2.238032122796478E+09,  1.354969786936760E+07,
2444305.500000000, A.D. 1980-Mar-07 00:00:00.0000, -1.687164535841848E+09, -2.238390818886024E+09,  1.359381599765968E+07,
2444306.500000000, A.D. 1980-Mar-08 00:00:00.0000, -1.686624507766940E+09, -2.238781292674185E+09,  1.364591514310241E+07,
2444307.500000000, A.D. 1980-Mar-09 00:00:00.0000, -1.686129225156703E+09, -2.239182983443661E+09,  1.354931774698329E+07,
2444308.500000000, A.D. 1980-Mar-10 00:00:00.0000, -1.685757685381896E+09, -2.239545521511698E+09,  1.353865560378516E+07,
2444309.500000000, A.D. 1980-Mar-11 00:00:00.0000, -1.685263112137146E+09, -2.239921293009788E+09,  1.362240996983910E+07,
2444310.500000000, A.D. 1980-Mar-12 00:00:00.0000, -1.684722126873650E+09, -2.240327629947899E+09,  1.356070866372454E+07,
2444311.500000000, A.D. 1980-Mar-13 00:00:00.0000, -1.684333315398824E+09, -2.240701167213046E+09,  1.349633283934569E+07,
2444312.500000000, A.D. 1980-Mar-14 00:00:00.0000, -1.683894628105307E+09, -2.241064589151877E+09,  1.357902268493044E+07,
2444313.500000000, A.D. 1980-Mar-15 00:00:00.0000, -1.683335085691217E+09, -2.241466920905552E+09,  1.357166860689449E+07,
2444314.500000000, A.D. 1980-Mar-16 00:00:00.0000, -1.682901485749541E+09, -2.241854561959924E+09,  1.347396744728351E+07,
2444315.500000000, A.D. 1980-Mar-17 00:00:00.0000, -1.682509035952900E+09, -2.242212288331234E+09,  1.352335525045812E+07,
2444316.500000000, A.D. 1980-Mar-18 00:00:00.0000, -1.681964578858042E+09, -2.242603301170839E+09,  1.357030240593994E+07,
2444317.500000000, A.D. 1980-Mar-19 00:00:00.0000, -1.681474592108813E+09, -2.243002991411977E+09,  1.347166916314769E+07,
2444318.500000000, A.D. 1980-Mar-20 00:00:00.0000, -1.681102069837234E+09, -2.243363625002794E+09,  1.346740819609201E+07,
2444319.500000000, A.D. 1980-Mar-21 00:00:00.0000, -1.680600764566853E+09, -2.243739973513943E+09,  1.354910170154881E+07,
2444320.500000000, A.D. 1980-Mar-22 00:00:00.0000, -1.680062984871233E+09, -2.244145218206380E+09,  1.348223318573785E+07,
2444321.500000000, A.D. 1980-Mar-23 00:00:00.0000, -1.679676887109648E+09, -2.244516223454067E+09,  1.342313097736216E+07,
2444322.500000000, A.D. 1980-Mar-24 00:00:00.0000, -1.679231289876772E+09, -2.244879688163830E+09,  1.350764364969432E+07,
2444323.500000000, A.D. 1980-Mar-25 00:00:00.0000, -1.678671395986501E+09, -2.245281876316895E+09,  1.349386667413616E+07,
2444324.500000000, A.D. 1980-Mar-26 00:00:00.0000, -1.678242920460859E+09, -2.245666912516668E+09,  1.339841597955000E+07,
