JDTDB,Calendar Date (TDB),X,Y,Z,
2420955.500370370, A.D. 1916-Apr-02 00:00:32.0000,  2.198999769697147E+09, -2.010715420473711E+09, -3.128611692078531E+07,
2420956.500370370, A.D. 1916-Apr-03 00:00:32.0000,  2.199466024565631E+09, -2.010320618471240E+09, -3.129052353395998E+07,
2420957.500370370, A.D. 1916-Apr-04 00:00:32.0000,  2.199932030580881E+09, -2.009926311929542E+09, -3.129542437334621E+07,
2420958.500370370, A.D. 1916-Apr-05 00:00:32.0000,  2.200397780560840E+09, -2.009532498257014E+09, -3.130081819366109E+07,
2420959.500370370, A.D. 1916-Apr-06 00:00:32.0000,  2.200863267365586E+09, -2.009139174822172E+09, -3.130670371076083E+07,
2420960.500370370, A.D. 1916-Apr-07 00:00:32.0000,  2.201328483896602E+09, -2.008746338949957E+09, -3.131307959869599E+07,
2420961.500370370, A.D. 1916-Apr-08 00:00:32.0000,  2.201793423107246E+09, -2.008353987926258E+09, -3.131994449215639E+07,
2420962.500370370, A.D. 1916-Apr-09 00:00:32.0000,  2.202258077999451E+09, -2.007962119000012E+09, -3.132729698857248E+07,
2420963.500370370, A.D. 1916-Apr-10 00:00:32.0000,  2.202722441623758E+09, -2.007570729383676E+09, -3.133513564850104E+07,
2420964.500370370, A.D. 1916-Apr-11 00:00:32.0000,  2.203186507079364E+09, -2.007179816253702E+09, -3.134345899600780E+07,
2420965.500370370, A.D. 1916-Apr-12 00:00:32.0000,  2.203650267514186E+09, -2.006789376750983E+09, -3.135226551905286E+07,
2420966.500370370, A.D. 1916-Apr-13 00:00:32.0000,  2.204113716124928E+09, -2.006399407981307E+09, -3.136155366987431E+07,
2420967.500370370, A.D. 1916-Apr-14 00:00:32.0000,  2.204576846157159E+09, -2.006009907015766E+09, -3.137132186537170E+07,
2420968.500370370, A.D. 1916-Apr-15 00:00:32.0000,  2.205039650905399E+09, -2.005620870891164E+09, -3.138156848748720E+07,
2420969.500370370, A.D. 1916-Apr-16 00:00:32.0000,  2.205502123713202E+09, -2.005232296610381E+09, -3.139229188358545E+07,
2420970.500370370, A.D. 1916-Apr-17 00:00:32.0000,  2.205964257973228E+09, -2.004844181142715E+09, -3.140349036682951E+07,
2420971.500370370, A.D. 1916-Apr-18 00:00:32.0000,  2.206426047127305E+09, -2.004456521424186E+09, -3.141516221655285E+07,
2420972.500370370, A.D. 1916-Apr-19 00:00:32.0000,  2.206887484666454E+09, -2.004069314357821E+09, -3.142730567862630E+07,
2420973.500370370, A.D. 1916-Apr-20 00:00:32.0000,  2.207348564130883E+09, -2.003682556813908E+09, -3.143991896581948E+07,
2420974.500370370, A.D. 1916-Apr-21 00:00:32.0000,  2.207809279109933E+09, -2.003296245630242E+09, -3.145300025815809E+07,
2420975.500370370, A.D. 1916-Apr-22 00:00:32.0000,  2.208269623241972E+09, -2.002910377612376E+09, -3.146654770327544E+07,
2420976.500370370, A.D. 1916-Apr-23 00:00:32.0000,  2.208729590214233E+09, -2.002524949533880E+09, -3.148055941676104E+07,
2420977.500370370, A.D. 1916-Apr-24 00:00:32.0000,  2.209189173762611E+09, -2.002139958136647E+09, -3.149503348250675E+07,
2420978.500370370, A.D. 1916-Apr-25 00:00:32.0000,  2.209648367671420E+09, -2.001755400131235E+09, -3.150996795305622E+07,
2420979.500370370, A.D. 1916-Apr-26 00:00:32.0000,  2.210107165773129E+09, -2.001371272197278E+09, -3.152536084995270E+07,
2420980.500370370, A.D. 1916-Apr-27 00:00:32.0000,  2.210565561948094E+09, -2.000987570983944E+09, -3.154121016409636E+07,
