JDTDB,Calendar Date (TDB),X,Y,Z,
2447213.500092593, A.D. 1988-Feb-22 00:00:08.0000,  6.129207236346201E+08,  4.626365637406867E+08, -1.718591318510509E+07,
2447214.500092593, A.D. 1988-Feb-23 00:00:08.0000,  6.123385399470198E+08,  4.634916448494213E+08, -1.728113788652831E+07,
2447215.500092593, A.D. 1988-Feb-24 00:00:08.0000,  6.117542582572776E+08,  4.643446054629470E+08, -1.737621954459420E+07,
2447216.500092593, A.D. 1988-Feb-25 00:00:08.0000,  6.111678730325117E+08,  4.651954466863610E+08, -1.747115228411916E+07,
2447217.500092593, A.D. 1988-Feb-26 00:00:08.0000,  6.105793787414485E+08,  4.660441696968222E+08, -1.756593020917225E+07,
2447218.500092593, A.D. 1988-Feb-27 00:00:08.0000,  6.099887698477689E+08,  4.668907757398535E+08, -1.766054740151185E+07,
2447219.500092593, A.D. 1988-Feb-28 00:00:08.0000,  6.093960408172201E+08,  4.677352661349449E+08, -1.775499792263585E+07,
2447220.500092593, A.D. 1988-Feb-29 00:00:08.0000,  6.088011861140988E+08,  4.685776422726209E+08, -1.784927581289801E+07,
2447221.500092593, A.D. 1988-Mar-01 00:00:08.0000,  6.082042002029707E+08,  4.694179056170652E+08, -1.794337509225395E+07,
2447222.500092593, A.D. 1988-Mar-02 00:00:08.0000,  6.076050775505913E+08,  4.702560577068414E+08, -1.803728976074773E+07,
2447223.500092593, A.D. 1988-Mar-03 00:00:08.0000,  6.070038126261622E+08,  4.710921001542546E+08, -1.813101379857045E+07,
2447224.500092593, A.D. 1988-Mar-04 00:00:08.0000,  6.064003999018283E+08,  4.719260346459109E+08, -1.822454116636157E+07,
2447225.500092593, A.D. 1988-Mar-05 00:00:08.0000,  6.057948338536997E+08,  4.727578629434533E+08, -1.831786580560702E+07,
2447226.500092593, A.D. 1988-Mar-06 00:00:08.0000,  6.051871089623861E+08,  4.735875868833551E+08, -1.841098163880935E+07,
2447227.500092593, A.D. 1988-Mar-07 00:00:08.0000,  6.045772197130412E+08,  4.744152083769555E+08, -1.850388256964064E+07,
2447228.500092593, A.D. 1988-Mar-08 00:00:08.0000,  6.039651605959885E+08,  4.752407294117751E+08, -1.859656248341456E+07,
2447229.500092593, A.D. 1988-Mar-09 00:00:08.0000,  6.033509261081860E+08,  4.760641520526264E+08, -1.868901524766216E+07,
2447230.500092593, A.D. 1988-Mar-10 00:00:08.0000,  6.027345107542933E+08,  4.768854784411271E+08, -1.878123471238101E+07,
2447231.500092593, A.D. 1988-Mar-11 00:00:08.0000,  6.021159090467484E+08,  4.777047107960377E+08, -1.887321471026608E+07,
2447232.500092593, A.D. 1988-Mar-12 00:00:08.0000,  6.014951155068400E+08,  4.785218514152110E+08, -1.896494905740565E+07,
2447233.500092593, A.D. 1988-Mar-13 00:00:08.0000,  6.008721246670085E+08,  4.793369026720797E+08, -1.905643155331427E+07,
2447234.500092593, A.D. 1988-Mar-14 00:00:08.0000,  6.002469310683419E+08,  4.801498670207145E+08, -1.914765598132032E+07,
2447235.500092593, A.D. 1988-Mar-15 00:00:08.0000,  5.996195292653757E+08,  4.809607469923625E+08, -1.923861610947266E+07,
2447236.500092593, A.D. 1988-Mar-16 00:00:08.0000,  5.989899138209683E+08,  4.817695451965903E+08, -1.932930568931374E+07,
2447237.500092593, A.D. 1988-Mar-17 00:00:08.0000,  5.983580793131385E+08,  4.825762643231162E+08, -1.941971845831147E+07,
2447238.500092593, A.D. 1988-Mar-18 00:00:08.0000,  5.977240203320173E+08,  4.833809071409925E+08, -1.950984813898933E+07,
2447239.500092593, A.D. 1988-Mar-19 00:00:08.0000,  5.970877314824542E+08,  4.841834765002115E+08, -1.959968844009840E+07,
2447240.500092593, A.D. 1988-Mar-20 00:00:08.0000,  5.964492073855735E+08,  4.849839753311821E+08, -1.968923305704451E+07,
2447241.500092593, A.D. 1988-Mar-21 00:00:08.0000,  5.958084426784917E+08,  4.857824066439949E+08, -1.977847567181635E+07,
2447242.500092593, A.D. 1988-Mar-22 00:00:08.0000,  5.951654320148175E+08,  4.865787735290689E+08, -1.986740995344967E+07,
2447243.500092593, A.D. 1988-Mar-23 00:00:08.0000,  5.945201700658321E+08,  4.873730791578062E+08, -1.995602955865851E+07,
2447244.500092593, A.D. 1988-Mar-24 00:00:08.0000,  5.938726515211135E+08,  4.881653267824541E+08, -2.004432813213018E+07,
2447245.500092593, A.D. 1988-Mar-25 00:00:08.0000,  5.932228710889171E+08,  4.889555197362936E+08, -2.013229930685467E+07,
2447246.500092593, A.D. 1988-Mar-26 00:00:08.0000,  5.925708234974082E+08,  4.897436614346881E+08, -2.021993670491007E+07,
2447247.500092593, A.D. 1988-Mar-27 00:00:08.0000,  5.919165034963510E+08,  4.905297553754475E+08, -2.030723393821147E+07,
2447248.500092593, A.D. 1988-Mar-28 00:00:08.0000,  5.912599058577775E+08,  4.913138051377941E+08, -2.039418460864672E+07,
2447249.500092593, A.D. 1988-Mar-29 00:00:08.0000,  5.906010253760791E+08,  4.920958143826985E+08, -2.048078230839255E+07,
