JDTDB,Calendar Date (TDB),X,Y,Z,
2447213.500092593, A.D. 1988-Feb-22 00:00:08.0000,  5.972292695405477E+08,  4.390449251751729E+08, -1.528543221048006E+07,
2447214.500092593, A.D. 1988-Feb-23 00:00:08.0000,  5.972224780980471E+08,  4.398177441359278E+08, -1.527159308449894E+07,
2447215.500092593, A.D. 1988-Feb-24 00:00:08.0000,  5.972378992743304E+08,  4.408526684011223E+08, -1.524864049617913E+07,
2447216.500092593, A.D. 1988-Feb-25 00:00:08.0000,  5.971762109144669E+08,  4.421411248729913E+08, -1.521814195172957E+07,
2447217.500092593, A.D. 1988-Feb-26 00:00:08.0000,  5.969476662210919E+08,  4.436377349976255E+08, -1.518276812051430E+07,
2447218.500092593, A.D. 1988-Feb-27 00:00:08.0000,  5.964857346376209E+08,  4.452662705892191E+08, -1.514591824919835E+07,
2447219.500092593, A.D. 1988-Feb-28 00:00:08.0000,  5.957574680707577E+08,  4.469307761011102E+08, -1.511121578453764E+07,
2447220.500092593, A.D. 1988-Feb-29 00:00:08.0000,  5.947685492624285E+08,  4.485301038120533E+08, -1.508195853926170E+07,
2447221.500092593, A.D. 1988-Mar-01 00:00:08.0000,  5.935621463877907E+08,  4.499731464018283E+08, -1.506062554754341E+07,
2447222.500092593, A.D. 1988-Mar-02 00:00:08.0000,  5.922117950732278E+08,  4.511920313160582E+08, -1.504852962717250E+07,
2447223.500092593, A.D. 1988-Mar-03 00:00:08.0000,  5.908100132347972E+08,  4.521513040816281E+08, -1.504565827894524E+07,
2447224.500092593, A.D. 1988-Mar-04 00:00:08.0000,  5.894548276343197E+08,  4.528519149310625E+08, -1.505071456202719E+07,
2447225.500092593, A.D. 1988-Mar-05 00:00:08.0000,  5.882363245703371E+08,  4.533300258060045E+08, -1.506133050327387E+07,
2447226.500092593, A.D. 1988-Mar-06 00:00:08.0000,  5.872249554093211E+08,  4.536513654566436E+08, -1.507440619961858E+07,
2447227.500092593, A.D. 1988-Mar-07 00:00:08.0000,  5.864627226764985E+08,  4.539022120495596E+08, -1.508652419410187E+07,
2447228.500092593, A.D. 1988-Mar-08 00:00:08.0000,  5.859579360068731E+08,  4.541781625554318E+08, -1.509439140319479E+07,
2447229.500092593, A.D. 1988-Mar-09 00:00:08.0000,  5.856839552559941E+08,  4.545717938559068E+08, -1.509526659351748E+07,
2447230.500092593, A.D. 1988-Mar-10 00:00:08.0000,  5.855821311052353E+08,  4.551604121247023E+08, -1.508733063814390E+07,
2447231.500092593, A.D. 1988-Mar-11 00:00:08.0000,  5.855689523649817E+08,  4.559952357118526E+08, -1.506995478205743E+07,
2447232.500092593, A.D. 1988-Mar-12 00:00:08.0000,  5.855469533584204E+08,  4.570935036950082E+08, -1.504382286524698E+07,
2447233.500092593, A.D. 1988-Mar-13 00:00:08.0000,  5.854182943783413E+08,  4.584349416471654E+08, -1.501087368564892E+07,
2447234.500092593, A.D. 1988-Mar-14 00:00:08.0000,  5.850991139170943E+08,  4.599636943954202E+08, -1.497405091160750E+07,
2447235.500092593, A.D. 1988-Mar-15 00:00:08.0000,  5.845323971846647E+08,  4.615960270262001E+08, -1.493688074633065E+07,
2447236.500092593, A.D. 1988-Mar-16 00:00:08.0000,  5.836969262617257E+08,  4.632327219927046E+08, -1.490294321419132E+07,
2447237.500092593, A.D. 1988-Mar-17 00:00:08.0000,  5.826104692399871E+08,  4.647741100923244E+08, -1.487533010920113E+07,
2447238.500092593, A.D. 1988-Mar-18 00:00:08.0000,  5.813266329900613E+08,  4.661350001504619E+08, -1.485618802351752E+07,
2447239.500092593, A.D. 1988-Mar-19 00:00:08.0000,  5.799262299895875E+08,  4.672568557864265E+08, -1.484642409593025E+07,
2447240.500092593, A.D. 1988-Mar-20 00:00:08.0000,  5.785049855015227E+08,  4.681153904843844E+08, -1.484561162289172E+07,
2447241.500092593, A.D. 1988-Mar-21 00:00:08.0000,  5.771598386707766E+08,  4.687228933538749E+08, -1.485208954917711E+07,
2447242.500092593, A.D. 1988-Mar-22 00:00:08.0000,  5.759758902235357E+08,  4.691255308330801E+08, -1.486322083574691E+07,
2447243.500092593, A.D. 1988-Mar-23 00:00:08.0000,  5.750155063092242E+08,  4.693965246269495E+08, -1.487576048589876E+07,
2447244.500092593, A.D. 1988-Mar-24 00:00:08.0000,  5.743105867958392E+08,  4.696263233383005E+08, -1.488628278669783E+07,
2447245.500092593, A.D. 1988-Mar-25 00:00:08.0000,  5.738585521138835E+08,  4.699108834114535E+08, -1.489162380893609E+07,
2447246.500092593, A.D. 1988-Mar-26 00:00:08.0000,  5.736223128435165E+08,  4.703392596604531E+08, -1.488929547533858E+07,
2447247.500092593, A.D. 1988-Mar-27 00:00:08.0000,  5.735345584829738E+08,  4.709817120134687E+08, -1.487782608308697E+07,
2447248.500092593, A.D. 1988-Mar-28 00:00:08.0000,  5.735061315000910E+08,  4.718795904796985E+08, -1.485698920787141E+07,
2447249.500092593, A.D. 1988-Mar-29 00:00:08.0000,  5.734378846149080E+08,  4.730386191138002E+08, -1.482787446990880E+07,
2447250.500092593, A.D. 1988-Mar-30 00:00:08.0000,  5.732347488918806E+08,  4.744269779435205E+08, -1.479276965897110E+07,
2447251.500092593, A.D. 1988-Mar-31 00:00:08.0000,  5.728199467388320E+08,  4.759790707578331E+08, -1.475485168959656E+07,
2447252.500092593, A.D. 1988-Apr-01 00:00:08.0000,  5.721468977897962E+08,  4.776048367876804E+08, -1.471772253384602E+07,
2447253.500092593, A.D. 1988-Apr-02 00:00:08.0000,  5.712064911494743E+08,  4.792032491008760E+08, -1.468486559740207E+07,
2447254.500092593, A.D. 1988-Apr-03 00:00:08.0000,  5.700282811471094E+08,  4.806776335548797E+08, -1.465911987783071E+07,
2447255.500092593, A.D. 1988-Apr-04 00:00:08.0000,  5.686754943485293E+08,  4.819499899178965E+08, -1.464226743403682E+07,
2447256.500092593, A.D. 1988-Apr-05 00:00:08.0000,  5.672350104560308E+08,  4.829718757743016E+08, -1.463480006813717E+07,
2447257.500092593, A.D. 1988-Apr-06 00:00:08.0000,  5.658043906645141E+08,  4.837303619437762E+08, -1.463588836293793E+07,
2447258.500092593, A.D. 1988-Apr-07 00:00:08.0000,  5.644781682747159E+08,  4.842487334583278E+08, -1.464353547093636E+07,
2447259.500092593, A.D. 1988-Apr-08 00:00:08.0000,  5.633353881810590E+08,  4.845824493046695E+08, -1.465487312365630E+07,
2447260.500092593, A.D. 1988-Apr-09 00:00:08.0000,  5.624296382402753E+08,  4.848112331175250E+08, -1.466655342479715E+07,
2447261.500092593, A.D. 1988-Apr-10 00:00:08.0000,  5.617823661785587E+08,  4.850285615530399E+08, -1.467518539053172E+07,
2447262.500092593, A.D. 1988-Apr-11 00:00:08.0000,  5.613800613326710E+08,  4.853296288770491E+08, -1.467777236062968E+07,
2447263.500092593, A.D. 1988-Apr-12 00:00:08.0000,  5.611755897919368E+08,  4.857989149950805E+08, -1.467210897014350E+07,
2447264.500092593, A.D. 1988-Apr-13 00:00:08.0000,  5.610937576926280E+08,  4.864986448640709E+08, -1.465709364887631E+07,
2447265.500092593, A.D. 1988-Apr-14 00:00:08.0000,  5.610408803495011E+08,  4.874595885496558E+08, -1.463291154897511E+07,
2447266.500092593, A.D. 1988-Apr-15 00:00:08.0000,  5.609175171983459E+08,  4.886757107276481E+08, -1.460104819889912E+07,
2447267.500092593, A.D. 1988-Apr-16 00:00:08.0000,  5.606328326642631E+08,  4.901039853755280E+08, -1.456411018230778E+07,
2447268.500092593, A.D. 1988-Apr-17 00:00:08.0000,  5.601183690279109E+08,  4.916699605766706E+08, -1.452546180542347E+07,
2447269.500092593, A.D. 1988-Apr-18 00:00:08.0000,  5.593386955548551E+08,  4.932785813562759E+08, -1.448872714219093E+07,
2447270.500092593, A.D. 1988-Apr-19 00:00:08.0000,  5.582968630156406E+08,  4.948285664777948E+08, -1.445724048179474E+07,
2447271.500092593, A.D. 1988-Apr-20 00:00:08.0000,  5.570336778499918E+08,  4.962276842512222E+08, -1.443354656976831E+07,
2447272.500092593, A.D. 1988-Apr-21 00:00:08.0000,  5.556209535115007E+08,  4.974061581346681E+08, -1.441904171081457E+07,
2447273.500092593, A.D. 1988-Apr-22 00:00:08.0000,  5.541503485430926E+08,  4.983261659369228E+08, -1.441380160029650E+07,
2447274.500092593, A.D. 1988-Apr-23 00:00:08.0000,  5.527199564615266E+08,  4.989861922546479E+08, -1.441660940177360E+07,
2447275.500092593, A.D. 1988-Apr-24 00:00:08.0000,  5.514207959150349E+08,  4.994201705223921E+08, -1.442515893010402E+07,
2447276.500092593, A.D. 1988-Apr-25 00:00:08.0000,  5.503249534641976E+08,  4.996920985475349E+08, -1.443638721378732E+07,
2447277.500092593, A.D. 1988-Apr-26 00:00:08.0000,  5.494765448590049E+08,  4.998872131415608E+08, -1.444688531350744E+07,
2447278.500092593, A.D. 1988-Apr-27 00:00:08.0000,  5.488862257313783E+08,  5.001008683402529E+08, -1.445333965261230E+07,
2447279.500092593, A.D. 1988-Apr-28 00:00:08.0000,  5.485296536397283E+08,  5.004262334629722E+08, -1.445296167639455E+07,
