JDTDB,Calendar Date (TDB),X,Y,Z,
2440797.500266204, A.D. 1970-Jul-30 00:00:23.0000,  9.561133294308989E+08,  9.807430187492144E+08, -5.509033253110701E+07,
2440798.500266204, A.D. 1970-Jul-31 00:00:23.0000,  9.559425831244634E+08,  9.816097004763833E+08, -5.527513016859168E+07,
2440799.500266204, A.D. 1970-Aug-01 00:00:23.0000,  9.549003371052942E+08,  9.818266193732595E+08, -5.502977120902377E+07,
2440800.500266204, A.D. 1970-Aug-02 00:00:23.0000,  9.545712000777889E+08,  9.828331947799516E+08, -5.526640078526300E+07,
2440801.500266204, A.D. 1970-Aug-03 00:00:23.0000,  9.537103765962702E+08,  9.829361312906175E+08, -5.498582482673997E+07,
2440802.500266204, A.D. 1970-Aug-04 00:00:23.0000,  9.531797257027102E+08,  9.840238682432555E+08, -5.523964636091119E+07,
2440803.500266204, A.D. 1970-Aug-05 00:00:23.0000,  9.525302507132736E+08,  9.840781361588073E+08, -5.496020798319650E+07,
2440804.500266204, A.D. 1970-Aug-06 00:00:23.0000,  9.517825905837842E+08,  9.851770777760105E+08, -5.519426479088432E+07,
2440805.500266204, A.D. 1970-Aug-07 00:00:23.0000,  9.513452675428121E+08,  9.852546606544484E+08, -5.495217470495242E+07,
2440806.500266204, A.D. 1970-Aug-08 00:00:23.0000,  9.503948008614768E+08,  9.862932425943623E+08, -5.513225979175818E+07,
2440807.500266204, A.D. 1970-Aug-09 00:00:23.0000,  9.501411404954849E+08,  9.864628329380373E+08, -5.495857489389664E+07,
2440808.500266204, A.D. 1970-Aug-10 00:00:23.0000,  9.490298395487589E+08,  9.873776606324444E+08, -5.505789883253992E+07,
2440809.500266204, A.D. 1970-Aug-11 00:00:23.0000,  9.489061027727289E+08,  9.876953096797669E+08, -5.497432378979629E+07,
2440810.500266204, A.D. 1970-Aug-12 00:00:23.0000,  9.476978503151841E+08,  9.884399102012670E+08, -5.497719383745211E+07,
2440811.500266204, A.D. 1970-Aug-13 00:00:23.0000,  9.476322030234796E+08,  9.889412206277639E+08, -5.499303253657079E+07,
2440812.500266204, A.D. 1970-Aug-14 00:00:23.0000,  9.464040773806241E+08,  9.894923721331811E+08, -5.489697539680821E+07,
2440813.500266204, A.D. 1970-Aug-15 00:00:23.0000,  9.463165959067295E+08,  9.901874950020657E+08, -5.500782134676158E+07,
2440814.500266204, A.D. 1970-Aug-16 00:00:23.0000,  9.451483593507751E+08,  9.905484442565367E+08, -5.482393237235415E+07,
2440815.500266204, A.D. 1970-Aug-17 00:00:23.0000,  9.449620035516654E+08,  9.914208725568719E+08, -5.501238245288467E+07,
2440816.500266204, A.D. 1970-Aug-18 00:00:23.0000,  9.439250716051139E+08,  9.916208356923054E+08, -5.476375715825957E+07,
2440817.500266204, A.D. 1970-Aug-19 00:00:23.0000,  9.435762914208983E+08,  9.926294647227238E+08, -5.500170351329762E+07,
2440818.500266204, A.D. 1970-Aug-20 00:00:23.0000,  9.427239996900456E+08,  9.927196936956346E+08, -5.472031144939315E+07,
2440819.500266204, A.D. 1970-Aug-21 00:00:23.0000,  9.421715787399241E+08,  9.938045910965316E+08, -5.497287946145105E+07,
2440820.500266204, A.D. 1970-Aug-22 00:00:23.0000,  9.415318024815414E+08,  9.938513911012466E+08, -5.469519536878407E+07,
2440821.500266204, A.D. 1970-Aug-23 00:00:23.0000,  9.407623088302535E+08,  9.949420806898034E+08, -5.492553657806009E+07,
2440822.500266204, A.D. 1970-Aug-24 00:00:23.0000,  9.403336973625292E+08,  9.950176022371186E+08, -5.468749209770614E+07,
2440823.500266204, A.D. 1970-Aug-25 00:00:23.0000,  9.393635302781222E+08,  9.960426829824245E+08, -5.486182910040784E+07,
2440824.500266204, A.D. 1970-Aug-26 00:00:23.0000,  9.391155941313716E+08,  9.962151319324930E+08, -5.469393667979211E+07,
2440825.500266204, A.D. 1970-Aug-27 00:00:23.0000,  9.379885939273134E+08,  9.971121941936438E+08, -5.478623455733055E+07,
2440826.500266204, A.D. 1970-Aug-28 00:00:23.0000,  9.378657703839275E+08,  9.974363409672953E+08, -5.470933174089593E+07,
2440827.500266204, A.D. 1970-Aug-29 00:00:23.0000,  9.366471405846980E+08,  9.981603671664772E+08, -5.470476568539482E+07,
2440828.500266204, A.D. 1970-Aug-30 00:00:23.0000,  9.365766139014167E+08,  9.986700293991466E+08, -5.472719005212241E+07,
2440829.500266204, A.D. 1970-Aug-31 00:00:23.0000,  9.353441135261235E+08,  9.991997176355412E+08, -5.462425816742307E+07,
2440830.500266204, A.D. 1970-Sep-01 00:00:23.0000,  9.352457042185408E+08,  9.999030883326383E+08, -5.474068615108794E+07,
2440831.500266204, A.D. 1970-Sep-02 00:00:23.0000,  9.340788521183813E+08,  1.000243753904108E+09, -5.455137912158751E+07,
2440832.500266204, A.D. 1970-Sep-03 00:00:23.0000,  9.338761473209985E+08,  1.001122147015362E+09, -5.474351575187719E+07,
2440833.500266204, A.D. 1970-Sep-04 00:00:23.0000,  9.328454436487359E+08,  1.001304896491579E+09, -5.449162864037216E+07,
2440834.500266204, A.D. 1970-Sep-05 00:00:23.0000,  9.324762830807900E+08,  1.002315526917421E+09, -5.473083239954084E+07,
2440835.500266204, A.D. 1970-Sep-06 00:00:23.0000,  9.316334182428949E+08,  1.002393157272186E+09, -5.444876916327035E+07,
2440836.500266204, A.D. 1970-Sep-07 00:00:23.0000,  9.310584382530341E+08,  1.003474891683991E+09, -5.469992361579430E+07,
2440837.500266204, A.D. 1970-Sep-08 00:00:23.0000,  9.304291591644293E+08,  1.003514568141096E+09, -5.442420787159318E+07,
2440838.500266204, A.D. 1970-Sep-09 00:00:23.0000,  9.296373169873794E+08,  1.004596392228404E+09, -5.465059181809729E+07,
2440839.500266204, A.D. 1970-Sep-10 00:00:23.0000,  9.292180272050415E+08,  1.004670465567069E+09, -5.441689454890937E+07,
