JDTDB,Calendar Date (TDB),X,Y,Z,
2447213.500092593, A.D. 1988-Feb-22 00:00:08.0000,  5.781671085171674E+08,  4.305860779288077E+08, -1.921747906917879E+07,
2447214.500092593, A.D. 1988-Feb-23 00:00:08.0000,  5.774404435380095E+08,  4.317518494282534E+08, -1.923163422007692E+07,
2447215.500092593, A.D. 1988-Feb-24 00:00:08.0000,  5.767138768705878E+08,  4.329172887045336E+08, -1.924541092206031E+07,
2447216.500092593, A.D. 1988-Feb-25 00:00:08.0000,  5.759874251494757E+08,  4.340823817946923E+08, -1.925880493669623E+07,
2447217.500092593, A.D. 1988-Feb-26 00:00:08.0000,  5.752611050102515E+08,  4.352471145120315E+08, -1.927181201288331E+07,
2447218.500092593, A.D. 1988-Feb-27 00:00:08.0000,  5.745349330894192E+08,  4.364114724328922E+08, -1.928442788772452E+07,
2447219.500092593, A.D. 1988-Feb-28 00:00:08.0000,  5.738089260141904E+08,  4.375754409025385E+08, -1.929664828808504E+07,
2447220.500092593, A.D. 1988-Feb-29 00:00:08.0000,  5.730831004033732E+08,  4.387390050276860E+08, -1.930846893068436E+07,
2447221.500092593, A.D. 1988-Mar-01 00:00:08.0000,  5.723574728600917E+08,  4.399021496751012E+08, -1.931988552366936E+07,
2447222.500092593, A.D. 1988-Mar-02 00:00:08.0000,  5.716320599684160E+08,  4.410648594712180E+08, -1.933089376697057E+07,
2447223.500092593, A.D. 1988-Mar-03 00:00:08.0000,  5.709068782912530E+08,  4.422271187995343E+08, -1.934148935263291E+07,
2447224.500092593, A.D. 1988-Mar-04 00:00:08.0000,  5.701819443656540E+08,  4.433889117980364E+08, -1.935166796587741E+07,
2447225.500092593, A.D. 1988-Mar-05 00:00:08.0000,  5.694572746982965E+08,  4.445502223576579E+08, -1.936142528594667E+07,
2447226.500092593, A.D. 1988-Mar-06 00:00:08.0000,  5.687328857628645E+08,  4.457110341203161E+08, -1.937075698645607E+07,
2447227.500092593, A.D. 1988-Mar-07 00:00:08.0000,  5.680087939964205E+08,  4.468713304756936E+08, -1.937965873622185E+07,
2447228.500092593, A.D. 1988-Mar-08 00:00:08.0000,  5.672850157929492E+08,  4.480310945582746E+08, -1.938812620088425E+07,
2447229.500092593, A.D. 1988-Mar-09 00:00:08.0000,  5.665615674975218E+08,  4.491903092462642E+08, -1.939615504409540E+07,
2447230.500092593, A.D. 1988-Mar-10 00:00:08.0000,  5.658384654036856E+08,  4.503489571609553E+08, -1.940374092771778E+07,
2447231.500092593, A.D. 1988-Mar-11 00:00:08.0000,  5.651157257487377E+08,  4.515070206637677E+08, -1.941087951296631E+07,
2447232.500092593, A.D. 1988-Mar-12 00:00:08.0000,  5.643933647060804E+08,  4.526644818541865E+08, -1.941756646228111E+07,
2447233.500092593, A.D. 1988-Mar-13 00:00:08.0000,  5.636713983898046E+08,  4.538213225732659E+08, -1.942379743686786E+07,
2447234.500092593, A.D. 1988-Mar-14 00:00:08.0000,  5.629498428378422E+08,  4.549775243909565E+08, -1.942956810252607E+07,
2447235.500092593, A.D. 1988-Mar-15 00:00:08.0000,  5.622287140182931E+08,  4.561330686177105E+08, -1.943487412591934E+07,
2447236.500092593, A.D. 1988-Mar-16 00:00:08.0000,  5.615080278151211E+08,  4.572879362868090E+08, -1.943971118010998E+07,
2447237.500092593, A.D. 1988-Mar-17 00:00:08.0000,  5.607878000283095E+08,  4.584421081677004E+08, -1.944407494245309E+07,
2447238.500092593, A.D. 1988-Mar-18 00:00:08.0000,  5.600680463662369E+08,  4.595955647556220E+08, -1.944796109743109E+07,
2447239.500092593, A.D. 1988-Mar-19 00:00:08.0000,  5.593487824389973E+08,  4.607482862734932E+08, -1.945136533792126E+07,
2447240.500092593, A.D. 1988-Mar-20 00:00:08.0000,  5.586300237556889E+08,  4.619002526721332E+08, -1.945428336527887E+07,
2447241.500092593, A.D. 1988-Mar-21 00:00:08.0000,  5.579117857199489E+08,  4.630514436270437E+08, -1.945671089039108E+07,
2447242.500092593, A.D. 1988-Mar-22 00:00:08.0000,  5.571940836233035E+08,  4.642018385368750E+08, -1.945864363530442E+07,
2447243.500092593, A.D. 1988-Mar-23 00:00:08.0000,  5.564769326393442E+08,  4.653514165229174E+08, -1.946007733444357E+07,
2447244.500092593, A.D. 1988-Mar-24 00:00:08.0000,  5.557603478186421E+08,  4.665001564272285E+08, -1.946100773572621E+07,
2447245.500092593, A.D. 1988-Mar-25 00:00:08.0000,  5.550443440819380E+08,  4.676480368106532E+08, -1.946143060233214E+07,
2447246.500092593, A.D. 1988-Mar-26 00:00:08.0000,  5.543289362121871E+08,  4.687950359531017E+08, -1.946134171465746E+07,
2447247.500092593, A.D. 1988-Mar-27 00:00:08.0000,  5.536141388493495E+08,  4.699411318546611E+08, -1.946073687118325E+07,
2447248.500092593, A.D. 1988-Mar-28 00:00:08.0000,  5.528999664876344E+08,  4.710863022342800E+08, -1.945961188870066E+07,
2447249.500092593, A.D. 1988-Mar-29 00:00:08.0000,  5.521864334681005E+08,  4.722305245277377E+08, -1.945796260427773E+07,
2447250.500092593, A.D. 1988-Mar-30 00:00:08.0000,  5.514735539694374E+08,  4.733737758885596E+08, -1.945578487760463E+07,
2447251.500092593, A.D. 1988-Mar-31 00:00:08.0000,  5.507613420128245E+08,  4.745160331853242E+08, -1.945307458865932E+07,
2447252.500092593, A.D. 1988-Apr-01 00:00:08.0000,  5.500498114366190E+08,  4.756572730022157E+08, -1.944982764573231E+07,
2447253.500092593, A.D. 1988-Apr-02 00:00:08.0000,  5.493389759083818E+08,  4.767974716413366E+08, -1.944603998040062E+07,
2447254.500092593, A.D. 1988-Apr-03 00:00:08.0000,  5.486288489012362E+08,  4.779366051151803E+08, -1.944170755548772E+07,
2447255.500092593, A.D. 1988-Apr-04 00:00:08.0000,  5.479194437012416E+08,  4.790746491568850E+08, -1.943682636090803E+07,
2447256.500092593, A.D. 1988-Apr-05 00:00:08.0000,  5.472107733929323E+08,  4.802115792135953E+08, -1.943139241852647E+07,
2447257.500092593, A.D. 1988-Apr-06 00:00:08.0000,  5.465028508546170E+08,  4.813473704501712E+08, -1.942540178278524E+07,
2447258.500092593, A.D. 1988-Apr-07 00:00:08.0000,  5.457956887546295E+08,  4.824819977489455E+08, -1.941885054114142E+07,
2447259.500092593, A.D. 1988-Apr-08 00:00:08.0000,  5.450892995429469E+08,  4.836154357075428E+08, -1.941173481642532E+07,
