JDTDB,Calendar Date (TDB),X,Y,Z,
2447213.500092593, A.D. 1988-Feb-22 00:00:08.0000,  6.069824250602549E+08,  4.322187660797853E+08, -3.194300459416501E+07,
2447214.500092593, A.D. 1988-Feb-23 00:00:08.0000,  6.063915332308508E+08,  4.333135959262531E+08, -3.201809281895143E+07,
2447215.500092593, A.D. 1988-Feb-24 00:00:08.0000,  6.057982507070098E+08,  4.344082674980847E+08, -3.209134437175220E+07,
2447216.500092593, A.D. 1988-Feb-25 00:00:08.0000,  6.052025776060123E+08,  4.355027579194171E+08, -3.216276436933856E+07,
2447217.500092593, A.D. 1988-Feb-26 00:00:08.0000,  6.046045141226187E+08,  4.365970446123545E+08, -3.223235792299326E+07,
2447218.500092593, A.D. 1988-Feb-27 00:00:08.0000,  6.040040605210592E+08,  4.376911052866398E+08, -3.230013013950080E+07,
2447219.500092593, A.D. 1988-Feb-28 00:00:08.0000,  6.034012171348644E+08,  4.387849179340471E+08, -3.236608611354324E+07,
2447220.500092593, A.D. 1988-Feb-29 00:00:08.0000,  6.027959843617163E+08,  4.398784608201309E+08, -3.243023093036613E+07,
2447221.500092593, A.D. 1988-Mar-01 00:00:08.0000,  6.021883626605880E+08,  4.409717124768605E+08, -3.249256966167858E+07,
2447222.500092593, A.D. 1988-Mar-02 00:00:08.0000,  6.015783525497692E+08,  4.420646516967543E+08, -3.255310736364105E+07,
2447223.500092593, A.D. 1988-Mar-03 00:00:08.0000,  6.009659546040512E+08,  4.431572575265055E+08, -3.261184907688838E+07,
2447224.500092593, A.D. 1988-Mar-04 00:00:08.0000,  6.003511694517056E+08,  4.442495092600804E+08, -3.266879982525086E+07,
2447225.500092593, A.D. 1988-Mar-05 00:00:08.0000,  5.997339977719779E+08,  4.453413864323900E+08, -3.272396461396855E+07,
2447226.500092593, A.D. 1988-Mar-06 00:00:08.0000,  5.991144402927649E+08,  4.464328688135052E+08, -3.277734842912725E+07,
2447227.500092593, A.D. 1988-Mar-07 00:00:08.0000,  5.984924977879314E+08,  4.475239364024475E+08, -3.282895623747703E+07,
2447228.500092593, A.D. 1988-Mar-08 00:00:08.0000,  5.978681710745682E+08,  4.486145694205379E+08, -3.287879298502100E+07,
2447229.500092593, A.D. 1988-Mar-09 00:00:08.0000,  5.972414610109313E+08,  4.497047483055297E+08, -3.292686359515789E+07,
2447230.500092593, A.D. 1988-Mar-10 00:00:08.0000,  5.966123684948146E+08,  4.507944537067053E+08, -3.297317296828407E+07,
