JDTDB,Calendar Date (TDB),X,Y,Z,
2447213.500092593, A.D. 1988-Feb-22 00:00:08.0000,  6.200869148058423E+08,  4.422223137421796E+08, -9.552304523014605E+06,
2447214.500092593, A.D. 1988-Feb-23 00:00:08.0000,  6.193755766209570E+08,  4.429800488470350E+08, -9.545717997279316E+06,
2447215.500092593, A.D. 1988-Feb-24 00:00:08.0000,  6.186610789363658E+08,  4.437366852202885E+08, -9.539565560535580E+06,
2447216.500092593, A.D. 1988-Feb-25 00:00:08.0000,  6.179434157905604E+08,  4.444922365814076E+08, -9.533849113209099E+06,
2447217.500092593, A.D. 1988-Feb-26 00:00:08.0000,  6.172225813183975E+08,  4.452467168059642E+08, -9.528570529925913E+06,
2447218.500092593, A.D. 1988-Feb-27 00:00:08.0000,  6.164985697672510E+08,  4.460001399346967E+08, -9.523731652832359E+06,
2447219.500092593, A.D. 1988-Feb-28 00:00:08.0000,  6.157713754897333E+08,  4.467525201651105E+08, -9.519334295451373E+06,
2447220.500092593, A.D. 1988-Feb-29 00:00:08.0000,  6.150409929527969E+08,  4.475038718572701E+08, -9.515380239037097E+06,
2447221.500092593, A.D. 1988-Mar-01 00:00:08.0000,  6.143074167402219E+08,  4.482542095307682E+08, -9.511871232098252E+06,
2447222.500092593, A.D. 1988-Mar-02 00:00:08.0000,  6.135706415527753E+08,  4.490035478642953E+08, -9.508808990874559E+06,
2447223.500092593, A.D. 1988-Mar-03 00:00:08.0000,  6.128306622110168E+08,  4.497519016974109E+08, -9.506195198579222E+06,
2447224.500092593, A.D. 1988-Mar-04 00:00:08.0000,  6.120874736588551E+08,  4.504992860305447E+08, -9.504031504362792E+06,
2447225.500092593, A.D. 1988-Mar-05 00:00:08.0000,  6.113410709660829E+08,  4.512457160245495E+08, -9.502319522755206E+06,
2447226.500092593, A.D. 1988-Mar-06 00:00:08.0000,  6.105914493310252E+08,  4.519912070016053E+08, -9.501060833028227E+06,
2447227.500092593, A.D. 1988-Mar-07 00:00:08.0000,  6.098386040845644E+08,  4.527357744459039E+08, -9.500256977953643E+06,
