JDTDB,Calendar Date (TDB),X,Y,Z,
2444239.500000000, A.D. 1980-Jan-01 00:00:00.0000, -1.717590141342119E+09, -2.212942870946983E+09,  1.404979828013825E+07,
2444240.500000000, A.D. 1980-Jan-02 00:00:00.0000, -1.717182747697986E+09, -2.213323933865021E+09,  1.401815571109879E+07,
2444241.500000000, A.D. 1980-Jan-03 00:00:00.0000, -1.716770306433064E+09, -2.213698357661438E+09,  1.404138677415538E+07,
2444242.500000000, A.D. 1980-Jan-04 00:00:00.0000, -1.716309968292384E+09, -2.214079348220321E+09,  1.409199016113544E+07,
2444243.500000000, A.D. 1980-Jan-05 00:00:00.0000, -1.715801834335929E+09, -2.214474129529218E+09,  1.411784014165986E+07,
2444244.500000000, A.D. 1980-Jan-06 00:00:00.0000, -1.715288924759471E+09, -2.214877437997357E+09,  1.408903375853574E+07,
2444245.500000000, A.D. 1980-Jan-07 00:00:00.0000, -1.714818478738688E+09, -2.215276250655857E+09,  1.402483881524837E+07,
2444246.500000000, A.D. 1980-Jan-08 00:00:00.0000, -1.714399446595536E+09, -2.215661513571789E+09,  1.397628619575405E+07,
2444247.500000000, A.D. 1980-Jan-09 00:00:00.0000, -1.713994578267884E+09, -2.216036249866054E+09,  1.398030885525262E+07,
2444248.500000000, A.D. 1980-Jan-10 00:00:00.0000, -1.713553825110524E+09, -2.216412841654091E+09,  1.402667714725256E+07,
2444249.500000000, A.D. 1980-Jan-11 00:00:00.0000, -1.713059250544317E+09, -2.216801933840277E+09,  1.406707160437918E+07,
2444250.500000000, A.D. 1980-Jan-12 00:00:00.0000, -1.712541265552185E+09, -2.217202841356798E+09,  1.405851219002807E+07,
2444251.500000000, A.D. 1980-Jan-13 00:00:00.0000, -1.712051237554913E+09, -2.217604168481552E+09,  1.400205286672688E+07,
2444252.500000000, A.D. 1980-Jan-14 00:00:00.0000, -1.711615320261645E+09, -2.217994061976426E+09,  1.394175912057853E+07,
2444253.500000000, A.D. 1980-Jan-15 00:00:00.0000, -1.711211005213172E+09, -2.218370847750438E+09,  1.392513356998634E+07,
2444254.500000000, A.D. 1980-Jan-16 00:00:00.0000, -1.710787326910897E+09, -2.218744535216320E+09,  1.396046466140306E+07,
