JDTDB,Calendar Date (TDB),X,Y,Z,
2446431.500000000, A.D. 1986-Jan-01 00:00:00.0000, -5.623425277250021E+08, -2.804212776470561E+09, -3.176360306051731E+06,
2446432.500000000, A.D. 1986-Jan-02 00:00:00.0000, -5.617411376039960E+08, -2.804343067567863E+09, -3.051616644426823E+06,
2446433.500000000, A.D. 1986-Jan-03 00:00:00.0000, -5.612826668466235E+08, -2.804470115502280E+09, -3.131336702092052E+06,
2446434.500000000, A.D. 1986-Jan-04 00:00:00.0000, -5.605820606007252E+08, -2.804644910516464E+09, -3.175059364174128E+06,
2446435.500000000, A.D. 1986-Jan-05 00:00:00.0000, -5.600659949258910E+08, -2.804757939369866E+09, -3.062881776393175E+06,
2446436.500000000, A.D. 1986-Jan-06 00:00:00.0000, -5.595422317103953E+08, -2.804906398234658E+09, -3.197562598238230E+06,
2446437.500000000, A.D. 1986-Jan-07 00:00:00.0000, -5.588442521340359E+08, -2.805068316517110E+09, -3.154386621517062E+06,
2446438.500000000, A.D. 1986-Jan-08 00:00:00.0000, -5.583896929228094E+08, -2.805176167119104E+09, -3.104940582896471E+06,
2446439.500000000, A.D. 1986-Jan-09 00:00:00.0000, -5.577800202487800E+08, -2.805343270679551E+09, -3.241687255837083E+06,
2446440.500000000, A.D. 1986-Jan-10 00:00:00.0000, -5.571365306248220E+08, -2.805483916410718E+09, -3.132852845256448E+06,
2446441.500000000, A.D. 1986-Jan-11 00:00:00.0000, -5.566938309675375E+08, -2.805600712224027E+09, -3.170129589988232E+06,
2446442.500000000, A.D. 1986-Jan-12 00:00:00.0000, -5.560133930815068E+08, -2.805775795090802E+09, -3.255331486820698E+06,
2446443.500000000, A.D. 1986-Jan-13 00:00:00.0000, -5.554536111828961E+08, -2.805895476534738E+09, -3.129479985953450E+06,
2446444.500000000, A.D. 1986-Jan-14 00:00:00.0000, -5.549681666462507E+08, -2.806031446590629E+09, -3.241250558431506E+06,
2446445.500000000, A.D. 1986-Jan-15 00:00:00.0000, -5.542615181422869E+08, -2.806200382647204E+09, -3.242800679289579E+06,
2446446.500000000, A.D. 1986-Jan-16 00:00:00.0000, -5.537798063031307E+08, -2.806307997330300E+09, -3.155759004694104E+06,
