JDTDB,Calendar Date (TDB),X,Y,Z,
2447213.500092593, A.D. 1988-Feb-22 00:00:08.0000,  5.797407595478539E+08,  4.168555573506907E+08, -2.076606989748922E+07,
2447214.500092593, A.D. 1988-Feb-23 00:00:08.0000,  5.789714410534277E+08,  4.179192491815310E+08, -2.067110577362582E+07,
2447215.500092593, A.D. 1988-Feb-24 00:00:08.0000,  5.782011580464504E+08,  4.189825914678130E+08, -2.057590442277640E+07,
2447216.500092593, A.D. 1988-Feb-25 00:00:08.0000,  5.774299180367231E+08,  4.200455813209038E+08, -2.048046810093528E+07,
2447217.500092593, A.D. 1988-Feb-26 00:00:08.0000,  5.766577285768518E+08,  4.211082158374245E+08, -2.038479908909962E+07,
2447218.500092593, A.D. 1988-Feb-27 00:00:08.0000,  5.758845972660284E+08,  4.221704920999855E+08, -2.028889969291955E+07,
2447219.500092593, A.D. 1988-Feb-28 00:00:08.0000,  5.751105317467439E+08,  4.232324071747227E+08, -2.019277224383211E+07,
2447220.500092593, A.D. 1988-Feb-29 00:00:08.0000,  5.743355397070724E+08,  4.242939581123456E+08, -2.009641909875584E+07,
2447221.500092593, A.D. 1988-Mar-01 00:00:08.0000,  5.735596288800083E+08,  4.253551419466887E+08, -1.999984264070049E+07,
2447222.500092593, A.D. 1988-Mar-02 00:00:08.0000,  5.727828070429424E+08,  4.264159556943562E+08, -1.990304527913240E+07,
2447223.500092593, A.D. 1988-Mar-03 00:00:08.0000,  5.720050820180670E+08,  4.274763963548536E+08, -1.980602945010448E+07,
2447224.500092593, A.D. 1988-Mar-04 00:00:08.0000,  5.712264616725023E+08,  4.285364609099949E+08, -1.970879761656979E+07,
2447225.500092593, A.D. 1988-Mar-05 00:00:08.0000,  5.704469539180826E+08,  4.295961463232982E+08, -1.961135226875088E+07,
2447226.500092593, A.D. 1988-Mar-06 00:00:08.0000,  5.696665667114851E+08,  4.306554495399469E+08, -1.951369592435110E+07,
2447227.500092593, A.D. 1988-Mar-07 00:00:08.0000,  5.688853080546860E+08,  4.317143674865932E+08, -1.941583112874678E+07,
2447228.500092593, A.D. 1988-Mar-08 00:00:08.0000,  5.681031859950699E+08,  4.327728970704015E+08, -1.931776045537195E+07,
2447229.500092593, A.D. 1988-Mar-09 00:00:08.0000,  5.673202086250207E+08,  4.338310351781569E+08, -1.921948650616291E+07,
2447230.500092593, A.D. 1988-Mar-10 00:00:08.0000,  5.665363840817306E+08,  4.348887786762329E+08, -1.912101191180885E+07,
2447231.500092593, A.D. 1988-Mar-11 00:00:08.0000,  5.657517205475466E+08,  4.359461244101430E+08, -1.902233933200824E+07,
2447232.500092593, A.D. 1988-Mar-12 00:00:08.0000,  5.649662262497023E+08,  4.370030692032270E+08, -1.892347145596647E+07,
2447233.500092593, A.D. 1988-Mar-13 00:00:08.0000,  5.641799094595098E+08,  4.380596098582994E+08, -1.882441100239253E+07,
2447234.500092593, A.D. 1988-Mar-14 00:00:08.0000,  5.633927784945616E+08,  4.391157431548817E+08, -1.872516072004259E+07,
2447235.500092593, A.D. 1988-Mar-15 00:00:08.0000,  5.626048417156737E+08,  4.401714658502414E+08, -1.862572338794148E+07,
2447236.500092593, A.D. 1988-Mar-16 00:00:08.0000,  5.618161075314372E+08,  4.412267746786909E+08, -1.852610181543449E+07,
2447237.500092593, A.D. 1988-Mar-17 00:00:08.0000,  5.610265843934065E+08,  4.422816663501421E+08, -1.842629884301710E+07,
2447238.500092593, A.D. 1988-Mar-18 00:00:08.0000,  5.602362807989942E+08,  4.433361375503252E+08, -1.832631734229591E+07,
2447239.500092593, A.D. 1988-Mar-19 00:00:08.0000,  5.594452052902378E+08,  4.443901849394427E+08, -1.822616021653536E+07,
2447240.500092593, A.D. 1988-Mar-20 00:00:08.0000,  5.586533664533100E+08,  4.454438051520995E+08, -1.812583040095922E+07,
2447241.500092593, A.D. 1988-Mar-21 00:00:08.0000,  5.578607729192091E+08,  4.464969947973014E+08, -1.802533086292788E+07,
2447242.500092593, A.D. 1988-Mar-22 00:00:08.0000,  5.570674333637915E+08,  4.475497504576294E+08, -1.792466460228619E+07,
2447243.500092593, A.D. 1988-Mar-23 00:00:08.0000,  5.562733565074247E+08,  4.486020686885016E+08, -1.782383465174565E+07,
2447244.500092593, A.D. 1988-Mar-24 00:00:08.0000,  5.554785511151698E+08,  4.496539460179093E+08, -1.772284407715786E+07,
2447245.500092593, A.D. 1988-Mar-25 00:00:08.0000,  5.546830259970822E+08,  4.507053789458011E+08, -1.762169597781476E+07,
2447246.500092593, A.D. 1988-Mar-26 00:00:08.0000,  5.538867900077676E+08,  4.517563639428273E+08, -1.752039348689243E+07,
2447247.500092593, A.D. 1988-Mar-27 00:00:08.0000,  5.530898520456351E+08,  4.528068974496020E+08, -1.741893977186173E+07,
2447248.500092593, A.D. 1988-Mar-28 00:00:08.0000,  5.522922210529847E+08,  4.538569758769659E+08, -1.731733803470463E+07,
2447249.500092593, A.D. 1988-Mar-29 00:00:08.0000,  5.514939060163832E+08,  4.549065956053032E+08, -1.721559151222014E+07,
2447250.500092593, A.D. 1988-Mar-30 00:00:08.0000,  5.506949159660485E+08,  4.559557529829959E+08, -1.711370347651991E+07,
2447251.500092593, A.D. 1988-Mar-31 00:00:08.0000,  5.498952599764817E+08,  4.570044443288552E+08, -1.701167723492712E+07,
2447252.500092593, A.D. 1988-Apr-01 00:00:08.0000,  5.490949471662372E+08,  4.580526659268992E+08, -1.690951613097197E+07,
2447253.500092593, A.D. 1988-Apr-02 00:00:08.0000,  5.482939866967487E+08,  4.591004140293933E+08, -1.680722354417676E+07,
2447254.500092593, A.D. 1988-Apr-03 00:00:08.0000,  5.474923877750460E+08,  4.601476848540024E+08, -1.670480289070493E+07,
2447255.500092593, A.D. 1988-Apr-04 00:00:08.0000,  5.466901596496540E+08,  4.611944745840066E+08, -1.660225762368059E+07,
2447256.500092593, A.D. 1988-Apr-05 00:00:08.0000,  5.458873116131402E+08,  4.622407793674282E+08, -1.649959123348382E+07,
2447257.500092593, A.D. 1988-Apr-06 00:00:08.0000,  5.450838530006804E+08,  4.632865953160562E+08, -1.639680724817327E+07,
2447258.500092593, A.D. 1988-Apr-07 00:00:08.0000,  5.442797931899600E+08,  4.643319185054935E+08, -1.629390923378485E+07,
2447259.500092593, A.D. 1988-Apr-08 00:00:08.0000,  5.434751416019892E+08,  4.653767449746800E+08, -1.619090079463664E+07,
2447260.500092593, A.D. 1988-Apr-09 00:00:08.0000,  5.426699077008568E+08,  4.664210707246730E+08, -1.608778557372618E+07,
2447261.500092593, A.D. 1988-Apr-10 00:00:08.0000,  5.418641009931275E+08,  4.674648917176813E+08, -1.598456725313190E+07,
2447262.500092593, A.D. 1988-Apr-11 00:00:08.0000,  5.410577310278802E+08,  4.685082038765125E+08, -1.588124955436596E+07,
