JDTDB,Calendar Date (TDB),X,Y,Z,
2448257.500000000, A.D. 1991-Jan-01 00:00:00.0000,  6.858560908053005E+08, -1.328037419308663E+09, -4.130271670912802E+06,
2448258.500000000, A.D. 1991-Jan-02 00:00:00.0000,  6.863793038391677E+08, -1.327782666003445E+09, -4.081937134469151E+06,
2448259.500000000, A.D. 1991-Jan-03 00:00:00.0000,  6.870087024753959E+08, -1.327204867229031E+09, -4.212978569994152E+06,
2448260.500000000, A.D. 1991-Jan-04 00:00:00.0000,  6.879303794275209E+08, -1.326857728022710E+09, -4.251264428979993E+06,
2448261.500000000, A.D. 1991-Jan-05 00:00:00.0000,  6.885072859653038E+08, -1.326644648499968E+09, -4.185726841472149E+06,
2448262.500000000, A.D. 1991-Jan-06 00:00:00.0000,  6.890719348190920E+08, -1.326090597694943E+09, -4.297491419576347E+06,
2448263.500000000, A.D. 1991-Jan-07 00:00:00.0000,  6.899906509468968E+08, -1.325678955328979E+09, -4.368730483487070E+06,
2448264.500000000, A.D. 1991-Jan-08 00:00:00.0000,  6.906326817986051E+08, -1.325491250011745E+09, -4.295639729427695E+06,
2448265.500000000, A.D. 1991-Jan-09 00:00:00.0000,  6.911452343886840E+08, -1.324977759530503E+09, -4.380542995984733E+06,
2448266.500000000, A.D. 1991-Jan-10 00:00:00.0000,  6.920392363359845E+08, -1.324504540020865E+09, -4.481097329789221E+06,
2448267.500000000, A.D. 1991-Jan-11 00:00:00.0000,  6.927515537683061E+08, -1.324323314982809E+09, -4.410856424047053E+06,
2448268.500000000, A.D. 1991-Jan-12 00:00:00.0000,  6.932297773863245E+08, -1.323863104044323E+09, -4.463954078890145E+06,
2448269.500000000, A.D. 1991-Jan-13 00:00:00.0000,  6.940797620556060E+08, -1.323337023955476E+09, -4.587387229790926E+06,
2448270.500000000, A.D. 1991-Jan-14 00:00:00.0000,  6.948606988648617E+08, -1.323142517333888E+09, -4.530192037061155E+06,
2448271.500000000, A.D. 1991-Jan-15 00:00:00.0000,  6.953256266968000E+08, -1.322742855326805E+09, -4.549711159761429E+06,
2448272.500000000, A.D. 1991-Jan-16 00:00:00.0000,  6.961164176782279E+08, -1.322177528798828E+09, -4.687418228832722E+06,
2448273.500000000, A.D. 1991-Jan-17 00:00:00.0000,  6.969574398960254E+08, -1.321951072817822E+09, -4.652225198289514E+06,
2448274.500000000, A.D. 1991-Jan-18 00:00:00.0000,  6.974311914892507E+08, -1.321613205085141E+09, -4.639654941541672E+06,
2448275.500000000, A.D. 1991-Jan-19 00:00:00.0000,  6.981531577815359E+08, -1.321025963586146E+09, -4.781619738460124E+06,
2448276.500000000, A.D. 1991-Jan-20 00:00:00.0000,  6.990397040766814E+08, -1.320751958608207E+09, -4.775194092327535E+06,
2448277.500000000, A.D. 1991-Jan-21 00:00:00.0000,  6.995434002686576E+08, -1.320471126674768E+09, -4.735074538899302E+06,
2448278.500000000, A.D. 1991-Jan-22 00:00:00.0000,  7.001935400463301E+08, -1.319881454099012E+09, -4.870795764818788E+06,
2448279.500000000, A.D. 1991-Jan-23 00:00:00.0000,  7.011066101894240E+08, -1.319548918320933E+09, -4.897053411209583E+06,
2448280.500000000, A.D. 1991-Jan-24 00:00:00.0000,  7.016584790896255E+08, -1.319314787309103E+09, -4.836568111863911E+06,
2448281.500000000, A.D. 1991-Jan-25 00:00:00.0000,  7.022407982157426E+08, -1.318742354845482E+09, -4.956126059610307E+06,
2448282.500000000, A.D. 1991-Jan-26 00:00:00.0000,  7.031588761005107E+08, -1.318345926458700E+09, -5.015793850908220E+06,
2448283.500000000, A.D. 1991-Jan-27 00:00:00.0000,  7.037725397278854E+08, -1.318143508958858E+09, -4.944118709466815E+06,
2448284.500000000, A.D. 1991-Jan-28 00:00:00.0000,  7.042977101739734E+08, -1.317606138022505E+09, -5.039208834491730E+06,
2448285.500000000, A.D. 1991-Jan-29 00:00:00.0000,  7.051988152921551E+08, -1.317146454769865E+09, -5.129823650151193E+06,
2448286.500000000, A.D. 1991-Jan-30 00:00:00.0000,  7.058818673036045E+08, -1.316957444835715E+09, -5.057288561116874E+06,
2448287.500000000, A.D. 1991-Jan-31 00:00:00.0000,  7.063660454454355E+08, -1.316469309476721E+09, -5.122048332505345E+06,
2448288.500000000, A.D. 1991-Feb-01 00:00:00.0000,  7.072297196757522E+08, -1.315952909639141E+09, -5.238200764062703E+06,
2448289.500000000, A.D. 1991-Feb-02 00:00:00.0000,  7.079828107201425E+08, -1.315757487603084E+09, -5.175255216656744E+06,
2448290.500000000, A.D. 1991-Feb-03 00:00:00.0000,  7.084459016527078E+08, -1.315327826921189E+09, -5.206771476720154E+06,
2448291.500000000, A.D. 1991-Feb-04 00:00:00.0000,  7.092551088970630E+08, -1.314766697106097E+09, -5.340528452392161E+06,
2448292.500000000, A.D. 1991-Feb-05 00:00:00.0000,  7.100719139752139E+08, -1.314545639845698E+09, -5.296633468024850E+06,
2448293.500000000, A.D. 1991-Feb-06 00:00:00.0000,  7.105357596501553E+08, -1.314178002946365E+09, -5.295163832765281E+06,
2448294.500000000, A.D. 1991-Feb-07 00:00:00.0000,  7.112786761837386E+08, -1.313588474727196E+09, -5.436821633723676E+06,
2448295.500000000, A.D. 1991-Feb-08 00:00:00.0000,  7.121466471848880E+08, -1.313325058954009E+09, -5.419525706964493E+06,
2448296.500000000, A.D. 1991-Feb-09 00:00:00.0000,  7.126330337529364E+08, -1.313016954689268E+09, -5.388488769629896E+06,
2448297.500000000, A.D. 1991-Feb-10 00:00:00.0000,  7.133043416360462E+08, -1.312418070367559E+09, -5.527554511593580E+06,
2448298.500000000, A.D. 1991-Feb-11 00:00:00.0000,  7.142060132021581E+08, -1.312099595748687E+09, -5.541821585123837E+06,
2448299.500000000, A.D. 1991-Feb-12 00:00:00.0000,  7.147345938230035E+08, -1.311842620715062E+09, -5.487527510880411E+06,
2448300.500000000, A.D. 1991-Feb-13 00:00:00.0000,  7.153359869409082E+08, -1.311254181312580E+09, -5.613790455272138E+06,
2448301.500000000, A.D. 1991-Feb-14 00:00:00.0000,  7.162506655789649E+08, -1.310873097935758E+09, -5.661571528664410E+06,
2448302.500000000, A.D. 1991-Feb-15 00:00:00.0000,  7.168369814586582E+08, -1.310653631611125E+09, -5.592664769544125E+06,
2448303.500000000, A.D. 1991-Feb-16 00:00:00.0000,  7.173768641059370E+08, -1.310094156277178E+09, -5.697235518091083E+06,
2448304.500000000, A.D. 1991-Feb-17 00:00:00.0000,  7.182824314933372E+08, -1.309648769562217E+09, -5.777274031835556E+06,
2448305.500000000, A.D. 1991-Feb-18 00:00:00.0000,  7.189362168561240E+08, -1.309449354208677E+09, -5.703845553326905E+06,
2448306.500000000, A.D. 1991-Feb-19 00:00:00.0000,  7.194287632347296E+08, -1.308934410401355E+09, -5.779940631725490E+06,
2448307.500000000, A.D. 1991-Feb-20 00:00:00.0000,  7.203037732990323E+08, -1.308429183843960E+09, -5.887818531602740E+06,
2448308.500000000, A.D. 1991-Feb-21 00:00:00.0000,  7.210280154470743E+08, -1.308230386186499E+09, -5.820340762428105E+06,
2448309.500000000, A.D. 1991-Feb-22 00:00:00.0000,  7.214918714562564E+08, -1.307771222452032E+09, -5.863874238565564E+06,
2448310.500000000, A.D. 1991-Feb-23 00:00:00.0000,  7.223177957158171E+08, -1.307216456097225E+09, -5.992399153313041E+06,
2448311.500000000, A.D. 1991-Feb-24 00:00:00.0000,  7.231086185980452E+08, -1.306998770944092E+09, -5.940717583053529E+06,
2448312.500000000, A.D. 1991-Feb-25 00:00:00.0000,  7.235652322733501E+08, -1.306601183220319E+09, -5.950733150693297E+06,
2448313.500000000, A.D. 1991-Feb-26 00:00:00.0000,  7.243283411162044E+08, -1.306011946418437E+09, -6.090679942010701E+06,
2448314.500000000, A.D. 1991-Feb-27 00:00:00.0000,  7.251754652091419E+08, -1.305757633329348E+09, -6.063094655209184E+06,
2448315.500000000, A.D. 1991-Feb-28 00:00:00.0000,  7.256470650790709E+08, -1.305421307977997E+09, -6.041912855090737E+06,
2448316.500000000, A.D. 1991-Mar-01 00:00:00.0000,  7.263397979433516E+08, -1.304815841976972E+09, -6.182992460668206E+06,
2448317.500000000, A.D. 1991-Mar-02 00:00:00.0000,  7.272274822258922E+08, -1.304510510987634E+09, -6.185518014542043E+06,
2448318.500000000, A.D. 1991-Mar-03 00:00:00.0000,  7.277348177177486E+08, -1.304228946404032E+09, -6.138556807238162E+06,
2448319.500000000, A.D. 1991-Mar-04 00:00:00.0000,  7.283563790514786E+08, -1.303626827558845E+09, -6.270435501291931E+06,
2448320.500000000, A.D. 1991-Mar-05 00:00:00.0000,  7.292648008618791E+08, -1.303260799042184E+09, -6.306221712694108E+06,
2448321.500000000, A.D. 1991-Mar-06 00:00:00.0000,  7.298249356968617E+08, -1.303021967421479E+09, -6.241436197721660E+06,
2448322.500000000, A.D. 1991-Mar-07 00:00:00.0000,  7.303812118895149E+08, -1.302442312518484E+09, -6.354668410158634E+06,
2448323.500000000, A.D. 1991-Mar-08 00:00:00.0000,  7.312883228990695E+08, -1.302011750722864E+09, -6.423587892255902E+06,
2448324.500000000, A.D. 1991-Mar-09 00:00:00.0000,  7.319130270243977E+08, -1.301799441502529E+09, -6.350611730433702E+06,
