JDTDB,Calendar Date (TDB),X,Y,Z,
2444239.500000000, A.D. 1980-Jan-01 00:00:00.0000, -1.717689182731637E+09, -2.212920838431582E+09,  1.405218501776218E+07,
2444240.500000000, A.D. 1980-Jan-02 00:00:00.0000, -1.717237847461410E+09, -2.213302346836107E+09,  1.408609963565433E+07,
2444241.500000000, A.D. 1980-Jan-03 00:00:00.0000, -1.716757989923174E+09, -2.213690467510169E+09,  1.411680776026559E+07,
2444242.500000000, A.D. 1980-Jan-04 00:00:00.0000, -1.716258869820684E+09, -2.214085672596360E+09,  1.412641823381555E+07,
2444243.500000000, A.D. 1980-Jan-05 00:00:00.0000, -1.715758748927943E+09, -2.214485059823966E+09,  1.410695921451259E+07,
2444244.500000000, A.D. 1980-Jan-06 00:00:00.0000, -1.715276317327001E+09, -2.214883721474298E+09,  1.406407646287572E+07,
2444245.500000000, A.D. 1980-Jan-07 00:00:00.0000, -1.714821949717397E+09, -2.215277035756611E+09,  1.401442828777468E+07,
2444246.500000000, A.D. 1980-Jan-08 00:00:00.0000, -1.714392773719697E+09, -2.215662852989077E+09,  1.397784749216139E+07,
2444247.500000000, A.D. 1980-Jan-09 00:00:00.0000, -1.713974086994729E+09, -2.216042494802994E+09,  1.396799737378097E+07,
2444248.500000000, A.D. 1980-Jan-10 00:00:00.0000, -1.713546242170207E+09, -2.216420126804724E+09,  1.398603363997698E+07,
2444249.500000000, A.D. 1980-Jan-11 00:00:00.0000, -1.713093833019377E+09, -2.216800817203071E+09,  1.402001603801835E+07,
2444250.500000000, A.D. 1980-Jan-12 00:00:00.0000, -1.712612957740799E+09, -2.217188147674165E+09,  1.405053246546507E+07,
2444251.500000000, A.D. 1980-Jan-13 00:00:00.0000, -1.712113003874686E+09, -2.217582544168509E+09,  1.405979431508029E+07,
2444252.500000000, A.D. 1980-Jan-14 00:00:00.0000, -1.711612304336360E+09, -2.217981067207015E+09,  1.403995626351404E+07,
2444253.500000000, A.D. 1980-Jan-15 00:00:00.0000, -1.711129508218664E+09, -2.218378787065837E+09,  1.399687094682813E+07,
2444254.500000000, A.D. 1980-Jan-16 00:00:00.0000, -1.710674795806922E+09, -2.218771113955237E+09,  1.394727869281650E+07,
2444255.500000000, A.D. 1980-Jan-17 00:00:00.0000, -1.710245160320361E+09, -2.219155937260645E+09,  1.391096728492081E+07,
2444256.500000000, A.D. 1980-Jan-18 00:00:00.0000, -1.709825774230816E+09, -2.219534624001656E+09,  1.390150100666451E+07,
2444257.500000000, A.D. 1980-Jan-19 00:00:00.0000, -1.709396985472776E+09, -2.219911372310713E+09,  1.391983156852484E+07,
2444258.500000000, A.D. 1980-Jan-20 00:00:00.0000, -1.708943511614182E+09, -2.220291239346977E+09,  1.395390709422207E+07,
2444259.500000000, A.D. 1980-Jan-21 00:00:00.0000, -1.708461584805256E+09, -2.220677783108358E+09,  1.398425751284671E+07,
2444260.500000000, A.D. 1980-Jan-22 00:00:00.0000, -1.707960787053863E+09, -2.221071374313712E+09,  1.399315505141950E+07,
2444261.500000000, A.D. 1980-Jan-23 00:00:00.0000, -1.707459497961657E+09, -2.221469031043526E+09,  1.397295864499938E+07,
2444262.500000000, A.D. 1980-Jan-24 00:00:00.0000, -1.706976298175683E+09, -2.221865818461267E+09,  1.392965364674377E+07,
2444263.500000000, A.D. 1980-Jan-25 00:00:00.0000, -1.706521245424946E+09, -2.222257159295697E+09,  1.388009198645163E+07,
2444264.500000000, A.D. 1980-Jan-26 00:00:00.0000, -1.706091136452188E+09, -2.222640993302693E+09,  1.384403462728298E+07,
2444265.500000000, A.D. 1980-Jan-27 00:00:00.0000, -1.705671068553692E+09, -2.223018727028835E+09,  1.383491070723760E+07,
2444266.500000000, A.D. 1980-Jan-28 00:00:00.0000, -1.705241362927646E+09, -2.223394585606713E+09,  1.385353963101935E+07,
2444267.500000000, A.D. 1980-Jan-29 00:00:00.0000, -1.704786828724758E+09, -2.223773631297698E+09,  1.388768829802501E+07,
2444268.500000000, A.D. 1980-Jan-30 00:00:00.0000, -1.704303899997440E+09, -2.224159377855311E+09,  1.391786688112628E+07,
2444269.500000000, A.D. 1980-Jan-31 00:00:00.0000, -1.703802273910314E+09, -2.224552154565866E+09,  1.392643390079272E+07,
