JDTDB,Calendar Date (TDB),X,Y,Z,
2433282.500000000, A.D. 1950-Jan-01 00:00:00.0000, -4.352224445142213E+09, -1.257936607948576E+09,  1.261925364548585E+08,
2433283.500000000, A.D. 1950-Jan-02 00:00:00.0000, -4.352093056273629E+09, -1.258381742007477E+09,  1.261985322365575E+08,
2433284.500000000, A.D. 1950-Jan-03 00:00:00.0000, -4.351961480162294E+09, -1.258827128030503E+09,  1.262043409503040E+08,
2433285.500000000, A.D. 1950-Jan-04 00:00:00.0000, -4.351829793083755E+09, -1.259272755022087E+09,  1.262100104954664E+08,
2433286.500000000, A.D. 1950-Jan-05 00:00:00.0000, -4.351698001083988E+09, -1.259718575925431E+09,  1.262155944810697E+08,
2433287.500000000, A.D. 1950-Jan-06 00:00:00.0000, -4.351566050906508E+09, -1.260164568198602E+09,  1.262210989999381E+08,
2433288.500000000, A.D. 1950-Jan-07 00:00:00.0000, -4.351433906742414E+09, -1.260610768254319E+09,  1.262264803729001E+08,
2433289.500000000, A.D. 1950-Jan-08 00:00:00.0000, -4.351301605008993E+09, -1.261057242704684E+09,  1.262316953496325E+08,
2433290.500000000, A.D. 1950-Jan-09 00:00:00.0000, -4.351169238436121E+09, -1.261504027732247E+09,  1.262367515066532E+08,
2433291.500000000, A.D. 1950-Jan-10 00:00:00.0000, -4.351036879166173E+09, -1.261951097004531E+09,  1.262417045819173E+08,
2433292.500000000, A.D. 1950-Jan-11 00:00:00.0000, -4.350904526443892E+09, -1.262398395041501E+09,  1.262466085005977E+08,
2433293.500000000, A.D. 1950-Jan-12 00:00:00.0000, -4.350772125273397E+09, -1.262845897304240E+09,  1.262514655307677E+08,
2433294.500000000, A.D. 1950-Jan-13 00:00:00.0000, -4.350639647964490E+09, -1.263293637519110E+09,  1.262562323681009E+08,
2433295.500000000, A.D. 1950-Jan-14 00:00:00.0000, -4.350507141677199E+09, -1.263741673587934E+09,  1.262608733343754E+08,
2433296.500000000, A.D. 1950-Jan-15 00:00:00.0000, -4.350374699599567E+09, -1.264190025166205E+09,  1.262654061870613E+08,
2433297.500000000, A.D. 1950-Jan-16 00:00:00.0000, -4.350242387065699E+09, -1.264638650458504E+09,  1.262698931863347E+08,
