JDTDB,Calendar Date (TDB),X,Y,Z,
2447213.500092593, A.D. 1988-Feb-22 00:00:08.0000,  5.893295566976848E+08,  4.310296015957283E+08, -2.178014537840509E+07,
2447214.500092593, A.D. 1988-Feb-23 00:00:08.0000,  5.887924670881927E+08,  4.318159850498821E+08, -2.177064879792640E+07,
2447215.500092593, A.D. 1988-Feb-24 00:00:08.0000,  5.882564689012452E+08,  4.326042423909315E+08, -2.175912066458717E+07,
2447216.500092593, A.D. 1988-Feb-25 00:00:08.0000,  5.877215030789053E+08,  4.333944056214495E+08, -2.174557284130281E+07,
2447217.500092593, A.D. 1988-Feb-26 00:00:08.0000,  5.871875109212313E+08,  4.341865059222513E+08, -2.173001735562244E+07,
2447218.500092593, A.D. 1988-Feb-27 00:00:08.0000,  5.866544340927509E+08,  4.349805736822084E+08, -2.171246638251829E+07,
2447219.500092593, A.D. 1988-Feb-28 00:00:08.0000,  5.861222145934803E+08,  4.357766385046571E+08, -2.169293226613328E+07,
2447220.500092593, A.D. 1988-Feb-29 00:00:08.0000,  5.855907947676246E+08,  4.365747292492968E+08, -2.167142749171764E+07,
2447221.500092593, A.D. 1988-Mar-01 00:00:08.0000,  5.850601172904993E+08,  4.373748740450053E+08, -2.164796469214019E+07,
2447222.500092593, A.D. 1988-Mar-02 00:00:08.0000,  5.845301251514845E+08,  4.381771003145742E+08, -2.162255664659137E+07,
2447223.500092593, A.D. 1988-Mar-03 00:00:08.0000,  5.840007616463687E+08,  4.389814348048787E+08, -2.159521626978216E+07,
2447224.500092593, A.D. 1988-Mar-04 00:00:08.0000,  5.834719703703986E+08,  4.397879036073825E+08, -2.156595660807109E+07,
2447225.500092593, A.D. 1988-Mar-05 00:00:08.0000,  5.829436952057798E+08,  4.405965321765278E+08, -2.153479083951208E+07,
2447226.500092593, A.D. 1988-Mar-06 00:00:08.0000,  5.824158803087170E+08,  4.414073453546932E+08, -2.150173226846480E+07,
2447227.500092593, A.D. 1988-Mar-07 00:00:08.0000,  5.818884701017725E+08,  4.422203673970096E+08, -2.146679431748274E+07,
2447228.500092593, A.D. 1988-Mar-08 00:00:08.0000,  5.813614092676358E+08,  4.430356219870957E+08, -2.142999052545404E+07,
2447229.500092593, A.D. 1988-Mar-09 00:00:08.0000,  5.808346427361729E+08,  4.438531322497243E+08, -2.139133455089101E+07,
2447230.500092593, A.D. 1988-Mar-10 00:00:08.0000,  5.803081156675149E+08,  4.446729207713279E+08, -2.135084017052698E+07,
2447231.500092593, A.D. 1988-Mar-11 00:00:08.0000,  5.797817734438267E+08,  4.454950096198444E+08, -2.130852127453524E+07,
2447232.500092593, A.D. 1988-Mar-12 00:00:08.0000,  5.792555616608722E+08,  4.463194203526671E+08, -2.126439187076959E+07,
2447233.500092593, A.D. 1988-Mar-13 00:00:08.0000,  5.787294260931195E+08,  4.471461740429298E+08, -2.121846608444914E+07,
2447234.500092593, A.D. 1988-Mar-14 00:00:08.0000,  5.782033127092083E+08,  4.479752912920074E+08, -2.117075814806989E+07,
