JDTDB,Calendar Date (TDB),X,Y,Z,
2440797.500266204, A.D. 1970-Jul-30 00:00:23.0000,  9.567408659612044E+08,  9.808275666084657E+08, -5.519820338062364E+07,
2440798.500266204, A.D. 1970-Jul-31 00:00:23.0000,  9.554944890613159E+08,  9.817201425118212E+08, -5.528836430894667E+07,
2440799.500266204, A.D. 1970-Aug-01 00:00:23.0000,  9.550106089713004E+08,  9.817002038589503E+08, -5.497391214412594E+07,
2440800.500266204, A.D. 1970-Aug-02 00:00:23.0000,  9.547615377092247E+08,  9.827625116497306E+08, -5.524957021636873E+07,
2440801.500266204, A.D. 1970-Aug-03 00:00:23.0000,  9.534362556362492E+08,  9.833009834554532E+08, -5.514715364664376E+07,
2440802.500266204, A.D. 1970-Aug-04 00:00:23.0000,  9.533022190967808E+08,  9.834514101385159E+08, -5.495634831122899E+07,
2440803.500266204, A.D. 1970-Aug-05 00:00:23.0000,  9.526642289476486E+08,  9.846386088420731E+08, -5.526062700910783E+07,
2440804.500266204, A.D. 1970-Aug-06 00:00:23.0000,  9.515016048958415E+08,  9.848368209774132E+08, -5.499616907631940E+07,
2440805.500266204, A.D. 1970-Aug-07 00:00:23.0000,  9.515366631117567E+08,  9.853089379469997E+08, -5.499091494796884E+07,
2440806.500266204, A.D. 1970-Aug-08 00:00:23.0000,  9.505074795188258E+08,  9.864060296374408E+08, -5.521090107952535E+07,
2440807.500266204, A.D. 1970-Aug-09 00:00:23.0000,  9.496915261449062E+08,  9.863983854132223E+08, -5.487258452870119E+07,
2440808.500266204, A.D. 1970-Aug-10 00:00:23.0000,  9.496552028648247E+08,  9.872290080388401E+08, -5.504900617244625E+07,
2440809.500266204, A.D. 1970-Aug-11 00:00:23.0000,  9.483702246244138E+08,  9.880522212683104E+08, -5.510142043205863E+07,
2440810.500266204, A.D. 1970-Aug-12 00:00:23.0000,  9.479612975686939E+08,  9.880460798514445E+08, -5.480375395980400E+07,
2440811.500266204, A.D. 1970-Aug-13 00:00:23.0000,  9.476383776658716E+08,  9.891452016593901E+08, -5.509393275353903E+07,
2440812.500266204, A.D. 1970-Aug-14 00:00:23.0000,  9.463232259611466E+08,  9.896066468853863E+08, -5.495444808274037E+07,
2440813.500266204, A.D. 1970-Aug-15 00:00:23.0000,  9.462366861391419E+08,  9.898082194716082E+08, -5.479736608955419E+07,
2440814.500266204, A.D. 1970-Aug-16 00:00:23.0000,  9.455127094343233E+08,  9.909908612621922E+08, -5.509331136476606E+07,
2440815.500266204, A.D. 1970-Aug-17 00:00:23.0000,  9.444039638350701E+08,  9.911303548168057E+08, -5.480559875929791E+07,
2440816.500266204, A.D. 1970-Aug-18 00:00:23.0000,  9.444406933377213E+08,  9.916712003658788E+08, -5.483887367857105E+07,
2440817.500266204, A.D. 1970-Aug-19 00:00:23.0000,  9.433421953886868E+08,  9.927224103008130E+08, -5.503047136889786E+07,
2440818.500266204, A.D. 1970-Aug-20 00:00:23.0000,  9.426032022407995E+08,  9.926936644887588E+08, -5.469084717270041E+07,
2440819.500266204, A.D. 1970-Aug-21 00:00:23.0000,  9.425207963820411E+08,  9.935847974566236E+08, -5.489689416661042E+07,
2440820.500266204, A.D. 1970-Aug-22 00:00:23.0000,  9.412062280146095E+08,  9.943352148463185E+08, -5.491064073039711E+07,
2440821.500266204, A.D. 1970-Aug-23 00:00:23.0000,  9.408686422556134E+08,  9.943514494392633E+08, -5.463392267075729E+07,
