JDTDB,Calendar Date (TDB),X,Y,Z,
2447213.500092593, A.D. 1988-Feb-22 00:00:08.0000,  6.103597329029080E+08,  4.416350372759771E+08, -2.052223625012499E+07,
2447214.500092593, A.D. 1988-Feb-23 00:00:08.0000,  6.096754839533867E+08,  4.428290116226628E+08, -2.059054548907945E+07,
2447215.500092593, A.D. 1988-Feb-24 00:00:08.0000,  6.089850588841449E+08,  4.440215185693465E+08, -2.065671892479682E+07,
2447216.500092593, A.D. 1988-Feb-25 00:00:08.0000,  6.082885138147771E+08,  4.452124718341025E+08, -2.072074963619548E+07,
2447217.500092593, A.D. 1988-Feb-26 00:00:08.0000,  6.075859048667744E+08,  4.464017870575334E+08, -2.078263137139961E+07,
2447218.500092593, A.D. 1988-Feb-27 00:00:08.0000,  6.068772881618543E+08,  4.475893817739468E+08, -2.084235854477075E+07,
2447219.500092593, A.D. 1988-Feb-28 00:00:08.0000,  6.061627197897528E+08,  4.487751752980864E+08, -2.089992618972531E+07,
2447220.500092593, A.D. 1988-Feb-29 00:00:08.0000,  6.054422557922462E+08,  4.499590887018068E+08, -2.095532993998131E+07,
2447221.500092593, A.D. 1988-Mar-01 00:00:08.0000,  6.047159521537069E+08,  4.511410447377896E+08, -2.100856600821996E+07,
2447222.500092593, A.D. 1988-Mar-02 00:00:08.0000,  6.039838647746015E+08,  4.523209677718191E+08, -2.105963114862329E+07,
2447223.500092593, A.D. 1988-Mar-03 00:00:08.0000,  6.032460494501067E+08,  4.534987837352132E+08, -2.110852262627533E+07,
2447224.500092593, A.D. 1988-Mar-04 00:00:08.0000,  6.025025618613071E+08,  4.546744200731166E+08, -2.115523819699463E+07,
2447225.500092593, A.D. 1988-Mar-05 00:00:08.0000,  6.017534575656958E+08,  4.558478056875020E+08, -2.119977608518222E+07,
2447226.500092593, A.D. 1988-Mar-06 00:00:08.0000,  6.009987919827447E+08,  4.570188708870910E+08, -2.124213495801759E+07,
2447227.500092593, A.D. 1988-Mar-07 00:00:08.0000,  6.002386203852679E+08,  4.581875473436944E+08, -2.128231390608442E+07,
2447228.500092593, A.D. 1988-Mar-08 00:00:08.0000,  5.994729979004413E+08,  4.593537680440309E+08, -2.132031243163881E+07,
2447229.500092593, A.D. 1988-Mar-09 00:00:08.0000,  5.987019795072470E+08,  4.605174672361693E+08, -2.135613043126175E+07,
2447230.500092593, A.D. 1988-Mar-10 00:00:08.0000,  5.979256200240986E+08,  4.616785803828603E+08, -2.138976816981548E+07,
2447231.500092593, A.D. 1988-Mar-11 00:00:08.0000,  5.971439741078053E+08,  4.628370441236140E+08, -2.142122626756856E+07,
2447232.500092593, A.D. 1988-Mar-12 00:00:08.0000,  5.963570962642677E+08,  4.639927962285017E+08, -2.145050569612831E+07,
2447233.500092593, A.D. 1988-Mar-13 00:00:08.0000,  5.955650408169180E+08,  4.651457755498568E+08, -2.147760772953811E+07,
2447234.500092593, A.D. 1988-Mar-14 00:00:08.0000,  5.947678619448439E+08,  4.662959219886769E+08, -2.150253397292018E+07,
2447235.500092593, A.D. 1988-Mar-15 00:00:08.0000,  5.939656136564745E+08,  4.674431764565128E+08, -2.152528631986925E+07,
2447236.500092593, A.D. 1988-Mar-16 00:00:08.0000,  5.931583497896830E+08,  4.685874808467991E+08, -2.154586694451365E+07,
2447237.500092593, A.D. 1988-Mar-17 00:00:08.0000,  5.923461240361667E+08,  4.697287779828882E+08, -2.156427830379891E+07,
2447238.500092593, A.D. 1988-Mar-18 00:00:08.0000,  5.915289899292789E+08,  4.708670115964627E+08, -2.158052311795655E+07,
2447239.500092593, A.D. 1988-Mar-19 00:00:08.0000,  5.907070008604075E+08,  4.720021262885115E+08, -2.159460436993480E+07,
2447240.500092593, A.D. 1988-Mar-20 00:00:08.0000,  5.898802100824175E+08,  4.731340674873013E+08, -2.160652528961283E+07,
2447241.500092593, A.D. 1988-Mar-21 00:00:08.0000,  5.890486707065594E+08,  4.742627814183052E+08, -2.161628933741215E+07,
2447242.500092593, A.D. 1988-Mar-22 00:00:08.0000,  5.882124357095366E+08,  4.753882150784142E+08, -2.162390019987598E+07,
2447243.500092593, A.D. 1988-Mar-23 00:00:08.0000,  5.873715579444429E+08,  4.765103162056829E+08, -2.162936178608227E+07,
2447244.500092593, A.D. 1988-Mar-24 00:00:08.0000,  5.865260901462512E+08,  4.776290332478353E+08, -2.163267821749407E+07,
2447245.500092593, A.D. 1988-Mar-25 00:00:08.0000,  5.856760849367929E+08,  4.787443153361814E+08, -2.163385381994298E+07,
2447246.500092593, A.D. 1988-Mar-26 00:00:08.0000,  5.848215948371730E+08,  4.798561122621732E+08, -2.163289312383470E+07,
2447247.500092593, A.D. 1988-Mar-27 00:00:08.0000,  5.839626722820436E+08,  4.809643744479039E+08, -2.162980086188844E+07,
2447248.500092593, A.D. 1988-Mar-28 00:00:08.0000,  5.830993696253746E+08,  4.820690529134256E+08, -2.162458195634887E+07,
2447249.500092593, A.D. 1988-Mar-29 00:00:08.0000,  5.822317391459513E+08,  4.831700992565126E+08, -2.161724151366311E+07,
2447250.500092593, A.D. 1988-Mar-30 00:00:08.0000,  5.813598330651603E+08,  4.842674656349146E+08, -2.160778483180854E+07,
2447251.500092593, A.D. 1988-Mar-31 00:00:08.0000,  5.804837035501829E+08,  4.853611047166411E+08, -2.159621737130585E+07,
2447252.500092593, A.D. 1988-Apr-01 00:00:08.0000,  5.796034027277408E+08,  4.864509696933024E+08, -2.158254477986667E+07,
2447253.500092593, A.D. 1988-Apr-02 00:00:08.0000,  5.787189827011429E+08,  4.875370142344208E+08, -2.156677287672541E+07,
2447254.500092593, A.D. 1988-Apr-03 00:00:08.0000,  5.778304955364577E+08,  4.886191924767491E+08, -2.154890763790426E+07,
2447255.500092593, A.D. 1988-Apr-04 00:00:08.0000,  5.769379933133802E+08,  4.896974590022652E+08, -2.152895522444785E+07,
2447256.500092593, A.D. 1988-Apr-05 00:00:08.0000,  5.760415281131161E+08,  4.907717688160974E+08, -2.150692195955220E+07,
2447257.500092593, A.D. 1988-Apr-06 00:00:08.0000,  5.751411520416511E+08,  4.918420773308584E+08, -2.148281433841553E+07,
2447258.500092593, A.D. 1988-Apr-07 00:00:08.0000,  5.742369172465577E+08,  4.929083403406672E+08, -2.145663902376559E+07,
2447259.500092593, A.D. 1988-Apr-08 00:00:08.0000,  5.733288759222007E+08,  4.939705140003638E+08, -2.142840283629534E+07,
2447260.500092593, A.D. 1988-Apr-09 00:00:08.0000,  5.724170803217798E+08,  4.950285548139036E+08, -2.139811275775793E+07,
2447261.500092593, A.D. 1988-Apr-10 00:00:08.0000,  5.715015827762213E+08,  4.960824196202957E+08, -2.136577593689060E+07,
2447262.500092593, A.D. 1988-Apr-11 00:00:08.0000,  5.705824357098898E+08,  4.971320655737368E+08, -2.133139968776321E+07,
2447263.500092593, A.D. 1988-Apr-12 00:00:08.0000,  5.696596916528308E+08,  4.981774501269553E+08, -2.129499148802820E+07,
2447264.500092593, A.D. 1988-Apr-13 00:00:08.0000,  5.687334032574975E+08,  4.992185310209517E+08, -2.125655898541665E+07,
2447265.500092593, A.D. 1988-Apr-14 00:00:08.0000,  5.678036233205640E+08,  5.002552662705510E+08, -2.121611000347582E+07,
2447266.500092593, A.D. 1988-Apr-15 00:00:08.0000,  5.668704048001781E+08,  5.012876141417640E+08, -2.117365253640458E+07,
2447267.500092593, A.D. 1988-Apr-16 00:00:08.0000,  5.659338008266979E+08,  5.023155331394091E+08, -2.112919474846509E+07,
2447268.500092593, A.D. 1988-Apr-17 00:00:08.0000,  5.649938647213336E+08,  5.033389820039287E+08, -2.108274498644346E+07,
2447269.500092593, A.D. 1988-Apr-18 00:00:08.0000,  5.640506500201293E+08,  5.043579196717649E+08, -2.103431176139152E+07,
2447270.500092593, A.D. 1988-Apr-19 00:00:08.0000,  5.631042104813373E+08,  5.053723052998421E+08, -2.098390378039655E+07,
2447271.500092593, A.D. 1988-Apr-20 00:00:08.0000,  5.621546001096582E+08,  5.063820982340535E+08, -2.093152993388531E+07,
2447272.500092593, A.D. 1988-Apr-21 00:00:08.0000,  5.612018731672645E+08,  5.073872579926102E+08, -2.087719929267222E+07,
2447273.500092593, A.D. 1988-Apr-22 00:00:08.0000,  5.602460842123252E+08,  5.083877442779908E+08, -2.082092114103013E+07,
2447274.500092593, A.D. 1988-Apr-23 00:00:08.0000,  5.592872881068538E+08,  5.093835169469143E+08, -2.076270495776448E+07,
2447275.500092593, A.D. 1988-Apr-24 00:00:08.0000,  5.583255400407693E+08,  5.103745360099413E+08, -2.070256043077859E+07,
2447276.500092593, A.D. 1988-Apr-25 00:00:08.0000,  5.573608955573169E+08,  5.113607616196615E+08, -2.064049746168879E+07,
2447277.500092593, A.D. 1988-Apr-26 00:00:08.0000,  5.563934105696507E+08,  5.123421540555794E+08, -2.057652616386023E+07,
2447278.500092593, A.D. 1988-Apr-27 00:00:08.0000,  5.554231413780922E+08,  5.133186737206776E+08, -2.051065687113100E+07,
2447279.500092593, A.D. 1988-Apr-28 00:00:08.0000,  5.544501446947423E+08,  5.142902811400880E+08, -2.044290015097684E+07,
2447280.500092593, A.D. 1988-Apr-29 00:00:08.0000,  5.534744776703033E+08,  5.152569369521719E+08, -2.037326681134242E+07,
2447281.500092593, A.D. 1988-Apr-30 00:00:08.0000,  5.524961979167475E+08,  5.162186018990272E+08, -2.030176790509838E+07,
2447282.500092593, A.D. 1988-May-01 00:00:08.0000,  5.515153635292847E+08,  5.171752368248717E+08, -2.022841474089462E+07,
2447283.500092593, A.D. 1988-May-02 00:00:08.0000,  5.505320331153216E+08,  5.181268026746576E+08, -2.015321889627680E+07,
2447284.500092593, A.D. 1988-May-03 00:00:08.0000,  5.495462658260031E+08,  5.190732604825458E+08, -2.007619222261584E+07,
