JDTDB,Calendar Date (TDB),X,Y,Z,
2440797.500266204, A.D. 1970-Jul-30 00:00:23.0000,  9.563972941515085E+08,  9.810744911255910E+08, -5.529446850290889E+07,
2440798.500266204, A.D. 1970-Jul-31 00:00:23.0000,  9.559519388878213E+08,  9.813839022079018E+08, -5.515628974075300E+07,
2440799.500266204, A.D. 1970-Aug-01 00:00:23.0000,  9.549892941192411E+08,  9.818358443454436E+08, -5.504298646718514E+07,
2440800.500266204, A.D. 1970-Aug-02 00:00:23.0000,  9.542313822316569E+08,  9.827198573480518E+08, -5.517602776876694E+07,
2440801.500266204, A.D. 1970-Aug-03 00:00:23.0000,  9.539354837283385E+08,  9.833489598895551E+08, -5.522040254097790E+07,
2440802.500266204, A.D. 1970-Aug-04 00:00:23.0000,  9.533201607113212E+08,  9.836111434061329E+08, -5.504189896569711E+07,
2440803.500266204, A.D. 1970-Aug-05 00:00:23.0000,  9.523192530009686E+08,  9.842194655773140E+08, -5.500766543343824E+07,
2440804.500266204, A.D. 1970-Aug-06 00:00:23.0000,  9.517381156309916E+08,  9.851060521751397E+08, -5.515999146694481E+07,
2440805.500266204, A.D. 1970-Aug-07 00:00:23.0000,  9.514320178575351E+08,  9.855761240627856E+08, -5.512091823916137E+07,
2440806.500266204, A.D. 1970-Aug-08 00:00:23.0000,  9.506389109234107E+08,  9.858706696676123E+08, -5.494303066559178E+07,
2440807.500266204, A.D. 1970-Aug-09 00:00:23.0000,  9.496906636680539E+08,  9.866276052103617E+08, -5.499259066279113E+07,
2440808.500266204, A.D. 1970-Aug-10 00:00:23.0000,  9.492697908826697E+08,  9.874393181063020E+08, -5.512203486383194E+07,
2440809.500266204, A.D. 1970-Aug-11 00:00:23.0000,  9.488688718858379E+08,  9.877770836439537E+08, -5.500533333492601E+07,
2440810.500266204, A.D. 1970-Aug-12 00:00:23.0000,  9.479348626037511E+08,  9.881758973987439E+08, -5.486929801465309E+07,
2440811.500266204, A.D. 1970-Aug-13 00:00:23.0000,  9.471159213591849E+08,  9.890355461711261E+08, -5.498601620607775E+07,
2440812.500266204, A.D. 1970-Aug-14 00:00:23.0000,  9.467984166505392E+08,  9.897139605266756E+08, -5.505647071777344E+07,
2440813.500266204, A.D. 1970-Aug-15 00:00:23.0000,  9.462406454391713E+08,  9.899788889486620E+08, -5.488729928666228E+07,
2440814.500266204, A.D. 1970-Aug-16 00:00:23.0000,  9.452382951224046E+08,  9.905273352126552E+08, -5.482389749659860E+07,
2440815.500266204, A.D. 1970-Aug-17 00:00:23.0000,  9.445912944286895E+08,  9.914175383215832E+08, -5.497409415857553E+07,
2440816.500266204, A.D. 1970-Aug-18 00:00:23.0000,  9.442944250768051E+08,  9.919369374243839E+08, -5.496409063224560E+07,
2440817.500266204, A.D. 1970-Aug-19 00:00:23.0000,  9.435562335753717E+08,  9.922067148697597E+08, -5.478087205413771E+07,
2440818.500266204, A.D. 1970-Aug-20 00:00:23.0000,  9.425754697022289E+08,  9.929112110632858E+08, -5.480216201694316E+07,
2440819.500266204, A.D. 1970-Aug-21 00:00:23.0000,  9.420991922698598E+08,  9.937520933548146E+08, -5.494387771815056E+07,
2440820.500266204, A.D. 1970-Aug-22 00:00:23.0000,  9.417350605493860E+08,  9.941256391849697E+08, -5.485181739335769E+07,
2440821.500266204, A.D. 1970-Aug-23 00:00:23.0000,  9.408383102984030E+08,  9.944769773420973E+08, -5.469685572152656E+07,
2440822.500266204, A.D. 1970-Aug-24 00:00:23.0000,  9.399632706364287E+08,  9.953035710648698E+08, -5.479318673050970E+07,
2440823.500266204, A.D. 1970-Aug-25 00:00:23.0000,  9.396138145077821E+08,  9.960280585701824E+08, -5.488704065771115E+07,
2440824.500266204, A.D. 1970-Aug-26 00:00:23.0000,  9.391105851330440E+08,  9.963050558882846E+08, -5.473181038091242E+07,
2440825.500266204, A.D. 1970-Aug-27 00:00:23.0000,  9.381175074115623E+08,  9.967941911493909E+08, -5.464058476456153E+07,
2440826.500266204, A.D. 1970-Aug-28 00:00:23.0000,  9.374045020025060E+08,  9.976779693447124E+08, -5.478339433060402E+07,
2440827.500266204, A.D. 1970-Aug-29 00:00:23.0000,  9.371062508090312E+08,  9.982480397706616E+08, -5.480215689153868E+07,
2440828.500266204, A.D. 1970-Aug-30 00:00:23.0000,  9.364258389569192E+08,  9.985021204102473E+08, -5.461865059027970E+07,
2440829.500266204, A.D. 1970-Aug-31 00:00:23.0000,  9.354230155058428E+08,  9.991498804770961E+08, -5.461044346696782E+07,
2440830.500266204, A.D. 1970-Sep-01 00:00:23.0000,  9.348863348287684E+08,  1.000011676709684E+09, -5.475963866049314E+07,
2440831.500266204, A.D. 1970-Sep-02 00:00:23.0000,  9.345504914011455E+08,  1.000427045242328E+09, -5.469457798583812E+07,
2440832.500266204, A.D. 1970-Sep-03 00:00:23.0000,  9.336988217319635E+08,  1.000737762938467E+09, -5.452504895208317E+07,
2440833.500266204, A.D. 1970-Sep-04 00:00:23.0000,  9.327747589707582E+08,  1.001523623401906E+09, -5.459766606962419E+07,
