JDTDB,Calendar Date (TDB),X,Y,Z,
2440797.500266204, A.D. 1970-Jul-30 00:00:23.0000,  9.564115153796455E+08,  9.809931482686683E+08, -5.525220125649130E+07,
2440798.500266204, A.D. 1970-Jul-31 00:00:23.0000,  9.556237618173200E+08,  9.813491660915399E+08, -5.510726509638262E+07,
2440799.500266204, A.D. 1970-Aug-01 00:00:23.0000,  9.552113504580671E+08,  9.820873373006943E+08, -5.519549081368911E+07,
2440800.500266204, A.D. 1970-Aug-02 00:00:23.0000,  9.542862720089761E+08,  9.825977590437638E+08, -5.511775065684211E+07,
2440801.500266204, A.D. 1970-Aug-03 00:00:23.0000,  9.539389562773993E+08,  9.831472020864389E+08, -5.511497490361178E+07,
2440802.500266204, A.D. 1970-Aug-04 00:00:23.0000,  9.530272714689747E+08,  9.838490292848521E+08, -5.513790896177387E+07,
2440803.500266204, A.D. 1970-Aug-05 00:00:23.0000,  9.525851158403881E+08,  9.842261503214725E+08, -5.503746164017975E+07,
2440804.500266204, A.D. 1970-Aug-06 00:00:23.0000,  9.518307752110478E+08,  9.850539166409471E+08, -5.514078890645498E+07,
2440805.500266204, A.D. 1970-Aug-07 00:00:23.0000,  9.511856579238133E+08,  9.853674218129586E+08, -5.498876349512422E+07,
2440806.500266204, A.D. 1970-Aug-08 00:00:23.0000,  9.506485644341285E+08,  9.861868375964137E+08, -5.510856303250593E+07,
2440807.500266204, A.D. 1970-Aug-09 00:00:23.0000,  9.498012761247990E+08,  9.865781081542826E+08, -5.497828941048378E+07,
2440808.500266204, A.D. 1970-Aug-10 00:00:23.0000,  9.494233288779094E+08,  9.872582190342746E+08, -5.504124083266646E+07,
2440809.500266204, A.D. 1970-Aug-11 00:00:23.0000,  9.484817041574394E+08,  9.878263092374604E+08, -5.499417086207968E+07,
2440810.500266204, A.D. 1970-Aug-12 00:00:23.0000,  9.481179351327487E+08,  9.883113472307618E+08, -5.495779996716768E+07,
2440811.500266204, A.D. 1970-Aug-13 00:00:23.0000,  9.472400349359763E+08,  9.890609977785970E+08, -5.501115122168612E+07,
2440812.500266204, A.D. 1970-Aug-14 00:00:23.0000,  9.467381593347654E+08,  9.894004461064678E+08, -5.488693166952717E+07,
2440813.500266204, A.D. 1970-Aug-15 00:00:23.0000,  9.460486492233804E+08,  9.902384096034017E+08, -5.500392051856959E+07,
2440814.500266204, A.D. 1970-Aug-16 00:00:23.0000,  9.453312438046333E+08,  9.905588632241118E+08, -5.485036492225641E+07,
2440815.500266204, A.D. 1970-Aug-17 00:00:23.0000,  9.448531867029520E+08,  9.913429777112166E+08, -5.495932434813643E+07,
2440816.500266204, A.D. 1970-Aug-18 00:00:23.0000,  9.439575385405732E+08,  9.917799539749357E+08, -5.485026478008091E+07,
2440817.500266204, A.D. 1970-Aug-19 00:00:23.0000,  9.435987185202036E+08,  9.923965888725034E+08, -5.488363821758294E+07,
2440818.500266204, A.D. 1970-Aug-20 00:00:23.0000,  9.426565934565688E+08,  9.930232794417937E+08, -5.486927743577892E+07,
2440819.500266204, A.D. 1970-Aug-21 00:00:23.0000,  9.422601829313580E+08,  9.934494942226517E+08, -5.480067997071362E+07,
2440820.500266204, A.D. 1970-Aug-22 00:00:23.0000,  9.414288004772967E+08,  9.942375048747927E+08, -5.488073019059575E+07,
2440821.500266204, A.D. 1970-Aug-23 00:00:23.0000,  9.408589875380554E+08,  9.945523907508733E+08, -5.473881560729522E+07,
2440822.500266204, A.D. 1970-Aug-24 00:00:23.0000,  9.402365389339980E+08,  9.953854481662133E+08, -5.486178810107082E+07,
2440823.500266204, A.D. 1970-Aug-25 00:00:23.0000,  9.394505216357393E+08,  9.957263795526860E+08, -5.471414620065171E+07,
2440824.500266204, A.D. 1970-Aug-26 00:00:23.0000,  9.390216977245635E+08,  9.964628906820887E+08, -5.480489724395895E+07,
2440825.500266204, A.D. 1970-Aug-27 00:00:23.0000,  9.380912412516410E+08,  9.969527540507922E+08, -5.472212435395765E+07,
2440826.500266204, A.D. 1970-Aug-28 00:00:23.0000,  9.377353103344926E+08,  9.975033514051487E+08, -5.472302989651054E+07,
2440827.500266204, A.D. 1970-Aug-29 00:00:23.0000,  9.368093919562490E+08,  9.981856280342990E+08, -5.474141630699903E+07,
2440828.500266204, A.D. 1970-Aug-30 00:00:23.0000,  9.363667980847636E+08,  9.985613029008834E+08, -5.464363596542102E+07,
2440829.500266204, A.D. 1970-Aug-31 00:00:23.0000,  9.355928127689190E+08,  9.993756192979519E+08, -5.474512900380349E+07,
2440830.500266204, A.D. 1970-Sep-01 00:00:23.0000,  9.349511694123722E+08,  9.996802511350938E+08, -5.459264290594918E+07,
2440831.500266204, A.D. 1970-Sep-02 00:00:23.0000,  9.343944790538907E+08,  1.000493794888843E+09, -5.471383428574938E+07,
2440832.500266204, A.D. 1970-Sep-03 00:00:23.0000,  9.335472450819887E+08,  1.000868153894605E+09, -5.457960268050730E+07,
2440833.500266204, A.D. 1970-Sep-04 00:00:23.0000,  9.331548323357049E+08,  1.001548150604271E+09, -5.464625597057134E+07,
2440834.500266204, A.D. 1970-Sep-05 00:00:23.0000,  9.322046620048424E+08,  1.002095853824218E+09, -5.459381866353494E+07,
2440835.500266204, A.D. 1970-Sep-06 00:00:23.0000,  9.318346690947242E+08,  1.002582007080550E+09, -5.456147110613173E+07,
2440836.500266204, A.D. 1970-Sep-07 00:00:23.0000,  9.309400424450814E+08,  1.003313783816223E+09, -5.461087323007768E+07,
2440837.500266204, A.D. 1970-Sep-08 00:00:23.0000,  9.304394164515536E+08,  1.003649683197232E+09, -5.448841893303567E+07,
2440838.500266204, A.D. 1970-Sep-09 00:00:23.0000,  9.297294527181518E+08,  1.004476142769457E+09, -5.460458340445185E+07,
2440839.500266204, A.D. 1970-Sep-10 00:00:23.0000,  9.290150947094291E+08,  1.004784621232872E+09, -5.444883759979492E+07,
2440840.500266204, A.D. 1970-Sep-11 00:00:23.0000,  9.285184386054124E+08,  1.005564337217735E+09, -5.456021355106765E+07,
2440841.500266204, A.D. 1970-Sep-12 00:00:23.0000,  9.276205202988828E+08,  1.005982487311879E+09, -5.444584394251066E+07,
2440842.500266204, A.D. 1970-Sep-13 00:00:23.0000,  9.272498485765450E+08,  1.006599523239754E+09, -5.448362757415611E+07,
2440843.500266204, A.D. 1970-Sep-14 00:00:23.0000,  9.262968047237499E+08,  1.007206122668864E+09, -5.446370592838073E+07,
