JDTDB,Calendar Date (TDB),X,Y,Z,
2447213.500092593, A.D. 1988-Feb-22 00:00:08.0000,  6.092854806588464E+08,  4.597696545527613E+08, -1.935360820866898E+07,
2447214.500092593, A.D. 1988-Feb-23 00:00:08.0000,  6.087275853860458E+08,  4.605668978231017E+08, -1.937664176590961E+07,
2447215.500092593, A.D. 1988-Feb-24 00:00:08.0000,  6.081673816440241E+08,  4.613615286268287E+08, -1.939928177855596E+07,
2447216.500092593, A.D. 1988-Feb-25 00:00:08.0000,  6.076048513296344E+08,  4.621535447903512E+08, -1.942152208442736E+07,
2447217.500092593, A.D. 1988-Feb-26 00:00:08.0000,  6.070399761066169E+08,  4.629429443503979E+08, -1.944335646172991E+07,
2447218.500092593, A.D. 1988-Feb-27 00:00:08.0000,  6.064727373903822E+08,  4.637297255496436E+08, -1.946477862255457E+07,
2447219.500092593, A.D. 1988-Feb-28 00:00:08.0000,  6.059031163598313E+08,  4.645138868558829E+08, -1.948578221949768E+07,
2447220.500092593, A.D. 1988-Feb-29 00:00:08.0000,  6.053310939487847E+08,  4.652954269614013E+08, -1.950636084162915E+07,
2447221.500092593, A.D. 1988-Mar-01 00:00:08.0000,  6.047566508471129E+08,  4.660743447947723E+08, -1.952650801639453E+07,
2447222.500092593, A.D. 1988-Mar-02 00:00:08.0000,  6.041797675029230E+08,  4.668506395292288E+08, -1.954621721068668E+07,
2447223.500092593, A.D. 1988-Mar-03 00:00:08.0000,  6.036004241218135E+08,  4.676243105881727E+08, -1.956548183035454E+07,
2447224.500092593, A.D. 1988-Mar-04 00:00:08.0000,  6.030186006665055E+08,  4.683953576531985E+08, -1.958429522053972E+07,
2447225.500092593, A.D. 1988-Mar-05 00:00:08.0000,  6.024342768575697E+08,  4.691637806726766E+08, -1.960265066640595E+07,
2447226.500092593, A.D. 1988-Mar-06 00:00:08.0000,  6.018474321734340E+08,  4.699295798685892E+08, -1.962054139313373E+07,
2447227.500092593, A.D. 1988-Mar-07 00:00:08.0000,  6.012580458495164E+08,  4.706927557440428E+08, -1.963796056588733E+07,
2447228.500092593, A.D. 1988-Mar-08 00:00:08.0000,  6.006660968785412E+08,  4.714533090936092E+08, -1.965490129090866E+07,
2447229.500092593, A.D. 1988-Mar-09 00:00:08.0000,  6.000715640128304E+08,  4.722112410134261E+08, -1.967135661699948E+07,
2447230.500092593, A.D. 1988-Mar-10 00:00:08.0000,  5.994744257662019E+08,  4.729665529081627E+08, -1.968731953591862E+07,
2447231.500092593, A.D. 1988-Mar-11 00:00:08.0000,  5.988746604137899E+08,  4.737192464998709E+08, -1.970278298277944E+07,
2447232.500092593, A.D. 1988-Mar-12 00:00:08.0000,  5.982722459939731E+08,  4.744693238403560E+08, -1.971773983805659E+07,
2447233.500092593, A.D. 1988-Mar-13 00:00:08.0000,  5.976671603142607E+08,  4.752167873122705E+08, -1.973218292726749E+07,
2447234.500092593, A.D. 1988-Mar-14 00:00:08.0000,  5.970593809444941E+08,  4.759616396482038E+08, -1.974610502242747E+07,
2447235.500092593, A.D. 1988-Mar-15 00:00:08.0000,  5.964488852301865E+08,  4.767038839321233E+08, -1.975949884428355E+07,
2447236.500092593, A.D. 1988-Mar-16 00:00:08.0000,  5.958356502792214E+08,  4.774435236112963E+08, -1.977235705897817E+07,
2447237.500092593, A.D. 1988-Mar-17 00:00:08.0000,  5.952196529800116E+08,  4.781805625084457E+08, -1.978467228527042E+07,
2447238.500092593, A.D. 1988-Mar-18 00:00:08.0000,  5.946008699948490E+08,  4.789150048300123E+08, -1.979643709220040E+07,
2447239.500092593, A.D. 1988-Mar-19 00:00:08.0000,  5.939792777677830E+08,  4.796468551788200E+08, -1.980764400289506E+07,
2447240.500092593, A.D. 1988-Mar-20 00:00:08.0000,  5.933548525297842E+08,  4.803761185619785E+08, -1.981828549600261E+07,
2447241.500092593, A.D. 1988-Mar-21 00:00:08.0000,  5.927275702997588E+08,  4.811028003989908E+08, -1.982835400578299E+07,
2447242.500092593, A.D. 1988-Mar-22 00:00:08.0000,  5.920974068880556E+08,  4.818269065331494E+08, -1.983784192400736E+07,
2447243.500092593, A.D. 1988-Mar-23 00:00:08.0000,  5.914643379018437E+08,  4.825484432428659E+08, -1.984674160241944E+07,
2447244.500092593, A.D. 1988-Mar-24 00:00:08.0000,  5.908283387492920E+08,  4.832674172513853E+08, -1.985504535423899E+07,
2447245.500092593, A.D. 1988-Mar-25 00:00:08.0000,  5.901893846437049E+08,  4.839838357375420E+08, -1.986274545591789E+07,
2447246.500092593, A.D. 1988-Mar-26 00:00:08.0000,  5.895474506103081E+08,  4.846977063483998E+08, -1.986983415036345E+07,
2447247.500092593, A.D. 1988-Mar-27 00:00:08.0000,  5.889025114941655E+08,  4.854090372099925E+08, -1.987630364999217E+07,
