JDTDB,Calendar Date (TDB),X,Y,Z,
2440797.500266204, A.D. 1970-Jul-30 00:00:23.0000,  9.451985288985450E+08,  9.598856208314371E+08, -4.191703249354929E+07,
2440798.500266204, A.D. 1970-Jul-31 00:00:23.0000,  9.446195671281868E+08,  9.604508833880944E+08, -4.187676318027067E+07,
2440799.500266204, A.D. 1970-Aug-01 00:00:23.0000,  9.440403800127534E+08,  9.610160532415171E+08, -4.183666366152734E+07,
2440800.500266204, A.D. 1970-Aug-02 00:00:23.0000,  9.434609669232942E+08,  9.615811304487274E+08, -4.179673435063297E+07,
2440801.500266204, A.D. 1970-Aug-03 00:00:23.0000,  9.428813272319413E+08,  9.621461150692196E+08, -4.175697566239411E+07,
2440802.500266204, A.D. 1970-Aug-04 00:00:23.0000,  9.423014603118603E+08,  9.627110071650480E+08, -4.171738801316434E+07,
2440803.500266204, A.D. 1970-Aug-05 00:00:23.0000,  9.417213655377585E+08,  9.632758068005220E+08, -4.167797182073855E+07,
2440804.500266204, A.D. 1970-Aug-06 00:00:23.0000,  9.411410422851489E+08,  9.638405140419453E+08, -4.163872750410104E+07,
2440805.500266204, A.D. 1970-Aug-07 00:00:23.0000,  9.405604899300541E+08,  9.644051289582700E+08, -4.159965548379415E+07,
2440806.500266204, A.D. 1970-Aug-08 00:00:23.0000,  9.399797078496172E+08,  9.649696516210148E+08, -4.156075618196636E+07,
2440807.500266204, A.D. 1970-Aug-09 00:00:23.0000,  9.393986954220037E+08,  9.655340821042625E+08, -4.152203002236718E+07,
2440808.500266204, A.D. 1970-Aug-10 00:00:23.0000,  9.388174520263126E+08,  9.660984204846566E+08, -4.148347743034571E+07,
2440809.500266204, A.D. 1970-Aug-11 00:00:23.0000,  9.382359770424939E+08,  9.666626668414068E+08, -4.144509883285445E+07,
2440810.500266204, A.D. 1970-Aug-12 00:00:23.0000,  9.376542698512790E+08,  9.672268212562950E+08, -4.140689465845674E+07,
2440811.500266204, A.D. 1970-Aug-13 00:00:23.0000,  9.370723298341148E+08,  9.677908838136888E+08, -4.136886533734000E+07,
2440812.500266204, A.D. 1970-Aug-14 00:00:23.0000,  9.364901563731103E+08,  9.683548546005583E+08, -4.133101130133182E+07,
2440813.500266204, A.D. 1970-Aug-15 00:00:23.0000,  9.359077488509907E+08,  9.689187337064977E+08, -4.129333298392212E+07,
2440814.500266204, A.D. 1970-Aug-16 00:00:23.0000,  9.353251066510595E+08,  9.694825212237506E+08, -4.125583082028848E+07,
2440815.500266204, A.D. 1970-Aug-17 00:00:23.0000,  9.347422291571710E+08,  9.700462172472422E+08, -4.121850524732655E+07,
2440816.500266204, A.D. 1970-Aug-18 00:00:23.0000,  9.341591157537106E+08,  9.706098218746136E+08, -4.118135670368564E+07,
2440817.500266204, A.D. 1970-Aug-19 00:00:23.0000,  9.335757658255836E+08,  9.711733352062614E+08, -4.114438562980717E+07,
2440818.500266204, A.D. 1970-Aug-20 00:00:23.0000,  9.329921787582135E+08,  9.717367573453834E+08, -4.110759246796924E+07,
2440819.500266204, A.D. 1970-Aug-21 00:00:23.0000,  9.324083539375494E+08,  9.723000883980271E+08, -4.107097766233450E+07,
2440820.500266204, A.D. 1970-Aug-22 00:00:23.0000,  9.318242907500814E+08,  9.728633284731433E+08, -4.103454165900344E+07,
2440821.500266204, A.D. 1970-Aug-23 00:00:23.0000,  9.312399885823939E+08,  9.734264776818798E+08, -4.099828490551305E+07,
2440822.500266204, A.D. 1970-Aug-24 00:00:23.0000,  9.306554468209677E+08,  9.739895361383131E+08, -4.096220785130918E+07,
2440823.500266204, A.D. 1970-Aug-25 00:00:23.0000,  9.300706648527750E+08,  9.745525039599504E+08, -4.092631094816482E+07,
