JDTDB,Calendar Date (TDB),X,Y,Z,
2447213.500092593, A.D. 1988-Feb-22 00:00:08.0000,  6.090138737595358E+08,  4.345750201968632E+08, -2.200327525652248E+07,
2447214.500092593, A.D. 1988-Feb-23 00:00:08.0000,  6.081396449631416E+08,  4.353110746909856E+08, -2.200903072061789E+07,
2447215.500092593, A.D. 1988-Feb-24 00:00:08.0000,  6.072604477916836E+08,  4.360481925250480E+08, -2.201250083112410E+07,
2447216.500092593, A.D. 1988-Feb-25 00:00:08.0000,  6.063763201918637E+08,  4.367864601330614E+08, -2.201366411667076E+07,
2447217.500092593, A.D. 1988-Feb-26 00:00:08.0000,  6.054873029419582E+08,  4.375259638403244E+08, -2.201250024904677E+07,
2447218.500092593, A.D. 1988-Feb-27 00:00:08.0000,  6.045934396725968E+08,  4.382667896531920E+08, -2.200899016419142E+07,
2447219.500092593, A.D. 1988-Feb-28 00:00:08.0000,  6.036947768580904E+08,  4.390090232086045E+08, -2.200311605279827E+07,
2447220.500092593, A.D. 1988-Feb-29 00:00:08.0000,  6.027913638179061E+08,  4.397527496068127E+08, -2.199486144557744E+07,
2447221.500092593, A.D. 1988-Mar-01 00:00:08.0000,  6.018832526923580E+08,  4.404980532972929E+08, -2.198421123937652E+07,
2447222.500092593, A.D. 1988-Mar-02 00:00:08.0000,  6.009704984294935E+08,  4.412450179631523E+08, -2.197115173669964E+07,
2447223.500092593, A.D. 1988-Mar-03 00:00:08.0000,  6.000531587675519E+08,  4.419937263874352E+08, -2.195567069797900E+07,
2447224.500092593, A.D. 1988-Mar-04 00:00:08.0000,  5.991312942011096E+08,  4.427442603220035E+08, -2.193775738081917E+07,
2447225.500092593, A.D. 1988-Mar-05 00:00:08.0000,  5.982049679411360E+08,  4.434967003610244E+08, -2.191740257345700E+07,
2447226.500092593, A.D. 1988-Mar-06 00:00:08.0000,  5.972742458735368E+08,  4.442511258096330E+08, -2.189459863421255E+07,
2447227.500092593, A.D. 1988-Mar-07 00:00:08.0000,  5.963391965064167E+08,  4.450076145495945E+08, -2.186933952780882E+07,
2447228.500092593, A.D. 1988-Mar-08 00:00:08.0000,  5.953998909025444E+08,  4.457662429120449E+08, -2.184162084726238E+07,
2447229.500092593, A.D. 1988-Mar-09 00:00:08.0000,  5.944564026100847E+08,  4.465270855574083E+08, -2.181143983141464E+07,
2447230.500092593, A.D. 1988-Mar-10 00:00:08.0000,  5.935088075966800E+08,  4.472902153521215E+08, -2.177879539132485E+07,
2447231.500092593, A.D. 1988-Mar-11 00:00:08.0000,  5.925571841650804E+08,  4.480557032436600E+08, -2.174368812819079E+07,
2447232.500092593, A.D. 1988-Mar-12 00:00:08.0000,  5.916016128566360E+08,  4.488236181494045E+08, -2.170612033342111E+07,
2447233.500092593, A.D. 1988-Mar-13 00:00:08.0000,  5.906421764023498E+08,  4.495940268435853E+08, -2.166609602834457E+07,
2447234.500092593, A.D. 1988-Mar-14 00:00:08.0000,  5.896789595569736E+08,  4.503669938266671E+08, -2.162362094224584E+07,
2447235.500092593, A.D. 1988-Mar-15 00:00:08.0000,  5.887120490714984E+08,  4.511425812439672E+08, -2.157870253760123E+07,
2447236.500092593, A.D. 1988-Mar-16 00:00:08.0000,  5.877415334893638E+08,  4.519208487463561E+08, -2.153134999712992E+07,
2447237.500092593, A.D. 1988-Mar-17 00:00:08.0000,  5.867675031096233E+08,  4.527018534377968E+08, -2.148157420923069E+07,
2447238.500092593, A.D. 1988-Mar-18 00:00:08.0000,  5.857900498241622E+08,  4.534856497601228E+08, -2.142938776360679E+07,
2447239.500092593, A.D. 1988-Mar-19 00:00:08.0000,  5.848092670059046E+08,  4.542722894232059E+08, -2.137480492793879E+07,
2447240.500092593, A.D. 1988-Mar-20 00:00:08.0000,  5.838252493920292E+08,  4.550618213229604E+08, -2.131784163776833E+07,
2447241.500092593, A.D. 1988-Mar-21 00:00:08.0000,  5.828380929450763E+08,  4.558542914600169E+08, -2.125851548026055E+07,
2447242.500092593, A.D. 1988-Mar-22 00:00:08.0000,  5.818478947151552E+08,  4.566497428786133E+08, -2.119684566250029E+07,
2447243.500092593, A.D. 1988-Mar-23 00:00:08.0000,  5.808547527064977E+08,  4.574482156131125E+08, -2.113285297820535E+07,
2447244.500092593, A.D. 1988-Mar-24 00:00:08.0000,  5.798587657377523E+08,  4.582497466337606E+08, -2.106655977739456E+07,
2447245.500092593, A.D. 1988-Mar-25 00:00:08.0000,  5.788600332969005E+08,  4.590543698040983E+08, -2.099798992754862E+07,
2447246.500092593, A.D. 1988-Mar-26 00:00:08.0000,  5.778586554020873E+08,  4.598621158561440E+08, -2.092716876394871E+07,
2447247.500092593, A.D. 1988-Mar-27 00:00:08.0000,  5.768547324697824E+08,  4.606730123661135E+08, -2.085412304551005E+07,
2447248.500092593, A.D. 1988-Mar-28 00:00:08.0000,  5.758483651775272E+08,  4.614870837226129E+08, -2.077888091992822E+07,
2447249.500092593, A.D. 1988-Mar-29 00:00:08.0000,  5.748396543181007E+08,  4.623043511175608E+08, -2.070147186973089E+07,
2447250.500092593, A.D. 1988-Mar-30 00:00:08.0000,  5.738287006636873E+08,  4.631248325550392E+08, -2.062192664835820E+07,
2447251.500092593, A.D. 1988-Mar-31 00:00:08.0000,  5.728156048338034E+08,  4.639485428000563E+08, -2.054027727515540E+07,
2447252.500092593, A.D. 1988-Apr-01 00:00:08.0000,  5.718004671356953E+08,  4.647754934871469E+08, -2.045655688790447E+07,
2447253.500092593, A.D. 1988-Apr-02 00:00:08.0000,  5.707833874641987E+08,  4.656056930397407E+08, -2.037079977100852E+07,
2447254.500092593, A.D. 1988-Apr-03 00:00:08.0000,  5.697644651483574E+08,  4.664391467885141E+08, -2.028304122381511E+07,
2447255.500092593, A.D. 1988-Apr-04 00:00:08.0000,  5.687437988556994E+08,  4.672758569306584E+08, -2.019331755096379E+07,
2447256.500092593, A.D. 1988-Apr-05 00:00:08.0000,  5.677214864503340E+08,  4.681158226068063E+08, -2.010166597259352E+07,
2447257.500092593, A.D. 1988-Apr-06 00:00:08.0000,  5.666976248894193E+08,  4.689590399363076E+08, -2.000812456730705E+07,
2447258.500092593, A.D. 1988-Apr-07 00:00:08.0000,  5.656723101067195E+08,  4.698055020583304E+08, -1.991273221480522E+07,
2447259.500092593, A.D. 1988-Apr-08 00:00:08.0000,  5.646456368964783E+08,  4.706551991968665E+08, -1.981552852525035E+07,
2447260.500092593, A.D. 1988-Apr-09 00:00:08.0000,  5.636176988150086E+08,  4.715081187288893E+08, -1.971655376990694E+07,
2447261.500092593, A.D. 1988-Apr-10 00:00:08.0000,  5.625885880886228E+08,  4.723642452501489E+08, -1.961584881734177E+07,
2447262.500092593, A.D. 1988-Apr-11 00:00:08.0000,  5.615583955198686E+08,  4.732235606478108E+08, -1.951345506867707E+07,
2447263.500092593, A.D. 1988-Apr-12 00:00:08.0000,  5.605272104021873E+08,  4.740860441808455E+08, -1.940941439049229E+07,
