JDTDB,Calendar Date (TDB),X,Y,Z,
2447213.500092593, A.D. 1988-Feb-22 00:00:08.0000,  6.190255302160343E+08,  4.561431704188783E+08, -9.224986941222340E+06,
2447214.500092593, A.D. 1988-Feb-23 00:00:08.0000,  6.184179388098097E+08,  4.569457151552750E+08, -9.234498022927612E+06,
2447215.500092593, A.D. 1988-Feb-24 00:00:08.0000,  6.178079486981950E+08,  4.577465011894611E+08, -9.244287236591160E+06,
2447216.500092593, A.D. 1988-Feb-25 00:00:08.0000,  6.171955531482490E+08,  4.585455317393915E+08, -9.254354670598507E+06,
2447217.500092593, A.D. 1988-Feb-26 00:00:08.0000,  6.165807454139539E+08,  4.593428100938421E+08, -9.264700396820515E+06,
2447218.500092593, A.D. 1988-Feb-27 00:00:08.0000,  6.159635187308222E+08,  4.601383396167698E+08, -9.275324471217781E+06,
2447219.500092593, A.D. 1988-Feb-28 00:00:08.0000,  6.153438663226697E+08,  4.609321237457091E+08, -9.286226932310671E+06,
2447220.500092593, A.D. 1988-Feb-29 00:00:08.0000,  6.147217813980806E+08,  4.617241659938311E+08, -9.297407801814377E+06,
2447221.500092593, A.D. 1988-Mar-01 00:00:08.0000,  6.140972571531041E+08,  4.625144699511471E+08, -9.308867083647311E+06,
2447222.500092593, A.D. 1988-Mar-02 00:00:08.0000,  6.134702867723410E+08,  4.633030392842237E+08, -9.320604763749957E+06,
2447223.500092593, A.D. 1988-Mar-03 00:00:08.0000,  6.128408634284395E+08,  4.640898777364733E+08, -9.332620810245782E+06,
2447224.500092593, A.D. 1988-Mar-04 00:00:08.0000,  6.122089802827290E+08,  4.648749891290822E+08, -9.344915173126489E+06,
2447225.500092593, A.D. 1988-Mar-05 00:00:08.0000,  6.115746304861573E+08,  4.656583773616052E+08, -9.357487783918291E+06,
2447226.500092593, A.D. 1988-Mar-06 00:00:08.0000,  6.109378071792854E+08,  4.664400464123325E+08, -9.370338555675715E+06,
2447227.500092593, A.D. 1988-Mar-07 00:00:08.0000,  6.102985034923856E+08,  4.672200003392445E+08, -9.383467382819563E+06,
2447228.500092593, A.D. 1988-Mar-08 00:00:08.0000,  6.096567125468343E+08,  4.679982432813623E+08, -9.396874140512049E+06,
2447229.500092593, A.D. 1988-Mar-09 00:00:08.0000,  6.090124274565469E+08,  4.687747794592682E+08, -9.410558684196830E+06,
2447230.500092593, A.D. 1988-Mar-10 00:00:08.0000,  6.083656413279248E+08,  4.695496131749036E+08, -9.424520849736065E+06,
2447231.500092593, A.D. 1988-Mar-11 00:00:08.0000,  6.077163472603246E+08,  4.703227488127658E+08, -9.438760453101337E+06,
2447232.500092593, A.D. 1988-Mar-12 00:00:08.0000,  6.070645383482344E+08,  4.710941908413417E+08, -9.453277289504260E+06,
2447233.500092593, A.D. 1988-Mar-13 00:00:08.0000,  6.064102076788926E+08,  4.718639438098228E+08, -9.468071134857893E+06,
2447234.500092593, A.D. 1988-Mar-14 00:00:08.0000,  6.057533483361193E+08,  4.726320123546774E+08, -9.483141743353158E+06,
2447235.500092593, A.D. 1988-Mar-15 00:00:08.0000,  6.050939533991061E+08,  4.733984011943265E+08, -9.498488848975718E+06,
2447236.500092593, A.D. 1988-Mar-16 00:00:08.0000,  6.044320159416826E+08,  4.741631151355871E+08, -9.514112164562225E+06,
2447237.500092593, A.D. 1988-Mar-17 00:00:08.0000,  6.037675290365942E+08,  4.749261590699540E+08, -9.530011381278515E+06,
2447238.500092593, A.D. 1988-Mar-18 00:00:08.0000,  6.031004857539537E+08,  4.756875379768841E+08, -9.546186168560594E+06,
2447239.500092593, A.D. 1988-Mar-19 00:00:08.0000,  6.024308791637762E+08,  4.764472569237056E+08, -9.562636173451066E+06,
2447240.500092593, A.D. 1988-Mar-20 00:00:08.0000,  6.017587023361017E+08,  4.772053210650744E+08, -9.579361020732522E+06,
2447241.500092593, A.D. 1988-Mar-21 00:00:08.0000,  6.010839483404704E+08,  4.779617356439510E+08, -9.596360312983602E+06,
2447242.500092593, A.D. 1988-Mar-22 00:00:08.0000,  6.004066102470671E+08,  4.787165059927976E+08, -9.613633630097836E+06,
2447243.500092593, A.D. 1988-Mar-23 00:00:08.0000,  5.997266811280296E+08,  4.794696375341585E+08, -9.631180528864980E+06,
2447244.500092593, A.D. 1988-Mar-24 00:00:08.0000,  5.990441540577849E+08,  4.802211357812182E+08, -9.649000542853385E+06,
2447245.500092593, A.D. 1988-Mar-25 00:00:08.0000,  5.983590221137222E+08,  4.809710063388384E+08, -9.667093182118148E+06,
2447246.500092593, A.D. 1988-Mar-26 00:00:08.0000,  5.976712783780438E+08,  4.817192549044420E+08, -9.685457932584137E+06,
2447247.500092593, A.D. 1988-Mar-27 00:00:08.0000,  5.969809159390109E+08,  4.824658872680141E+08, -9.704094255749404E+06,
2447248.500092593, A.D. 1988-Mar-28 00:00:08.0000,  5.962879278904566E+08,  4.832109093120701E+08, -9.723001588908762E+06,
2447249.500092593, A.D. 1988-Mar-29 00:00:08.0000,  5.955923073326805E+08,  4.839543270130957E+08, -9.742179344729811E+06,
2447250.500092593, A.D. 1988-Mar-30 00:00:08.0000,  5.948940473750345E+08,  4.846961464424897E+08, -9.761626910408199E+06,
2447251.500092593, A.D. 1988-Mar-31 00:00:08.0000,  5.941931411317655E+08,  4.854363737641751E+08, -9.781343649358749E+06,
2447252.500092593, A.D. 1988-Apr-01 00:00:08.0000,  5.934895817296945E+08,  4.861750152414049E+08, -9.801328897965193E+06,
2447253.500092593, A.D. 1988-Apr-02 00:00:08.0000,  5.927833623034668E+08,  4.869120772302649E+08, -9.821581968028039E+06,
