JDTDB,Calendar Date (TDB),X,Y,Z,
2447213.500092593, A.D. 1988-Feb-22 00:00:08.0000,  5.796473471505978E+08,  4.350511577068014E+08, -1.810237496375865E+07,
2447214.500092593, A.D. 1988-Feb-23 00:00:08.0000,  5.788895831945858E+08,  4.361850655024692E+08, -1.820914745373333E+07,
2447215.500092593, A.D. 1988-Feb-24 00:00:08.0000,  5.781326607996368E+08,  4.373185367268204E+08, -1.831549170989332E+07,
2447216.500092593, A.D. 1988-Feb-25 00:00:08.0000,  5.773765780409949E+08,  4.384515430739136E+08, -1.842139476156777E+07,
2447217.500092593, A.D. 1988-Feb-26 00:00:08.0000,  5.766213327253995E+08,  4.395840564607427E+08, -1.852684384106040E+07,
2447218.500092593, A.D. 1988-Feb-27 00:00:08.0000,  5.758669223885001E+08,  4.407160490105259E+08, -1.863182638436151E+07,
2447219.500092593, A.D. 1988-Feb-28 00:00:08.0000,  5.751133443038245E+08,  4.418474930716393E+08, -1.873633002905867E+07,
2447220.500092593, A.D. 1988-Feb-29 00:00:08.0000,  5.743605954904063E+08,  4.429783612087857E+08, -1.884034261342689E+07,
2447221.500092593, A.D. 1988-Mar-01 00:00:08.0000,  5.736086727167022E+08,  4.441086262084651E+08, -1.894385217570442E+07,
2447222.500092593, A.D. 1988-Mar-02 00:00:08.0000,  5.728575725104125E+08,  4.452382610830643E+08, -1.904684695157948E+07,
2447223.500092593, A.D. 1988-Mar-03 00:00:08.0000,  5.721072911676053E+08,  4.463672390704935E+08, -1.914931537216255E+07,
2447224.500092593, A.D. 1988-Mar-04 00:00:08.0000,  5.713578247586299E+08,  4.474955336352599E+08, -1.925124606273815E+07,
2447225.500092593, A.D. 1988-Mar-05 00:00:08.0000,  5.706091691351463E+08,  4.486231184706615E+08, -1.935262784086108E+07,
2447226.500092593, A.D. 1988-Mar-06 00:00:08.0000,  5.698613199390039E+08,  4.497499674988689E+08, -1.945344971390194E+07,
2447227.500092593, A.D. 1988-Mar-07 00:00:08.0000,  5.691142726087004E+08,  4.508760548696341E+08, -1.955370087750712E+07,
2447228.500092593, A.D. 1988-Mar-08 00:00:08.0000,  5.683680223826396E+08,  4.520013549609751E+08, -1.965337071492490E+07,
2447229.500092593, A.D. 1988-Mar-09 00:00:08.0000,  5.676225643048646E+08,  4.531258423818393E+08, -1.975244879516211E+07,
2447230.500092593, A.D. 1988-Mar-10 00:00:08.0000,  5.668778932350600E+08,  4.542494919729819E+08, -1.985092486969829E+07,
2447231.500092593, A.D. 1988-Mar-11 00:00:08.0000,  5.661340038538167E+08,  4.553722788056697E+08, -1.994878887102798E+07,
2447232.500092593, A.D. 1988-Mar-12 00:00:08.0000,  5.653908906650442E+08,  4.564941781831460E+08, -2.004603091182995E+07,
2447233.500092593, A.D. 1988-Mar-13 00:00:08.0000,  5.646485480177808E+08,  4.576151656414813E+08, -2.014264127698147E+07,
2447234.500092593, A.D. 1988-Mar-14 00:00:08.0000,  5.639069700878725E+08,  4.587352169435669E+08, -2.023861043067580E+07,
2447235.500092593, A.D. 1988-Mar-15 00:00:08.0000,  5.631661509083964E+08,  4.598543080865670E+08, -2.033392900452846E+07,
2447236.500092593, A.D. 1988-Mar-16 00:00:08.0000,  5.624260843530905E+08,  4.609724152905797E+08, -2.042858780542004E+07,
2447237.500092593, A.D. 1988-Mar-17 00:00:08.0000,  5.616867641578245E+08,  4.620895150097937E+08, -2.052257780528918E+07,
2447238.500092593, A.D. 1988-Mar-18 00:00:08.0000,  5.609481839175810E+08,  4.632055839242269E+08, -2.061589014351961E+07,
2447239.500092593, A.D. 1988-Mar-19 00:00:08.0000,  5.602103370927482E+08,  4.643205989430099E+08, -2.070851612403288E+07,
2447240.500092593, A.D. 1988-Mar-20 00:00:08.0000,  5.594732170179656E+08,  4.654345372038541E+08, -2.080044721122548E+07,
2447241.500092593, A.D. 1988-Mar-21 00:00:08.0000,  5.587368169068712E+08,  4.665473760695817E+08, -2.089167502804640E+07,
2447242.500092593, A.D. 1988-Mar-22 00:00:08.0000,  5.580011298557661E+08,  4.676590931271036E+08, -2.098219135438591E+07,
2447243.500092593, A.D. 1988-Mar-23 00:00:08.0000,  5.572661488486034E+08,  4.687696661869668E+08, -2.107198812465948E+07,
2447244.500092593, A.D. 1988-Mar-24 00:00:08.0000,  5.565318667617656E+08,  4.698790732810884E+08, -2.116105742558005E+07,
2447245.500092593, A.D. 1988-Mar-25 00:00:08.0000,  5.557982763672247E+08,  4.709872926608816E+08, -2.124939149477354E+07,
2447246.500092593, A.D. 1988-Mar-26 00:00:08.0000,  5.550653703359901E+08,  4.720943027978230E+08, -2.133698271903414E+07,
2447247.500092593, A.D. 1988-Mar-27 00:00:08.0000,  5.543331412442635E+08,  4.732000823834502E+08, -2.142382363096377E+07,
2447248.500092593, A.D. 1988-Mar-28 00:00:08.0000,  5.536015815800724E+08,  4.743046103257715E+08, -2.150990690540466E+07,
2447249.500092593, A.D. 1988-Mar-29 00:00:08.0000,  5.528706837454644E+08,  4.754078657468039E+08, -2.159522535829645E+07,
2447250.500092593, A.D. 1988-Mar-30 00:00:08.0000,  5.521404400587966E+08,  4.765098279835877E+08, -2.167977194527686E+07,
2447251.500092593, A.D. 1988-Mar-31 00:00:08.0000,  5.514108427664208E+08,  4.776104765795137E+08, -2.176353975517762E+07,
2447252.500092593, A.D. 1988-Apr-01 00:00:08.0000,  5.506818840320399E+08,  4.787097912917804E+08, -2.184652201576495E+07,
2447253.500092593, A.D. 1988-Apr-02 00:00:08.0000,  5.499535559552586E+08,  4.798077520831145E+08, -2.192871208304349E+07,
2447254.500092593, A.D. 1988-Apr-03 00:00:08.0000,  5.492258505600885E+08,  4.809043391209331E+08, -2.201010344838426E+07,
2447255.500092593, A.D. 1988-Apr-04 00:00:08.0000,  5.484987598121564E+08,  4.819995327785804E+08, -2.209068972725728E+07,
2447256.500092593, A.D. 1988-Apr-05 00:00:08.0000,  5.477722756139681E+08,  4.830933136304701E+08, -2.217046466246444E+07,
2447257.500092593, A.D. 1988-Apr-06 00:00:08.0000,  5.470463898109466E+08,  4.841856624521402E+08, -2.224942212008318E+07,
2447258.500092593, A.D. 1988-Apr-07 00:00:08.0000,  5.463210941964456E+08,  4.852765602167249E+08, -2.232755608593071E+07,
2447259.500092593, A.D. 1988-Apr-08 00:00:08.0000,  5.455963805126384E+08,  4.863659880911289E+08, -2.240486066484967E+07,
2447260.500092593, A.D. 1988-Apr-09 00:00:08.0000,  5.448722404521919E+08,  4.874539274348539E+08, -2.248133007950428E+07,
2447261.500092593, A.D. 1988-Apr-10 00:00:08.0000,  5.441486656615798E+08,  4.885403597989290E+08, -2.255695866796309E+07,
2447262.500092593, A.D. 1988-Apr-11 00:00:08.0000,  5.434256477438880E+08,  4.896252669233298E+08, -2.263174088154128E+07,
2447263.500092593, A.D. 1988-Apr-12 00:00:08.0000,  5.427031782609328E+08,  4.907086307347353E+08, -2.270567128313002E+07,
2447264.500092593, A.D. 1988-Apr-13 00:00:08.0000,  5.419812487364358E+08,  4.917904333454646E+08, -2.277874454474777E+07,
2447265.500092593, A.D. 1988-Apr-14 00:00:08.0000,  5.412598506601148E+08,  4.928706570508931E+08, -2.285095544422927E+07,
2447266.500092593, A.D. 1988-Apr-15 00:00:08.0000,  5.405389754899187E+08,  4.939492843245984E+08, -2.292229886311647E+07,
2447267.500092593, A.D. 1988-Apr-16 00:00:08.0000,  5.398186146519939E+08,  4.950262978168079E+08, -2.299276978653654E+07,
2447268.500092593, A.D. 1988-Apr-17 00:00:08.0000,  5.390987595431858E+08,  4.961016803552089E+08, -2.306236330126134E+07,
2447269.500092593, A.D. 1988-Apr-18 00:00:08.0000,  5.383794015355705E+08,  4.971754149340090E+08, -2.313107459106442E+07,
2447270.500092593, A.D. 1988-Apr-19 00:00:08.0000,  5.376605319724143E+08,  4.982474847259663E+08, -2.319889894105113E+07,
2447271.500092593, A.D. 1988-Apr-20 00:00:08.0000,  5.369421421785899E+08,  4.993178730664737E+08, -2.326583172725397E+07,
2447272.500092593, A.D. 1988-Apr-21 00:00:08.0000,  5.362242234526201E+08,  5.003865634617455E+08, -2.333186842488876E+07,
2447273.500092593, A.D. 1988-Apr-22 00:00:08.0000,  5.355067670791183E+08,  5.014535395795676E+08, -2.339700459585592E+07,
2447274.500092593, A.D. 1988-Apr-23 00:00:08.0000,  5.347897643234573E+08,  5.025187852498878E+08, -2.346123589367214E+07,
2447275.500092593, A.D. 1988-Apr-24 00:00:08.0000,  5.340732064360080E+08,  5.035822844624687E+08, -2.352455805923411E+07,
2447276.500092593, A.D. 1988-Apr-25 00:00:08.0000,  5.333570846534929E+08,  5.046440213630238E+08, -2.358696691875327E+07,
2447277.500092593, A.D. 1988-Apr-26 00:00:08.0000,  5.326413901979375E+08,  5.057039802516314E+08, -2.364845838421261E+07,
2447278.500092593, A.D. 1988-Apr-27 00:00:08.0000,  5.319261142781200E+08,  5.067621455821555E+08, -2.370902845172718E+07,
2447279.500092593, A.D. 1988-Apr-28 00:00:08.0000,  5.312112480921447E+08,  5.078185019603670E+08, -2.376867319856286E+07,
2447280.500092593, A.D. 1988-Apr-29 00:00:08.0000,  5.304967828284103E+08,  5.088730341410199E+08, -2.382738878130457E+07,
2447281.500092593, A.D. 1988-Apr-30 00:00:08.0000,  5.297827096658844E+08,  5.099257270254372E+08, -2.388517143468240E+07,
2447282.500092593, A.D. 1988-May-01 00:00:08.0000,  5.290690197755099E+08,  5.109765656595143E+08, -2.394201746938029E+07,
2447283.500092593, A.D. 1988-May-02 00:00:08.0000,  5.283557043213736E+08,  5.120255352306277E+08, -2.399792326976100E+07,
2447284.500092593, A.D. 1988-May-03 00:00:08.0000,  5.276427544596717E+08,  5.130726210641311E+08, -2.405288529352903E+07,
2447285.500092593, A.D. 1988-May-04 00:00:08.0000,  5.269301613385327E+08,  5.141178086226542E+08, -2.410690007139689E+07,
2447286.500092593, A.D. 1988-May-05 00:00:08.0000,  5.262179161008064E+08,  5.151610835054916E+08, -2.415996420406178E+07,
2447287.500092593, A.D. 1988-May-06 00:00:08.0000,  5.255060098809234E+08,  5.162024314401875E+08, -2.421207436248592E+07,
2447288.500092593, A.D. 1988-May-07 00:00:08.0000,  5.247944338107554E+08,  5.172418382902423E+08, -2.426322728474796E+07,
2447289.500092593, A.D. 1988-May-08 00:00:08.0000,  5.240831790176964E+08,  5.182792900416113E+08, -2.431341977283236E+07,
2447290.500092593, A.D. 1988-May-09 00:00:08.0000,  5.233722366231682E+08,  5.193147728103462E+08, -2.436264869768539E+07,
2447291.500092593, A.D. 1988-May-10 00:00:08.0000,  5.226615977475022E+08,  5.203482728308410E+08, -2.441091098917884E+07,
2447292.500092593, A.D. 1988-May-11 00:00:08.0000,  5.219512535061420E+08,  5.213797764589030E+08, -2.445820364144242E+07,
2447293.500092593, A.D. 1988-May-12 00:00:08.0000,  5.212411950116955E+08,  5.224092701684362E+08, -2.450452370943478E+07,
2447294.500092593, A.D. 1988-May-13 00:00:08.0000,  5.205314133737898E+08,  5.234367405484921E+08, -2.454986830791616E+07,
2447295.500092593, A.D. 1988-May-14 00:00:08.0000,  5.198218996985083E+08,  5.244621743026169E+08, -2.459423461179194E+07,
2447296.500092593, A.D. 1988-May-15 00:00:08.0000,  5.191126450898526E+08,  5.254855582472352E+08, -2.463761985387775E+07,
2447297.500092593, A.D. 1988-May-16 00:00:08.0000,  5.184036406509232E+08,  5.265068793085092E+08, -2.468002132222414E+07,
2447298.500092593, A.D. 1988-May-17 00:00:08.0000,  5.176948774832270E+08,  5.275261245195500E+08, -2.472143635948372E+07,
2447299.500092593, A.D. 1988-May-18 00:00:08.0000,  5.169863466859201E+08,  5.285432810187038E+08, -2.476186236277732E+07,
2447300.500092593, A.D. 1988-May-19 00:00:08.0000,  5.162780393563821E+08,  5.295583360477449E+08, -2.480129678209537E+07,
2447301.500092593, A.D. 1988-May-20 00:00:08.0000,  5.155699465902308E+08,  5.305712769493406E+08, -2.483973711892304E+07,
2447302.500092593, A.D. 1988-May-21 00:00:08.0000,  5.148620594796517E+08,  5.315820911651961E+08, -2.487718092693084E+07,
2447303.500092593, A.D. 1988-May-22 00:00:08.0000,  5.141543691139794E+08,  5.325907662357316E+08, -2.491362581106275E+07,
2447304.500092593, A.D. 1988-May-23 00:00:08.0000,  5.134468665821920E+08,  5.335972897981218E+08, -2.494906942374638E+07,
2447305.500092593, A.D. 1988-May-24 00:00:08.0000,  5.127395429662542E+08,  5.346016495814445E+08, -2.498350946897647E+07,
2447306.500092593, A.D. 1988-May-25 00:00:08.0000,  5.120323893513171E+08,  5.356038334100787E+08, -2.501694369361830E+07,
2447307.500092593, A.D. 1988-May-26 00:00:08.0000,  5.113253968152409E+08,  5.366038291940147E+08, -2.504936989198738E+07,
2447308.500092593, A.D. 1988-May-27 00:00:08.0000,  5.106185564344310E+08,  5.376016249359261E+08, -2.508078590475690E+07,
2447309.500092593, A.D. 1988-May-28 00:00:08.0000,  5.099118592793117E+08,  5.385972087204877E+08, -2.511118961621311E+07,
2447310.500092593, A.D. 1988-May-29 00:00:08.0000,  5.092052964152836E+08,  5.395905687191515E+08, -2.514057895648783E+07,
2447311.500092593, A.D. 1988-May-30 00:00:08.0000,  5.084988589029342E+08,  5.405816931866686E+08, -2.516895189880407E+07,
