JDTDB,Calendar Date (TDB),X,Y,Z,
2447213.500092593, A.D. 1988-Feb-22 00:00:08.0000,  5.783609470366344E+08,  4.395516142663875E+08, -2.567477792354345E+06,
2447214.500092593, A.D. 1988-Feb-23 00:00:08.0000,  5.776985735208664E+08,  4.407104163431017E+08, -2.549930999097586E+06,
2447215.500092593, A.D. 1988-Feb-24 00:00:08.0000,  5.770361550803453E+08,  4.418681510719033E+08, -2.533308373041779E+06,
2447216.500092593, A.D. 1988-Feb-25 00:00:08.0000,  5.763736973977482E+08,  4.430248019863647E+08, -2.517613362031698E+06,
2447217.500092593, A.D. 1988-Feb-26 00:00:08.0000,  5.757112060778040E+08,  4.441803525436621E+08, -2.502849364320368E+06,
2447218.500092593, A.D. 1988-Feb-27 00:00:08.0000,  5.750486866406405E+08,  4.453347861200148E+08, -2.489019720923007E+06,
2447219.500092593, A.D. 1988-Feb-28 00:00:08.0000,  5.743861445246761E+08,  4.464880860168352E+08, -2.476127720003456E+06,
2447220.500092593, A.D. 1988-Feb-29 00:00:08.0000,  5.737235850829366E+08,  4.476402354571010E+08, -2.464176592972785E+06,
2447221.500092593, A.D. 1988-Mar-01 00:00:08.0000,  5.730610135821854E+08,  4.487912175877706E+08, -2.453169514027089E+06,
2447222.500092593, A.D. 1988-Mar-02 00:00:08.0000,  5.723984352026947E+08,  4.499410154803734E+08, -2.443109600850523E+06,
2447223.500092593, A.D. 1988-Mar-03 00:00:08.0000,  5.717358550369570E+08,  4.510896121302318E+08, -2.433999913850576E+06,
2447224.500092593, A.D. 1988-Mar-04 00:00:08.0000,  5.710732780883064E+08,  4.522369904569710E+08, -2.425843455103666E+06,
2447225.500092593, A.D. 1988-Mar-05 00:00:08.0000,  5.704107092699826E+08,  4.533831333051574E+08, -2.418643168031722E+06,
2447226.500092593, A.D. 1988-Mar-06 00:00:08.0000,  5.697481534039817E+08,  4.545280234437988E+08, -2.412401936954290E+06,
2447227.500092593, A.D. 1988-Mar-07 00:00:08.0000,  5.690856152192643E+08,  4.556716435660432E+08, -2.407122585607380E+06,
2447228.500092593, A.D. 1988-Mar-08 00:00:08.0000,  5.684230993500401E+08,  4.568139762903910E+08, -2.402807875524938E+06,
2447229.500092593, A.D. 1988-Mar-09 00:00:08.0000,  5.677606103349637E+08,  4.579550041619419E+08, -2.399460505831659E+06,
2447230.500092593, A.D. 1988-Mar-10 00:00:08.0000,  5.670981526165456E+08,  4.590947096519431E+08, -2.397083113665283E+06,
2447231.500092593, A.D. 1988-Mar-11 00:00:08.0000,  5.664357305393083E+08,  4.602330751578675E+08, -2.395678272586316E+06,
2447232.500092593, A.D. 1988-Mar-12 00:00:08.0000,  5.657733483483062E+08,  4.613700830052430E+08, -2.395248491253406E+06,
2447233.500092593, A.D. 1988-Mar-13 00:00:08.0000,  5.651110101906221E+08,  4.625057154442689E+08, -2.395796217589915E+06,
2447234.500092593, A.D. 1988-Mar-14 00:00:08.0000,  5.644487201085087E+08,  4.636399546542614E+08, -2.397323829190314E+06,
2447235.500092593, A.D. 1988-Mar-15 00:00:08.0000,  5.637864820445967E+08,  4.647727827405215E+08, -2.399833642476946E+06,
