JDTDB,Calendar Date (TDB),X,Y,Z,
2440797.500266204, A.D. 1970-Jul-30 00:00:23.0000,  9.436329004865702E+08,  9.727797559687949E+08, -6.105800475149548E+07,
2440798.500266204, A.D. 1970-Jul-31 00:00:23.0000,  9.429381742032896E+08,  9.734956495516160E+08, -6.104263303658497E+07,
2440799.500266204, A.D. 1970-Aug-01 00:00:23.0000,  9.422439325515822E+08,  9.742116913550433E+08, -6.102684284687620E+07,
2440800.500266204, A.D. 1970-Aug-02 00:00:23.0000,  9.415501834121133E+08,  9.749278744978112E+08, -6.101063232563883E+07,
2440801.500266204, A.D. 1970-Aug-03 00:00:23.0000,  9.408569346363162E+08,  9.756441919729125E+08, -6.099399964597893E+07,
2440802.500266204, A.D. 1970-Aug-04 00:00:23.0000,  9.401641940444013E+08,  9.763606366470295E+08, -6.097694301166487E+07,
2440803.500266204, A.D. 1970-Aug-05 00:00:23.0000,  9.394719694213656E+08,  9.770772012595880E+08, -6.095946065979320E+07,
2440804.500266204, A.D. 1970-Aug-06 00:00:23.0000,  9.387802685139228E+08,  9.777938784268361E+08, -6.094155086052465E+07,
2440805.500266204, A.D. 1970-Aug-07 00:00:23.0000,  9.380890990312139E+08,  9.785106606398361E+08, -6.092321191600370E+07,
2440806.500266204, A.D. 1970-Aug-08 00:00:23.0000,  9.373984686416738E+08,  9.792275402621680E+08, -6.090444216280192E+07,
2440807.500266204, A.D. 1970-Aug-09 00:00:23.0000,  9.367083849705316E+08,  9.799445095301975E+08, -6.088523997280693E+07,
2440808.500266204, A.D. 1970-Aug-10 00:00:23.0000,  9.360188555973090E+08,  9.806615605533428E+08, -6.086560375411290E+07,
2440809.500266204, A.D. 1970-Aug-11 00:00:23.0000,  9.353298880533180E+08,  9.813786853143409E+08, -6.084553195191008E+07,
2440810.500266204, A.D. 1970-Aug-12 00:00:23.0000,  9.346414898191605E+08,  9.820958756695130E+08, -6.082502304937452E+07,
2440811.500266204, A.D. 1970-Aug-13 00:00:23.0000,  9.339536683222245E+08,  9.828131233490294E+08, -6.080407556855798E+07,
2440812.500266204, A.D. 1970-Aug-14 00:00:23.0000,  9.332664309341832E+08,  9.835304199571751E+08, -6.078268807127833E+07,
2440813.500266204, A.D. 1970-Aug-15 00:00:23.0000,  9.325797849684918E+08,  9.842477569726124E+08, -6.076085916000867E+07,
2440814.500266204, A.D. 1970-Aug-16 00:00:23.0000,  9.318937376778846E+08,  9.849651257486453E+08, -6.073858747876793E+07,
2440815.500266204, A.D. 1970-Aug-17 00:00:23.0000,  9.312082962518729E+08,  9.856825175134826E+08, -6.071587171401054E+07,
2440816.500266204, A.D. 1970-Aug-18 00:00:23.0000,  9.305234678142419E+08,  9.863999233705007E+08, -6.069271059551662E+07,
2440817.500266204, A.D. 1970-Aug-19 00:00:23.0000,  9.298392594205465E+08,  9.871173342985045E+08, -6.066910289728200E+07,
2440818.500266204, A.D. 1970-Aug-20 00:00:23.0000,  9.291556780556097E+08,  9.878347411519912E+08, -6.064504743840849E+07,
2440819.500266204, A.D. 1970-Aug-21 00:00:23.0000,  9.284727306310177E+08,  9.885521346614101E+08, -6.062054308399343E+07,
2440820.500266204, A.D. 1970-Aug-22 00:00:23.0000,  9.277904239826173E+08,  9.892695054334242E+08, -6.059558874602091E+07,
2440821.500266204, A.D. 1970-Aug-23 00:00:23.0000,  9.271087648675376E+08,  9.899868439540200E+08, -6.057018338430089E+07,
2440822.500266204, A.D. 1970-Aug-24 00:00:23.0000,  9.264277599612082E+08,  9.907041405924871E+08, -6.054432600672954E+07,
2440823.500266204, A.D. 1970-Aug-25 00:00:23.0000,  9.257474158551714E+08,  9.914213855965199E+08, -6.051801567046636E+07,
2440824.500266204, A.D. 1970-Aug-26 00:00:23.0000,  9.250677390542785E+08,  9.921385690933208E+08, -6.049125148308259E+07,
2440825.500266204, A.D. 1970-Aug-27 00:00:23.0000,  9.243887359740715E+08,  9.928556810910498E+08, -6.046403260333186E+07,
2440826.500266204, A.D. 1970-Aug-28 00:00:23.0000,  9.237104129381646E+08,  9.935727114802748E+08, -6.043635824192119E+07,
2440827.500266204, A.D. 1970-Aug-29 00:00:23.0000,  9.230327761756264E+08,  9.942896500354179E+08, -6.040822766228074E+07,
2440828.500266204, A.D. 1970-Aug-30 00:00:23.0000,  9.223558318183622E+08,  9.950064864162047E+08, -6.037964018133521E+07,
2440829.500266204, A.D. 1970-Aug-31 00:00:23.0000,  9.216795858984956E+08,  9.957232101691086E+08, -6.035059517027426E+07,
2440830.500266204, A.D. 1970-Sep-01 00:00:23.0000,  9.210040443457515E+08,  9.964398107287961E+08, -6.032109205532324E+07,
2440831.500266204, A.D. 1970-Sep-02 00:00:23.0000,  9.203292129848406E+08,  9.971562774195688E+08, -6.029113031851506E+07,
2440832.500266204, A.D. 1970-Sep-03 00:00:23.0000,  9.196550975328423E+08,  9.978725994568055E+08, -6.026070949846119E+07,
2440833.500266204, A.D. 1970-Sep-04 00:00:23.0000,  9.189817035965910E+08,  9.985887659484005E+08, -6.022982919112301E+07,
2440834.500266204, A.D. 1970-Sep-05 00:00:23.0000,  9.183090366700636E+08,  9.993047658962016E+08, -6.019848905058467E+07,
2440835.500266204, A.D. 1970-Sep-06 00:00:23.0000,  9.176371021317683E+08,  1.000020588197446E+09, -6.016668878982472E+07,
2440836.500266204, A.D. 1970-Sep-07 00:00:23.0000,  9.169659052421367E+08,  1.000736221646189E+09, -6.013442818148923E+07,
2440837.500266204, A.D. 1970-Sep-08 00:00:23.0000,  9.162954511409196E+08,  1.001451654934744E+09, -6.010170705866492E+07,
2440838.500266204, A.D. 1970-Sep-09 00:00:23.0000,  9.156257448445857E+08,  1.002166876655100E+09, -6.006852531565332E+07,
2440839.500266204, A.D. 1970-Sep-10 00:00:23.0000,  9.149567912441193E+08,  1.002881875301501E+09, -6.003488290689564E+07,
2440840.500266204, A.D. 1970-Sep-11 00:00:23.0000,  9.142885951045369E+08,  1.003596639277817E+09, -6.000077984727126E+07,
2440841.500266204, A.D. 1970-Sep-12 00:00:23.0000,  9.136211610604675E+08,  1.004311156895514E+09, -5.996621621557581E+07,
2440842.500266204, A.D. 1970-Sep-13 00:00:23.0000,  9.129544936130875E+08,  1.005025416374088E+09, -5.993119215419972E+07,
2440843.500266204, A.D. 1970-Sep-14 00:00:23.0000,  9.122885971280903E+08,  1.005739405843745E+09, -5.989570786951631E+07,
2440844.500266204, A.D. 1970-Sep-15 00:00:23.0000,  9.116234758336667E+08,  1.006453113348084E+09, -5.985976363227087E+07,
2440845.500266204, A.D. 1970-Sep-16 00:00:23.0000,  9.109591338184984E+08,  1.007166526846789E+09, -5.982335977796978E+07,
2440846.500266204, A.D. 1970-Sep-17 00:00:23.0000,  9.102955750297612E+08,  1.007879634218332E+09, -5.978649670727009E+07,
2440847.500266204, A.D. 1970-Sep-18 00:00:23.0000,  9.096328032711391E+08,  1.008592423262691E+09, -5.974917488636875E+07,
2440848.500266204, A.D. 1970-Sep-19 00:00:23.0000,  9.089708222008476E+08,  1.009304881704084E+09, -5.971139484739053E+07,
2440849.500266204, A.D. 1970-Sep-20 00:00:23.0000,  9.083096353296615E+08,  1.010016997193734E+09, -5.967315718877596E+07,
2440850.500266204, A.D. 1970-Sep-21 00:00:23.0000,  9.076492460189412E+08,  1.010728757312657E+09, -5.963446257566458E+07,
2440851.500266204, A.D. 1970-Sep-22 00:00:23.0000,  9.069896574786533E+08,  1.011440149574479E+09, -5.959531174027753E+07,
2440852.500266204, A.D. 1970-Sep-23 00:00:23.0000,  9.063308727653723E+08,  1.012151161428290E+09, -5.955570548229408E+07,
2440853.500266204, A.D. 1970-Sep-24 00:00:23.0000,  9.056728947802556E+08,  1.012861780261520E+09, -5.951564466922432E+07,
2440854.500266204, A.D. 1970-Sep-25 00:00:23.0000,  9.050157262669815E+08,  1.013571993402845E+09, -5.947513023677611E+07,
2440855.500266204, A.D. 1970-Sep-26 00:00:23.0000,  9.043593698096408E+08,  1.014281788125098E+09, -5.943416318921763E+07,
2440856.500266204, A.D. 1970-Sep-27 00:00:23.0000,  9.037038278305761E+08,  1.014991151648187E+09, -5.939274459973335E+07,
2440857.500266204, A.D. 1970-Sep-28 00:00:23.0000,  9.030491025862256E+08,  1.015700071143469E+09, -5.935087561143023E+07,
2440858.500266204, A.D. 1970-Sep-29 00:00:23.0000,  9.023951961729746E+08,  1.016408533740386E+09, -5.930855743365932E+07,
2440859.500266204, A.D. 1970-Sep-30 00:00:23.0000,  9.017421105239408E+08,  1.017116526526475E+09, -5.926579134314287E+07,
2440860.500266204, A.D. 1970-Oct-01 00:00:23.0000,  9.010898474026567E+08,  1.017824036550101E+09, -5.922257868610847E+07,
2440861.500266204, A.D. 1970-Oct-02 00:00:23.0000,  9.004384084019266E+08,  1.018531050824012E+09, -5.917892087806094E+07,
2440862.500266204, A.D. 1970-Oct-03 00:00:23.0000,  8.997877949426990E+08,  1.019237556328845E+09, -5.913481940355951E+07,
2440863.500266204, A.D. 1970-Oct-04 00:00:23.0000,  8.991380082729685E+08,  1.019943540016566E+09, -5.909027581600261E+07,
2440864.500266204, A.D. 1970-Oct-05 00:00:23.0000,  8.984890494667186E+08,  1.020648988813889E+09, -5.904529173741961E+07,
2440865.500266204, A.D. 1970-Oct-06 00:00:23.0000,  8.978409194229070E+08,  1.021353889625662E+09, -5.899986885826743E+07,
2440866.500266204, A.D. 1970-Oct-07 00:00:23.0000,  8.971936188645040E+08,  1.022058229338252E+09, -5.895400893723351E+07,
2440867.500266204, A.D. 1970-Oct-08 00:00:23.0000,  8.965471483375696E+08,  1.022761994822928E+09, -5.890771380104119E+07,
2440868.500266204, A.D. 1970-Oct-09 00:00:23.0000,  8.959015082103695E+08,  1.023465172939269E+09, -5.886098534425831E+07,
2440869.500266204, A.D. 1970-Oct-10 00:00:23.0000,  8.952566986725185E+08,  1.024167750538579E+09, -5.881382552910608E+07,
2440870.500266204, A.D. 1970-Oct-11 00:00:23.0000,  8.946127197341456E+08,  1.024869714467342E+09, -5.876623638526750E+07,
2440871.500266204, A.D. 1970-Oct-12 00:00:23.0000,  8.939695712250690E+08,  1.025571051570691E+09, -5.871822000969547E+07,
2440872.500266204, A.D. 1970-Oct-13 00:00:23.0000,  8.933272527939788E+08,  1.026271748695906E+09, -5.866977856641990E+07,
2440873.500266204, A.D. 1970-Oct-14 00:00:23.0000,  8.926857639076190E+08,  1.026971792695926E+09, -5.862091428635168E+07,
2440874.500266204, A.D. 1970-Oct-15 00:00:23.0000,  8.920451038499663E+08,  1.027671170432892E+09, -5.857162946708649E+07,
2440875.500266204, A.D. 1970-Oct-16 00:00:23.0000,  8.914052717241948E+08,  1.028369868784945E+09, -5.852192647290277E+07,
2440876.500266204, A.D. 1970-Oct-17 00:00:23.0000,  8.907662664575766E+08,  1.029067874647242E+09, -5.847180773103845E+07,
2440877.500266204, A.D. 1970-Oct-18 00:00:23.0000,  8.901280867947583E+08,  1.029765174932982E+09, -5.842127573255932E+07,
2440878.500266204, A.D. 1970-Oct-19 00:00:23.0000,  8.894907312970630E+08,  1.030461756580287E+09, -5.837033303341657E+07,
2440879.500266204, A.D. 1970-Oct-20 00:00:23.0000,  8.888541983431745E+08,  1.031157606555856E+09, -5.831898225365806E+07,
2440880.500266204, A.D. 1970-Oct-21 00:00:23.0000,  8.882184861298175E+08,  1.031852711858624E+09, -5.826722607664049E+07,
2440881.500266204, A.D. 1970-Oct-22 00:00:23.0000,  8.875835926724287E+08,  1.032547059523422E+09, -5.821506724823892E+07,
2440882.500266204, A.D. 1970-Oct-23 00:00:23.0000,  8.869495158058245E+08,  1.033240636624633E+09, -5.816250857605755E+07,
2440883.500266204, A.D. 1970-Oct-24 00:00:23.0000,  8.863162531848627E+08,  1.033933430279857E+09, -5.810955292863864E+07,
2440884.500266204, A.D. 1970-Oct-25 00:00:23.0000,  8.856838022850999E+08,  1.034625427653565E+09, -5.805620323467195E+07,
2440885.500266204, A.D. 1970-Oct-26 00:00:23.0000,  8.850521604034449E+08,  1.035316615960758E+09, -5.800246248220378E+07,
