JDTDB,Calendar Date (TDB),X,Y,Z,
2440797.500266204, A.D. 1970-Jul-30 00:00:23.0000,  9.361637491390700E+08,  9.821161300272384E+08, -5.308980647392362E+07,
2440798.500266204, A.D. 1970-Jul-31 00:00:23.0000,  9.355445924286861E+08,  9.828141713544124E+08, -5.304812249371868E+07,
2440799.500266204, A.D. 1970-Aug-01 00:00:23.0000,  9.349257461270483E+08,  9.835117787268261E+08, -5.300648890831751E+07,
2440800.500266204, A.D. 1970-Aug-02 00:00:23.0000,  9.343072109958957E+08,  9.842089478771232E+08, -5.296490675571358E+07,
2440801.500266204, A.D. 1970-Aug-03 00:00:23.0000,  9.336889877690849E+08,  9.849056745257528E+08, -5.292337707450926E+07,
2440802.500266204, A.D. 1970-Aug-04 00:00:23.0000,  9.330710771523981E+08,  9.856019543811518E+08, -5.288190090385598E+07,
2440803.500266204, A.D. 1970-Aug-05 00:00:23.0000,  9.324534798225721E+08,  9.862977831405342E+08, -5.284047928353339E+07,
2440804.500266204, A.D. 1970-Aug-06 00:00:23.0000,  9.318361964278519E+08,  9.869931564898462E+08, -5.279911325369412E+07,
2440805.500266204, A.D. 1970-Aug-07 00:00:23.0000,  9.312192275885801E+08,  9.876880701032368E+08, -5.275780385471201E+07,
2440806.500266204, A.D. 1970-Aug-08 00:00:23.0000,  9.306025738962489E+08,  9.883825196437180E+08, -5.271655212728631E+07,
2440807.500266204, A.D. 1970-Aug-09 00:00:23.0000,  9.299862359133193E+08,  9.890765007633890E+08, -5.267535911236608E+07,
2440808.500266204, A.D. 1970-Aug-10 00:00:23.0000,  9.293702141730390E+08,  9.897700091036592E+08, -5.263422585107589E+07,
2440809.500266204, A.D. 1970-Aug-11 00:00:23.0000,  9.287545091792601E+08,  9.904630402954705E+08, -5.259315338463944E+07,
2440810.500266204, A.D. 1970-Aug-12 00:00:23.0000,  9.281391214062581E+08,  9.911555899595199E+08, -5.255214275430572E+07,
2440811.500266204, A.D. 1970-Aug-13 00:00:23.0000,  9.275240512985483E+08,  9.918476537064801E+08, -5.251119500127292E+07,
2440812.500266204, A.D. 1970-Aug-14 00:00:23.0000,  9.269092992707030E+08,  9.925392271372207E+08, -5.247031116661429E+07,
2440813.500266204, A.D. 1970-Aug-15 00:00:23.0000,  9.262948657071692E+08,  9.932303058430282E+08, -5.242949229120249E+07,
2440814.500266204, A.D. 1970-Aug-16 00:00:23.0000,  9.256807509620852E+08,  9.939208854058260E+08, -5.238873941563487E+07,
2440815.500266204, A.D. 1970-Aug-17 00:00:23.0000,  9.250669553590978E+08,  9.946109613983935E+08, -5.234805358015835E+07,
2440816.500266204, A.D. 1970-Aug-18 00:00:23.0000,  9.244534791911784E+08,  9.953005293845863E+08, -5.230743582459480E+07,
2440817.500266204, A.D. 1970-Aug-19 00:00:23.0000,  9.238403227204392E+08,  9.959895849195526E+08, -5.226688718826610E+07,
2440818.500266204, A.D. 1970-Aug-20 00:00:23.0000,  9.232274861779504E+08,  9.966781235499523E+08, -5.222640870991915E+07,
2440819.500266204, A.D. 1970-Aug-21 00:00:23.0000,  9.226149697635556E+08,  9.973661408141748E+08, -5.218600142765087E+07,
2440820.500266204, A.D. 1970-Aug-22 00:00:23.0000,  9.220027736456888E+08,  9.980536322425559E+08, -5.214566637883443E+07,
2440821.500266204, A.D. 1970-Aug-23 00:00:23.0000,  9.213908979621594E+08,  9.987405933577926E+08, -5.210540460044801E+07,
2440822.500266204, A.D. 1970-Aug-24 00:00:23.0000,  9.207793428193092E+08,  9.994270196752852E+08, -5.206521712866622E+07,
2440823.500266204, A.D. 1970-Aug-25 00:00:23.0000,  9.201681082908374E+08,  1.000112906703034E+09, -5.202510499839038E+07,
2440824.500266204, A.D. 1970-Aug-26 00:00:23.0000,  9.195571944185003E+08,  1.000798249941951E+09, -5.198506924355650E+07,
2440825.500266204, A.D. 1970-Aug-27 00:00:23.0000,  9.189466012119629E+08,  1.001483044886123E+09, -5.194511089705592E+07,
2440826.500266204, A.D. 1970-Aug-28 00:00:23.0000,  9.183363286486481E+08,  1.002167287023079E+09, -5.190523099065787E+07,
2440827.500266204, A.D. 1970-Aug-29 00:00:23.0000,  9.177263766735876E+08,  1.002850971834054E+09, -5.186543055493009E+07,
2440828.500266204, A.D. 1970-Aug-30 00:00:23.0000,  9.171167451992725E+08,  1.003534094794252E+09, -5.182571061916131E+07,
2440829.500266204, A.D. 1970-Aug-31 00:00:23.0000,  9.165074341055042E+08,  1.004216651373110E+09, -5.178607221128237E+07,
2440830.500266204, A.D. 1970-Sep-01 00:00:23.0000,  9.158984432392452E+08,  1.004898637034555E+09, -5.174651635778934E+07,
2440831.500266204, A.D. 1970-Sep-02 00:00:23.0000,  9.152897724144717E+08,  1.005580047237267E+09, -5.170704408366466E+07,
2440832.500266204, A.D. 1970-Sep-03 00:00:23.0000,  9.146814214120264E+08,  1.006260877434933E+09, -5.166765641230047E+07,
2440833.500266204, A.D. 1970-Sep-04 00:00:23.0000,  9.140733899794722E+08,  1.006941123076504E+09, -5.162835436542064E+07,
2440834.500266204, A.D. 1970-Sep-05 00:00:23.0000,  9.134656778309480E+08,  1.007620779606449E+09, -5.158913896300459E+07,
2440835.500266204, A.D. 1970-Sep-06 00:00:23.0000,  9.128582846470274E+08,  1.008299842465004E+09, -5.155001122321016E+07,
2440836.500266204, A.D. 1970-Sep-07 00:00:23.0000,  9.122512100745777E+08,  1.008978307088425E+09, -5.151097216229779E+07,
2440837.500266204, A.D. 1970-Sep-08 00:00:23.0000,  9.116444537266252E+08,  1.009656168909232E+09, -5.147202279455477E+07,
2440838.500266204, A.D. 1970-Sep-09 00:00:23.0000,  9.110380151822222E+08,  1.010333423356453E+09, -5.143316413222009E+07,
2440839.500266204, A.D. 1970-Sep-10 00:00:23.0000,  9.104318939866458E+08,  1.011010065855206E+09, -5.139439718516874E+07,
2440840.500266204, A.D. 1970-Sep-11 00:00:23.0000,  9.098260896514207E+08,  1.011686091827729E+09, -5.135572296115017E+07,
2440841.500266204, A.D. 1970-Sep-12 00:00:23.0000,  9.092206016537256E+08,  1.012361496694191E+09, -5.131714246588665E+07,
