JDTDB,Calendar Date (TDB),X,Y,Z,
2420955.500370370, A.D. 1916-Apr-02 00:00:32.0000,  2.210189792989068E+09, -2.032306062663669E+09, -3.970463127543283E+07,
2420956.500370370, A.D. 1916-Apr-03 00:00:32.0000,  2.210562102403902E+09, -2.031938942101285E+09, -3.971411801786637E+07,
2420957.500370370, A.D. 1916-Apr-04 00:00:32.0000,  2.210934268643861E+09, -2.031571670537831E+09, -3.972358587309361E+07,
2420958.500370370, A.D. 1916-Apr-05 00:00:32.0000,  2.211306291967165E+09, -2.031204248011193E+09, -3.973303486131287E+07,
2420959.500370370, A.D. 1916-Apr-06 00:00:32.0000,  2.211678172630832E+09, -2.030836674559925E+09, -3.974246500276113E+07,
2420960.500370370, A.D. 1916-Apr-07 00:00:32.0000,  2.212049910890703E+09, -2.030468950223294E+09, -3.975187631772149E+07,
2420961.500370370, A.D. 1916-Apr-08 00:00:32.0000,  2.212421507001491E+09, -2.030101075041284E+09, -3.976126882652032E+07,
2420962.500370370, A.D. 1916-Apr-09 00:00:32.0000,  2.212792961216841E+09, -2.029733049054614E+09, -3.977064254953516E+07,
2420963.500370370, A.D. 1916-Apr-10 00:00:32.0000,  2.213164273789390E+09, -2.029364872304768E+09, -3.977999750720286E+07,
2420964.500370370, A.D. 1916-Apr-11 00:00:32.0000,  2.213535444970845E+09, -2.028996544834008E+09, -3.978933372002506E+07,
2420965.500370370, A.D. 1916-Apr-12 00:00:32.0000,  2.213906475012068E+09, -2.028628066685379E+09, -3.979865120857739E+07,
2420966.500370370, A.D. 1916-Apr-13 00:00:32.0000,  2.214277364163181E+09, -2.028259437902698E+09, -3.980794999351609E+07,
2420967.500370370, A.D. 1916-Apr-14 00:00:32.0000,  2.214648112673663E+09, -2.027890658530524E+09, -3.981723009558451E+07,
2420968.500370370, A.D. 1916-Apr-15 00:00:32.0000,  2.215018720792469E+09, -2.027521728614107E+09, -3.982649153561795E+07,
2420969.500370370, A.D. 1916-Apr-16 00:00:32.0000,  2.215389188768139E+09, -2.027152648199296E+09, -3.983573433454716E+07,
2420970.500370370, A.D. 1916-Apr-17 00:00:32.0000,  2.215759516848897E+09, -2.026783417332439E+09, -3.984495851339650E+07,
2420971.500370370, A.D. 1916-Apr-18 00:00:32.0000,  2.216129705282742E+09, -2.026414036060229E+09, -3.985416409327972E+07,
2420972.500370370, A.D. 1916-Apr-19 00:00:32.0000,  2.216499754317500E+09, -2.026044504429536E+09, -3.986335109539068E+07,
2420973.500370370, A.D. 1916-Apr-20 00:00:32.0000,  2.216869664200849E+09, -2.025674822487212E+09, -3.987251954098701E+07,
2420974.500370370, A.D. 1916-Apr-21 00:00:32.0000,  2.217239435180287E+09, -2.025304990279885E+09, -3.988166945137143E+07,
