JDTDB,Calendar Date (TDB),X,Y,Z,
2440797.500266204, A.D. 1970-Jul-30 00:00:23.0000,  9.324019145682136E+08,  1.000485309024202E+09, -4.984613765642518E+07,
2440798.500266204, A.D. 1970-Jul-31 00:00:23.0000,  9.318041645517800E+08,  1.001131234831754E+09, -4.982982007757866E+07,
2440799.500266204, A.D. 1970-Aug-01 00:00:23.0000,  9.312062734302921E+08,  1.001776595174081E+09, -4.981353192932218E+07,
2440800.500266204, A.D. 1970-Aug-02 00:00:23.0000,  9.306082409177361E+08,  1.002421389386547E+09, -4.979727319467330E+07,
2440801.500266204, A.D. 1970-Aug-03 00:00:23.0000,  9.300100667288111E+08,  1.003065616805256E+09, -4.978104385666406E+07,
2440802.500266204, A.D. 1970-Aug-04 00:00:23.0000,  9.294117505789269E+08,  1.003709276767051E+09, -4.976484389834118E+07,
2440803.500266204, A.D. 1970-Aug-05 00:00:23.0000,  9.288132921842825E+08,  1.004352368609564E+09, -4.974867330283403E+07,
2440804.500266204, A.D. 1970-Aug-06 00:00:23.0000,  9.282146912617850E+08,  1.004994891671179E+09, -4.973253205329508E+07,
2440805.500266204, A.D. 1970-Aug-07 00:00:23.0000,  9.276159475289644E+08,  1.005636845290944E+09, -4.971642013283491E+07,
2440806.500266204, A.D. 1970-Aug-08 00:00:23.0000,  9.270170607040488E+08,  1.006278228808619E+09, -4.970033752458858E+07,
2440807.500266204, A.D. 1970-Aug-09 00:00:23.0000,  9.264180305059564E+08,  1.006919041564674E+09, -4.968428421171361E+07,
2440808.500266204, A.D. 1970-Aug-10 00:00:23.0000,  9.258188566542871E+08,  1.007559282900276E+09, -4.966826017738920E+07,
2440809.500266204, A.D. 1970-Aug-11 00:00:23.0000,  9.252195388693123E+08,  1.008198952157286E+09, -4.965226540481454E+07,
2440810.500266204, A.D. 1970-Aug-12 00:00:23.0000,  9.246200768719665E+08,  1.008838048678247E+09, -4.963629987720805E+07,
2440811.500266204, A.D. 1970-Aug-13 00:00:23.0000,  9.240204703838371E+08,  1.009476571806382E+09, -4.962036357780510E+07,
2440812.500266204, A.D. 1970-Aug-14 00:00:23.0000,  9.234207191271547E+08,  1.010114520885576E+09, -4.960445648985815E+07,
2440813.500266204, A.D. 1970-Aug-15 00:00:23.0000,  9.228208228247828E+08,  1.010751895260376E+09, -4.958857859663409E+07,
2440814.500266204, A.D. 1970-Aug-16 00:00:23.0000,  9.222207812002081E+08,  1.011388694275973E+09, -4.957272988141459E+07,
2440815.500266204, A.D. 1970-Aug-17 00:00:23.0000,  9.216205939775296E+08,  1.012024917278196E+09, -4.955691032749325E+07,
2440816.500266204, A.D. 1970-Aug-18 00:00:23.0000,  9.210202608814485E+08,  1.012660563613499E+09, -4.954111991817635E+07,
