JDTDB,Calendar Date (TDB),X,Y,Z,
2420955.500370370, A.D. 1916-Apr-02 00:00:32.0000,  2.193813530570416E+09, -2.013721197546253E+09, -3.805638391227055E+07,
2420956.500370370, A.D. 1916-Apr-03 00:00:32.0000,  2.194243587635742E+09, -2.013241468189431E+09, -3.802806342113900E+07,
2420957.500370370, A.D. 1916-Apr-04 00:00:32.0000,  2.194674923253746E+09, -2.012762638872238E+09, -3.799901069772983E+07,
2420958.500370370, A.D. 1916-Apr-05 00:00:32.0000,  2.195107525252617E+09, -2.012284738225073E+09, -3.796923677349365E+07,
2420959.500370370, A.D. 1916-Apr-06 00:00:32.0000,  2.195541381114362E+09, -2.011807794756665E+09, -3.793875288066041E+07,
2420960.500370370, A.D. 1916-Apr-07 00:00:32.0000,  2.195976477970905E+09, -2.011331836854148E+09, -3.790757045359945E+07,
2420961.500370370, A.D. 1916-Apr-08 00:00:32.0000,  2.196412802601197E+09, -2.010856892785533E+09, -3.787570113244605E+07,
2420962.500370370, A.D. 1916-Apr-09 00:00:32.0000,  2.196850341425323E+09, -2.010382990699540E+09, -3.784315676663709E+07,
2420963.500370370, A.D. 1916-Apr-10 00:00:32.0000,  2.197289080499409E+09, -2.009910158625302E+09, -3.780994941810298E+07,
2420964.500370370, A.D. 1916-Apr-11 00:00:32.0000,  2.197729005510277E+09, -2.009438424471797E+09, -3.777609136458576E+07,
2420965.500370370, A.D. 1916-Apr-12 00:00:32.0000,  2.198170101769829E+09, -2.008967816026987E+09, -3.774159510308552E+07,
2420966.500370370, A.D. 1916-Apr-13 00:00:32.0000,  2.198612354209179E+09, -2.008498360956640E+09, -3.770647335343635E+07,
2420967.500370370, A.D. 1916-Apr-14 00:00:32.0000,  2.199055747372520E+09, -2.008030086802813E+09, -3.767073906200445E+07,
2420968.500370370, A.D. 1916-Apr-15 00:00:32.0000,  2.199500265410735E+09, -2.007563020981970E+09, -3.763440540551150E+07,
2420969.500370370, A.D. 1916-Apr-16 00:00:32.0000,  2.199945892074726E+09, -2.007097190782722E+09, -3.759748579497874E+07,
2420970.500370370, A.D. 1916-Apr-17 00:00:32.0000,  2.200392610708483E+09, -2.006632623363147E+09, -3.755999387978435E+07,
2420971.500370370, A.D. 1916-Apr-18 00:00:32.0000,  2.200840404241866E+09, -2.006169345747690E+09, -3.752194355183721E+07,
2420972.500370370, A.D. 1916-Apr-19 00:00:32.0000,  2.201289255183106E+09, -2.005707384823610E+09, -3.748334894985533E+07,
2420973.500370370, A.D. 1916-Apr-20 00:00:32.0000,  2.201739145611007E+09, -2.005246767336974E+09, -3.744422446374750E+07,
2420974.500370370, A.D. 1916-Apr-21 00:00:32.0000,  2.202190057166860E+09, -2.004787519888169E+09, -3.740458473909414E+07,
