JDTDB,Calendar Date (TDB),X,Y,Z,
2433282.500000000, A.D. 1950-Jan-01 00:00:00.0000, -4.352137117178729E+09, -1.257974218621981E+09,  1.261437630103702E+08,
2433283.500000000, A.D. 1950-Jan-02 00:00:00.0000, -4.352085431977847E+09, -1.258366973918115E+09,  1.262007311203422E+08,
2433284.500000000, A.D. 1950-Jan-03 00:00:00.0000, -4.351974868368509E+09, -1.258916210198639E+09,  1.261778593687925E+08,
2433285.500000000, A.D. 1950-Jan-04 00:00:00.0000, -4.351751967728178E+09, -1.259318395436872E+09,  1.261621993108919E+08,
2433286.500000000, A.D. 1950-Jan-05 00:00:00.0000, -4.351699130016589E+09, -1.259709665550185E+09,  1.262192305589210E+08,
2433287.500000000, A.D. 1950-Jan-06 00:00:00.0000, -4.351590284324818E+09, -1.260258697745868E+09,  1.261971896047430E+08,
2433288.500000000, A.D. 1950-Jan-07 00:00:00.0000, -4.351366644629725E+09, -1.260662346777605E+09,  1.261808088070917E+08,
2433289.500000000, A.D. 1950-Jan-08 00:00:00.0000, -4.351312356191184E+09, -1.261052022529038E+09,  1.262378957157595E+08,
2433290.500000000, A.D. 1950-Jan-09 00:00:00.0000, -4.351205007894697E+09, -1.261600923782226E+09,  1.262165099933929E+08,
2433291.500000000, A.D. 1950-Jan-10 00:00:00.0000, -4.350980726423676E+09, -1.262006277959963E+09,  1.261992295053309E+08,
2433292.500000000, A.D. 1950-Jan-11 00:00:00.0000, -4.350925243755371E+09, -1.262394492435924E+09,  1.262563615467374E+08,
2433293.500000000, A.D. 1950-Jan-12 00:00:00.0000, -4.350819586393610E+09, -1.262943113384390E+09,  1.262358306557238E+08,
2433294.500000000, A.D. 1950-Jan-13 00:00:00.0000, -4.350594607577241E+09, -1.263349957452840E+09,  1.262178369572517E+08,
2433295.500000000, A.D. 1950-Jan-14 00:00:00.0000, -4.350537623528512E+09, -1.263736628038655E+09,  1.262749785221969E+08,
2433296.500000000, A.D. 1950-Jan-15 00:00:00.0000, -4.350433463380510E+09, -1.264285067239526E+09,  1.262551137260966E+08,
2433297.500000000, A.D. 1950-Jan-16 00:00:00.0000, -4.350207921133686E+09, -1.264693641638548E+09,  1.262362436680680E+08,
2433298.500000000, A.D. 1950-Jan-17 00:00:00.0000, -4.350149699513209E+09, -1.265078874344864E+09,  1.262934124132361E+08,
2433299.500000000, A.D. 1950-Jan-18 00:00:00.0000, -4.350047200198679E+09, -1.265626957634688E+09,  1.262744243660387E+08,
2433300.500000000, A.D. 1950-Jan-19 00:00:00.0000, -4.349821003516857E+09, -1.266037048952039E+09,  1.262548476015023E+08,
2433301.500000000, A.D. 1950-Jan-20 00:00:00.0000, -4.349761233920071E+09, -1.266420790589947E+09,  1.263119800159161E+08,
2433302.500000000, A.D. 1950-Jan-21 00:00:00.0000, -4.349660230533498E+09, -1.266968640282499E+09,  1.262936694970320E+08,
2433303.500000000, A.D. 1950-Jan-22 00:00:00.0000, -4.349433548096615E+09, -1.267380482330606E+09,  1.262732422227784E+08,
2433304.500000000, A.D. 1950-Jan-23 00:00:00.0000, -4.349372497415186E+09, -1.267762811140655E+09,  1.263303835625372E+08,
2433305.500000000, A.D. 1950-Jan-24 00:00:00.0000, -4.349273121877360E+09, -1.268310230368694E+09,  1.263129693651964E+08,
2433306.500000000, A.D. 1950-Jan-25 00:00:00.0000, -4.349045829444614E+09, -1.268723616864944E+09,  1.262918411592308E+08,
2433307.500000000, A.D. 1950-Jan-26 00:00:00.0000, -4.348983186807232E+09, -1.269104509066693E+09,  1.263489003947399E+08,
2433308.500000000, A.D. 1950-Jan-27 00:00:00.0000, -4.348885305869732E+09, -1.269651641687075E+09,  1.263321763129951E+08,
2433309.500000000, A.D. 1950-Jan-28 00:00:00.0000, -4.348657605389265E+09, -1.270066795245728E+09,  1.263102259770032E+08,
2433310.500000000, A.D. 1950-Jan-29 00:00:00.0000, -4.348593637926317E+09, -1.270446301148904E+09,  1.263672754820595E+08,
2433311.500000000, A.D. 1950-Jan-30 00:00:00.0000, -4.348497346867961E+09, -1.270992931291091E+09,  1.263514634960605E+08,
2433312.500000000, A.D. 1950-Jan-31 00:00:00.0000, -4.348269082913463E+09, -1.271409655406275E+09,  1.263288182339520E+08,
2433313.500000000, A.D. 1950-Feb-01 00:00:00.0000, -4.348203485053267E+09, -1.271787781749621E+09,  1.263857409617055E+08,
2433314.500000000, A.D. 1950-Feb-02 00:00:00.0000, -4.348108686608151E+09, -1.272334070554061E+09,  1.263706329038888E+08,
2433315.500000000, A.D. 1950-Feb-03 00:00:00.0000, -4.347880090547641E+09, -1.272752575009677E+09,  1.263471953120466E+08,
2433316.500000000, A.D. 1950-Feb-04 00:00:00.0000, -4.347813122255414E+09, -1.273129342699243E+09,  1.264040885985482E+08,
2433317.500000000, A.D. 1950-Feb-05 00:00:00.0000, -4.347719873989559E+09, -1.273675058816025E+09,  1.263899061078663E+08,
2433318.500000000, A.D. 1950-Feb-06 00:00:00.0000, -4.347490762923454E+09, -1.274095159351682E+09,  1.263657795631229E+08,
2433319.500000000, A.D. 1950-Feb-07 00:00:00.0000, -4.347422130010829E+09, -1.274470606436619E+09,  1.264225023659988E+08,
2433320.500000000, A.D. 1950-Feb-08 00:00:00.0000, -4.347330370541720E+09, -1.275015926240564E+09,  1.264090379485193E+08,
2433321.500000000, A.D. 1950-Feb-09 00:00:00.0000, -4.347101002029502E+09, -1.275437815851282E+09,  1.263841509532162E+08,
2433322.500000000, A.D. 1950-Feb-10 00:00:00.0000, -4.347030951913697E+09, -1.275811933442363E+09,  1.264408235514295E+08,
2433323.500000000, A.D. 1950-Feb-11 00:00:00.0000, -4.346940701129748E+09, -1.276356612687032E+09,  1.264282955824041E+08,
2433324.500000000, A.D. 1950-Feb-12 00:00:00.0000, -4.346710869157442E+09, -1.276780124730120E+09,  1.264027256004617E+08,
2433325.500000000, A.D. 1950-Feb-13 00:00:00.0000, -4.346639123952159E+09, -1.277152981458212E+09,  1.264591853518656E+08,
2433326.500000000, A.D. 1950-Feb-14 00:00:00.0000, -4.346550355672523E+09, -1.277697207523812E+09,  1.264473903240370E+08,
2433327.500000000, A.D. 1950-Feb-15 00:00:00.0000, -4.346320338935477E+09, -1.278122512770439E+09,  1.264210935217366E+08,
2433328.500000000, A.D. 1950-Feb-16 00:00:00.0000, -4.346247131145162E+09, -1.278494072226305E+09,  1.264774815665496E+08,
2433329.500000000, A.D. 1950-Feb-17 00:00:00.0000, -4.346159826450943E+09, -1.279037592685710E+09,  1.264666303201125E+08,
2433330.500000000, A.D. 1950-Feb-18 00:00:00.0000, -4.345929399527294E+09, -1.279464544981831E+09,  1.264396569544591E+08,
2433331.500000000, A.D. 1950-Feb-19 00:00:00.0000, -4.345854469928781E+09, -1.279834904829643E+09,  1.264957910152748E+08,
2433332.500000000, A.D. 1950-Feb-20 00:00:00.0000, -4.345768640740219E+09, -1.280377913897630E+09,  1.264856888706523E+08,
2433333.500000000, A.D. 1950-Feb-21 00:00:00.0000, -4.345538100263317E+09, -1.280806660958257E+09,  1.264580234289380E+08,
2433334.500000000, A.D. 1950-Feb-22 00:00:00.0000, -4.345461661351524E+09, -1.281175757212688E+09,  1.265140628802354E+08,
2433335.500000000, A.D. 1950-Feb-23 00:00:00.0000, -4.345377249004000E+09, -1.281717998258770E+09,  1.265049091124997E+08,
2433336.500000000, A.D. 1950-Feb-24 00:00:00.0000, -4.345146354015574E+09, -1.282148415578665E+09,  1.264765742576528E+08,
2433337.500000000, A.D. 1950-Feb-25 00:00:00.0000, -4.345068171058583E+09, -1.282516374243507E+09,  1.265323205188072E+08,
2433338.500000000, A.D. 1950-Feb-26 00:00:00.0000, -4.344985224480351E+09, -1.283058044671777E+09,  1.265239323966833E+08,
2433339.500000000, A.D. 1950-Feb-27 00:00:00.0000, -4.344754285010823E+09, -1.283490255858011E+09,  1.264949409030480E+08,
2433340.500000000, A.D. 1950-Feb-28 00:00:00.0000, -4.344674545445885E+09, -1.283856986416202E+09,  1.265505682845771E+08,
2433341.500000000, A.D. 1950-Mar-01 00:00:00.0000, -4.344592968263017E+09, -1.284397827899383E+09,  1.265431311736556E+08,
2433342.500000000, A.D. 1950-Mar-02 00:00:00.0000, -4.344361732425911E+09, -1.284831732111596E+09,  1.265134779387369E+08,
2433343.500000000, A.D. 1950-Mar-03 00:00:00.0000, -4.344280230144036E+09, -1.285197388223026E+09,  1.265687744985469E+08,
2433344.500000000, A.D. 1950-Mar-04 00:00:00.0000, -4.344200106107479E+09, -1.285737599416227E+09,  1.265621197056289E+08,
2433345.500000000, A.D. 1950-Mar-05 00:00:00.0000, -4.343968892214357E+09, -1.286173291104781E+09,  1.265318467201118E+08,
