JDTDB,Calendar Date (TDB),X,Y,Z,
2440797.500266204, A.D. 1970-Jul-30 00:00:23.0000,  9.741627802404513E+08,  9.955393115687031E+08, -5.825020319479460E+07,
2440798.500266204, A.D. 1970-Jul-31 00:00:23.0000,  9.735890891724654E+08,  9.960525218016863E+08, -5.823462386110806E+07,
2440799.500266204, A.D. 1970-Aug-01 00:00:23.0000,  9.730146419303546E+08,  9.965650408949982E+08, -5.821895438691342E+07,
2440800.500266204, A.D. 1970-Aug-02 00:00:23.0000,  9.724394376900905E+08,  9.970768705807405E+08, -5.820319487329853E+07,
2440801.500266204, A.D. 1970-Aug-03 00:00:23.0000,  9.718634756333233E+08,  9.975880125878429E+08, -5.818734542170089E+07,
2440802.500266204, A.D. 1970-Aug-04 00:00:23.0000,  9.712867549473258E+08,  9.980984686421016E+08, -5.817140613390392E+07,
2440803.500266204, A.D. 1970-Aug-05 00:00:23.0000,  9.707092748251355E+08,  9.986082404666932E+08, -5.815537711210972E+07,
2440804.500266204, A.D. 1970-Aug-06 00:00:23.0000,  9.701310344653521E+08,  9.991173297818043E+08, -5.813925845889759E+07,
2440805.500266204, A.D. 1970-Aug-07 00:00:23.0000,  9.695520330718846E+08,  9.996257383041865E+08, -5.812305027712423E+07,
2440806.500266204, A.D. 1970-Aug-08 00:00:23.0000,  9.689722698540776E+08,  1.000133467747649E+09, -5.810675266998172E+07,
2440807.500266204, A.D. 1970-Aug-09 00:00:23.0000,  9.683917440266566E+08,  1.000640519823093E+09, -5.809036574099541E+07,
2440808.500266204, A.D. 1970-Aug-10 00:00:23.0000,  9.678104548096728E+08,  1.001146896238546E+09, -5.807388959402257E+07,
2440809.500266204, A.D. 1970-Aug-11 00:00:23.0000,  9.672284014284462E+08,  1.001652598699201E+09, -5.805732433325034E+07,
2440810.500266204, A.D. 1970-Aug-12 00:00:23.0000,  9.666455831135100E+08,  1.002157628907441E+09, -5.804067006319398E+07,
2440811.500266204, A.D. 1970-Aug-13 00:00:23.0000,  9.660619991005540E+08,  1.002661988562879E+09, -5.802392688869524E+07,
2440812.500266204, A.D. 1970-Aug-14 00:00:23.0000,  9.654776486303676E+08,  1.003165679362388E+09, -5.800709491492116E+07,
2440813.500266204, A.D. 1970-Aug-15 00:00:23.0000,  9.648925309487835E+08,  1.003668703000135E+09, -5.799017424736178E+07,
2440814.500266204, A.D. 1970-Aug-16 00:00:23.0000,  9.643066453066196E+08,  1.004171061167607E+09, -5.797316499182868E+07,
2440815.500266204, A.D. 1970-Aug-17 00:00:23.0000,  9.637199909596232E+08,  1.004672755553648E+09, -5.795606725445384E+07,
2440816.500266204, A.D. 1970-Aug-18 00:00:23.0000,  9.631325671684127E+08,  1.005173787844488E+09, -5.793888114168775E+07,
2440817.500266204, A.D. 1970-Aug-19 00:00:23.0000,  9.625443731984198E+08,  1.005674159723768E+09, -5.792160676029783E+07,
2440818.500266204, A.D. 1970-Aug-20 00:00:23.0000,  9.619554083198326E+08,  1.006173872872579E+09, -5.790424421736753E+07,
2440819.500266204, A.D. 1970-Aug-21 00:00:23.0000,  9.613656718075373E+08,  1.006672928969481E+09, -5.788679362029392E+07,
2440820.500266204, A.D. 1970-Aug-22 00:00:23.0000,  9.607751629410608E+08,  1.007171329690541E+09, -5.786925507678771E+07,
2440821.500266204, A.D. 1970-Aug-23 00:00:23.0000,  9.601838810049585E+08,  1.007669076709279E+09, -5.785162869474792E+07,
2440822.500266204, A.D. 1970-Aug-24 00:00:23.0000,  9.595918252884394E+08,  1.008166171696830E+09, -5.783391458238667E+07,
2440823.500266204, A.D. 1970-Aug-25 00:00:23.0000,  9.589989950848531E+08,  1.008662616322005E+09, -5.781611284833080E+07,
