JDTDB,Calendar Date (TDB),X,Y,Z,
2433282.500000000, A.D. 1950-Jan-01 00:00:00.0000, -4.351489262271278E+09, -1.251571625382993E+09,  1.370792721038386E+08,
2433283.500000000, A.D. 1950-Jan-02 00:00:00.0000, -4.351303237759089E+09, -1.251993562708126E+09,  1.370540663179049E+08,
2433284.500000000, A.D. 1950-Jan-03 00:00:00.0000, -4.351117187001897E+09, -1.252415647533935E+09,  1.370285853830016E+08,
2433285.500000000, A.D. 1950-Jan-04 00:00:00.0000, -4.350931111493964E+09, -1.252837880917059E+09,  1.370028294083576E+08,
2433286.500000000, A.D. 1950-Jan-05 00:00:00.0000, -4.350745012735467E+09, -1.253260263912047E+09,  1.369767985162229E+08,
2433287.500000000, A.D. 1950-Jan-06 00:00:00.0000, -4.350558892232315E+09, -1.253682797571084E+09,  1.369504928419468E+08,
2433288.500000000, A.D. 1950-Jan-07 00:00:00.0000, -4.350372751496009E+09, -1.254105482943687E+09,  1.369239125340595E+08,
2433289.500000000, A.D. 1950-Jan-08 00:00:00.0000, -4.350186592043524E+09, -1.254528321076392E+09,  1.368970577543604E+08,
2433290.500000000, A.D. 1950-Jan-09 00:00:00.0000, -4.350000415397258E+09, -1.254951313012422E+09,  1.368699286780115E+08,
2433291.500000000, A.D. 1950-Jan-10 00:00:00.0000, -4.349814223085030E+09, -1.255374459791367E+09,  1.368425254936337E+08,
2433292.500000000, A.D. 1950-Jan-11 00:00:00.0000, -4.349628016640114E+09, -1.255797762448888E+09,  1.368148484034078E+08,
2433293.500000000, A.D. 1950-Jan-12 00:00:00.0000, -4.349441797601344E+09, -1.256221222016455E+09,  1.367868976231747E+08,
2433294.500000000, A.D. 1950-Jan-13 00:00:00.0000, -4.349255567513228E+09, -1.256644839521141E+09,  1.367586733825373E+08,
2433295.500000000, A.D. 1950-Jan-14 00:00:00.0000, -4.349069327926090E+09, -1.257068615985471E+09,  1.367301759249548E+08,
2433296.500000000, A.D. 1950-Jan-15 00:00:00.0000, -4.348883080396208E+09, -1.257492552427335E+09,  1.367014055078355E+08,
2433297.500000000, A.D. 1950-Jan-16 00:00:00.0000, -4.348696826485930E+09, -1.257916649859960E+09,  1.366723624026214E+08,
2433298.500000000, A.D. 1950-Jan-17 00:00:00.0000, -4.348510567763761E+09, -1.258340909291917E+09,  1.366430468948668E+08,
2433299.500000000, A.D. 1950-Jan-18 00:00:00.0000, -4.348324305804393E+09, -1.258765331727174E+09,  1.366134592843094E+08,
2433300.500000000, A.D. 1950-Jan-19 00:00:00.0000, -4.348138042188712E+09, -1.259189918165152E+09,  1.365835998849363E+08,
2433301.500000000, A.D. 1950-Jan-20 00:00:00.0000, -4.347951778503736E+09, -1.259614669600798E+09,  1.365534690250462E+08,
2433302.500000000, A.D. 1950-Jan-21 00:00:00.0000, -4.347765516342513E+09, -1.260039587024638E+09,  1.365230670473062E+08,
2433303.500000000, A.D. 1950-Jan-22 00:00:00.0000, -4.347579257304008E+09, -1.260464671422820E+09,  1.364923943088097E+08,
2433304.500000000, A.D. 1950-Jan-23 00:00:00.0000, -4.347393002992938E+09, -1.260889923777127E+09,  1.364614511811320E+08,
2433305.500000000, A.D. 1950-Jan-24 00:00:00.0000, -4.347206755019596E+09, -1.261315345064976E+09,  1.364302380503870E+08,
2433306.500000000, A.D. 1950-Jan-25 00:00:00.0000, -4.347020514999682E+09, -1.261740936259384E+09,  1.363987553172843E+08,
2433307.500000000, A.D. 1950-Jan-26 00:00:00.0000, -4.346834284554104E+09, -1.262166698328911E+09,  1.363670033971894E+08,
2433308.500000000, A.D. 1950-Jan-27 00:00:00.0000, -4.346648065308802E+09, -1.262592632237591E+09,  1.363349827201834E+08,
2433309.500000000, A.D. 1950-Jan-28 00:00:00.0000, -4.346461858894558E+09, -1.263018738944837E+09,  1.363026937311262E+08,
2433310.500000000, A.D. 1950-Jan-29 00:00:00.0000, -4.346275666946838E+09, -1.263445019405340E+09,  1.362701368897213E+08,
2433311.500000000, A.D. 1950-Jan-30 00:00:00.0000, -4.346089491105602E+09, -1.263871474568952E+09,  1.362373126705809E+08,
2433312.500000000, A.D. 1950-Jan-31 00:00:00.0000, -4.345903333015165E+09, -1.264298105380566E+09,  1.362042215632927E+08,
